timestamp,lpu,event,value
181479.285160,1,sched_state,startup
181479.285165,6,sched_state,startup
181479.285168,4,sched_state,startup
181479.285319,3,sched_state,startup
181479.285324,7,sched_state,startup
181479.285499,0,sched_state,startup
181479.285518,5,sched_state,startup
181479.285537,4,tick,""
181479.285564,6,tick,""
181479.285569,1,tick,""
181479.285586,7,tick,""
181479.285586,3,tick,""
181479.285662,2,sched_state,startup
181479.285682,0,tick,""
181479.285687,5,tick,""
181479.285818,2,tick,""
181479.287014,3,queue_length,0
181479.287014,7,queue_length,0
181479.287028,7,sched_state,waiting
181479.287028,3,sched_state,waiting
181479.287042,3,tick,""
181479.287042,7,tick,""
181479.287048,6,queue_length,0
181479.287049,5,queue_length,0
181479.287050,1,queue_length,0
181479.287048,2,queue_length,0
181479.287067,5,sched_state,waiting
181479.287067,2,sched_state,waiting
181479.287067,6,sched_state,waiting
181479.287070,1,sched_state,waiting
181479.287086,4,queue_length,0
181479.287090,6,tick,""
181479.287095,2,tick,""
181479.287095,5,tick,""
181479.287096,4,sched_state,waiting
181479.287097,1,tick,""
181479.287113,4,tick,""
181479.287266,0,queue_length,0
181479.287838,1,sched_state,waiting
181479.287843,1,tick,""
181479.287846,3,sched_state,waiting
181479.287852,3,tick,""
181479.287910,1,sched_state,waiting
181479.287916,1,tick,""
181479.287925,2,sched_state,waiting
181479.287932,2,tick,""
181479.287954,3,sched_state,waiting
181479.287954,6,sched_state,waiting
181479.287954,4,sched_state,waiting
181479.287959,3,tick,""
181479.287959,6,tick,""
181479.287963,4,tick,""
181479.287975,0,sched_state,running
181479.288011,6,sched_state,waiting
181479.288015,2,sched_state,waiting
181479.288016,6,tick,""
181479.288019,2,tick,""
181479.288028,3,sched_state,waiting
181479.288032,3,tick,""
181479.288065,2,sched_state,waiting
181479.288069,2,tick,""
181479.288090,6,sched_state,waiting
181479.288093,3,sched_state,waiting
181479.288096,6,tick,""
181479.288098,3,tick,""
181479.288104,4,sched_state,waiting
181479.288115,4,tick,""
181479.288171,2,sched_state,waiting
181479.288190,2,tick,""
181479.288224,3,sched_state,waiting
181479.288239,6,sched_state,waiting
181479.288243,3,tick,""
181479.288243,0,tick,""
181479.288258,6,tick,""
181479.288278,0,reduction,""
181479.288291,0,sched_state,running
181479.288420,7,sched_state,waiting
181479.288439,7,tick,""
181479.288476,4,sched_state,waiting
181479.288495,4,tick,""
181479.288497,2,sched_state,waiting
181479.288516,2,tick,""
181479.288519,5,sched_state,waiting
181479.288541,5,tick,""
181479.288578,3,sched_state,waiting
181479.288596,3,tick,""
181479.288756,3,sched_state,waiting
181479.288767,6,sched_state,waiting
181479.288773,3,tick,""
181479.288789,6,tick,""
181479.288840,5,sched_state,waiting
181479.288867,5,tick,""
181479.288880,3,sched_state,waiting
181479.288897,3,tick,""
181479.288901,0,tick,""
181479.288905,1,sched_state,waiting
181479.288922,1,tick,""
181479.288929,0,reduction,""
181479.288941,0,sched_state,running
181479.288974,7,sched_state,waiting
181479.288977,4,sched_state,waiting
181479.289011,4,tick,""
181479.289020,7,tick,""
181479.289074,5,sched_state,waiting
181479.289085,1,sched_state,waiting
181479.289096,5,tick,""
181479.289101,1,tick,""
181479.289112,2,sched_state,waiting
181479.289135,2,tick,""
181479.289272,5,sched_state,waiting
181479.289290,5,tick,""
181479.289340,6,sched_state,waiting
181479.289346,0,tick,""
181479.289345,2,sched_state,waiting
181479.289359,0,reduction,""
181479.289359,2,tick,""
181479.289359,6,tick,""
181479.289367,0,sched_state,running
181479.289363,3,sched_state,waiting
181479.289387,3,tick,""
181479.289405,7,sched_state,waiting
181479.289424,7,tick,""
181479.289432,5,sched_state,waiting
181479.289457,5,tick,""
181479.289506,1,sched_state,waiting
181479.289524,1,tick,""
181479.289588,3,sched_state,waiting
181479.289600,7,sched_state,waiting
181479.289605,3,tick,""
181479.289614,7,tick,""
181479.289683,6,sched_state,waiting
181479.289704,6,tick,""
181479.289744,2,sched_state,waiting
181479.289764,2,tick,""
181479.289776,1,sched_state,waiting
181479.289794,1,tick,""
181479.289803,5,sched_state,waiting
181479.289815,4,sched_state,waiting
181479.289819,0,tick,""
181479.289820,5,tick,""
181479.289840,0,reduction,""
181479.289844,4,tick,""
181479.289863,0,sched_state,running
181479.289893,6,sched_state,waiting
181479.289912,6,tick,""
181479.289915,3,sched_state,waiting
181479.289932,3,tick,""
181479.290041,6,sched_state,waiting
181479.290055,6,tick,""
181479.290077,3,sched_state,waiting
181479.290094,3,tick,""
181479.290164,1,sched_state,waiting
181479.290165,5,sched_state,waiting
181479.290184,5,tick,""
181479.290184,1,tick,""
181479.290207,3,sched_state,waiting
181479.290224,3,tick,""
181479.290243,6,sched_state,waiting
181479.290262,6,tick,""
181479.290345,3,sched_state,waiting
181479.290361,3,tick,""
181479.290367,1,sched_state,waiting
181479.290374,5,sched_state,waiting
181479.290388,5,tick,""
181479.290388,1,tick,""
181479.290413,6,sched_state,waiting
181479.290432,6,tick,""
181479.290504,0,tick,""
181479.290516,1,sched_state,waiting
181479.290524,0,reduction,""
181479.290533,1,tick,""
181479.290537,0,sched_state,running
181479.290549,3,sched_state,waiting
181479.290563,7,sched_state,waiting
181479.290564,3,tick,""
181479.290576,7,tick,""
181479.290610,2,sched_state,waiting
181479.290617,4,sched_state,waiting
181479.290629,2,tick,""
181479.290631,4,tick,""
181479.290699,1,sched_state,waiting
181479.290699,3,sched_state,waiting
181479.290716,1,tick,""
181479.290718,3,tick,""
181479.290783,2,sched_state,waiting
181479.290783,6,sched_state,waiting
181479.290802,2,tick,""
181479.290802,6,tick,""
181479.290869,1,sched_state,waiting
181479.290886,1,tick,""
181479.290911,0,tick,""
181479.290919,4,sched_state,waiting
181479.290931,0,reduction,""
181479.290932,4,tick,""
181479.290948,5,sched_state,waiting
181479.290952,0,sched_state,running
181479.290963,5,tick,""
181479.290995,1,sched_state,waiting
181479.291011,1,tick,""
181479.291029,2,sched_state,waiting
181479.291045,2,tick,""
181479.291052,7,sched_state,waiting
181479.291071,7,tick,""
181479.291080,4,sched_state,waiting
181479.291098,4,tick,""
181479.291143,6,sched_state,waiting
181479.291154,1,sched_state,waiting
181479.291165,6,tick,""
181479.291172,1,tick,""
181479.291234,2,sched_state,waiting
181479.291240,5,sched_state,waiting
181479.291252,2,tick,""
181479.291260,5,tick,""
181479.291261,7,sched_state,waiting
181479.291280,7,tick,""
181479.291304,6,sched_state,waiting
181479.291321,6,tick,""
181479.291325,4,sched_state,waiting
181479.291357,4,tick,""
181479.291422,5,sched_state,waiting
181479.291441,5,tick,""
181479.291516,7,sched_state,waiting
181479.291534,7,tick,""
181479.291578,0,tick,""
181479.291581,3,sched_state,waiting
181479.291597,3,tick,""
181479.291596,4,sched_state,waiting
181479.291597,0,reduction,""
181479.291613,4,tick,""
181479.291621,0,sched_state,running
181479.291681,2,sched_state,waiting
181479.291700,2,tick,""
181479.291741,5,sched_state,waiting
181479.291761,5,tick,""
181479.291767,4,sched_state,waiting
181479.291784,4,tick,""
181479.291875,2,sched_state,waiting
181479.291892,2,tick,""
181479.291905,1,sched_state,waiting
181479.291923,1,tick,""
181479.291937,4,sched_state,waiting
181479.291947,4,tick,""
181479.291969,6,sched_state,waiting
181479.291984,5,sched_state,waiting
181479.291987,6,tick,""
181479.291995,3,sched_state,waiting
181479.291998,0,tick,""
181479.292003,5,tick,""
181479.292013,3,tick,""
181479.292027,0,reduction,""
181479.292038,0,sched_state,running
181479.292178,1,sched_state,waiting
181479.292198,1,tick,""
181479.292238,2,sched_state,waiting
181479.292259,2,tick,""
181479.292267,4,sched_state,waiting
181479.292284,4,tick,""
181479.292305,1,sched_state,waiting
181479.292320,3,sched_state,waiting
181479.292321,1,tick,""
181479.292331,7,sched_state,waiting
181479.292345,3,tick,""
181479.292347,7,tick,""
181479.292353,5,sched_state,waiting
181479.292357,5,tick,""
181479.292367,4,sched_state,waiting
181479.292370,4,tick,""
181479.292391,3,sched_state,waiting
181479.292397,3,tick,""
181479.292415,2,sched_state,waiting
181479.292421,2,tick,""
181479.292421,5,sched_state,waiting
181479.292426,5,tick,""
181479.292439,0,tick,""
181479.292441,7,sched_state,waiting
181479.292450,7,tick,""
181479.292450,0,reduction,""
181479.292454,0,sched_state,running
181479.292468,6,sched_state,waiting
181479.292474,6,tick,""
181479.292492,1,sched_state,waiting
181479.292497,1,tick,""
181479.292508,3,sched_state,waiting
181479.292515,3,tick,""
181479.292548,6,sched_state,waiting
181479.292549,1,sched_state,waiting
181479.292553,1,tick,""
181479.292553,6,tick,""
181479.292564,4,sched_state,waiting
181479.292571,4,tick,""
181479.292584,5,sched_state,waiting
181479.292585,7,sched_state,waiting
181479.292588,3,sched_state,waiting
181479.292589,5,tick,""
181479.292590,7,tick,""
181479.292592,3,tick,""
181479.292616,4,sched_state,waiting
181479.292620,4,tick,""
181479.292636,5,sched_state,waiting
181479.292641,5,tick,""
181479.292643,7,sched_state,waiting
181479.292648,7,tick,""
181479.292658,6,sched_state,waiting
181479.292662,1,sched_state,waiting
181479.292663,6,tick,""
181479.292664,0,tick,""
181479.292667,1,tick,""
181479.292668,2,sched_state,waiting
181479.292672,2,tick,""
181479.292681,0,reduction,""
181479.292685,0,sched_state,running
181479.292693,5,sched_state,waiting
181479.292698,5,tick,""
181479.292705,1,sched_state,waiting
181479.292709,1,tick,""
181479.292722,6,sched_state,waiting
181479.292732,6,tick,""
181479.292738,3,sched_state,waiting
181479.292738,4,sched_state,waiting
181479.292743,4,tick,""
181479.292743,3,tick,""
181479.292760,1,sched_state,waiting
181479.292765,1,tick,""
181479.292780,4,sched_state,waiting
181479.292783,4,tick,""
181479.292782,6,sched_state,waiting
181479.292784,3,sched_state,waiting
181479.292788,6,tick,""
181479.292788,3,tick,""
181479.292810,4,sched_state,waiting
181479.292813,4,tick,""
181479.292820,6,sched_state,waiting
181479.292824,6,tick,""
181479.292831,3,sched_state,waiting
181479.292836,3,tick,""
181479.292845,0,tick,""
181479.292851,7,sched_state,waiting
181479.292853,0,reduction,""
181479.292855,7,tick,""
181479.292855,4,sched_state,waiting
181479.292857,0,sched_state,running
181479.292859,4,tick,""
181479.292877,2,sched_state,waiting
181479.292879,1,sched_state,waiting
181479.292882,2,tick,""
181479.292883,4,sched_state,waiting
181479.292887,4,tick,""
181479.292889,1,tick,""
181479.292900,7,sched_state,waiting
181479.292904,7,tick,""
181479.292940,4,sched_state,waiting
181479.292941,7,sched_state,waiting
181479.292943,4,tick,""
181479.292945,7,tick,""
181479.292958,0,tick,""
181479.292963,5,sched_state,waiting
181479.292968,0,reduction,""
181479.292968,5,tick,""
181479.292971,0,sched_state,running
181479.292974,7,sched_state,waiting
181479.292978,7,tick,""
181479.292985,6,sched_state,waiting
181479.292986,4,sched_state,waiting
181479.292989,6,tick,""
181479.292990,4,tick,""
181479.292992,1,sched_state,waiting
181479.292999,1,tick,""
181479.293013,3,sched_state,waiting
181479.293018,3,tick,""
181479.293018,5,sched_state,waiting
181479.293024,5,tick,""
181479.293035,4,sched_state,waiting
181479.293038,4,tick,""
181479.293047,6,sched_state,waiting
181479.293051,6,tick,""
181479.293053,1,sched_state,waiting
181479.293054,5,sched_state,waiting
181479.293058,5,tick,""
181479.293058,1,tick,""
181479.293063,7,sched_state,waiting
181479.293067,7,tick,""
181479.293068,0,tick,""
181479.293073,0,reduction,""
181479.293073,4,sched_state,waiting
181479.293077,4,tick,""
181479.293078,2,sched_state,waiting
181479.293079,0,sched_state,running
181479.293082,2,tick,""
181479.293109,3,sched_state,waiting
181479.293114,3,tick,""
181479.293121,1,sched_state,waiting
181479.293126,1,tick,""
181479.293144,6,sched_state,waiting
181479.293148,2,sched_state,waiting
181479.293150,6,tick,""
181479.293152,2,tick,""
181479.293164,1,sched_state,waiting
181479.293169,1,tick,""
181479.293180,0,tick,""
181479.293184,0,reduction,""
181479.293184,5,sched_state,waiting
181479.293188,0,sched_state,running
181479.293189,5,tick,""
181479.293202,7,sched_state,waiting
181479.293207,7,tick,""
181479.293223,1,sched_state,waiting
181479.293228,1,tick,""
181479.293237,4,sched_state,waiting
181479.293241,7,sched_state,waiting
181479.293241,4,tick,""
181479.293245,7,tick,""
181479.293256,6,sched_state,waiting
181479.293261,6,tick,""
181479.293275,7,sched_state,waiting
181479.293277,3,sched_state,waiting
181479.293280,7,tick,""
181479.293280,2,sched_state,waiting
181479.293282,3,tick,""
181479.293286,2,tick,""
181479.293286,0,tick,""
181479.293292,0,reduction,""
181479.293295,0,sched_state,running
181479.293296,1,sched_state,waiting
181479.293301,1,tick,""
181479.293309,5,sched_state,waiting
181479.293313,5,tick,""
181479.293313,4,sched_state,waiting
181479.293317,4,tick,""
181479.293328,3,sched_state,waiting
181479.293333,3,tick,""
181479.293343,2,sched_state,waiting
181479.293348,2,tick,""
181479.293354,5,sched_state,waiting
181479.293359,5,tick,""
181479.293385,0,tick,""
181479.293387,4,sched_state,waiting
181479.293387,3,sched_state,waiting
181479.293390,6,sched_state,waiting
181479.293390,4,tick,""
181479.293391,2,sched_state,waiting
181479.293392,3,tick,""
181479.293394,6,tick,""
181479.293395,2,tick,""
181479.293423,5,sched_state,waiting
181479.293427,5,tick,""
181479.293439,4,sched_state,waiting
181479.293442,4,tick,""
181479.293441,7,sched_state,waiting
181479.293448,7,tick,""
181479.293460,6,sched_state,waiting
181479.293466,6,tick,""
181479.293479,7,sched_state,waiting
181479.293483,7,tick,""
181479.293483,3,sched_state,waiting
181479.293487,3,tick,""
181479.293508,5,sched_state,waiting
181479.293509,6,sched_state,waiting
181479.293514,6,tick,""
181479.293514,5,tick,""
181479.293523,7,sched_state,waiting
181479.293528,7,tick,""
181479.293559,7,sched_state,waiting
181479.293563,7,tick,""
181479.293566,1,sched_state,waiting
181479.293571,1,tick,""
181479.293563,0,reduction,""
181479.293579,0,sched_state,running
181479.293588,7,sched_state,waiting
181479.293593,7,tick,""
181479.293600,3,sched_state,waiting
181479.293605,3,tick,""
181479.293621,7,sched_state,waiting
181479.293626,7,tick,""
181479.293654,7,sched_state,waiting
181479.293658,7,tick,""
181479.293678,0,tick,""
181479.293700,2,sched_state,waiting
181479.293702,4,sched_state,waiting
181479.293704,0,reduction,""
181479.293705,2,tick,""
181479.293706,4,tick,""
181479.293706,6,sched_state,waiting
181479.293707,0,sched_state,running
181479.293710,6,tick,""
181479.293711,5,sched_state,waiting
181479.293713,3,sched_state,waiting
181479.293716,5,tick,""
181479.293718,3,tick,""
181479.293753,1,sched_state,waiting
181479.293757,1,tick,""
181479.293771,6,sched_state,waiting
181479.293773,2,sched_state,waiting
181479.293776,6,tick,""
181479.293776,2,tick,""
181479.293779,4,sched_state,waiting
181479.293783,4,tick,""
181479.293791,3,sched_state,waiting
181479.293797,3,tick,""
181479.293797,5,sched_state,waiting
181479.293801,0,tick,""
181479.293802,5,tick,""
181479.293805,0,reduction,""
181479.293808,0,sched_state,running
181479.293812,1,sched_state,waiting
181479.293817,1,tick,""
181479.293827,4,sched_state,waiting
181479.293830,4,tick,""
181479.293850,5,sched_state,waiting
181479.293856,5,tick,""
181479.293866,4,sched_state,waiting
181479.293868,4,tick,""
181479.293887,5,sched_state,waiting
181479.293891,5,tick,""
181479.293896,7,sched_state,waiting
181479.293898,0,tick,""
181479.293901,7,tick,""
181479.293908,0,reduction,""
181479.293910,1,sched_state,waiting
181479.293911,0,sched_state,running
181479.293914,1,tick,""
181479.293919,2,sched_state,waiting
181479.293924,3,sched_state,waiting
181479.293924,2,tick,""
181479.293928,3,tick,""
181479.293950,1,sched_state,waiting
181479.293955,1,tick,""
181479.293955,7,sched_state,waiting
181479.293957,6,sched_state,waiting
181479.293960,7,tick,""
181479.293962,6,tick,""
181479.293976,4,sched_state,waiting
181479.293979,4,tick,""
181479.293990,3,sched_state,waiting
181479.293996,3,tick,""
181479.294014,0,tick,""
181479.294027,4,sched_state,waiting
181479.294032,3,sched_state,waiting
181479.294034,4,tick,""
181479.294040,3,tick,""
181479.294041,7,sched_state,waiting
181479.294041,6,sched_state,waiting
181479.294045,7,tick,""
181479.294047,6,tick,""
181479.294050,2,sched_state,waiting
181479.294054,2,tick,""
181479.294065,1,sched_state,waiting
181479.294073,1,tick,""
181479.294079,5,sched_state,waiting
181479.294085,5,tick,""
181479.294093,6,sched_state,waiting
181479.294099,6,tick,""
181479.294102,2,sched_state,waiting
181479.294106,2,tick,""
181479.294111,1,sched_state,waiting
181479.294116,1,tick,""
181479.294121,3,sched_state,waiting
