timestamp,lpu,event,value
181915.618878,2,sched_state,startup
181915.618882,1,sched_state,startup
181915.618886,3,sched_state,startup
181915.618878,7,sched_state,startup
181915.618878,5,sched_state,startup
181915.618878,6,sched_state,startup
181915.618909,4,sched_state,startup
181915.620335,2,tick,""
181915.620372,0,sched_state,startup
181915.620660,6,tick,""
181915.620695,3,tick,""
181915.620695,7,tick,""
181915.620695,1,tick,""
181915.620784,5,tick,""
181915.620785,4,tick,""
181915.621569,0,tick,""
181915.621874,6,queue_length,0
181915.621878,1,queue_length,0
181915.621882,3,queue_length,0
181915.621883,6,sched_state,waiting
181915.621882,7,queue_length,0
181915.621884,5,queue_length,0
181915.621892,4,queue_length,0
181915.621893,1,sched_state,waiting
181915.621895,7,sched_state,waiting
181915.621895,3,sched_state,waiting
181915.621906,5,sched_state,waiting
181915.621908,4,sched_state,waiting
181915.621916,6,tick,""
181915.622173,1,tick,""
181915.622174,7,tick,""
181915.622174,3,tick,""
181915.622277,4,tick,""
181915.622284,5,tick,""
181915.622408,2,queue_length,0
181915.622415,2,sched_state,waiting
181915.622545,2,tick,""
181915.623153,1,sched_state,waiting
181915.623161,1,tick,""
181915.623162,3,sched_state,waiting
181915.623169,3,tick,""
181915.623188,4,sched_state,waiting
181915.623197,4,tick,""
181915.623217,3,sched_state,waiting
181915.623225,3,tick,""
181915.623230,4,sched_state,waiting
181915.623232,1,sched_state,waiting
181915.623237,4,tick,""
181915.623238,1,tick,""
181915.623292,3,sched_state,waiting
181915.623299,3,tick,""
181915.623330,1,sched_state,waiting
181915.623337,1,tick,""
181915.623353,3,sched_state,waiting
181915.623358,3,tick,""
181915.623379,1,sched_state,waiting
181915.623384,1,tick,""
181915.623396,3,sched_state,waiting
181915.623401,3,tick,""
181915.623415,1,sched_state,waiting
181915.623420,1,tick,""
181915.623434,3,sched_state,waiting
181915.623438,3,tick,""
181915.623490,3,sched_state,waiting
181915.623495,3,tick,""
181915.623521,3,sched_state,waiting
181915.623526,3,tick,""
181915.623621,3,sched_state,waiting
181915.623626,3,tick,""
181915.623706,0,queue_length,0
181915.623720,7,sched_state,waiting
181915.623724,4,sched_state,waiting
181915.623727,7,tick,""
181915.623727,1,sched_state,waiting
181915.623730,4,tick,""
181915.623730,3,sched_state,waiting
181915.623732,1,tick,""
181915.623734,3,tick,""
181915.623748,6,sched_state,waiting
181915.623757,6,tick,""
181915.623795,7,sched_state,waiting
181915.623800,7,tick,""
181915.623808,1,sched_state,waiting
181915.623813,1,tick,""
181915.623825,3,sched_state,waiting
181915.623830,3,tick,""
181915.623836,7,sched_state,waiting
181915.623840,7,tick,""
181915.623862,3,sched_state,waiting
181915.623867,3,tick,""
181915.623869,1,sched_state,waiting
181915.623874,1,tick,""
181915.623900,3,sched_state,waiting
181915.623909,3,tick,""
181915.623918,1,sched_state,waiting
181915.623922,1,tick,""
181915.623953,1,sched_state,waiting
181915.623957,1,tick,""
181915.623962,3,sched_state,waiting
181915.623967,3,tick,""
181915.623997,3,sched_state,waiting
181915.624001,3,tick,""
181915.624629,1,sched_state,waiting
181915.624629,5,sched_state,waiting
181915.624629,2,sched_state,waiting
181915.624637,1,tick,""
181915.624642,7,sched_state,waiting
181915.624647,7,tick,""
181915.624648,5,tick,""
181915.624649,4,sched_state,waiting
181915.624657,4,tick,""
181915.624675,1,sched_state,waiting
181915.624679,1,tick,""
181915.624719,2,tick,""
181915.624793,4,sched_state,waiting
181915.624800,4,tick,""
181915.624914,1,sched_state,waiting
181915.624919,1,tick,""
181915.625001,7,sched_state,waiting
181915.625005,7,tick,""
181915.625039,1,sched_state,waiting
181915.625046,1,tick,""
181915.625082,3,sched_state,waiting
181915.625085,1,sched_state,waiting
181915.625088,3,tick,""
181915.625091,1,tick,""
181915.625114,7,sched_state,waiting
181915.625119,7,tick,""
181915.625146,7,sched_state,waiting
181915.625150,7,tick,""
181915.625176,7,sched_state,waiting
181915.625180,3,sched_state,waiting
181915.625181,7,tick,""
181915.625184,3,tick,""
181915.625222,3,sched_state,waiting
181915.625224,7,sched_state,waiting
181915.625228,7,tick,""
181915.625227,3,tick,""
181915.625275,3,sched_state,waiting
181915.625280,3,tick,""
181915.625287,7,sched_state,waiting
181915.625292,7,tick,""
181915.625318,3,sched_state,waiting
181915.625322,3,tick,""
181915.625334,7,sched_state,waiting
181915.625338,7,tick,""
181915.625373,7,sched_state,waiting
181915.625378,7,tick,""
181915.625381,3,sched_state,waiting
181915.625385,3,tick,""
181915.625412,3,sched_state,waiting
181915.625417,3,tick,""
181915.625440,7,sched_state,waiting
181915.625444,7,tick,""
181915.625451,3,sched_state,waiting
181915.625455,3,tick,""
181915.625475,7,sched_state,waiting
181915.625480,7,tick,""
181915.625480,3,sched_state,waiting
181915.625484,3,tick,""
181915.625522,3,sched_state,waiting
181915.625523,7,sched_state,waiting
181915.625527,3,tick,""
181915.625527,7,tick,""
