timestamp,lpu,event,value
181514.586134,7,sched_state,startup
181514.586137,4,sched_state,startup
181514.586140,3,sched_state,startup
181514.586141,5,sched_state,startup
181514.586144,6,sched_state,startup
181514.586145,2,sched_state,startup
181514.586338,0,sched_state,startup
181514.586349,1,sched_state,startup
181514.586353,4,tick,""
181514.586368,2,tick,""
181514.586371,6,tick,""
181514.586387,3,tick,""
181514.586382,7,tick,""
181514.586394,5,tick,""
181514.586497,1,tick,""
181514.586565,0,tick,""
181514.586624,4,queue_length,0
181514.586629,4,sched_state,waiting
181514.586629,7,queue_length,0
181514.586640,7,sched_state,waiting
181514.586642,5,queue_length,0
181514.586648,5,sched_state,waiting
181514.586648,4,tick,""
181514.586651,6,queue_length,0
181514.586653,7,tick,""
181514.586659,6,sched_state,waiting
181514.586662,5,tick,""
181514.586680,6,tick,""
181514.586683,3,queue_length,0
181514.586689,3,sched_state,waiting
181514.586702,3,tick,""
181514.586906,2,queue_length,0
181514.586912,2,sched_state,waiting
181514.586924,2,tick,""
181514.587055,0,queue_length,0
181514.587769,0,sched_state,running
181514.588271,0,tick,""
181514.588297,0,reduction,""
181514.588309,0,sched_state,running
181514.588704,0,tick,""
181514.588720,0,reduction,""
181514.588729,0,sched_state,running
181514.589114,0,tick,""
181514.589128,0,reduction,""
181514.589137,0,sched_state,running
181514.589515,0,tick,""
181514.589529,0,reduction,""
181514.589537,0,sched_state,running
181514.590074,0,tick,""
181514.590093,0,reduction,""
181514.590103,0,sched_state,running
181514.590197,1,queue_length,0
181514.590241,1,sched_state,waiting
181514.590291,1,tick,""
181514.590381,0,tick,""
181514.590386,0,reduction,""
181514.590389,0,sched_state,running
181514.590479,0,tick,""
181514.590483,0,reduction,""
181514.590485,0,sched_state,running
181514.590623,0,tick,""
181514.590628,0,reduction,""
181514.590630,0,sched_state,running
181514.590738,4,sched_state,waiting
181514.590741,6,sched_state,waiting
181514.590745,4,tick,""
181514.590748,6,tick,""
181514.590757,3,sched_state,waiting
181514.590764,3,tick,""
181514.590765,7,sched_state,waiting
181514.590770,7,tick,""
181514.590785,5,sched_state,waiting
181514.590791,5,tick,""
181514.590808,6,sched_state,waiting
181514.590808,0,tick,""
181514.590813,6,tick,""
181514.590813,0,reduction,""
181514.590814,2,sched_state,waiting
181514.590817,0,sched_state,running
181514.590822,2,tick,""
181514.590837,4,sched_state,waiting
181514.590841,5,sched_state,waiting
181514.590842,3,sched_state,waiting
181514.590842,4,tick,""
181514.590845,5,tick,""
181514.590849,3,tick,""
181514.590882,5,sched_state,waiting
181514.590886,4,sched_state,waiting
181514.590886,5,tick,""
181514.590890,4,tick,""
181514.590895,3,sched_state,waiting
181514.590895,6,sched_state,waiting
181514.590900,3,tick,""
181514.590901,6,tick,""
181514.590913,1,sched_state,waiting
181514.590918,1,tick,""
181514.590929,7,sched_state,waiting
181514.590933,7,tick,""
181514.590935,0,tick,""
181514.590936,2,sched_state,waiting
181514.590940,2,tick,""
181514.590952,6,sched_state,waiting
181514.590953,4,sched_state,waiting
181514.590952,3,sched_state,waiting
181514.590957,4,tick,""
181514.590958,6,tick,""
181514.590958,3,tick,""
181514.590971,7,sched_state,waiting
181514.590975,7,tick,""
181514.590979,1,sched_state,waiting
181514.590983,1,tick,""
181514.591006,5,sched_state,waiting
181514.591008,4,sched_state,waiting
181514.591009,3,sched_state,waiting
181514.591012,4,tick,""
181514.591012,5,tick,""
181514.591013,3,tick,""
181514.591031,2,sched_state,waiting
181514.591039,2,tick,""
181514.591054,1,sched_state,waiting
181514.591060,1,tick,""
181514.591071,5,sched_state,waiting
181514.591075,5,tick,""
181514.591076,3,sched_state,waiting
181514.591080,3,tick,""
181514.591082,4,sched_state,waiting
181514.591084,6,sched_state,waiting
181514.591086,4,tick,""
181514.591089,6,tick,""
181514.591099,7,sched_state,waiting
181514.591104,7,tick,""
181514.591116,1,sched_state,waiting
181514.591121,1,tick,""
181514.591147,6,sched_state,waiting
181514.591153,6,tick,""
181514.591169,1,sched_state,waiting
181514.591169,4,sched_state,waiting
181514.591174,4,tick,""
181514.591175,1,tick,""
181514.591181,3,sched_state,waiting
181514.591187,3,tick,""
181514.591189,6,sched_state,waiting
181514.591193,6,tick,""
181514.591264,7,sched_state,waiting
181514.591270,7,tick,""
181514.591282,1,sched_state,waiting
181514.591286,1,tick,""
181514.591309,1,sched_state,waiting
181514.591313,1,tick,""
181514.591348,1,sched_state,waiting
181514.591352,1,tick,""
181514.591357,7,sched_state,waiting
181514.591362,7,tick,""
181514.591674,2,sched_state,waiting
181514.591694,2,tick,""
181514.591685,7,sched_state,waiting
181514.591722,7,tick,""
181514.591755,5,sched_state,waiting
181514.591771,1,sched_state,waiting
181514.591783,5,tick,""
181514.591789,1,tick,""
181514.591803,4,sched_state,waiting
181514.591815,4,tick,""
181514.591861,3,sched_state,waiting
181514.591868,3,tick,""
181514.591885,4,sched_state,waiting
181514.591888,4,tick,""
181514.591905,6,sched_state,waiting
181514.591917,6,tick,""
181514.591919,7,sched_state,waiting
181514.591925,7,tick,""
181514.591929,1,sched_state,waiting
181514.591934,1,tick,""
181514.591951,3,sched_state,waiting
181514.591956,3,tick,""
181514.591981,1,sched_state,waiting
181514.591981,2,sched_state,waiting
181514.591983,4,sched_state,waiting
181514.591986,1,tick,""
181514.591987,4,tick,""
181514.591987,2,tick,""
181514.592005,3,sched_state,waiting
181514.592005,5,sched_state,waiting
181514.592009,7,sched_state,waiting
181514.592010,3,tick,""
181514.592012,5,tick,""
181514.592012,7,tick,""
181514.592049,2,sched_state,waiting
181514.592049,4,sched_state,waiting
181514.592053,4,tick,""
181514.592053,2,tick,""
181514.592071,3,sched_state,waiting
181514.592074,7,sched_state,waiting
181514.592076,3,tick,""
181514.592077,7,tick,""
181514.592091,5,sched_state,waiting
181514.592095,5,tick,""
181514.592125,3,sched_state,waiting
181514.592130,3,tick,""
181514.592252,6,sched_state,waiting
181514.592273,6,tick,""
181514.592349,2,sched_state,waiting
181514.592368,2,tick,""
181514.592395,1,sched_state,waiting
181514.592395,4,sched_state,waiting
181514.592395,5,sched_state,waiting
181514.592435,4,tick,""
181514.592437,1,tick,""
181514.592437,5,tick,""
181514.592515,7,sched_state,waiting
181514.592551,7,tick,""
181514.592564,0,reduction,""
181514.592566,3,sched_state,waiting
181514.592572,3,tick,""
181514.592589,4,sched_state,waiting
181514.592594,4,tick,""
181514.592620,0,sched_state,running
181514.592620,5,sched_state,waiting
181514.592626,5,tick,""
181514.592689,7,sched_state,waiting
181514.592695,7,tick,""
181514.592695,3,sched_state,waiting
181514.592697,0,tick,""
181514.592699,3,tick,""
181514.592701,0,reduction,""
181514.592702,6,sched_state,waiting
181514.592703,0,sched_state,running
181514.592707,6,tick,""
181514.592741,3,sched_state,waiting
181514.592745,3,tick,""
181514.592746,2,sched_state,waiting
181514.592752,2,tick,""
181514.592774,0,tick,""
181514.592781,0,reduction,""
181514.592784,0,sched_state,running
181514.592800,6,sched_state,waiting
181514.592805,6,tick,""
181514.592855,2,sched_state,waiting
181514.592861,2,tick,""
181514.592896,0,tick,""
181514.592896,3,sched_state,waiting
181514.592901,3,tick,""
181514.592909,6,sched_state,waiting
181514.592914,6,tick,""
181514.592936,3,sched_state,waiting
181514.592939,2,sched_state,waiting
181514.592941,3,tick,""
181514.592944,2,tick,""
181514.592963,6,sched_state,waiting
181514.592967,6,tick,""
181514.592979,2,sched_state,waiting
181514.592983,2,tick,""
181514.592994,6,sched_state,waiting
181514.593008,6,tick,""
181514.593027,3,sched_state,waiting
181514.593033,3,tick,""
181514.593057,6,sched_state,waiting
181514.593061,6,tick,""
181514.593096,6,sched_state,waiting
181514.593101,6,tick,""
181514.593134,3,sched_state,waiting
181514.593140,3,tick,""
181514.593169,6,sched_state,waiting
181514.593174,6,tick,""
181514.593201,0,reduction,""
181514.593212,0,sched_state,running
181514.593218,3,sched_state,waiting
181514.593224,3,tick,""
181514.593241,6,sched_state,waiting
181514.593246,6,tick,""
181514.593279,0,tick,""
181514.593284,0,reduction,""
181514.593286,0,sched_state,running
181514.593340,0,tick,""
181514.593344,0,reduction,""
181514.593347,0,sched_state,running
181514.593369,3,sched_state,waiting
181514.593375,3,tick,""
181514.593405,0,tick,""
181514.593409,0,reduction,""
181514.593411,0,sched_state,running
