timestamp,lpu,event,value
183032.551561,7,sched_state,startup
183032.551561,5,sched_state,startup
183032.551570,1,sched_state,startup
183032.551572,3,sched_state,startup
183032.551572,2,sched_state,startup
183032.551572,6,sched_state,startup
183032.551606,4,sched_state,startup
183032.553928,4,tick,""
183032.554726,4,queue_length,0
183032.554731,5,tick,""
183032.554734,0,sched_state,startup
183032.554732,7,tick,""
183032.554739,6,tick,""
183032.554754,4,sched_state,waiting
183032.554731,1,tick,""
183032.554774,5,queue_length,0
183032.554780,7,queue_length,0
183032.554731,2,tick,""
183032.554782,6,queue_length,0
183032.554802,5,sched_state,waiting
183032.554805,2,queue_length,0
183032.554809,6,sched_state,waiting
183032.554808,7,sched_state,waiting
183032.554825,2,sched_state,waiting
183032.555727,1,queue_length,0
183032.555736,1,sched_state,waiting
183032.555737,5,tick,""
183032.555868,4,tick,""
183032.555983,7,tick,""
183032.555983,2,tick,""
183032.555983,6,tick,""
183032.556151,1,tick,""
183032.558711,3,tick,""
183032.558750,0,tick,""
183032.561412,3,queue_length,0
183032.561452,3,sched_state,waiting
183032.561641,3,tick,""
183032.562016,0,queue_length,0
183032.562250,4,sched_state,waiting
183032.562257,4,tick,""
183032.562334,4,sched_state,waiting
183032.562334,1,sched_state,waiting
183032.562337,6,sched_state,waiting
183032.562337,2,sched_state,waiting
183032.562339,4,tick,""
183032.562345,6,tick,""
183032.562345,2,tick,""
183032.562452,1,tick,""
183032.562493,6,sched_state,waiting
183032.562496,4,sched_state,waiting
183032.562498,6,tick,""
183032.562504,4,tick,""
183032.563467,0,sched_state,running
183032.563478,5,sched_state,waiting
183032.563485,5,tick,""
183032.563485,2,sched_state,waiting
183032.563491,2,tick,""
183032.563505,4,sched_state,waiting
183032.563510,4,tick,""
183032.563526,7,sched_state,waiting
183032.563535,7,tick,""
183032.563542,3,sched_state,waiting
183032.563543,5,sched_state,waiting
183032.563547,3,tick,""
183032.563547,2,sched_state,waiting
183032.563550,5,tick,""
183032.563555,2,tick,""
183032.563557,1,sched_state,waiting
183032.563562,1,tick,""
183032.563583,3,sched_state,waiting
183032.563589,3,tick,""
183032.563599,5,sched_state,waiting
183032.563604,5,tick,""
183032.563710,4,sched_state,waiting
183032.563714,4,tick,""
183032.563731,2,sched_state,waiting
183032.563737,2,tick,""
183032.563759,5,sched_state,waiting
183032.563764,5,tick,""
183032.563774,7,sched_state,waiting
183032.563781,7,tick,""
183032.563790,1,sched_state,waiting
183032.563796,1,tick,""
183032.563805,5,sched_state,waiting
183032.563809,5,tick,""
183032.563815,3,sched_state,waiting
183032.563819,3,tick,""
183032.563830,7,sched_state,waiting
183032.563834,7,tick,""
183032.563842,1,sched_state,waiting
183032.563846,5,sched_state,waiting
183032.563846,1,tick,""
183032.563849,5,tick,""
183032.563860,4,sched_state,waiting
183032.563865,4,tick,""
183032.563877,3,sched_state,waiting
183032.563881,3,tick,""
183032.563881,5,sched_state,waiting
183032.563886,5,tick,""
183032.563906,4,sched_state,waiting
183032.563906,3,sched_state,waiting
183032.563910,4,tick,""
183032.563910,3,tick,""
