timestamp,lpu,event,value
167650.653960,6,sched_state,startup
167650.653965,1,sched_state,startup
167650.653970,4,sched_state,startup
167650.653965,5,sched_state,startup
167650.654102,7,sched_state,startup
167650.654106,3,sched_state,startup
167650.654695,2,sched_state,startup
167650.654704,4,tick,""
167650.654761,7,tick,""
167650.654761,3,tick,""
167650.654762,5,tick,""
167650.654762,1,tick,""
167650.654772,6,tick,""
167650.654865,2,tick,""
167650.654921,0,sched_state,startup
167650.655092,4,queue_length,0
167650.655097,4,sched_state,waiting
167650.655111,4,tick,""
167650.655110,0,tick,""
167650.655383,0,queue_length,0
167650.655834,0,sched_state,running
167650.656019,0,tick,""
167650.656030,0,reduction,""
167650.656034,0,sched_state,running
167650.656141,0,tick,""
167650.656146,0,reduction,""
167650.656149,0,sched_state,running
167650.656282,0,tick,""
167650.656287,0,reduction,""
167650.656292,0,sched_state,running
167650.656300,7,queue_length,0
167650.656300,3,queue_length,0
167650.656310,2,queue_length,0
167650.656312,7,sched_state,waiting
167650.656312,3,sched_state,waiting
167650.656315,2,sched_state,waiting
167650.656324,3,tick,""
167650.656324,7,tick,""
167650.656328,2,tick,""
167650.656332,5,queue_length,0
167650.656335,1,queue_length,0
167650.656346,1,sched_state,waiting
167650.656346,5,sched_state,waiting
167650.656362,5,tick,""
167650.656362,1,tick,""
167650.656445,0,tick,""
167650.656452,0,reduction,""
167650.656455,6,queue_length,0
167650.656456,0,sched_state,running
167650.656470,6,sched_state,waiting
167650.656478,6,tick,""
167650.656761,0,tick,""
167650.656938,0,reduction,""
167650.656951,0,sched_state,running
167650.657159,4,sched_state,waiting
167650.657164,4,tick,""
167650.657174,2,sched_state,waiting
167650.657179,2,tick,""
167650.657185,7,sched_state,waiting
167650.657191,7,tick,""
167650.657191,1,sched_state,waiting
167650.657197,1,tick,""
167650.657197,0,tick,""
167650.657202,0,reduction,""
167650.657204,0,sched_state,running
167650.657241,4,sched_state,waiting
167650.657244,2,sched_state,waiting
167650.657246,4,tick,""
167650.657250,2,tick,""
167650.657279,4,sched_state,waiting
167650.657282,4,tick,""
167650.657284,1,sched_state,waiting
167650.657285,5,sched_state,waiting
167650.657289,5,tick,""
167650.657289,1,tick,""
167650.657293,7,sched_state,waiting
167650.657298,7,tick,""
167650.657299,6,sched_state,waiting
167650.657300,0,tick,""
167650.657305,6,tick,""
167650.657306,0,reduction,""
167650.657309,0,sched_state,running
167650.657310,2,sched_state,waiting
167650.657314,2,tick,""
167650.657316,3,sched_state,waiting
167650.657320,3,tick,""
167650.657332,1,sched_state,waiting
167650.657337,1,tick,""
167650.657352,4,sched_state,waiting
167650.657356,4,tick,""
167650.657373,7,sched_state,waiting
167650.657376,3,sched_state,waiting
167650.657378,7,tick,""
167650.657381,3,tick,""
167650.657417,7,sched_state,waiting
167650.657422,7,tick,""
167650.657428,3,sched_state,waiting
167650.657434,3,tick,""
167650.657467,4,sched_state,waiting
167650.657469,0,tick,""
167650.657471,4,tick,""
167650.657474,0,reduction,""
167650.657477,0,sched_state,running
