timestamp,lpu,event,value
168010.584918,6,sched_state,startup
168010.584921,1,sched_state,startup
168010.584924,7,sched_state,startup
168010.584924,3,sched_state,startup
168010.584927,5,sched_state,startup
168010.584931,2,sched_state,startup
168010.584951,4,sched_state,startup
168010.586741,4,tick,""
168010.586979,1,tick,""
168010.587027,0,sched_state,startup
168010.587055,2,tick,""
168010.588093,5,tick,""
168010.588138,6,tick,""
168010.588164,0,tick,""
168010.588168,7,tick,""
168010.588168,3,tick,""
168010.588181,5,queue_length,0
168010.588181,6,queue_length,0
168010.588212,7,queue_length,0
168010.588212,5,sched_state,waiting
168010.588211,6,sched_state,waiting
168010.588229,3,queue_length,0
168010.588241,7,sched_state,waiting
168010.588248,3,sched_state,waiting
168010.588333,4,queue_length,0
168010.588339,4,sched_state,waiting
168010.588429,5,tick,""
168010.588432,4,tick,""
168010.588469,6,tick,""
168010.588472,7,tick,""
168010.588472,3,tick,""
168010.588982,1,queue_length,0
168010.588986,1,sched_state,waiting
168010.589001,1,tick,""
168010.589284,0,queue_length,0
168010.592114,2,queue_length,0
168010.592121,2,sched_state,waiting
168010.592138,2,tick,""
168010.594825,0,sched_state,running
168010.595383,7,sched_state,waiting
168010.595396,7,tick,""
168010.595396,5,sched_state,waiting
168010.595409,5,tick,""
168010.595413,1,sched_state,waiting
168010.595415,4,sched_state,waiting
168010.595490,1,tick,""
168010.595495,7,sched_state,waiting
168010.595504,7,tick,""
168010.595423,4,tick,""
168010.595552,6,sched_state,waiting
168010.595559,6,tick,""
168010.595577,1,sched_state,waiting
168010.595577,5,sched_state,waiting
168010.595583,1,tick,""
168010.595584,5,tick,""
168010.595599,7,sched_state,waiting
168010.595605,7,tick,""
168010.595621,5,sched_state,waiting
168010.595625,5,tick,""
168010.595636,1,sched_state,waiting
168010.595641,1,tick,""
168010.595717,1,sched_state,waiting
168010.595722,1,tick,""
168010.595724,5,sched_state,waiting
168010.595728,5,tick,""
168010.595763,5,sched_state,waiting
168010.595767,5,tick,""
168010.595798,5,sched_state,waiting
168010.595802,5,tick,""
168010.595829,5,sched_state,waiting
168010.595833,5,tick,""
168010.595864,5,sched_state,waiting
168010.595868,5,tick,""
168010.595905,5,sched_state,waiting
168010.595909,5,tick,""
168010.595934,5,sched_state,waiting
168010.595938,5,tick,""
168010.595972,5,sched_state,waiting
168010.595975,5,tick,""
168010.596029,5,sched_state,waiting
168010.596033,5,tick,""
168010.596254,0,tick,""
168010.596262,0,reduction,""
168010.596267,0,sched_state,running
168010.597043,3,sched_state,waiting
168010.597051,3,tick,""
168010.597058,0,tick,""
168010.597062,0,reduction,""
168010.597063,0,sched_state,running
168010.597778,0,tick,""
168010.597781,0,reduction,""
168010.597784,0,sched_state,running
168010.598096,3,sched_state,waiting
168010.598100,0,tick,""
168010.598104,3,tick,""
168010.598136,2,sched_state,waiting
168010.598138,6,sched_state,waiting
168010.598140,4,sched_state,waiting
168010.598145,6,tick,""
168010.598146,4,tick,""
168010.598145,2,tick,""
168010.598146,7,sched_state,waiting
168010.598153,7,tick,""
168010.598158,5,sched_state,waiting
168010.598164,5,tick,""
168010.598197,6,sched_state,waiting
168010.598199,7,sched_state,waiting
168010.598202,6,tick,""
168010.598204,7,tick,""
168010.598208,1,sched_state,waiting
168010.598210,4,sched_state,waiting
168010.598214,4,tick,""
168010.598214,1,tick,""
168010.598216,3,sched_state,waiting
168010.598221,3,tick,""
168010.598254,5,sched_state,waiting
168010.598258,6,sched_state,waiting
168010.598260,5,tick,""
168010.598264,6,tick,""
168010.598285,7,sched_state,waiting
168010.598296,7,tick,""
168010.598312,5,sched_state,waiting
168010.598317,5,tick,""
168010.598319,2,sched_state,waiting
168010.598325,2,tick,""
168010.598346,6,sched_state,waiting
168010.598350,6,tick,""
168010.598360,5,sched_state,waiting
168010.598365,5,tick,""
168010.598390,7,sched_state,waiting
168010.598395,7,tick,""
168010.598394,3,sched_state,waiting
168010.598396,1,sched_state,waiting
168010.598401,3,tick,""
168010.598403,1,tick,""
168010.598415,6,sched_state,waiting
168010.598420,6,tick,""
168010.598435,3,sched_state,waiting
168010.598442,7,sched_state,waiting
168010.598442,3,tick,""
168010.598446,7,tick,""
168010.598476,2,sched_state,waiting
168010.598481,2,tick,""
168010.598482,3,sched_state,waiting
168010.598488,3,tick,""
168010.598498,6,sched_state,waiting
168010.598504,6,tick,""
168010.598505,7,sched_state,waiting
168010.598509,7,tick,""
168010.598527,2,sched_state,waiting
168010.598527,3,sched_state,waiting
168010.598531,2,tick,""
168010.598532,3,tick,""
168010.598557,2,sched_state,waiting
168010.598561,2,tick,""
168010.598692,4,sched_state,waiting
168010.598714,4,tick,""
168010.598812,5,sched_state,waiting
168010.598812,1,sched_state,waiting
168010.598813,6,sched_state,waiting
168010.598853,5,tick,""
168010.598853,1,tick,""
168010.598857,6,tick,""
168010.598937,3,sched_state,waiting
168010.598937,7,sched_state,waiting
168010.598966,7,tick,""
168010.598966,3,tick,""
168010.598971,2,sched_state,waiting
168010.598976,2,tick,""
168010.598996,1,sched_state,waiting
168010.599002,1,tick,""
168010.599009,7,sched_state,waiting
168010.599012,5,sched_state,waiting
168010.599012,4,sched_state,waiting
168010.599014,7,tick,""
168010.599017,5,tick,""
168010.599017,4,tick,""
168010.599050,6,sched_state,waiting
168010.599054,3,sched_state,waiting
168010.599055,6,tick,""
168010.599057,2,sched_state,waiting
168010.599059,3,tick,""
168010.599061,2,tick,""
168010.599103,4,sched_state,waiting
168010.599107,4,tick,""
168010.599104,3,sched_state,waiting
168010.599112,3,tick,""
168010.599122,6,sched_state,waiting
168010.599123,2,sched_state,waiting
168010.599125,7,sched_state,waiting
168010.599127,2,tick,""
168010.599127,6,tick,""
168010.599129,7,tick,""
168010.599132,5,sched_state,waiting
168010.599137,5,tick,""
168010.599171,7,sched_state,waiting
168010.599176,4,sched_state,waiting
168010.599176,7,tick,""
168010.599179,4,tick,""
168010.599191,5,sched_state,waiting
168010.599194,3,sched_state,waiting
168010.599194,6,sched_state,waiting
168010.599196,5,tick,""
168010.599199,3,tick,""
168010.599200,6,tick,""
168010.599215,7,sched_state,waiting
168010.599220,7,tick,""
168010.599244,4,sched_state,waiting
168010.599247,4,tick,""
168010.599264,6,sched_state,waiting
168010.599269,5,sched_state,waiting
168010.599270,6,tick,""
168010.599274,5,tick,""
168010.599275,3,sched_state,waiting
168010.599277,4,sched_state,waiting
168010.599280,4,tick,""
168010.599281,3,tick,""
168010.599296,7,sched_state,waiting
168010.599301,7,tick,""
168010.599428,1,sched_state,waiting
168010.599435,1,tick,""
168010.599457,3,sched_state,waiting
168010.599461,6,sched_state,waiting
168010.599461,2,sched_state,waiting
168010.599472,3,tick,""
168010.599473,2,tick,""
168010.599473,6,tick,""
168010.599495,5,sched_state,waiting
168010.599500,0,reduction,""
168010.599502,5,tick,""
168010.599516,1,sched_state,waiting
168010.599522,1,tick,""
168010.599525,4,sched_state,waiting
168010.599531,2,sched_state,waiting
168010.599532,4,tick,""
168010.599537,2,tick,""
168010.599546,5,sched_state,waiting
168010.599550,5,tick,""
168010.599553,6,sched_state,waiting
168010.599558,6,tick,""
168010.599574,4,sched_state,waiting
168010.599579,4,tick,""
168010.599599,5,sched_state,waiting
168010.599604,5,tick,""
168010.599616,7,sched_state,waiting
168010.599623,7,tick,""
168010.599628,1,sched_state,waiting
168010.599633,1,tick,""
168010.599634,4,sched_state,waiting
168010.599638,4,tick,""
