timestamp,lpu,event,value
167698.539496,4,sched_state,startup
167698.539497,1,sched_state,startup
167698.539500,5,sched_state,startup
167698.539523,2,sched_state,startup
167698.539546,6,sched_state,startup
167698.539552,3,sched_state,startup
167698.539552,7,sched_state,startup
167698.539780,0,sched_state,startup
167698.539915,6,tick,""
167698.539915,2,tick,""
167698.539776,4,tick,""
167698.539924,0,tick,""
167698.539940,3,tick,""
167698.539940,7,tick,""
167698.539969,1,tick,""
167698.539969,5,tick,""
167698.540220,2,queue_length,0
167698.540235,2,sched_state,waiting
167698.540245,6,queue_length,0
167698.540254,6,sched_state,waiting
167698.540260,2,tick,""
167698.540279,6,tick,""
167698.540321,4,queue_length,0
167698.540334,4,sched_state,waiting
167698.540360,4,tick,""
167698.540851,0,queue_length,0
167698.541338,0,sched_state,running
167698.541662,0,tick,""
167698.541676,0,reduction,""
167698.541682,0,sched_state,running
167698.541993,0,tick,""
167698.542012,0,reduction,""
167698.542018,0,sched_state,running
167698.542219,0,tick,""
167698.542232,0,reduction,""
167698.542237,0,sched_state,running
167698.542434,0,tick,""
167698.542446,0,reduction,""
167698.542453,0,sched_state,running
167698.542650,0,tick,""
167698.542662,0,reduction,""
167698.542667,0,sched_state,running
167698.542864,0,tick,""
167698.542876,0,reduction,""
167698.542881,0,sched_state,running
167698.543075,0,tick,""
167698.543087,0,reduction,""
167698.543094,0,sched_state,running
167698.543291,0,tick,""
167698.543303,0,reduction,""
167698.543308,0,sched_state,running
167698.543583,0,tick,""
167698.543607,0,reduction,""
167698.543618,0,sched_state,running
167698.543701,3,queue_length,0
167698.543701,5,queue_length,0
167698.543701,7,queue_length,0
167698.543705,1,queue_length,0
167698.543718,7,sched_state,waiting
167698.543719,1,sched_state,waiting
167698.543717,3,sched_state,waiting
167698.543719,5,sched_state,waiting
167698.543751,5,tick,""
167698.543751,1,tick,""
167698.543751,7,tick,""
167698.543751,3,tick,""
167698.543832,0,tick,""
167698.544387,5,sched_state,waiting
167698.544391,7,sched_state,waiting
167698.544402,5,tick,""
167698.544402,2,sched_state,waiting
167698.544408,7,tick,""
167698.544413,2,tick,""
167698.544451,4,sched_state,waiting
167698.544456,6,sched_state,waiting
167698.544462,4,tick,""
167698.544465,6,tick,""
167698.544508,3,sched_state,waiting
167698.544517,3,tick,""
167698.544545,4,sched_state,waiting
167698.544552,4,tick,""
167698.544586,3,sched_state,waiting
167698.544595,3,tick,""
167698.544613,1,sched_state,waiting
167698.544629,1,tick,""
167698.544636,5,sched_state,waiting
167698.544645,5,tick,""
167698.544674,3,sched_state,waiting
167698.544688,3,tick,""
167698.544755,3,sched_state,waiting
167698.544764,3,tick,""
167698.544804,5,sched_state,waiting
167698.544810,1,sched_state,waiting
167698.544814,5,tick,""
167698.544818,1,tick,""
167698.544891,1,sched_state,waiting
167698.544900,1,tick,""
167698.544900,5,sched_state,waiting
167698.544908,5,tick,""
167698.544943,3,sched_state,waiting
167698.544955,3,tick,""
167698.544966,1,sched_state,waiting
167698.544976,1,tick,""
167698.544981,5,sched_state,waiting
167698.544990,5,tick,""
167698.545011,3,sched_state,waiting
167698.545020,3,tick,""
167698.545292,2,sched_state,waiting
167698.545329,2,tick,""
167698.545349,5,sched_state,waiting
167698.545390,5,tick,""
167698.545392,3,sched_state,waiting
167698.545412,7,sched_state,waiting
167698.545412,3,tick,""
167698.545419,6,sched_state,waiting
167698.545425,7,tick,""
167698.545429,6,tick,""
167698.545449,1,sched_state,waiting
167698.545461,1,tick,""
167698.545482,4,sched_state,waiting
167698.545484,2,sched_state,waiting
167698.545491,4,tick,""
167698.545493,2,tick,""
167698.545532,7,sched_state,waiting
167698.545542,7,tick,""
167698.545558,6,sched_state,waiting
167698.545569,6,tick,""
167698.545583,2,sched_state,waiting
167698.545591,2,tick,""
167698.545604,5,sched_state,waiting
167698.545616,5,tick,""
167698.545653,4,sched_state,waiting
167698.545660,4,tick,""
167698.545660,1,sched_state,waiting
167698.545669,3,sched_state,waiting
167698.545670,1,tick,""
167698.545678,3,tick,""
167698.545736,4,sched_state,waiting
167698.545742,4,tick,""
167698.545757,3,sched_state,waiting
167698.545766,3,tick,""
167698.545767,5,sched_state,waiting
167698.545780,5,tick,""
167698.545792,2,sched_state,waiting
167698.545802,2,tick,""
167698.545802,4,sched_state,waiting
167698.545808,4,tick,""
167698.545848,3,sched_state,waiting
167698.545857,3,tick,""
167698.545860,6,sched_state,waiting
167698.545871,6,tick,""
167698.545875,1,sched_state,waiting
167698.545884,1,tick,""
167698.545902,4,sched_state,waiting
167698.545909,4,tick,""
167698.545910,5,sched_state,waiting
167698.545919,5,tick,""
167698.545960,6,sched_state,waiting
167698.545969,6,tick,""
167698.545971,2,sched_state,waiting
167698.545981,2,tick,""
167698.546008,3,sched_state,waiting
167698.546010,5,sched_state,waiting
167698.546017,3,tick,""
167698.546021,5,tick,""
167698.546022,4,sched_state,waiting
167698.546038,4,tick,""
167698.546041,1,sched_state,waiting
167698.546049,1,tick,""
167698.546128,1,sched_state,waiting
167698.546133,2,sched_state,waiting
167698.546138,1,tick,""
167698.546144,2,tick,""
167698.546338,4,sched_state,waiting
167698.546352,4,tick,""
167698.546350,7,sched_state,waiting
167698.546375,7,tick,""
167698.546371,5,sched_state,waiting
167698.546405,5,tick,""
167698.546460,6,sched_state,waiting
167698.546471,6,tick,""
167698.546476,4,sched_state,waiting
167698.546485,3,sched_state,waiting
167698.546488,4,tick,""
167698.546497,3,tick,""
167698.546504,0,reduction,""
167698.546504,1,sched_state,waiting
167698.546520,1,tick,""
167698.546531,2,sched_state,waiting
167698.546544,2,tick,""
167698.546592,6,sched_state,waiting
167698.546601,6,tick,""
167698.546616,7,sched_state,waiting
167698.546628,7,tick,""
167698.546630,5,sched_state,waiting
167698.546642,5,tick,""
167698.546644,4,sched_state,waiting
167698.546646,3,sched_state,waiting
167698.546652,4,tick,""
167698.546655,3,tick,""
167698.546686,7,sched_state,waiting
167698.546708,7,tick,""
167698.546718,4,sched_state,waiting
167698.546726,4,tick,""
167698.546736,2,sched_state,waiting
167698.546747,2,tick,""
167698.546769,5,sched_state,waiting
167698.546781,5,tick,""
167698.546790,4,sched_state,waiting
167698.546790,6,sched_state,waiting
167698.546792,3,sched_state,waiting
167698.546795,4,tick,""
167698.546799,6,tick,""
167698.546802,3,tick,""
167698.546822,2,sched_state,waiting
167698.546831,2,tick,""
167698.546889,5,sched_state,waiting
167698.546899,5,tick,""
167698.546899,4,sched_state,waiting
167698.546908,4,tick,""
167698.546921,7,sched_state,waiting
167698.546930,7,tick,""
167698.546949,6,sched_state,waiting
167698.546950,3,sched_state,waiting
167698.546959,3,tick,""
167698.546959,6,tick,""
167698.546975,2,sched_state,waiting
167698.546983,2,tick,""
167698.547003,4,sched_state,waiting
167698.547014,4,tick,""
167698.547014,7,sched_state,waiting
167698.547024,7,tick,""
167698.547116,7,sched_state,waiting
167698.547120,5,sched_state,waiting
167698.547124,7,tick,""
167698.547124,3,sched_state,waiting
167698.547132,3,tick,""
167698.547131,5,tick,""
167698.547184,6,sched_state,waiting
167698.547193,6,tick,""
167698.547214,4,sched_state,waiting
167698.547225,4,tick,""
167698.547253,5,sched_state,waiting
167698.547263,5,tick,""
167698.547264,3,sched_state,waiting
167698.547273,3,tick,""
167698.547299,6,sched_state,waiting
167698.547309,6,tick,""
167698.547353,3,sched_state,waiting
167698.547361,3,tick,""
167698.547387,5,sched_state,waiting
167698.547390,6,sched_state,waiting
167698.547397,5,tick,""
167698.547398,6,tick,""
167698.547445,5,sched_state,waiting
167698.547453,5,tick,""
167698.547474,6,sched_state,waiting
167698.547483,6,tick,""
167698.547541,6,sched_state,waiting
167698.547545,5,sched_state,waiting
167698.547549,6,tick,""
167698.547553,5,tick,""
167698.548446,0,sched_state,running
167698.548520,7,sched_state,waiting
167698.548528,4,sched_state,waiting
167698.548531,7,tick,""
167698.548534,3,sched_state,waiting
167698.548540,4,tick,""
167698.548540,2,sched_state,waiting
167698.548543,3,tick,""
167698.548549,2,tick,""
167698.548588,5,sched_state,waiting
167698.548598,5,tick,""
167698.548637,6,sched_state,waiting
167698.548637,4,sched_state,waiting
167698.548639,7,sched_state,waiting
167698.548639,0,tick,""
167698.548641,4,tick,""
167698.548643,6,tick,""
167698.548644,7,tick,""
167698.548644,0,reduction,""
167698.548648,0,sched_state,running
167698.548654,1,sched_state,waiting
167698.548659,1,tick,""
167698.548672,3,sched_state,waiting
167698.548678,3,tick,""
167698.548691,2,sched_state,waiting
167698.548697,2,tick,""
167698.548699,6,sched_state,waiting
167698.548703,6,tick,""
167698.548712,1,sched_state,waiting
167698.548720,1,tick,""
167698.548729,3,sched_state,waiting
167698.548734,3,tick,""
167698.548755,6,sched_state,waiting
167698.548760,6,tick,""
167698.548765,0,tick,""
167698.548768,7,sched_state,waiting
167698.548772,5,sched_state,waiting
167698.548775,0,reduction,""
167698.548776,7,tick,""
167698.548777,5,tick,""
167698.548777,1,sched_state,waiting
167698.548778,0,sched_state,running
167698.548781,1,tick,""
167698.548798,2,sched_state,waiting
167698.548807,2,tick,""
167698.548814,5,sched_state,waiting
167698.548819,5,tick,""
167698.548831,3,sched_state,waiting
167698.548833,7,sched_state,waiting
167698.548837,7,tick,""
167698.548837,3,tick,""
167698.548852,2,sched_state,waiting
167698.548852,1,sched_state,waiting
167698.548853,5,sched_state,waiting
167698.548857,2,tick,""
167698.548857,5,tick,""
167698.548857,1,tick,""
167698.548861,6,sched_state,waiting
167698.548862,4,sched_state,waiting
167698.548864,0,tick,""
167698.548865,4,tick,""
167698.548865,6,tick,""
167698.548882,7,sched_state,waiting
167698.548887,7,tick,""
167698.548924,1,sched_state,waiting
167698.548929,1,tick,""
167698.548930,2,sched_state,waiting
167698.548934,2,tick,""
167698.548938,7,sched_state,waiting
167698.548943,3,sched_state,waiting
167698.548945,7,tick,""
167698.548946,4,sched_state,waiting
167698.548948,3,tick,""
167698.548950,4,tick,""
167698.548959,6,sched_state,waiting
167698.548963,6,tick,""
167698.548984,3,sched_state,waiting
167698.548988,3,tick,""
167698.548989,4,sched_state,waiting
167698.548992,4,tick,""
167698.549000,2,sched_state,waiting
167698.549005,2,tick,""
167698.549018,6,sched_state,waiting
167698.549025,6,tick,""
167698.549032,3,sched_state,waiting
167698.549038,3,tick,""
167698.549049,4,sched_state,waiting
167698.549052,4,tick,""
167698.549056,2,sched_state,waiting
167698.549062,2,tick,""
167698.549077,6,sched_state,waiting
167698.549083,6,tick,""
167698.549091,0,reduction,""
167698.549097,5,sched_state,waiting
167698.549097,0,sched_state,running
167698.549102,5,tick,""
167698.549120,1,sched_state,waiting
167698.549125,1,tick,""
167698.549130,2,sched_state,waiting
167698.549135,2,tick,""
167698.549140,6,sched_state,waiting
167698.549144,7,sched_state,waiting
167698.549145,6,tick,""
167698.549150,7,tick,""
167698.549191,3,sched_state,waiting
167698.549192,5,sched_state,waiting
167698.549193,0,tick,""
167698.549196,3,tick,""
167698.549198,5,tick,""
167698.549199,0,reduction,""
167698.549203,0,sched_state,running
167698.549204,7,sched_state,waiting
167698.549209,7,tick,""
167698.549211,4,sched_state,waiting
167698.549212,1,sched_state,waiting
167698.549214,4,tick,""
167698.549216,1,tick,""
167698.549232,3,sched_state,waiting
167698.549237,3,tick,""
167698.549240,6,sched_state,waiting
167698.549245,4,sched_state,waiting
167698.549248,4,tick,""
167698.549249,6,tick,""
167698.549291,3,sched_state,waiting
167698.549296,3,tick,""
