timestamp,lpu,event,value
170575.607521,3,sched_state,startup
170575.607521,7,sched_state,startup
170575.607553,6,sched_state,startup
170575.607555,4,sched_state,startup
170575.607553,2,sched_state,startup
170575.607553,1,sched_state,startup
170575.607567,5,sched_state,startup
170575.609616,4,tick,""
170575.609651,0,sched_state,startup
170575.609951,7,tick,""
170575.610009,6,tick,""
170575.610012,2,tick,""
170575.610026,3,tick,""
170575.610054,1,tick,""
170575.610064,5,tick,""
170575.611258,0,tick,""
170575.611626,7,queue_length,0
170575.611634,7,sched_state,waiting
170575.611739,7,tick,""
170575.613197,4,queue_length,0
170575.613200,6,queue_length,0
170575.613205,4,sched_state,waiting
170575.613210,6,sched_state,waiting
170575.613213,2,queue_length,0
170575.613215,5,queue_length,0
170575.613215,1,queue_length,0
170575.613218,2,sched_state,waiting
170575.613223,1,sched_state,waiting
170575.613223,5,sched_state,waiting
170575.613241,4,tick,""
170575.613268,5,tick,""
170575.613268,1,tick,""
170575.613291,6,tick,""
170575.613291,2,tick,""
170575.614289,3,queue_length,0
170575.614324,3,sched_state,waiting
170575.614270,0,queue_length,0
170575.614518,3,tick,""
170575.614570,6,sched_state,waiting
170575.614581,6,tick,""
170575.614588,4,sched_state,waiting
170575.614597,4,tick,""
170575.614601,5,sched_state,waiting
170575.614609,5,tick,""
170575.614640,4,sched_state,waiting
170575.614646,4,tick,""
170575.614653,5,sched_state,waiting
170575.614659,6,sched_state,waiting
170575.614660,5,tick,""
170575.614664,6,tick,""
170575.614692,5,sched_state,waiting
170575.614697,5,tick,""
170575.614701,6,sched_state,waiting
170575.614706,6,tick,""
170575.614737,5,sched_state,waiting
170575.614739,6,sched_state,waiting
170575.614741,5,tick,""
170575.614743,6,tick,""
170575.614784,5,sched_state,waiting
170575.614785,6,sched_state,waiting
170575.614789,5,tick,""
170575.614789,6,tick,""
170575.614831,6,sched_state,waiting
170575.614831,5,sched_state,waiting
170575.614835,6,tick,""
170575.614841,5,tick,""
170575.614887,5,sched_state,waiting
170575.614891,5,tick,""
170575.615848,0,sched_state,running
170575.615854,3,sched_state,waiting
170575.615861,3,tick,""
170575.615872,1,sched_state,waiting
170575.615872,5,sched_state,waiting
170575.615879,5,tick,""
170575.615879,1,tick,""
170575.615897,6,sched_state,waiting
170575.615900,7,sched_state,waiting
170575.615903,6,tick,""
170575.616016,7,tick,""
170575.616057,1,sched_state,waiting
170575.616064,1,tick,""
170575.616079,5,sched_state,waiting
170575.616084,5,tick,""
170575.616089,7,sched_state,waiting
170575.616095,7,tick,""
170575.616129,6,sched_state,waiting
