timestamp,lpu,event,value
181075.713931,1,sched_state,startup
181075.713936,6,sched_state,startup
181075.713939,3,sched_state,startup
181075.713946,5,sched_state,startup
181075.714059,4,sched_state,startup
181075.714144,0,sched_state,startup
181075.714149,7,sched_state,startup
181075.714196,4,tick,""
181075.714212,3,tick,""
181075.714212,5,tick,""
181075.714212,1,tick,""
181075.714215,6,tick,""
181075.714422,2,sched_state,startup
181075.714452,0,tick,""
181075.714480,7,tick,""
181075.714956,2,tick,""
181075.715939,1,queue_length,0
181075.715962,5,queue_length,0
181075.715970,4,queue_length,0
181075.715971,6,queue_length,0
181075.715979,5,sched_state,waiting
181075.715981,1,sched_state,waiting
181075.716005,4,sched_state,waiting
181075.716006,6,sched_state,waiting
181075.716019,1,tick,""
181075.716025,5,tick,""
181075.716049,6,tick,""
181075.716049,4,tick,""
181075.716123,3,queue_length,0
181075.716132,3,sched_state,waiting
181075.716145,3,tick,""
181075.720453,7,queue_length,0
181075.720466,7,sched_state,waiting
181075.720474,2,queue_length,0
181075.720480,2,sched_state,waiting
181075.720483,7,tick,""
181075.720500,2,tick,""
181075.720875,5,sched_state,waiting
181075.720875,1,sched_state,waiting
181075.720875,3,sched_state,waiting
181075.720878,4,sched_state,waiting
181075.720881,1,tick,""
181075.720881,5,tick,""
181075.720883,4,tick,""
181075.720887,3,tick,""
181075.720920,6,sched_state,waiting
181075.720930,6,tick,""
181075.721125,0,sched_state,running
181075.721154,7,sched_state,waiting
181075.721162,7,tick,""
181075.721231,0,tick,""
181075.721249,0,reduction,""
181075.721251,0,sched_state,running
181075.721364,2,sched_state,waiting
181075.721364,0,tick,""
181075.721370,0,reduction,""
181075.721372,2,tick,""
181075.721372,0,sched_state,running
181075.721376,2,sched_state,waiting
181075.721380,2,tick,""
181075.721481,0,tick,""
181075.721485,0,reduction,""
181075.721487,0,sched_state,running
181075.721590,0,tick,""
181075.721594,0,reduction,""
181075.721596,0,sched_state,running
181075.721695,0,tick,""
181075.721700,0,reduction,""
181075.721702,0,sched_state,running
