timestamp,lpu,event,value
181117.059173,7,sched_state,startup
181117.059174,1,sched_state,startup
181117.059175,3,sched_state,startup
181117.059173,5,sched_state,startup
181117.059178,2,sched_state,startup
181117.059190,6,sched_state,startup
181117.059201,4,sched_state,startup
181117.060820,4,tick,""
181117.060994,7,tick,""
181117.061045,0,sched_state,startup
181117.061212,1,tick,""
181117.061218,5,tick,""
181117.061254,6,tick,""
181117.061254,2,tick,""
181117.061257,3,tick,""
181117.062157,0,tick,""
181117.062206,7,queue_length,0
181117.062333,4,queue_length,0
181117.062354,4,sched_state,waiting
181117.062745,7,sched_state,waiting
181117.062786,4,tick,""
181117.062901,7,tick,""
181117.065754,3,queue_length,0
181117.065781,3,sched_state,waiting
181117.065801,5,queue_length,0
181117.065798,1,queue_length,0
181117.065823,6,queue_length,0
181117.065828,5,sched_state,waiting
181117.065823,2,queue_length,0
181117.065828,1,sched_state,waiting
181117.065838,3,tick,""
181117.065853,6,sched_state,waiting
181117.065853,2,sched_state,waiting
181117.065960,2,tick,""
181117.065960,6,tick,""
181117.065982,5,tick,""
181117.065982,1,tick,""
181117.066178,0,sched_state,running
181117.066569,0,tick,""
181117.066578,0,reduction,""
181117.066580,0,sched_state,running
181117.066610,5,sched_state,waiting
181117.066612,2,sched_state,waiting
181117.066615,5,tick,""
181117.066616,6,sched_state,waiting
181117.066616,3,sched_state,waiting
181117.066685,7,sched_state,waiting
181117.066689,3,tick,""
181117.066691,7,tick,""
181117.066728,4,sched_state,waiting
181117.066728,2,tick,""
181117.066728,6,tick,""
181117.066738,6,sched_state,waiting
181117.066738,2,sched_state,waiting
181117.066739,4,tick,""
181117.066745,6,tick,""
181117.066745,2,tick,""
181117.066749,6,sched_state,waiting
181117.066753,6,tick,""
181117.066777,6,sched_state,waiting
181117.066781,6,tick,""
181117.066786,6,sched_state,waiting
181117.066790,6,tick,""
181117.067035,1,sched_state,waiting
181117.067043,0,tick,""
181117.067047,1,tick,""
181117.067048,0,reduction,""
181117.067051,0,sched_state,running
181117.067052,1,sched_state,waiting
181117.067060,1,tick,""
181117.067363,0,tick,""
181117.067366,0,reduction,""
181117.067368,0,sched_state,running
181117.068765,0,tick,""
181117.069672,0,reduction,""
181117.069675,0,sched_state,running
181117.070214,0,tick,""
181117.070234,0,reduction,""
181117.070240,0,sched_state,running
181117.072084,0,tick,""
181117.072315,0,reduction,""
181117.072318,0,sched_state,running
181117.072795,0,tick,""
181117.072800,0,reduction,""
181117.072802,0,sched_state,running
181117.073275,0,tick,""
181117.073279,0,spawn,""
181117.073280,0,reduction,""
181117.073282,0,sched_state,running
181117.073884,0,tick,""
181117.073888,0,reduction,""
181117.073891,0,sched_state,running
181117.074362,0,tick,""
181117.074367,0,reduction,""
181117.074368,0,sched_state,running
181117.074675,0,tick,""
181117.074679,0,reduction,""
181117.074680,0,sched_state,running
181117.075262,0,tick,""
181117.075281,0,channel_blocked,168
181117.075284,0,yield,""
181117.075532,0,sched_state,running
181117.075838,0,tick,""
181117.075844,0,sched_state,running
181117.076155,0,tick,""
181117.076158,0,reduction,""
181117.076160,0,sched_state,running
181117.076455,0,tick,""
181117.076459,0,reduction,""
181117.076460,0,sched_state,running
181117.076756,0,tick,""
181117.076760,0,reduction,""
181117.076761,0,sched_state,running
181117.077058,0,tick,""
181117.077061,0,reduction,""
181117.077063,0,sched_state,running
181117.077360,0,tick,""
181117.077364,0,reduction,""
181117.077366,0,sched_state,running
181117.077662,0,tick,""
181117.077664,0,reduction,""
181117.077666,0,sched_state,running
181117.077959,0,tick,""
181117.077967,0,reduction,""
181117.077969,0,sched_state,running
181117.078265,0,tick,""
181117.078269,0,reduction,""
181117.078271,0,sched_state,running
181117.078562,0,tick,""
181117.078566,0,reduction,""
181117.078567,0,sched_state,running
181117.078856,0,tick,""
181117.078867,0,reduction,""
181117.078869,0,sched_state,running
181117.079019,7,sched_state,waiting
181117.079025,3,sched_state,waiting
181117.079030,7,tick,""
181117.079039,3,tick,""
181117.079042,3,sched_state,waiting
181117.079049,3,tick,""
