timestamp,lpu,event,value
181076.779411,7,sched_state,startup
181076.779414,3,sched_state,startup
181076.779412,2,sched_state,startup
181076.779412,6,sched_state,startup
181076.779413,1,sched_state,startup
181076.779444,4,sched_state,startup
181076.779819,0,sched_state,startup
181076.779828,5,sched_state,startup
181076.779827,4,tick,""
181076.779863,3,tick,""
181076.779863,7,tick,""
181076.779871,1,tick,""
181076.779925,2,tick,""
181076.779923,6,tick,""
181076.779965,0,tick,""
181076.779990,5,tick,""
181076.780405,7,queue_length,0
181076.780412,7,sched_state,waiting
181076.780420,3,queue_length,0
181076.780424,3,sched_state,waiting
181076.780426,7,tick,""
181076.780435,3,tick,""
181076.780457,4,queue_length,0
181076.780459,1,queue_length,0
181076.780464,4,sched_state,waiting
181076.780467,1,sched_state,waiting
181076.780481,4,tick,""
181076.780482,1,tick,""
181076.783364,2,queue_length,0
181076.783364,6,queue_length,0
181076.783390,5,queue_length,0
181076.783394,2,sched_state,waiting
181076.783394,6,sched_state,waiting
181076.783426,5,sched_state,waiting
181076.783450,6,tick,""
181076.783450,2,tick,""
181076.783486,5,tick,""
181076.783941,3,sched_state,waiting
181076.783942,4,sched_state,waiting
181076.783945,1,sched_state,waiting
181076.783947,4,tick,""
181076.783948,3,tick,""
181076.783952,1,tick,""
181076.783987,7,sched_state,waiting
181076.783995,7,tick,""
181076.784000,7,sched_state,waiting
181076.784004,7,tick,""
181076.784207,0,sched_state,running
181076.784232,2,sched_state,waiting
181076.784242,2,tick,""
181076.784287,5,sched_state,waiting
181076.784297,5,tick,""
181076.784331,0,tick,""
181076.784339,0,reduction,""
181076.784341,0,sched_state,running
181076.784348,6,sched_state,waiting
181076.784362,6,tick,""
181076.784421,0,tick,""
181076.784424,0,reduction,""
181076.784426,0,sched_state,running
181076.784541,0,tick,""
181076.784544,0,reduction,""
181076.784545,0,sched_state,running
181076.784608,0,tick,""
181076.784611,0,reduction,""
181076.784612,0,sched_state,running
181076.784673,0,tick,""
181076.784675,0,reduction,""
181076.784676,0,sched_state,running
181076.784736,0,tick,""
181076.784738,0,reduction,""
181076.784739,0,sched_state,running
181076.784800,0,tick,""
181076.784803,0,reduction,""
