timestamp,lpu,event,value
181242.398805,6,sched_state,startup
181242.398815,2,sched_state,startup
181242.398844,1,sched_state,startup
181242.398844,5,sched_state,startup
181242.398860,4,sched_state,startup
181242.400938,7,sched_state,startup
181242.400949,3,sched_state,startup
181242.401160,4,tick,""
181242.401591,1,tick,""
181242.401631,0,sched_state,startup
181242.401681,5,tick,""
181242.401688,6,tick,""
181242.401689,2,tick,""
181242.403173,3,tick,""
181242.403173,7,tick,""
181242.403230,7,queue_length,0
181242.403230,3,queue_length,0
181242.403235,0,tick,""
181242.403257,7,sched_state,waiting
181242.403262,3,sched_state,waiting
181242.403299,1,queue_length,0
181242.403328,1,sched_state,waiting
181242.403396,4,queue_length,0
181242.403402,4,sched_state,waiting
181242.403965,3,tick,""
181242.404254,7,tick,""
181242.404271,4,tick,""
181242.404293,1,tick,""
181242.408542,5,queue_length,0
181242.408566,5,sched_state,waiting
181242.408626,5,tick,""
181242.408664,6,queue_length,0
181242.408664,2,queue_length,0
181242.408673,6,sched_state,waiting
181242.408673,2,sched_state,waiting
181242.408714,2,tick,""
181242.408714,6,tick,""
181242.408880,0,sched_state,running
181242.410643,0,tick,""
181242.410652,0,reduction,""
181242.410654,0,sched_state,running
181242.410694,3,sched_state,waiting
181242.410701,3,tick,""
181242.410709,2,sched_state,waiting
181242.410709,6,sched_state,waiting
181242.410715,1,sched_state,waiting
181242.410715,5,sched_state,waiting
181242.410717,2,tick,""
181242.410720,6,tick,""
181242.410721,4,sched_state,waiting
181242.410721,5,tick,""
181242.410721,1,tick,""
181242.410728,4,tick,""
181242.412078,0,tick,""
181242.412105,0,reduction,""
181242.412175,0,sched_state,running
181242.412295,7,sched_state,waiting
181242.412307,7,tick,""
181242.412801,0,tick,""
181242.412806,0,reduction,""
181242.412809,0,sched_state,running
181242.413842,0,tick,""
181242.413847,0,reduction,""
181242.413849,0,sched_state,running
181242.414446,0,tick,""
181242.414450,0,reduction,""
181242.414452,0,sched_state,running
181242.415051,0,tick,""
181242.415056,0,reduction,""
181242.415058,0,sched_state,running
181242.415732,0,tick,""
181242.415737,0,reduction,""
181242.415739,0,sched_state,running
181242.416201,0,tick,""
181242.416207,0,reduction,""
181242.416209,0,sched_state,running
181242.416803,0,tick,""
181242.416808,0,reduction,""
181242.416809,0,sched_state,running
181242.417238,0,tick,""
181242.417242,0,reduction,""
181242.417244,0,sched_state,running
181242.417693,0,tick,""
181242.417697,0,reduction,""
181242.417699,0,sched_state,running
181242.418294,0,tick,""
181242.418299,0,reduction,""
181242.418300,0,sched_state,running
181242.418723,0,tick,""
181242.418867,0,reduction,""
181242.418870,0,sched_state,running
181242.419469,0,tick,""
181242.419484,0,reduction,""
181242.419486,0,sched_state,running
181242.419914,0,tick,""
181242.419917,0,reduction,""
181242.419918,0,sched_state,running
181242.420366,0,tick,""
181242.420372,0,reduction,""
181242.420374,0,sched_state,running
181242.420949,0,tick,""
181242.421737,0,reduction,""
181242.421740,0,sched_state,running
181242.422352,0,tick,""
181242.422367,0,reduction,""
181242.422369,0,sched_state,running
181242.422799,0,tick,""
181242.422803,0,spawn,""
181242.422805,0,reduction,""
181242.422807,0,sched_state,running
181242.423026,5,sched_state,waiting
181242.423025,2,sched_state,waiting
181242.423031,6,sched_state,waiting
181242.423033,5,tick,""
181242.423036,2,tick,""
181242.423036,6,tick,""
181242.423040,2,sched_state,waiting
181242.423040,6,sched_state,waiting
181242.423044,2,tick,""
181242.423044,6,tick,""
181242.423048,2,sched_state,waiting
181242.423051,2,tick,""
181242.423297,1,sched_state,waiting
181242.423305,1,tick,""
181242.423308,1,sched_state,waiting
181242.423312,1,tick,""
181242.423336,1,sched_state,waiting
181242.423340,1,tick,""
181242.423579,0,tick,""
181242.423584,0,reduction,""
181242.423586,0,sched_state,running
181242.424208,0,tick,""
181242.424213,0,reduction,""
181242.424214,0,sched_state,running
181242.425063,0,tick,""
181242.425070,0,reduction,""
181242.425071,0,sched_state,running
181242.425672,0,tick,""
181242.425676,0,reduction,""
181242.425678,0,sched_state,running
181242.426113,0,tick,""
181242.426118,0,reduction,""
181242.426121,0,sched_state,running
181242.426718,0,tick,""
181242.426723,0,reduction,""
181242.426724,0,sched_state,running
181242.427161,0,tick,""
181242.427179,0,reduction,""
181242.427181,0,sched_state,running
181242.427614,0,tick,""
181242.427622,0,reduction,""
181242.427625,0,sched_state,running
181242.428219,0,tick,""
181242.428233,0,reduction,""
181242.428235,0,sched_state,running
181242.428649,0,tick,""
181242.428662,0,reduction,""
181242.428664,0,sched_state,running
181242.429112,0,tick,""
181242.429119,0,reduction,""
181242.429121,0,sched_state,running
181242.429699,0,tick,""
181242.429822,0,reduction,""
181242.429824,0,sched_state,running
181242.430269,0,tick,""
181242.430282,0,reduction,""
181242.430284,0,sched_state,running
181242.430696,0,tick,""
181242.430699,0,reduction,""
181242.430701,0,sched_state,running
181242.431112,0,tick,""
181242.431122,0,reduction,""
181242.431123,0,sched_state,running
181242.431541,0,tick,""
181242.431601,0,reduction,""
181242.431603,0,sched_state,running
181242.432222,0,tick,""
181242.432234,0,reduction,""
181242.432235,0,sched_state,running
181242.432652,0,tick,""
181242.432658,0,spawn,""
181242.432660,0,reduction,""
181242.432662,0,sched_state,running
181242.433242,0,tick,""
181242.433246,0,reduction,""
181242.433247,0,sched_state,running
181242.433667,0,tick,""
181242.433670,0,reduction,""
181242.433672,0,sched_state,running
181242.434013,5,sched_state,waiting
181242.434016,6,sched_state,waiting
181242.434021,5,tick,""
181242.434024,6,tick,""
181242.434024,3,sched_state,waiting
181242.434023,7,sched_state,waiting
181242.434033,7,tick,""
181242.434033,3,tick,""
181242.434047,4,sched_state,waiting
181242.434051,6,sched_state,waiting
181242.434055,5,sched_state,waiting
181242.434056,6,tick,""
181242.434056,4,tick,""
181242.434059,5,tick,""
181242.434059,3,sched_state,waiting
181242.434059,7,sched_state,waiting
181242.434066,3,tick,""
181242.434066,7,tick,""
181242.434083,4,sched_state,waiting
181242.434089,4,tick,""
181242.434093,4,sched_state,waiting
181242.434096,4,tick,""
181242.434163,2,sched_state,waiting
181242.434170,0,tick,""
181242.434170,2,tick,""
181242.434176,0,reduction,""
181242.434178,0,sched_state,running
181242.434193,2,sched_state,waiting
181242.434199,2,tick,""
181242.434808,0,tick,""
181242.434816,0,reduction,""
181242.434819,0,sched_state,running
181242.435897,0,tick,""
181242.435905,0,reduction,""
181242.435907,0,sched_state,running
181242.436455,0,tick,""
181242.436461,0,reduction,""
181242.436464,0,sched_state,running
181242.437050,0,tick,""
181242.437067,0,reduction,""
