timestamp,lpu,event,value
165462.403181,1,sched_state,startup
165462.403185,6,sched_state,startup
165462.403309,3,sched_state,startup
165462.403309,7,sched_state,startup
165462.403316,4,sched_state,startup
165462.403641,0,sched_state,startup
165462.403775,6,tick,""
165462.403779,5,sched_state,startup
165462.403782,4,tick,""
165462.403829,1,tick,""
165462.403878,7,tick,""
165462.403878,3,tick,""
165462.403883,2,sched_state,startup
165462.403891,0,tick,""
165462.403947,5,tick,""
165462.404037,2,tick,""
165462.404217,6,queue_length,0
165462.404217,4,queue_length,0
165462.404223,6,sched_state,waiting
165462.404225,4,sched_state,waiting
165462.404236,6,tick,""
165462.404237,4,tick,""
165462.406933,3,queue_length,0
165462.406965,7,queue_length,0
165462.406971,3,sched_state,waiting
165462.406977,2,queue_length,0
165462.406979,1,queue_length,0
165462.406986,5,queue_length,0
165462.406991,7,sched_state,waiting
165462.407010,2,sched_state,waiting
165462.407012,5,sched_state,waiting
165462.407015,3,tick,""
165462.407026,1,sched_state,waiting
165462.407032,7,tick,""
165462.407091,5,tick,""
165462.407107,1,tick,""
165462.407110,2,tick,""
165462.407437,4,sched_state,waiting
165462.407442,4,tick,""
165462.407461,6,sched_state,waiting
165462.407468,6,tick,""
165462.407690,0,sched_state,running
165462.407714,5,sched_state,waiting
165462.407720,5,tick,""
165462.407731,3,sched_state,waiting
165462.407733,1,sched_state,waiting
165462.407739,3,tick,""
165462.407740,1,tick,""
165462.407743,3,sched_state,waiting
165462.407747,3,tick,""
165462.407780,2,sched_state,waiting
165462.407789,2,tick,""
165462.407794,2,sched_state,waiting
165462.407798,2,tick,""
165462.407803,0,tick,""
165462.407817,0,reduction,""
165462.407820,0,sched_state,running
165462.407831,7,sched_state,waiting
165462.407840,7,tick,""
165462.407845,7,sched_state,waiting
165462.407849,7,tick,""
165462.407925,0,tick,""
165462.407931,0,reduction,""
165462.407932,0,sched_state,running
165462.408064,0,tick,""
165462.408068,0,reduction,""
165462.408070,0,sched_state,running
165462.408169,0,tick,""
165462.408173,0,reduction,""
165462.408174,0,sched_state,running
165462.408265,0,tick,""
165462.408269,0,reduction,""
165462.408271,0,sched_state,running
165462.408358,0,tick,""
165462.408363,0,reduction,""
165462.408364,0,sched_state,running
165462.408456,0,tick,""
165462.408460,0,reduction,""
165462.408461,0,sched_state,running
165462.408771,0,tick,""
165462.408796,0,reduction,""
165462.408806,0,sched_state,running
165462.409025,0,tick,""
