timestamp,lpu,event,value
165824.210426,5,sched_state,startup
165824.210426,1,sched_state,startup
165824.210427,7,sched_state,startup
165824.210448,6,sched_state,startup
165824.210450,2,sched_state,startup
165824.210450,4,sched_state,startup
165824.210761,3,sched_state,startup
165824.211777,4,tick,""
165824.211983,1,tick,""
165824.212038,0,sched_state,startup
165824.212221,2,tick,""
165824.212294,6,tick,""
165824.212329,5,tick,""
165824.212340,3,tick,""
165824.212342,7,tick,""
165824.213161,0,tick,""
165824.213175,1,queue_length,0
165824.213182,1,sched_state,waiting
165824.213192,4,queue_length,0
165824.213198,4,sched_state,waiting
165824.213339,1,tick,""
165824.213376,4,tick,""
165824.216327,2,queue_length,0
165824.216334,2,sched_state,waiting
165824.216350,2,tick,""
165824.216370,5,queue_length,0
165824.216376,7,queue_length,0
165824.216377,5,sched_state,waiting
165824.216376,3,queue_length,0
165824.216384,3,sched_state,waiting
165824.216384,7,sched_state,waiting
165824.216395,6,queue_length,0
165824.216400,6,sched_state,waiting
165824.216409,5,tick,""
165824.216422,3,tick,""
165824.216422,7,tick,""
165824.216425,6,tick,""
165824.216666,0,sched_state,running
165824.217420,0,tick,""
165824.217448,0,reduction,""
165824.217457,0,sched_state,running
165824.217608,5,sched_state,waiting
165824.217636,5,tick,""
165824.217736,4,sched_state,waiting
165824.217737,7,sched_state,waiting
165824.217738,6,sched_state,waiting
165824.217736,2,sched_state,waiting
165824.217742,3,sched_state,waiting
165824.217742,4,tick,""
165824.217746,7,tick,""
165824.217747,6,tick,""
165824.217747,2,tick,""
165824.217748,3,tick,""
165824.217752,6,sched_state,waiting
165824.217758,6,tick,""
165824.217763,6,sched_state,waiting
165824.217766,6,tick,""
165824.218136,0,tick,""
165824.218143,0,reduction,""
165824.218145,0,sched_state,running
165824.218234,1,sched_state,waiting
165824.218241,1,tick,""
165824.218762,0,tick,""
165824.218767,0,reduction,""
165824.218769,0,sched_state,running
165824.219383,0,tick,""
165824.220255,0,reduction,""
165824.220259,0,sched_state,running
165824.220697,0,tick,""
165824.220702,0,reduction,""
165824.220704,0,sched_state,running
165824.221130,0,tick,""
165824.221195,0,reduction,""
165824.221198,0,sched_state,running
165824.221622,0,tick,""
165824.221626,0,reduction,""
165824.221628,0,sched_state,running
165824.222049,0,tick,""
165824.222054,0,spawn,""
165824.222057,0,reduction,""
165824.222059,0,sched_state,running
165824.222732,0,tick,""
165824.222737,0,reduction,""
165824.222739,0,sched_state,running
165824.223170,0,tick,""
165824.223175,0,reduction,""
165824.223176,0,sched_state,running
165824.223602,0,tick,""
165824.223608,0,reduction,""
165824.223610,0,sched_state,running
165824.224035,0,tick,""
165824.224065,0,channel_blocked,165
165824.224068,0,yield,""
165824.224350,0,sched_state,running
165824.224807,0,tick,""
165824.224814,0,sched_state,running
165824.225276,0,tick,""
165824.225280,0,reduction,""
165824.225283,0,sched_state,running
165824.225733,0,tick,""
165824.225739,0,reduction,""
165824.225742,0,sched_state,running
165824.226185,0,tick,""
165824.226191,0,reduction,""
165824.226193,0,sched_state,running
165824.226643,0,tick,""
165824.226648,0,reduction,""
165824.226651,0,sched_state,running
165824.227103,0,tick,""
165824.227109,0,reduction,""
165824.227111,0,sched_state,running
165824.227561,0,tick,""
165824.227566,0,reduction,""
165824.227568,0,sched_state,running
165824.228017,0,tick,""
165824.228028,0,reduction,""
165824.228031,0,sched_state,running
165824.228481,0,tick,""
165824.228487,0,reduction,""
165824.228490,0,sched_state,running
165824.228935,0,tick,""
165824.228941,0,reduction,""
165824.228944,0,sched_state,running
165824.229017,3,sched_state,waiting
165824.229018,5,sched_state,waiting
165824.229022,2,sched_state,waiting
165824.229026,3,tick,""
165824.229029,5,tick,""
165824.229032,2,tick,""
165824.229046,4,sched_state,waiting
165824.229054,5,sched_state,waiting
165824.229056,4,tick,""
165824.229059,4,sched_state,waiting
165824.229060,5,tick,""
165824.229063,4,tick,""
165824.229082,4,sched_state,waiting
165824.229086,4,tick,""
165824.229370,0,tick,""
165824.229386,0,reduction,""
165824.229388,0,sched_state,running
165824.229829,0,tick,""
165824.229836,0,reduction,""
165824.229838,0,sched_state,running
165824.230206,7,sched_state,waiting
165824.230214,7,tick,""
165824.230219,0,tick,""
