timestamp,lpu,event,value
165468.682100,4,sched_state,startup
165468.682101,7,sched_state,startup
165468.682101,2,sched_state,startup
165468.682107,6,sched_state,startup
165468.682130,5,sched_state,startup
165468.682134,1,sched_state,startup
165468.682273,0,sched_state,startup
165468.682313,4,tick,""
165468.682336,7,tick,""
165468.682355,5,tick,""
165468.682359,1,tick,""
165468.682360,2,tick,""
165468.682360,6,tick,""
165468.682441,3,sched_state,startup
165468.682448,0,tick,""
165468.682603,3,tick,""
165468.682959,7,queue_length,0
165468.682980,7,sched_state,waiting
165468.682981,5,queue_length,0
165468.683006,5,sched_state,waiting
165468.683008,1,queue_length,0
165468.683026,1,sched_state,waiting
165468.683025,7,tick,""
165468.683053,5,tick,""
165468.683061,1,tick,""
165468.683061,6,queue_length,0
165468.683091,6,sched_state,waiting
165468.683138,6,tick,""
165468.683175,4,queue_length,0
165468.683197,4,sched_state,waiting
165468.683204,4,tick,""
165468.686683,2,queue_length,0
165468.686706,2,sched_state,waiting
165468.686736,3,queue_length,0
165468.686761,2,tick,""
165468.686768,3,sched_state,waiting
165468.686830,3,tick,""
165468.687268,4,sched_state,waiting
165468.687270,7,sched_state,waiting
165468.687274,5,sched_state,waiting
165468.687276,4,tick,""
165468.687277,7,tick,""
165468.687279,5,tick,""
165468.687292,6,sched_state,waiting
165468.687300,6,tick,""
165468.687305,6,sched_state,waiting
165468.687309,6,tick,""
165468.687333,1,sched_state,waiting
165468.687341,1,tick,""
165468.687515,0,sched_state,running
165468.687551,3,sched_state,waiting
165468.687560,3,tick,""
165468.687564,3,sched_state,waiting
165468.687569,3,tick,""
165468.687626,0,tick,""
165468.687634,0,reduction,""
165468.687636,0,sched_state,running
165468.687657,2,sched_state,waiting
165468.687666,2,tick,""
165468.687671,2,sched_state,waiting
165468.687675,2,tick,""
165468.687679,2,sched_state,waiting
165468.687683,2,tick,""
165468.687819,0,tick,""
165468.687825,0,reduction,""
165468.687827,0,sched_state,running
165468.687989,0,tick,""
165468.687993,0,reduction,""
165468.687994,0,sched_state,running
165468.688093,0,tick,""
165468.688096,0,reduction,""
165468.688098,0,sched_state,running
165468.688212,0,tick,""
165468.688215,0,reduction,""
165468.688217,0,sched_state,running
165468.688396,0,tick,""
165468.688400,0,reduction,""
165468.688401,0,sched_state,running
165468.688501,0,tick,""
165468.688507,0,reduction,""
165468.688509,0,sched_state,running
165468.688618,0,tick,""
165468.688622,0,reduction,""
165468.688623,0,sched_state,running
165468.688782,0,tick,""
165468.688786,0,reduction,""
165468.688788,0,sched_state,running
165468.688888,0,tick,""
165468.689779,0,reduction,""
165468.689782,0,sched_state,running
165468.689890,0,tick,""
165468.689894,0,reduction,""
165468.689896,0,sched_state,running
165468.689997,0,tick,""
165468.690003,0,reduction,""
165468.690005,0,sched_state,running
165468.690105,0,tick,""
165468.690307,0,reduction,""
165468.690310,0,sched_state,running
165468.690364,0,tick,""
165468.690368,0,reduction,""
165468.690369,0,sched_state,running
165468.690419,0,tick,""
165468.690422,0,reduction,""
