timestamp,lpu,event,value
167013.694106,4,sched_state,startup
167013.694109,5,sched_state,startup
167013.694117,1,sched_state,startup
167013.694129,6,sched_state,startup
167013.694130,3,sched_state,startup
167013.694130,7,sched_state,startup
167013.694139,2,sched_state,startup
167013.696343,0,sched_state,startup
167013.696716,1,tick,""
167013.696724,2,tick,""
167013.696761,6,tick,""
167013.696804,5,tick,""
167013.696806,3,tick,""
167013.696806,7,tick,""
167013.698069,4,tick,""
167013.698082,0,tick,""
167013.698087,4,queue_length,0
167013.698093,4,sched_state,waiting
167013.698098,2,queue_length,0
167013.698098,6,queue_length,0
167013.698106,2,sched_state,waiting
167013.698106,6,sched_state,waiting
167013.698922,1,queue_length,0
167013.698937,1,sched_state,waiting
167013.698953,4,tick,""
167013.698954,6,tick,""
167013.698954,2,tick,""
167013.699112,1,tick,""
167013.700751,5,queue_length,0
167013.700752,7,queue_length,0
167013.700752,3,queue_length,0
167013.700760,5,sched_state,waiting
167013.700762,7,sched_state,waiting
167013.700762,3,sched_state,waiting
167013.700803,5,tick,""
167013.700802,3,tick,""
167013.700802,7,tick,""
167013.701020,0,sched_state,running
167013.701557,0,tick,""
167013.701566,0,reduction,""
167013.701569,0,sched_state,running
167013.701610,5,sched_state,waiting
167013.701616,5,tick,""
167013.701624,3,sched_state,waiting
167013.701630,6,sched_state,waiting
167013.701631,4,sched_state,waiting
167013.701630,2,sched_state,waiting
167013.701635,3,tick,""
167013.701636,4,tick,""
167013.701640,2,tick,""
167013.701640,6,tick,""
167013.701681,7,sched_state,waiting
167013.701693,7,tick,""
167013.701698,7,sched_state,waiting
167013.701702,7,tick,""
167013.702256,1,sched_state,waiting
167013.702264,1,tick,""
167013.702269,1,sched_state,waiting
167013.702273,1,tick,""
167013.702279,0,tick,""
167013.702284,0,reduction,""
167013.702285,0,sched_state,running
167013.703279,0,tick,""
167013.703285,0,reduction,""
167013.703288,0,sched_state,running
167013.703971,0,tick,""
167013.703976,0,reduction,""
167013.703978,0,sched_state,running
167013.704993,0,tick,""
167013.704997,0,reduction,""
167013.704999,0,sched_state,running
167013.705602,0,tick,""
