timestamp,lpu,event,value
183690.320596,1,sched_state,startup
183690.320608,5,sched_state,startup
183690.320601,4,sched_state,startup
183690.320738,7,sched_state,startup
183690.320740,3,sched_state,startup
183690.320894,0,sched_state,startup
183690.320896,6,sched_state,startup
183690.320919,4,tick,""
183690.320950,7,tick,""
183690.320950,3,tick,""
183690.320963,5,tick,""
183690.320963,1,tick,""
183690.321189,6,tick,""
183690.321196,2,sched_state,startup
183690.321243,0,tick,""
183690.321724,2,tick,""
183690.325222,7,queue_length,0
183690.325235,3,queue_length,0
183690.325245,5,queue_length,0
183690.325261,7,sched_state,waiting
183690.325261,3,sched_state,waiting
183690.325268,1,queue_length,0
183690.325273,2,queue_length,0
183690.325261,6,queue_length,0
183690.325295,2,sched_state,waiting
183690.325297,6,sched_state,waiting
183690.325296,5,sched_state,waiting
183690.325296,1,sched_state,waiting
183690.325306,3,tick,""
183690.325306,7,tick,""
183690.325370,2,tick,""
183690.325369,6,tick,""
183690.325380,1,tick,""
183690.325380,5,tick,""
183690.325408,4,queue_length,0
183690.325439,4,sched_state,waiting
183690.325465,4,tick,""
183690.325749,0,queue_length,0
183690.326742,1,sched_state,waiting
183690.326750,1,tick,""
183690.326774,3,sched_state,waiting
183690.326782,3,tick,""
183690.326785,5,sched_state,waiting
183690.326795,5,tick,""
183690.326805,4,sched_state,waiting
183690.326812,1,sched_state,waiting
183690.326812,2,sched_state,waiting
183690.326816,4,tick,""
183690.326817,1,tick,""
183690.326821,2,tick,""
183690.326847,3,sched_state,waiting
183690.326855,3,tick,""
183690.326880,1,sched_state,waiting
183690.326886,1,tick,""
183690.326889,2,sched_state,waiting
183690.326892,4,sched_state,waiting
183690.326898,2,tick,""
183690.326902,4,tick,""
183690.326917,0,sched_state,running
183690.326937,4,sched_state,waiting
183690.326942,4,tick,""
183690.327003,1,sched_state,waiting
183690.327010,1,tick,""
183690.327045,1,sched_state,waiting
183690.327050,1,tick,""
183690.327085,1,sched_state,waiting
183690.327087,0,tick,""
183690.327090,1,tick,""
183690.327098,0,reduction,""
183690.327100,0,sched_state,running
183690.327105,6,sched_state,waiting
183690.327107,5,sched_state,waiting
183690.327109,3,sched_state,waiting
183690.327110,6,tick,""
183690.327113,5,tick,""
183690.327114,3,tick,""
183690.327150,4,sched_state,waiting
183690.327156,4,tick,""
183690.327164,1,sched_state,waiting
183690.327169,1,tick,""
183690.327172,7,sched_state,waiting
183690.327173,3,sched_state,waiting
183690.327180,7,tick,""
183690.327184,3,tick,""
183690.327205,2,sched_state,waiting
183690.327206,4,sched_state,waiting
183690.327208,0,tick,""
183690.327210,4,tick,""
183690.327211,2,tick,""
183690.327212,0,reduction,""
183690.327214,0,sched_state,running
183690.327221,7,sched_state,waiting
183690.327225,6,sched_state,waiting
183690.327229,7,tick,""
183690.327230,6,tick,""
183690.327236,3,sched_state,waiting
183690.327240,3,tick,""
183690.327241,5,sched_state,waiting
183690.327251,5,tick,""
183690.327261,2,sched_state,waiting
183690.327268,2,tick,""
183690.327286,7,sched_state,waiting
183690.327291,7,tick,""
183690.327294,4,sched_state,waiting
183690.327300,4,tick,""
183690.327314,5,sched_state,waiting
183690.327319,2,sched_state,waiting
183690.327319,5,tick,""
183690.327323,2,tick,""
183690.327341,4,sched_state,waiting
183690.327345,4,tick,""
183690.327344,3,sched_state,waiting
183690.327350,3,tick,""
183690.327364,6,sched_state,waiting
183690.327369,6,tick,""
183690.327378,5,sched_state,waiting
183690.327379,2,sched_state,waiting
183690.327380,0,tick,""
183690.327381,1,sched_state,waiting
183690.327383,5,tick,""
183690.327384,2,tick,""
183690.327384,0,reduction,""
183690.327385,1,tick,""
183690.327387,0,sched_state,running
183690.327413,6,sched_state,waiting
183690.327418,6,tick,""
183690.327429,7,sched_state,waiting
183690.327433,5,sched_state,waiting
183690.327435,7,tick,""
183690.327438,5,tick,""
183690.327444,4,sched_state,waiting
183690.327448,4,tick,""
183690.327449,2,sched_state,waiting
183690.327456,2,tick,""
183690.327482,6,sched_state,waiting
183690.327486,6,tick,""
183690.327492,2,sched_state,waiting
183690.327496,2,tick,""
183690.327525,4,sched_state,waiting
183690.327529,4,tick,""
183690.327539,2,sched_state,waiting
183690.327558,2,tick,""
183690.327558,7,sched_state,waiting
183690.327558,0,tick,""
183690.327583,7,tick,""
183690.327583,0,reduction,""
183690.327594,0,sched_state,running
183690.327610,3,sched_state,waiting
183690.327625,3,tick,""
183690.327662,1,sched_state,waiting
183690.327676,6,sched_state,waiting
183690.327681,1,tick,""
183690.327693,6,tick,""
183690.327727,2,sched_state,waiting
183690.327748,2,tick,""
183690.327763,7,sched_state,waiting
183690.327768,7,tick,""
183690.327768,5,sched_state,waiting
183690.327774,5,tick,""
183690.327791,3,sched_state,waiting
183690.327796,3,tick,""
183690.327823,7,sched_state,waiting
183690.327826,6,sched_state,waiting
183690.327827,7,tick,""
183690.327826,0,tick,""
183690.327832,6,tick,""
183690.327833,0,reduction,""
183690.327837,4,sched_state,waiting
183690.327837,0,sched_state,running
183690.327843,4,tick,""
183690.327855,5,sched_state,waiting
183690.327859,5,tick,""
183690.327862,2,sched_state,waiting
183690.327863,7,sched_state,waiting
183690.327866,2,tick,""
183690.327867,7,tick,""
183690.327886,4,sched_state,waiting
183690.327890,4,tick,""
183690.327890,1,sched_state,waiting
183690.327895,1,tick,""
183690.327917,5,sched_state,waiting
183690.327921,5,tick,""
183690.327936,7,sched_state,waiting
183690.327943,7,tick,""
183690.327955,4,sched_state,waiting
183690.327956,2,sched_state,waiting
183690.327959,4,tick,""
183690.327961,2,tick,""
183690.327995,0,tick,""
183690.327999,2,sched_state,waiting
183690.328001,3,sched_state,waiting
183690.328004,0,reduction,""
183690.328004,2,tick,""
183690.328006,3,tick,""
183690.328010,0,sched_state,running
183690.328023,1,sched_state,waiting
183690.328025,5,sched_state,waiting
183690.328025,4,sched_state,waiting
183690.328028,5,tick,""
183690.328028,1,tick,""
183690.328029,4,tick,""
183690.328040,7,sched_state,waiting
183690.328043,2,sched_state,waiting
183690.328045,7,tick,""
183690.328048,2,tick,""
183690.328062,3,sched_state,waiting
183690.328067,3,tick,""
183690.328084,7,sched_state,waiting
183690.328088,7,tick,""
183690.328105,1,sched_state,waiting
183690.328127,1,tick,""
183690.328129,6,sched_state,waiting
183690.328130,0,tick,""
183690.328135,6,tick,""
183690.328135,0,reduction,""
183690.328137,0,sched_state,running
183690.328138,5,sched_state,waiting
183690.328143,5,tick,""
183690.328155,4,sched_state,waiting
183690.328157,3,sched_state,waiting
183690.328160,4,tick,""
183690.328162,3,tick,""
183690.328172,6,sched_state,waiting
183690.328177,6,tick,""
183690.328190,5,sched_state,waiting
183690.328194,5,tick,""
183690.328216,4,sched_state,waiting
183690.328216,6,sched_state,waiting
183690.328220,4,tick,""
183690.328221,6,tick,""
183690.328231,0,tick,""
183690.328236,2,sched_state,waiting
183690.328240,2,tick,""
183690.328247,0,reduction,""
183690.328251,0,sched_state,running
183690.328252,5,sched_state,waiting
183690.328256,5,tick,""
183690.328259,3,sched_state,waiting
183690.328264,3,tick,""
183690.328273,6,sched_state,waiting
183690.328278,6,tick,""
183690.328308,5,sched_state,waiting
183690.328313,5,tick,""
183690.328343,0,tick,""
183690.328348,0,reduction,""
183690.328350,0,sched_state,running
183690.328353,5,sched_state,waiting
183690.328358,5,tick,""
183690.328361,7,sched_state,waiting
183690.328367,7,tick,""
183690.328368,4,sched_state,waiting
183690.328372,4,tick,""
183690.328376,6,sched_state,waiting
183690.328381,6,tick,""
183690.328389,3,sched_state,waiting
183690.328393,3,tick,""
183690.328411,7,sched_state,waiting
183690.328415,7,tick,""
183690.328420,4,sched_state,waiting
183690.328422,5,sched_state,waiting
183690.328424,4,tick,""
183690.328427,5,tick,""
183690.328440,3,sched_state,waiting
183690.328443,6,sched_state,waiting
183690.328444,3,tick,""
183690.328447,6,tick,""
183690.328448,2,sched_state,waiting
183690.328452,2,tick,""
183690.328455,0,tick,""
183690.328461,0,reduction,""
183690.328463,0,sched_state,running
183690.328468,7,sched_state,waiting
183690.328470,5,sched_state,waiting
183690.328473,7,tick,""
183690.328474,5,tick,""
183690.328506,4,sched_state,waiting
183690.328510,4,tick,""
183690.328515,5,sched_state,waiting
183690.328520,5,tick,""
183690.328538,6,sched_state,waiting
183690.328543,6,tick,""
183690.328543,4,sched_state,waiting
183690.328548,4,tick,""
183690.328554,5,sched_state,waiting
183690.328554,3,sched_state,waiting
183690.328559,5,tick,""
183690.328560,3,tick,""
183690.328561,0,tick,""
183690.328562,1,sched_state,waiting
183690.328566,1,tick,""
183690.328567,0,reduction,""
183690.328569,0,sched_state,running
183690.328578,6,sched_state,waiting
183690.328583,6,tick,""
183690.328587,4,sched_state,waiting
183690.328591,4,tick,""
183690.328606,2,sched_state,waiting
183690.328611,2,tick,""
183690.328611,5,sched_state,waiting
183690.328616,5,tick,""
183690.328633,1,sched_state,waiting
183690.328638,1,tick,""
183690.328649,2,sched_state,waiting
183690.328653,2,tick,""
183690.328656,5,sched_state,waiting
183690.328660,5,tick,""
183690.328662,0,tick,""
183690.328665,3,sched_state,waiting
183690.328666,7,sched_state,waiting
