timestamp,lpu,event,value
183725.839558,6,sched_state,startup
183725.839564,1,sched_state,startup
183725.839574,5,sched_state,startup
183725.839575,3,sched_state,startup
183725.839579,7,sched_state,startup
183725.840438,4,sched_state,startup
183725.840868,1,tick,""
183725.840890,0,sched_state,startup
183725.840925,3,tick,""
183725.840927,7,tick,""
183725.840982,5,tick,""
183725.841127,6,tick,""
183725.841867,4,tick,""
183725.841880,0,tick,""
183725.842150,1,queue_length,0
183725.842156,1,sched_state,waiting
183725.842155,5,queue_length,0
183725.842163,5,sched_state,waiting
183725.842169,6,queue_length,0
183725.842178,6,sched_state,waiting
183725.842181,7,queue_length,0
183725.842184,3,queue_length,0
183725.842187,7,sched_state,waiting
183725.842189,3,sched_state,waiting
183725.842558,6,tick,""
183725.842595,1,tick,""
183725.842595,5,tick,""
183725.842596,7,tick,""
183725.842596,3,tick,""
183725.842637,4,queue_length,0
183725.842644,4,sched_state,waiting
183725.842707,4,tick,""
183725.844478,2,sched_state,startup
183725.844682,3,sched_state,waiting
183725.844689,3,tick,""
183725.844689,1,sched_state,waiting
183725.844691,7,sched_state,waiting
183725.844696,1,tick,""
183725.844699,7,tick,""
183725.844706,6,sched_state,waiting
183725.844714,6,tick,""
183725.844753,1,sched_state,waiting
183725.844757,3,sched_state,waiting
183725.844759,1,tick,""
183725.844765,3,tick,""
183725.844776,6,sched_state,waiting
183725.844784,6,tick,""
183725.844800,7,sched_state,waiting
183725.844805,7,tick,""
183725.844815,3,sched_state,waiting
183725.844819,3,tick,""
183725.844838,6,sched_state,waiting
183725.844843,6,tick,""
183725.844856,3,sched_state,waiting
183725.844861,3,tick,""
183725.845045,0,queue_length,0
183725.845066,7,sched_state,waiting
183725.845067,6,sched_state,waiting
183725.845072,7,tick,""
183725.845075,6,tick,""
183725.845090,5,sched_state,waiting
183725.845096,5,tick,""
183725.845130,5,sched_state,waiting
183725.845135,5,tick,""
183725.845185,5,sched_state,waiting
183725.845190,5,tick,""
183725.845379,2,tick,""
183725.845401,3,sched_state,waiting
183725.845406,3,tick,""
183725.845407,2,queue_length,0
