timestamp,lpu,event,value
183696.993474,4,sched_state,startup
183696.993476,5,sched_state,startup
183696.993474,2,sched_state,startup
183696.993474,6,sched_state,startup
183696.993486,3,sched_state,startup
183696.993489,7,sched_state,startup
183696.993749,4,tick,""
183696.993755,0,sched_state,startup
183696.993765,1,sched_state,startup
183696.993776,7,tick,""
183696.993775,3,tick,""
183696.993812,5,tick,""
183696.993830,2,tick,""
183696.993830,6,tick,""
183696.993933,1,tick,""
183696.993941,0,tick,""
183696.994035,4,queue_length,0
183696.994043,4,sched_state,waiting
183696.994050,4,tick,""
183696.995221,7,queue_length,0
183696.995226,7,sched_state,waiting
183696.995231,3,queue_length,0
183696.995234,7,tick,""
183696.995235,3,sched_state,waiting
183696.995245,3,tick,""
183696.995271,2,queue_length,0
183696.995269,6,queue_length,0
183696.995277,2,sched_state,waiting
183696.995277,6,sched_state,waiting
183696.995277,5,queue_length,0
183696.995284,1,queue_length,0
183696.995288,5,sched_state,waiting
183696.995289,1,sched_state,waiting
183696.995292,6,tick,""
183696.995292,2,tick,""
183696.995300,1,tick,""
183696.995300,5,tick,""
183696.995936,3,sched_state,waiting
183696.995941,1,sched_state,waiting
183696.995942,3,tick,""
183696.995950,1,tick,""
183696.995951,5,sched_state,waiting
183696.995956,5,tick,""
183696.995985,3,sched_state,waiting
183696.995991,3,tick,""
183696.995994,5,sched_state,waiting
183696.995996,1,sched_state,waiting
183696.995997,0,queue_length,0
183696.996000,5,tick,""
183696.996005,1,tick,""
183696.996014,2,sched_state,waiting
183696.996019,2,tick,""
183696.996036,6,sched_state,waiting
183696.996044,6,tick,""
183696.996060,3,sched_state,waiting
183696.996065,3,tick,""
183696.996079,7,sched_state,waiting
183696.996079,5,sched_state,waiting
183696.996084,7,tick,""
183696.996084,1,sched_state,waiting
183696.996084,5,tick,""
183696.996088,1,tick,""
183696.996091,6,sched_state,waiting
183696.996096,6,tick,""
183696.996142,7,sched_state,waiting
183696.996147,5,sched_state,waiting
183696.996147,7,tick,""
183696.996153,6,sched_state,waiting
183696.996156,5,tick,""
183696.996158,6,tick,""
183696.996169,3,sched_state,waiting
183696.996178,3,tick,""
183696.996187,1,sched_state,waiting
183696.996192,1,tick,""
183696.996199,0,sched_state,running
183696.996205,4,sched_state,waiting
183696.996210,4,tick,""
183696.996216,3,sched_state,waiting
183696.996221,5,sched_state,waiting
183696.996221,3,tick,""
183696.996226,5,tick,""
183696.996231,6,sched_state,waiting
183696.996236,6,tick,""
183696.996243,2,sched_state,waiting
183696.996244,4,sched_state,waiting
183696.996248,2,tick,""
183696.996248,4,tick,""
183696.996258,3,sched_state,waiting
183696.996263,3,tick,""
183696.996271,1,sched_state,waiting
183696.996276,1,tick,""
183696.996285,4,sched_state,waiting
183696.996288,4,tick,""
183696.996294,2,sched_state,waiting
183696.996298,5,sched_state,waiting
183696.996299,2,tick,""
183696.996302,5,tick,""
183696.996318,1,sched_state,waiting
183696.996322,1,tick,""
183696.996331,3,sched_state,waiting
183696.996335,3,tick,""
183696.996344,5,sched_state,waiting
183696.996351,5,tick,""
183696.996378,2,sched_state,waiting
183696.996383,7,sched_state,waiting
183696.996384,2,tick,""
183696.996388,0,tick,""
183696.996388,7,tick,""
183696.996396,0,reduction,""
183696.996398,0,sched_state,running
183696.996405,6,sched_state,waiting
183696.996406,1,sched_state,waiting
183696.996410,4,sched_state,waiting
183696.996411,6,tick,""
183696.996411,1,tick,""
183696.996414,4,tick,""
183696.996437,2,sched_state,waiting
183696.996437,3,sched_state,waiting
183696.996442,3,tick,""
183696.996444,2,tick,""
183696.996454,6,sched_state,waiting
183696.996459,6,tick,""
183696.996460,7,sched_state,waiting
183696.996464,7,tick,""
183696.996484,2,sched_state,waiting
183696.996485,3,sched_state,waiting
183696.996489,3,tick,""
183696.996489,2,tick,""
183696.996500,7,sched_state,waiting
183696.996505,7,tick,""
183696.996530,6,sched_state,waiting
183696.996531,3,sched_state,waiting
183696.996536,3,tick,""
183696.996539,6,tick,""
183696.996550,2,sched_state,waiting
183696.996555,2,tick,""
183696.996561,7,sched_state,waiting
183696.996566,7,tick,""
183696.996583,6,sched_state,waiting
183696.996585,3,sched_state,waiting
183696.996587,6,tick,""
183696.996589,3,tick,""
183696.996595,0,tick,""
183696.996595,5,sched_state,waiting
183696.996600,0,reduction,""
183696.996602,5,tick,""
183696.996603,0,sched_state,running
183696.996604,2,sched_state,waiting
183696.996614,2,tick,""
183696.996616,7,sched_state,waiting
183696.996616,1,sched_state,waiting
183696.996620,7,tick,""
183696.996620,1,tick,""
183696.996623,4,sched_state,waiting
183696.996627,4,tick,""
183696.996655,7,sched_state,waiting
183696.996659,7,tick,""
183696.996679,2,sched_state,waiting
183696.996681,5,sched_state,waiting
183696.996689,5,tick,""
183696.996690,2,tick,""
183696.996698,4,sched_state,waiting
183696.996700,7,sched_state,waiting
183696.996701,4,tick,""
183696.996704,1,sched_state,waiting
183696.996705,7,tick,""
183696.996711,1,tick,""
183696.996713,0,tick,""
183696.996717,0,reduction,""
183696.996719,0,sched_state,running
183696.996731,3,sched_state,waiting
183696.996735,3,tick,""
183696.996739,5,sched_state,waiting
183696.996744,5,tick,""
183696.996783,1,sched_state,waiting
183696.996783,5,sched_state,waiting
