timestamp,lpu,event,value
183893.778408,4,sched_state,startup
183893.778407,7,sched_state,startup
183893.778405,3,sched_state,startup
183893.778432,2,sched_state,startup
183893.778434,1,sched_state,startup
183893.778432,6,sched_state,startup
183893.778435,5,sched_state,startup
183893.780391,4,tick,""
183893.781119,6,tick,""
183893.781118,5,tick,""
183893.781119,2,tick,""
183893.781118,7,tick,""
183893.781118,0,sched_state,startup
183893.781118,1,tick,""
183893.781142,6,queue_length,0
183893.781146,2,queue_length,0
183893.781151,7,queue_length,0
183893.781152,2,sched_state,waiting
183893.781152,6,sched_state,waiting
183893.781153,4,queue_length,0
183893.781150,5,queue_length,0
183893.781156,7,sched_state,waiting
183893.781157,4,sched_state,waiting
183893.781157,1,queue_length,0
183893.781161,5,sched_state,waiting
183893.781162,1,sched_state,waiting
183893.781684,4,tick,""
183893.781726,6,tick,""
183893.781728,2,tick,""
183893.781728,7,tick,""
183893.781732,5,tick,""
183893.781732,1,tick,""
183893.785074,3,tick,""
183893.785130,0,tick,""
183893.785202,3,queue_length,0
183893.785221,3,sched_state,waiting
183893.785443,3,tick,""
183893.789882,0,queue_length,0
183893.789965,2,sched_state,waiting
183893.789972,2,tick,""
183893.790003,2,sched_state,waiting
183893.790008,2,tick,""
183893.790031,6,sched_state,waiting
183893.790036,6,tick,""
183893.790034,3,sched_state,waiting
183893.790045,3,tick,""
183893.790172,6,sched_state,waiting
183893.790309,6,tick,""
183893.790340,3,sched_state,waiting
183893.790436,3,tick,""
183893.790449,7,sched_state,waiting
183893.790455,7,tick,""
183893.790468,4,sched_state,waiting
183893.790473,4,tick,""
183893.790507,3,sched_state,waiting
183893.790507,4,sched_state,waiting
183893.790511,4,tick,""
183893.790512,3,tick,""
183893.790544,3,sched_state,waiting
183893.790549,3,tick,""
183893.790552,7,sched_state,waiting
183893.790556,7,tick,""
183893.790582,3,sched_state,waiting
183893.790589,3,tick,""
183893.790622,3,sched_state,waiting
183893.790627,3,tick,""
183893.790673,3,sched_state,waiting
183893.790679,3,tick,""
183893.790709,3,sched_state,waiting
183893.790713,3,tick,""
183893.791424,0,sched_state,running
183893.791433,1,sched_state,waiting
183893.791435,2,sched_state,waiting
183893.791440,1,tick,""
183893.791445,2,tick,""
183893.791454,3,sched_state,waiting
183893.791460,3,tick,""
183893.791460,7,sched_state,waiting
183893.791465,7,tick,""
183893.791479,4,sched_state,waiting
183893.791484,4,tick,""
183893.791501,5,sched_state,waiting
183893.791502,2,sched_state,waiting
183893.791507,2,tick,""
183893.791508,5,tick,""
183893.791514,4,sched_state,waiting
183893.791516,3,sched_state,waiting
183893.791517,4,tick,""
183893.791518,1,sched_state,waiting
183893.791521,3,tick,""
183893.791525,1,tick,""
183893.791582,2,sched_state,waiting
183893.791586,1,sched_state,waiting
183893.791587,2,tick,""
183893.791591,1,tick,""
183893.791631,1,sched_state,waiting
183893.791636,1,tick,""
183893.791638,2,sched_state,waiting
183893.791643,2,tick,""
183893.791672,1,sched_state,waiting
183893.791676,1,tick,""
183893.791679,2,sched_state,waiting
183893.791684,2,tick,""
183893.791706,1,sched_state,waiting
183893.791711,1,tick,""
183893.791743,1,sched_state,waiting
183893.791748,1,tick,""
183893.792472,6,sched_state,waiting
183893.792477,0,tick,""
183893.792480,6,tick,""
183893.792484,0,reduction,""
183893.792485,0,sched_state,running
183893.792495,7,sched_state,waiting
183893.792500,7,tick,""
183893.792501,3,sched_state,waiting
183893.792502,2,sched_state,waiting
183893.792506,3,tick,""
183893.792508,2,tick,""
183893.792507,1,sched_state,waiting
183893.792514,1,tick,""
183893.792556,2,sched_state,waiting
183893.792561,2,tick,""
183893.792564,3,sched_state,waiting
183893.792567,6,sched_state,waiting
183893.792573,3,tick,""
183893.792573,6,tick,""
183893.792584,1,sched_state,waiting
183893.792590,1,tick,""
183893.792633,2,sched_state,waiting
183893.792638,2,tick,""
183893.792647,7,sched_state,waiting
183893.792653,7,tick,""
183893.792656,3,sched_state,waiting
183893.792660,3,tick,""
183893.792707,3,sched_state,waiting
183893.792712,3,tick,""
183893.792746,3,sched_state,waiting
183893.792750,3,tick,""
183893.792758,2,sched_state,waiting
183893.792763,2,tick,""
183893.793259,0,tick,""
183893.793266,0,reduction,""
183893.793268,0,sched_state,running
183893.793328,4,sched_state,waiting
183893.793333,4,tick,""
183893.793349,3,sched_state,waiting
183893.793349,7,sched_state,waiting
183893.793355,3,tick,""
183893.793355,7,tick,""
183893.793387,4,sched_state,waiting
183893.793393,4,tick,""
183893.793409,3,sched_state,waiting
183893.793415,3,tick,""
183893.793429,4,sched_state,waiting
183893.793432,4,tick,""
183893.794547,6,sched_state,waiting
183893.794553,6,tick,""
183893.794552,0,tick,""
183893.794558,0,reduction,""
183893.794560,0,sched_state,running
183893.794577,4,sched_state,waiting
183893.794585,4,tick,""
183893.794625,4,sched_state,waiting
183893.794630,4,tick,""
183893.794654,4,sched_state,waiting
183893.794658,4,tick,""
183893.794663,6,sched_state,waiting
183893.794669,6,tick,""
183893.794702,4,sched_state,waiting
183893.794704,4,tick,""
183893.794754,6,sched_state,waiting
183893.794759,6,tick,""
183893.795229,7,sched_state,waiting
183893.795235,7,tick,""
183893.795241,0,tick,""
183893.795247,0,reduction,""
183893.795249,0,sched_state,running
183893.795880,5,sched_state,waiting
183893.795889,5,tick,""
183893.795915,2,sched_state,waiting
183893.795916,6,sched_state,waiting
183893.795915,3,sched_state,waiting
183893.795921,6,tick,""
183893.795921,2,tick,""
183893.795923,3,tick,""
183893.795936,1,sched_state,waiting
183893.795942,1,tick,""
183893.795950,4,sched_state,waiting
183893.795958,4,tick,""
183893.795958,5,sched_state,waiting
183893.795963,5,tick,""
183893.795974,3,sched_state,waiting
183893.795980,3,tick,""
183893.795997,6,sched_state,waiting
183893.796002,6,tick,""
183893.796011,5,sched_state,waiting
183893.796016,5,tick,""
183893.796026,3,sched_state,waiting
183893.796031,3,tick,""
183893.796054,6,sched_state,waiting
183893.796059,6,tick,""
183893.796064,5,sched_state,waiting
183893.796069,5,tick,""
183893.796095,6,sched_state,waiting
183893.796099,6,tick,""
183893.796119,5,sched_state,waiting
183893.796124,5,tick,""
183893.796126,3,sched_state,waiting
183893.796135,3,tick,""
183893.796160,5,sched_state,waiting
183893.796161,6,sched_state,waiting
183893.796165,5,tick,""
183893.796167,6,tick,""
183893.796209,5,sched_state,waiting
183893.796215,5,tick,""
183893.796225,3,sched_state,waiting
183893.796230,3,tick,""
183893.796248,5,sched_state,waiting
183893.796249,6,sched_state,waiting
183893.796252,5,tick,""
183893.796256,6,tick,""
183893.796272,0,tick,""
183893.796273,3,sched_state,waiting
183893.796276,0,reduction,""
183893.796277,3,tick,""
183893.796278,0,sched_state,running
183893.796293,5,sched_state,waiting
183893.796298,5,tick,""
183893.796299,1,sched_state,waiting
183893.796301,6,sched_state,waiting
183893.796302,4,sched_state,waiting
183893.796303,1,tick,""
183893.796306,6,tick,""
183893.796307,4,tick,""
183893.796320,7,sched_state,waiting
183893.796323,3,sched_state,waiting
183893.796324,7,tick,""
183893.796327,3,tick,""
183893.796341,4,sched_state,waiting
183893.796344,4,tick,""
183893.796351,1,sched_state,waiting
183893.796355,6,sched_state,waiting
183893.796356,1,tick,""
183893.796359,6,tick,""
183893.796373,7,sched_state,waiting
183893.796377,7,tick,""
183893.796387,4,sched_state,waiting
183893.796390,4,tick,""
183893.796396,3,sched_state,waiting
183893.796401,3,tick,""
183893.796417,7,sched_state,waiting
183893.796421,6,sched_state,waiting
183893.796422,7,tick,""
183893.796425,6,tick,""
183893.796439,3,sched_state,waiting
183893.796444,3,tick,""
183893.796453,7,sched_state,waiting
183893.796457,7,tick,""
183893.796460,1,sched_state,waiting
183893.796465,1,tick,""
183893.796492,7,sched_state,waiting
183893.796492,3,sched_state,waiting
183893.796492,6,sched_state,waiting
183893.796497,7,tick,""
183893.796497,3,tick,""
183893.796498,6,tick,""
183893.796516,1,sched_state,waiting
183893.796521,1,tick,""
183893.796521,4,sched_state,waiting
183893.796525,4,tick,""
183893.796547,3,sched_state,waiting
183893.796551,6,sched_state,waiting
183893.796551,3,tick,""
183893.796555,6,tick,""
183893.796580,4,sched_state,waiting
183893.796585,4,tick,""
183893.796604,1,sched_state,waiting
183893.796609,1,tick,""
183893.796618,6,sched_state,waiting
183893.796623,6,tick,""
183893.796627,7,sched_state,waiting
183893.796632,7,tick,""
183893.796647,1,sched_state,waiting
183893.796649,3,sched_state,waiting
183893.796650,1,tick,""
183893.796653,3,tick,""
183893.796663,4,sched_state,waiting
183893.796666,4,tick,""
183893.796668,6,sched_state,waiting
183893.796673,6,tick,""
183893.796698,7,sched_state,waiting
183893.796703,7,tick,""
183893.796706,4,sched_state,waiting
183893.796709,4,tick,""
183893.796720,3,sched_state,waiting
183893.796726,3,tick,""
183893.796745,4,sched_state,waiting
183893.796748,4,tick,""
183893.796763,6,sched_state,waiting
183893.796768,6,tick,""
183893.796781,3,sched_state,waiting
183893.796787,4,sched_state,waiting
183893.796792,4,tick,""
183893.796795,3,tick,""
183893.796820,6,sched_state,waiting
183893.796825,6,tick,""
183893.796827,4,sched_state,waiting
183893.796833,4,tick,""
183893.796846,3,sched_state,waiting
183893.796851,3,tick,""
183893.796882,6,sched_state,waiting
183893.796887,6,tick,""
183893.796944,2,sched_state,waiting
183893.796944,6,sched_state,waiting
183893.796945,0,tick,""
183893.796949,2,tick,""
183893.796949,6,tick,""
183893.796951,0,reduction,""
183893.796953,0,sched_state,running
183893.796990,7,sched_state,waiting
183893.796992,4,sched_state,waiting
183893.796994,3,sched_state,waiting
183893.796996,7,tick,""
183893.796999,6,sched_state,waiting
183893.797001,3,tick,""
183893.797001,4,tick,""
183893.797001,5,sched_state,waiting
183893.797004,6,tick,""
183893.797007,5,tick,""
183893.797046,3,sched_state,waiting
183893.797051,3,tick,""
183893.797066,7,sched_state,waiting
183893.797071,7,tick,""
183893.797078,6,sched_state,waiting
183893.797083,6,tick,""
183893.797098,3,sched_state,waiting
183893.797103,3,tick,""
183893.797107,5,sched_state,waiting
183893.797113,5,tick,""
183893.797123,4,sched_state,waiting
183893.797128,4,tick,""
183893.797127,7,sched_state,waiting
183893.797132,7,tick,""
183893.797149,3,sched_state,waiting
183893.797151,5,sched_state,waiting
183893.797154,3,tick,""
183893.797155,5,tick,""
183893.797169,4,sched_state,waiting
183893.797172,4,tick,""
183893.797199,5,sched_state,waiting
183893.797204,5,tick,""
183893.797205,3,sched_state,waiting
183893.797211,3,tick,""
183893.797220,7,sched_state,waiting
183893.797225,7,tick,""
183893.797239,5,sched_state,waiting
183893.797243,5,tick,""
183893.797256,3,sched_state,waiting
183893.797261,7,sched_state,waiting
183893.797261,3,tick,""
183893.797265,7,tick,""
183893.797304,5,sched_state,waiting
183893.797308,5,tick,""
183893.797314,7,sched_state,waiting
183893.797319,7,tick,""
183893.797350,5,sched_state,waiting
183893.797354,5,tick,""
183893.797392,5,sched_state,waiting
183893.797397,5,tick,""
183893.797432,5,sched_state,waiting
183893.797437,5,tick,""
183893.797518,5,sched_state,waiting
183893.797523,5,tick,""
183893.797560,5,sched_state,waiting
183893.797565,5,tick,""
183893.797597,5,sched_state,waiting
183893.797602,5,tick,""
183893.797613,1,sched_state,waiting
183893.797618,1,tick,""
183893.797618,0,tick,""
183893.797624,0,reduction,""
183893.797626,0,sched_state,running
183893.797630,2,sched_state,waiting
183893.797635,2,tick,""
183893.797634,4,sched_state,waiting
183893.797638,4,tick,""
183893.797639,7,sched_state,waiting
183893.797644,7,tick,""
183893.797646,5,sched_state,waiting
183893.797651,5,tick,""
183893.797671,6,sched_state,waiting
183893.797677,6,tick,""
183893.797686,1,sched_state,waiting
183893.797691,1,tick,""
183893.797728,6,sched_state,waiting
183893.797733,6,tick,""
183893.797771,6,sched_state,waiting
183893.797776,6,tick,""
183893.797790,4,sched_state,waiting
183893.797794,4,tick,""
183893.797803,6,sched_state,waiting
183893.797806,7,sched_state,waiting
183893.797807,6,tick,""
183893.797807,1,sched_state,waiting
183893.797812,7,tick,""
183893.797813,1,tick,""
183893.797823,4,sched_state,waiting
183893.797826,4,tick,""
183893.797835,2,sched_state,waiting
183893.797840,2,tick,""
183893.797863,6,sched_state,waiting
183893.797866,7,sched_state,waiting
183893.797868,6,tick,""
183893.797870,7,tick,""
183893.797908,7,sched_state,waiting
183893.797912,7,tick,""
183893.797918,1,sched_state,waiting
183893.797924,1,tick,""
183893.797944,4,sched_state,waiting
183893.797947,4,tick,""
183893.797954,7,sched_state,waiting
183893.797959,7,tick,""
183893.797966,1,sched_state,waiting
183893.797971,1,tick,""
183893.797985,4,sched_state,waiting
183893.797988,4,tick,""
183893.798004,7,sched_state,waiting
183893.798009,7,tick,""
183893.798022,4,sched_state,waiting
183893.798025,4,tick,""
183893.798051,4,sched_state,waiting
183893.798051,1,sched_state,waiting
183893.798054,4,tick,""
183893.798056,1,tick,""
183893.798069,7,sched_state,waiting
183893.798074,7,tick,""
183893.798084,4,sched_state,waiting
183893.798087,4,tick,""
183893.798095,1,sched_state,waiting
183893.798099,1,tick,""
183893.798111,7,sched_state,waiting
183893.798116,7,tick,""
183893.798125,4,sched_state,waiting
183893.798128,4,tick,""
183893.798156,1,sched_state,waiting
183893.798161,1,tick,""
183893.798170,4,sched_state,waiting
183893.798173,4,tick,""
183893.798206,4,sched_state,waiting
183893.798209,4,tick,""
183893.798238,4,sched_state,waiting
183893.798240,4,tick,""
183893.798266,4,sched_state,waiting
183893.798269,4,tick,""
183893.798290,4,sched_state,waiting
183893.798293,4,tick,""
183893.798294,0,tick,""
183893.798296,3,sched_state,waiting
183893.798301,0,reduction,""
183893.798302,3,tick,""
183893.798303,0,sched_state,running
183893.798319,4,sched_state,waiting
183893.798322,4,tick,""
183893.798323,2,sched_state,waiting
183893.798328,2,tick,""
183893.798330,1,sched_state,waiting
183893.798330,7,sched_state,waiting
183893.798334,1,tick,""
183893.798335,7,tick,""
183893.798361,4,sched_state,waiting
183893.798362,3,sched_state,waiting
183893.798364,4,tick,""
183893.798367,3,tick,""
183893.798375,6,sched_state,waiting
183893.798381,6,tick,""
183893.798383,2,sched_state,waiting
183893.798386,2,tick,""
183893.798397,4,sched_state,waiting
183893.798397,7,sched_state,waiting
183893.798401,4,tick,""
183893.798402,7,tick,""
183893.798404,1,sched_state,waiting
183893.798412,1,tick,""
183893.798433,2,sched_state,waiting
183893.798437,2,tick,""
183893.798445,6,sched_state,waiting
183893.798446,7,sched_state,waiting
183893.798450,6,tick,""
183893.798451,7,tick,""
183893.798459,1,sched_state,waiting
183893.798466,1,tick,""
183893.798475,2,sched_state,waiting
183893.798476,3,sched_state,waiting
183893.798479,2,tick,""
183893.798481,3,tick,""
183893.798513,2,sched_state,waiting
183893.798518,2,tick,""
183893.798542,6,sched_state,waiting
183893.798544,7,sched_state,waiting
183893.798547,6,tick,""
183893.798548,7,tick,""
183893.798557,2,sched_state,waiting
183893.798562,2,tick,""
183893.798590,1,sched_state,waiting
183893.798596,1,tick,""
183893.798616,7,sched_state,waiting
183893.798620,7,tick,""
183893.798632,2,sched_state,waiting
183893.798637,2,tick,""
183893.798649,1,sched_state,waiting
183893.798655,1,tick,""
183893.798665,7,sched_state,waiting
183893.798670,7,tick,""
183893.798678,2,sched_state,waiting
183893.798683,2,tick,""
183893.798687,1,sched_state,waiting
183893.798696,1,tick,""
183893.798715,7,sched_state,waiting
183893.798720,7,tick,""
183893.798730,1,sched_state,waiting
183893.798735,1,tick,""
183893.798763,7,sched_state,waiting
183893.798768,7,tick,""
183893.798781,1,sched_state,waiting
183893.798786,1,tick,""
183893.798810,7,sched_state,waiting
183893.798814,7,tick,""
183893.798850,7,sched_state,waiting
183893.798855,7,tick,""
183893.798895,7,sched_state,waiting
183893.798900,7,tick,""
183893.798937,7,sched_state,waiting
183893.798942,7,tick,""
183893.798957,5,sched_state,waiting
183893.798963,5,tick,""
183893.798970,0,tick,""
183893.798975,0,reduction,""
183893.798977,0,sched_state,running
183893.798990,7,sched_state,waiting
183893.798999,7,tick,""
183893.799030,7,sched_state,waiting
183893.799035,7,tick,""
183893.799066,7,sched_state,waiting
183893.799070,7,tick,""
183893.800251,0,tick,""
183893.800257,0,reduction,""
183893.800259,0,sched_state,running
183893.800937,0,tick,""
183893.800942,0,reduction,""
183893.800944,0,sched_state,running
183893.801617,0,tick,""
183893.801624,0,reduction,""
183893.801626,0,sched_state,running
183893.802303,0,tick,""
183893.802505,0,reduction,""
183893.802512,0,sched_state,running
183893.803193,0,tick,""
183893.803212,0,reduction,""
183893.803214,0,sched_state,running
183893.803235,4,sched_state,waiting
183893.803238,3,sched_state,waiting
183893.803243,4,tick,""
183893.803245,3,tick,""
183893.803243,6,sched_state,waiting
183893.803244,2,sched_state,waiting
183893.803252,6,tick,""
183893.803252,2,tick,""
183893.803257,7,sched_state,waiting
183893.803263,7,tick,""
183893.803284,4,sched_state,waiting
183893.803288,4,tick,""
183893.803291,5,sched_state,waiting
183893.803297,5,tick,""
183893.803303,7,sched_state,waiting
183893.803305,6,sched_state,waiting
183893.803307,7,tick,""
183893.803317,6,tick,""
