timestamp,lpu,event,value
170593.608560,6,sched_state,startup
170593.608560,7,sched_state,startup
170593.608563,4,sched_state,startup
170593.608564,2,sched_state,startup
170593.608565,3,sched_state,startup
170593.608565,1,sched_state,startup
170593.608571,5,sched_state,startup
170593.608907,6,tick,""
170593.608925,4,tick,""
170593.608945,0,sched_state,startup
170593.608979,3,tick,""
170593.608982,7,tick,""
170593.608997,2,tick,""
170593.609005,1,tick,""
170593.609005,5,tick,""
170593.609100,0,tick,""
170593.609208,4,queue_length,0
170593.609209,6,queue_length,0
170593.609213,4,sched_state,waiting
170593.609218,6,sched_state,waiting
170593.609220,4,tick,""
170593.609228,6,tick,""
170593.612352,5,queue_length,0
170593.612362,2,queue_length,0
170593.612363,1,queue_length,0
170593.612370,1,sched_state,waiting
170593.612367,5,sched_state,waiting
170593.612372,2,sched_state,waiting
170593.612378,7,queue_length,0
170593.612381,3,queue_length,0
170593.612382,1,tick,""
170593.612382,5,tick,""
170593.612384,2,tick,""
170593.612387,3,sched_state,waiting
170593.612387,7,sched_state,waiting
170593.612401,3,tick,""
170593.612401,7,tick,""
170593.612650,0,queue_length,0
170593.612988,5,sched_state,waiting
170593.613004,1,sched_state,waiting
170593.613012,5,tick,""
170593.613014,1,tick,""
170593.613015,2,sched_state,waiting
170593.613025,2,tick,""
170593.613071,5,sched_state,waiting
170593.613073,4,sched_state,waiting
170593.613079,5,tick,""
170593.613081,4,tick,""
170593.613104,1,sched_state,waiting
170593.613111,1,tick,""
170593.613119,5,sched_state,waiting
170593.613123,5,tick,""
170593.613124,0,sched_state,running
170593.613158,2,sched_state,waiting
170593.613163,2,tick,""
170593.613172,1,sched_state,waiting
170593.613177,1,tick,""
170593.613199,4,sched_state,waiting
170593.613199,2,sched_state,waiting
170593.613203,4,tick,""
170593.613204,2,tick,""
170593.613210,5,sched_state,waiting
170593.613215,5,tick,""
170593.613260,5,sched_state,waiting
170593.613267,5,tick,""
170593.613269,4,sched_state,waiting
170593.613272,4,tick,""
170593.613286,1,sched_state,waiting
170593.613294,1,tick,""
170593.613316,4,sched_state,waiting
170593.613319,4,tick,""
170593.613321,0,tick,""
170593.613332,0,reduction,""
170593.613334,0,sched_state,running
170593.613343,2,sched_state,waiting
170593.613348,6,sched_state,waiting
170593.613352,2,tick,""
170593.613353,6,tick,""
170593.613354,4,sched_state,waiting
170593.613358,4,tick,""
170593.613384,5,sched_state,waiting
170593.613389,5,tick,""
170593.613410,2,sched_state,waiting
170593.613414,2,tick,""
170593.613425,5,sched_state,waiting
170593.613430,5,tick,""
170593.613442,6,sched_state,waiting
170593.613448,6,tick,""
170593.613458,4,sched_state,waiting
170593.613459,5,sched_state,waiting
170593.613461,4,tick,""
170593.613464,5,tick,""
170593.613467,2,sched_state,waiting
170593.613478,2,tick,""
170593.613498,7,sched_state,waiting
170593.613500,4,sched_state,waiting
170593.613499,0,tick,""
170593.613503,4,tick,""
170593.613507,7,tick,""
170593.613505,0,reduction,""
170593.613513,0,sched_state,running
170593.613517,1,sched_state,waiting
170593.613520,3,sched_state,waiting
170593.613523,1,tick,""
170593.613525,2,sched_state,waiting
170593.613527,3,tick,""
170593.613530,2,tick,""
170593.613565,1,sched_state,waiting
170593.613567,3,sched_state,waiting
170593.613569,1,tick,""
170593.613572,3,tick,""
170593.613584,2,sched_state,waiting
170593.613589,2,tick,""
170593.613602,1,sched_state,waiting
170593.613607,1,tick,""
170593.613625,2,sched_state,waiting
170593.613630,2,tick,""
170593.613634,5,sched_state,waiting
170593.613639,5,tick,""
170593.613643,1,sched_state,waiting
170593.613647,1,tick,""
170593.613662,0,tick,""
170593.613667,0,reduction,""
170593.613670,0,sched_state,running
170593.613685,1,sched_state,waiting
170593.613689,5,sched_state,waiting
170593.613690,1,tick,""
170593.613693,5,tick,""
170593.613718,1,sched_state,waiting
170593.613723,1,tick,""
170593.613723,5,sched_state,waiting
170593.613727,5,tick,""
170593.613749,1,sched_state,waiting
170593.613754,1,tick,""
170593.613754,5,sched_state,waiting
170593.613758,5,tick,""
170593.613802,5,sched_state,waiting
170593.613806,5,tick,""
170593.613816,0,tick,""
170593.613817,6,sched_state,waiting
170593.613820,0,reduction,""
170593.613822,0,sched_state,running
170593.613822,6,tick,""
170593.613832,1,sched_state,waiting
170593.613835,7,sched_state,waiting
170593.613836,1,tick,""
170593.613841,7,tick,""
170593.613843,2,sched_state,waiting
170593.613847,5,sched_state,waiting
170593.613848,2,tick,""
170593.613851,5,tick,""
170593.613852,3,sched_state,waiting
170593.613857,3,tick,""
170593.613884,6,sched_state,waiting
170593.613890,6,tick,""
170593.613894,4,sched_state,waiting
170593.613898,4,tick,""
170593.613897,0,tick,""
170593.613902,0,reduction,""
170593.613904,0,sched_state,running
170593.613914,5,sched_state,waiting
170593.613918,2,sched_state,waiting
170593.613919,5,tick,""
170593.613923,2,tick,""
170593.613926,1,sched_state,waiting
170593.613930,1,tick,""
170593.613947,7,sched_state,waiting
170593.613952,7,tick,""
170593.613953,4,sched_state,waiting
170593.613956,4,tick,""
170593.613969,5,sched_state,waiting
170593.613973,5,tick,""
170593.613976,1,sched_state,waiting
170593.613978,2,sched_state,waiting
170593.613980,1,tick,""
170593.613983,2,tick,""
170593.613992,6,sched_state,waiting
170593.613993,4,sched_state,waiting
170593.613996,4,tick,""
170593.613997,6,tick,""
170593.614000,3,sched_state,waiting
170593.614004,0,tick,""
170593.614005,3,tick,""
170593.614008,0,reduction,""
170593.614011,0,sched_state,running
170593.614028,2,sched_state,waiting
170593.614033,2,tick,""
170593.614036,5,sched_state,waiting
170593.614040,5,tick,""
170593.614050,7,sched_state,waiting
170593.614053,3,sched_state,waiting
170593.614054,7,tick,""
170593.614056,3,tick,""
170593.614066,4,sched_state,waiting
170593.614067,2,sched_state,waiting
170593.614069,4,tick,""
170593.614071,2,tick,""
170593.614076,5,sched_state,waiting
170593.614081,5,tick,""
170593.614099,4,sched_state,waiting
170593.614102,4,tick,""
170593.614103,6,sched_state,waiting
170593.614108,6,tick,""
170593.614118,3,sched_state,waiting
170593.614120,7,sched_state,waiting
170593.614123,7,tick,""
170593.614123,3,tick,""
170593.614132,2,sched_state,waiting
