timestamp,lpu,event,value
172157.555082,7,sched_state,startup
172157.555112,3,sched_state,startup
172157.555116,2,sched_state,startup
172157.555117,6,sched_state,startup
172157.555122,1,sched_state,startup
172157.555134,5,sched_state,startup
172157.555146,4,sched_state,startup
172157.556637,4,tick,""
172157.556829,7,tick,""
172157.556842,0,sched_state,startup
172157.557106,2,tick,""
172157.557120,6,tick,""
172157.557124,1,tick,""
172157.557132,3,tick,""
172157.557193,5,tick,""
172157.558061,6,queue_length,0
172157.558082,2,queue_length,0
172157.558094,0,tick,""
172157.558100,6,sched_state,waiting
172157.558100,2,sched_state,waiting
172157.558164,1,queue_length,0
172157.558181,1,sched_state,waiting
172157.558185,6,tick,""
172157.558187,7,queue_length,0
172157.558185,2,tick,""
172157.558208,7,sched_state,waiting
172157.558227,4,queue_length,0
172157.558228,1,tick,""
172157.558240,4,sched_state,waiting
172157.558341,4,tick,""
172157.558342,7,tick,""
172157.560656,0,queue_length,0
172157.560712,5,queue_length,0
172157.560720,3,queue_length,0
172157.560721,5,sched_state,waiting
172157.560727,3,sched_state,waiting
172157.560753,5,tick,""
172157.560758,3,tick,""
172157.561477,2,sched_state,waiting
172157.561495,1,sched_state,waiting
172157.561502,1,tick,""
172157.561507,5,sched_state,waiting
172157.561574,2,tick,""
172157.561597,3,sched_state,waiting
172157.561604,3,tick,""
172157.561605,5,tick,""
172157.561614,7,sched_state,waiting
172157.561620,7,tick,""
172157.561635,1,sched_state,waiting
172157.561645,1,tick,""
172157.561652,3,sched_state,waiting
172157.561654,7,sched_state,waiting
172157.561658,7,tick,""
172157.561659,2,sched_state,waiting
172157.561660,3,tick,""
172157.561667,2,tick,""
172157.561705,7,sched_state,waiting
172157.561710,7,tick,""
172157.561712,2,sched_state,waiting
172157.561717,2,tick,""
172157.561753,3,sched_state,waiting
172157.561758,3,tick,""
172157.561769,2,sched_state,waiting
172157.561774,2,tick,""
172157.561793,3,sched_state,waiting
172157.561797,3,tick,""
172157.561809,2,sched_state,waiting
172157.561814,2,tick,""
172157.561821,7,sched_state,waiting
172157.561826,7,tick,""
172157.561832,3,sched_state,waiting
172157.561838,3,tick,""
172157.561870,3,sched_state,waiting
172157.561870,1,sched_state,waiting
172157.561875,3,tick,""
172157.561877,1,tick,""
172157.561888,2,sched_state,waiting
172157.561893,2,tick,""
172157.561908,3,sched_state,waiting
172157.561912,3,tick,""
172157.561947,2,sched_state,waiting
172157.561951,2,tick,""
172157.561971,3,sched_state,waiting
172157.561978,3,tick,""
172157.561999,2,sched_state,waiting
172157.562004,2,tick,""
172157.562011,3,sched_state,waiting
172157.562015,3,tick,""
172157.562038,2,sched_state,waiting
172157.562042,2,tick,""
172157.562055,3,sched_state,waiting
172157.562059,3,tick,""
172157.562084,2,sched_state,waiting
172157.562089,2,tick,""
172157.562094,3,sched_state,waiting
172157.562098,3,tick,""
172157.562130,3,sched_state,waiting
172157.562134,3,tick,""
172157.562167,2,sched_state,waiting
172157.562169,3,sched_state,waiting
172157.562172,2,tick,""
172157.562173,3,tick,""
172157.562207,2,sched_state,waiting
172157.562212,2,tick,""
172157.562246,2,sched_state,waiting
172157.562251,2,tick,""
172157.562277,2,sched_state,waiting
172157.562281,2,tick,""
172157.562360,2,sched_state,waiting
172157.562366,2,tick,""
172157.562428,2,sched_state,waiting
172157.562433,2,tick,""
172157.562463,2,sched_state,waiting
172157.562468,2,tick,""
172157.562504,2,sched_state,waiting
172157.562509,2,tick,""
172157.562545,2,sched_state,waiting
172157.562550,2,tick,""
172157.562582,2,sched_state,waiting
172157.562587,2,tick,""
172157.562623,2,sched_state,waiting
172157.562628,2,tick,""
172157.562655,2,sched_state,waiting
172157.562660,2,tick,""
172157.562691,2,sched_state,waiting
172157.562696,2,tick,""
172157.562739,2,sched_state,waiting
172157.562744,2,tick,""
172157.562777,2,sched_state,waiting
172157.562781,2,tick,""
172157.562986,0,sched_state,running
172157.563007,4,sched_state,waiting
172157.563012,4,tick,""
172157.563020,1,sched_state,waiting
172157.563026,1,tick,""
172157.563029,2,sched_state,waiting
172157.563034,2,tick,""
172157.563034,3,sched_state,waiting
172157.563041,3,tick,""
172157.563060,6,sched_state,waiting
172157.563066,6,tick,""
172157.563086,7,sched_state,waiting
172157.563092,7,tick,""
172157.563101,4,sched_state,waiting
172157.563105,4,tick,""
172157.563173,2,sched_state,waiting
172157.563179,2,tick,""
172157.563208,7,sched_state,waiting
172157.563213,7,tick,""
172157.563234,6,sched_state,waiting
172157.563239,6,tick,""
172157.563257,2,sched_state,waiting
172157.563263,2,tick,""
172157.563265,3,sched_state,waiting
172157.563270,3,tick,""
172157.563283,6,sched_state,waiting
172157.563284,1,sched_state,waiting
172157.563288,6,tick,""
172157.563287,7,sched_state,waiting
172157.563291,1,tick,""
172157.563292,7,tick,""
172157.563468,6,sched_state,waiting
172157.563473,6,tick,""
172157.563504,7,sched_state,waiting
172157.563514,7,tick,""
172157.563517,1,sched_state,waiting
172157.563525,1,tick,""
172157.563528,6,sched_state,waiting
172157.563532,6,tick,""
172157.563552,7,sched_state,waiting
172157.563557,7,tick,""
172157.563575,6,sched_state,waiting
172157.563579,6,tick,""
172157.563586,1,sched_state,waiting
172157.563592,1,tick,""
172157.563592,7,sched_state,waiting
172157.563597,7,tick,""
172157.563619,6,sched_state,waiting
172157.563624,6,tick,""
172157.563643,7,sched_state,waiting
172157.563645,1,sched_state,waiting
172157.563650,7,tick,""
172157.563651,1,tick,""
172157.563692,7,sched_state,waiting
172157.563697,7,tick,""
172157.563698,1,sched_state,waiting
172157.563703,1,tick,""
172157.563751,1,sched_state,waiting
172157.563756,1,tick,""
172157.563782,6,sched_state,waiting
172157.563788,6,tick,""
172157.563824,6,sched_state,waiting
172157.563829,6,tick,""
172157.563863,1,sched_state,waiting
172157.563865,6,sched_state,waiting
172157.563868,1,tick,""
172157.563870,6,tick,""
172157.563917,6,sched_state,waiting
172157.563918,1,sched_state,waiting
172157.563921,6,tick,""
172157.563923,1,tick,""
172157.563969,6,sched_state,waiting
172157.563973,6,tick,""
172157.564176,5,sched_state,waiting
172157.564178,0,tick,""
172157.564182,5,tick,""
172157.564187,0,reduction,""
172157.564189,0,sched_state,running
172157.564208,3,sched_state,waiting
172157.564214,3,tick,""
172157.564216,7,sched_state,waiting
172157.564219,1,sched_state,waiting
172157.564220,6,sched_state,waiting
172157.564222,7,tick,""
172157.564225,1,tick,""
172157.564226,6,tick,""
172157.564236,4,sched_state,waiting
172157.564241,4,tick,""
172157.564254,3,sched_state,waiting
172157.564259,3,tick,""
172157.564337,6,sched_state,waiting
172157.564341,4,sched_state,waiting
172157.564343,6,tick,""
172157.564344,4,tick,""
172157.564349,3,sched_state,waiting
172157.564353,3,tick,""
172157.564378,7,sched_state,waiting
172157.564383,7,tick,""
172157.564387,5,sched_state,waiting
172157.564389,6,sched_state,waiting
172157.564394,6,tick,""
172157.564394,5,tick,""
172157.564411,1,sched_state,waiting
172157.564417,1,tick,""
172157.564419,3,sched_state,waiting
172157.564424,3,tick,""
172157.564433,7,sched_state,waiting
172157.564438,7,tick,""
172157.564454,1,sched_state,waiting
172157.564459,1,tick,""
172157.564486,7,sched_state,waiting
172157.564491,7,tick,""
172157.564514,5,sched_state,waiting
172157.564520,5,tick,""
172157.564540,3,sched_state,waiting
172157.564544,3,tick,""
172157.564566,5,sched_state,waiting
172157.564570,5,tick,""
172157.564583,3,sched_state,waiting
172157.564587,3,tick,""
172157.564617,3,sched_state,waiting
172157.564621,3,tick,""
172157.564629,5,sched_state,waiting
172157.564634,5,tick,""
172157.564652,3,sched_state,waiting
172157.564656,3,tick,""
172157.564661,5,sched_state,waiting
172157.564666,5,tick,""
172157.564686,3,sched_state,waiting
172157.564690,3,tick,""
172157.564714,5,sched_state,waiting
172157.564718,5,tick,""
172157.564732,3,sched_state,waiting
172157.564737,3,tick,""
172157.565093,2,sched_state,waiting
172157.565100,2,tick,""
172157.565113,0,tick,""
172157.565119,0,reduction,""
172157.565121,0,sched_state,running
172157.565136,5,sched_state,waiting
172157.565136,3,sched_state,waiting
172157.565141,5,tick,""
172157.565142,3,tick,""
172157.565148,4,sched_state,waiting
172157.565156,4,tick,""
172157.565186,5,sched_state,waiting
172157.565190,5,tick,""
172157.565193,7,sched_state,waiting
172157.565195,4,sched_state,waiting
172157.565199,4,tick,""
172157.565199,7,tick,""
172157.565243,1,sched_state,waiting
172157.565249,1,tick,""
172157.565269,2,sched_state,waiting
172157.565276,2,tick,""
172157.565306,7,sched_state,waiting
172157.565311,7,tick,""
172157.565327,5,sched_state,waiting
172157.565332,5,tick,""
172157.565335,2,sched_state,waiting
172157.565340,2,tick,""
172157.565366,5,sched_state,waiting
172157.565371,5,tick,""
172157.565379,2,sched_state,waiting
172157.565384,2,tick,""
172157.565424,5,sched_state,waiting
172157.565425,2,sched_state,waiting
172157.565429,5,tick,""
172157.565430,2,tick,""
172157.565478,7,sched_state,waiting
172157.565481,5,sched_state,waiting
172157.565483,7,tick,""
172157.565488,5,tick,""
172157.565492,2,sched_state,waiting
172157.565497,2,tick,""
172157.565547,5,sched_state,waiting
172157.565553,5,tick,""
172157.565568,2,sched_state,waiting
172157.565573,2,tick,""
172157.565589,5,sched_state,waiting
172157.565594,5,tick,""
172157.565617,2,sched_state,waiting
172157.565622,2,tick,""
172157.565638,5,sched_state,waiting
172157.565642,5,tick,""
172157.565660,2,sched_state,waiting
172157.565665,2,tick,""
172157.565704,2,sched_state,waiting
172157.565709,2,tick,""
172157.565756,2,sched_state,waiting
172157.565761,2,tick,""
172157.565796,2,sched_state,waiting
172157.565800,2,tick,""
172157.565839,2,sched_state,waiting
172157.565848,2,tick,""
172157.565884,2,sched_state,waiting
172157.565889,2,tick,""
172157.565990,6,sched_state,waiting
172157.565996,6,tick,""
172157.565998,0,tick,""
172157.566001,0,reduction,""
172157.566006,0,sched_state,running
172157.566615,0,tick,""
172157.566634,4,sched_state,waiting
172157.566639,4,tick,""
172157.566643,5,sched_state,waiting
172157.566644,2,sched_state,waiting
172157.566643,1,sched_state,waiting
172157.566650,5,tick,""
172157.566651,2,tick,""
172157.566650,1,tick,""
172157.566654,7,sched_state,waiting
172157.566654,3,sched_state,waiting
172157.566663,3,tick,""
172157.566663,7,tick,""
172157.566708,2,sched_state,waiting
172157.566711,1,sched_state,waiting
172157.566713,2,tick,""
172157.566717,1,tick,""
172157.566727,5,sched_state,waiting
172157.566734,5,tick,""
172157.566746,7,sched_state,waiting
172157.566752,6,sched_state,waiting
172157.566756,2,sched_state,waiting
172157.566757,7,tick,""
172157.566758,6,tick,""
172157.566761,2,tick,""
172157.566767,4,sched_state,waiting
172157.566771,4,tick,""
172157.566778,1,sched_state,waiting
172157.566784,1,tick,""
172157.566786,3,sched_state,waiting
172157.566791,3,tick,""
172157.566805,5,sched_state,waiting
172157.566810,5,tick,""
172157.566813,7,sched_state,waiting
172157.566818,7,tick,""
172157.566838,4,sched_state,waiting
172157.566844,4,tick,""
172157.566859,1,sched_state,waiting
172157.566865,1,tick,""
172157.566866,7,sched_state,waiting
172157.566871,7,tick,""
172157.566872,3,sched_state,waiting
172157.566876,3,tick,""
172157.566882,6,sched_state,waiting
172157.566887,6,tick,""
172157.566892,5,sched_state,waiting
172157.566901,5,tick,""
172157.566911,4,sched_state,waiting
172157.566914,4,tick,""
172157.566922,7,sched_state,waiting
172157.566924,1,sched_state,waiting
172157.566927,7,tick,""
172157.566929,6,sched_state,waiting
172157.566929,1,tick,""
172157.566934,6,tick,""
172157.566938,3,sched_state,waiting
172157.566942,3,tick,""
172157.566962,5,sched_state,waiting
172157.566966,5,tick,""
172157.566978,4,sched_state,waiting
172157.566978,6,sched_state,waiting
172157.566981,4,tick,""
172157.566982,6,tick,""
172157.566987,1,sched_state,waiting
