timestamp,lpu,event,value
170608.733511,6,sched_state,startup
170608.733514,1,sched_state,startup
170608.733513,5,sched_state,startup
170608.733512,4,sched_state,startup
170608.733518,2,sched_state,startup
170608.733535,7,sched_state,startup
170608.733595,4,tick,""
170608.734095,0,sched_state,startup
170608.734107,3,sched_state,startup
170608.734127,2,tick,""
170608.734127,6,tick,""
170608.734129,7,tick,""
170608.734164,1,tick,""
170608.734588,6,queue_length,0
170608.734596,6,sched_state,waiting
170608.734164,5,tick,""
170608.734603,3,tick,""
170608.734608,6,tick,""
170608.734616,5,queue_length,0
170608.734620,1,queue_length,0
170608.734625,1,sched_state,waiting
170608.734625,5,sched_state,waiting
170608.734630,4,queue_length,0
170608.734633,3,queue_length,0
170608.734634,4,sched_state,waiting
170608.734635,1,tick,""
170608.734639,5,tick,""
170608.734639,3,sched_state,waiting
170608.734644,4,tick,""
170608.734659,3,tick,""
170608.734743,0,tick,""
170608.735161,0,queue_length,0
170608.735897,0,sched_state,running
170608.736371,0,tick,""
170608.736396,0,reduction,""
170608.736402,0,sched_state,running
170608.736810,0,tick,""
170608.736828,0,reduction,""
170608.736833,0,sched_state,running
170608.737076,0,tick,""
170608.737086,0,reduction,""
170608.737091,0,sched_state,running
170608.737329,0,tick,""
170608.737339,0,reduction,""
170608.737343,0,sched_state,running
170608.737581,0,tick,""
170608.737590,0,reduction,""
170608.737595,0,sched_state,running
170608.737829,0,tick,""
170608.737838,0,reduction,""
170608.737843,0,sched_state,running
170608.738079,0,tick,""
170608.738088,0,reduction,""
170608.738093,0,sched_state,running
170608.738333,0,tick,""
170608.738342,0,reduction,""
170608.738347,0,sched_state,running
170608.738588,0,tick,""
170608.738598,0,reduction,""
170608.738602,0,sched_state,running
170608.738987,0,tick,""
170608.739080,7,queue_length,0
170608.739109,7,sched_state,waiting
170608.739114,2,queue_length,0
170608.739136,7,tick,""
170608.739137,2,sched_state,waiting
170608.739201,2,tick,""
170608.739805,1,sched_state,waiting
170608.739812,1,tick,""
170608.739830,3,sched_state,waiting
170608.739834,5,sched_state,waiting
170608.739840,3,tick,""
170608.739842,5,tick,""
170608.739855,6,sched_state,waiting
170608.739864,6,tick,""
170608.739899,4,sched_state,waiting
170608.739899,3,sched_state,waiting
170608.739905,4,tick,""
170608.739905,3,tick,""
170608.739943,3,sched_state,waiting
170608.739948,3,tick,""
170608.739975,4,sched_state,waiting
170608.739979,4,tick,""
170608.739998,3,sched_state,waiting
170608.740004,3,tick,""
170608.740040,3,sched_state,waiting
170608.740048,3,tick,""
