timestamp,lpu,event,value
173702.989499,4,sched_state,startup
173702.989500,6,sched_state,startup
173702.989501,1,sched_state,startup
173702.989497,5,sched_state,startup
173702.989501,2,sched_state,startup
173702.989516,7,sched_state,startup
173702.989527,3,sched_state,startup
173702.991162,4,tick,""
173702.991196,0,sched_state,startup
173702.991938,7,tick,""
173702.991942,3,tick,""
173702.991943,1,tick,""
173702.991943,5,tick,""
173702.991971,2,tick,""
173702.991975,6,tick,""
173702.992862,7,queue_length,0
173702.992883,7,sched_state,waiting
173702.992950,1,queue_length,0
173702.992949,6,queue_length,0
173702.992960,2,queue_length,0
173702.992974,1,sched_state,waiting
173702.992990,2,sched_state,waiting
173702.992990,6,sched_state,waiting
173702.993071,0,tick,""
173702.993093,4,queue_length,0
173702.993096,4,sched_state,waiting
173702.992934,5,queue_length,0
173702.993148,5,sched_state,waiting
173702.993244,3,queue_length,0
173702.993257,3,sched_state,waiting
173702.993263,7,tick,""
173702.993263,1,tick,""
173702.993263,5,tick,""
173702.993311,2,tick,""
173702.993311,6,tick,""
173702.993417,3,tick,""
173702.993430,4,tick,""
173702.997816,0,queue_length,0
173702.998064,6,sched_state,waiting
173702.998072,6,tick,""
173702.998105,2,sched_state,waiting
173702.998106,5,sched_state,waiting
173702.998113,2,tick,""
173702.998115,5,tick,""
173702.998128,4,sched_state,waiting
173702.998135,4,tick,""
173702.998178,4,sched_state,waiting
173702.998183,4,tick,""
173702.998205,4,sched_state,waiting
173702.998208,4,tick,""
173702.999300,0,sched_state,running
173702.999311,1,sched_state,waiting
173702.999317,1,tick,""
173702.999334,7,sched_state,waiting
173702.999341,2,sched_state,waiting
173702.999343,7,tick,""
173702.999341,6,sched_state,waiting
173702.999350,6,tick,""
173702.999399,7,sched_state,waiting
173702.999404,7,tick,""
173702.999454,4,sched_state,waiting
173702.999458,2,tick,""
173702.999464,4,tick,""
173702.999477,1,sched_state,waiting
173702.999482,1,tick,""
173702.999497,3,sched_state,waiting
173702.999499,6,sched_state,waiting
173702.999504,6,tick,""
173702.999505,3,tick,""
173702.999518,7,sched_state,waiting
173702.999522,2,sched_state,waiting
173702.999525,7,tick,""
173702.999530,2,tick,""
173702.999531,1,sched_state,waiting
173702.999537,1,tick,""
173702.999568,4,sched_state,waiting
173702.999573,4,tick,""
173702.999589,3,sched_state,waiting
173702.999595,3,tick,""
173702.999597,7,sched_state,waiting
173702.999601,7,tick,""
173702.999613,2,sched_state,waiting
173702.999618,2,tick,""
173702.999618,4,sched_state,waiting
173702.999622,4,tick,""
173702.999622,6,sched_state,waiting
173702.999628,6,tick,""
173702.999637,1,sched_state,waiting
173702.999640,7,sched_state,waiting
173702.999643,1,tick,""
173702.999644,7,tick,""
173702.999674,6,sched_state,waiting
173702.999679,6,tick,""
173702.999694,4,sched_state,waiting
173702.999698,4,tick,""
173702.999705,2,sched_state,waiting
173702.999709,1,sched_state,waiting
173702.999711,2,tick,""
173702.999714,1,tick,""
173702.999737,6,sched_state,waiting
173702.999741,6,tick,""
173702.999751,7,sched_state,waiting
173702.999756,7,tick,""
173702.999757,2,sched_state,waiting
173702.999757,1,sched_state,waiting
173702.999762,2,tick,""
173702.999762,1,tick,""
173702.999771,4,sched_state,waiting
173702.999776,4,tick,""
173702.999796,6,sched_state,waiting
173702.999802,6,tick,""
173702.999812,1,sched_state,waiting
173702.999819,1,tick,""
173702.999819,4,sched_state,waiting
173702.999822,4,tick,""
173702.999822,2,sched_state,waiting
173702.999831,2,tick,""
173702.999839,6,sched_state,waiting
173702.999844,6,tick,""
173702.999857,4,sched_state,waiting
173702.999860,4,tick,""
173702.999861,1,sched_state,waiting
173702.999865,1,tick,""
173702.999887,6,sched_state,waiting
173702.999892,6,tick,""
173702.999895,2,sched_state,waiting
173702.999899,2,tick,""
173702.999909,4,sched_state,waiting
173702.999915,4,tick,""
173702.999932,2,sched_state,waiting
173702.999936,2,tick,""
173702.999944,4,sched_state,waiting
173702.999947,4,tick,""
173702.999956,6,sched_state,waiting
173702.999961,6,tick,""
173702.999983,4,sched_state,waiting
173702.999986,4,tick,""
173702.999988,2,sched_state,waiting
173702.999994,2,tick,""
173703.000015,4,sched_state,waiting
173703.000018,4,tick,""
173703.000050,4,sched_state,waiting
173703.000053,4,tick,""
173703.000085,6,sched_state,waiting
173703.000089,6,tick,""
173703.000125,6,sched_state,waiting
173703.000130,6,tick,""
173703.000164,6,sched_state,waiting
173703.000169,6,tick,""
173703.000169,4,sched_state,waiting
173703.000173,4,tick,""
173703.000201,4,sched_state,waiting
173703.000204,4,tick,""
173703.000227,6,sched_state,waiting
173703.000231,6,tick,""
173703.000250,4,sched_state,waiting
173703.000252,4,tick,""
173703.000275,4,sched_state,waiting
173703.000278,4,tick,""
173703.000572,5,sched_state,waiting
173703.000578,0,tick,""
173703.000579,5,tick,""
173703.000586,0,reduction,""
173703.000588,0,sched_state,running
173703.000611,3,sched_state,waiting
173703.000614,1,sched_state,waiting
173703.000616,3,tick,""
173703.000618,2,sched_state,waiting
173703.000619,1,tick,""
173703.000624,4,sched_state,waiting
173703.000626,2,tick,""
173703.000627,4,tick,""
173703.000629,6,sched_state,waiting
173703.000634,6,tick,""
173703.000672,6,sched_state,waiting
173703.000677,6,tick,""
173703.000680,1,sched_state,waiting
173703.000682,5,sched_state,waiting
173703.000685,1,tick,""
173703.000686,5,tick,""
173703.000700,4,sched_state,waiting
173703.000703,4,tick,""
173703.000711,3,sched_state,waiting
173703.000716,3,tick,""
173703.000718,6,sched_state,waiting
173703.000723,6,tick,""
173703.000745,4,sched_state,waiting
173703.000748,4,tick,""
173703.000749,5,sched_state,waiting
173703.000754,5,tick,""
173703.000757,6,sched_state,waiting
173703.000762,6,tick,""
173703.000795,5,sched_state,waiting
173703.000799,5,tick,""
173703.000901,6,sched_state,waiting
173703.000906,4,sched_state,waiting
173703.000907,6,tick,""
173703.000908,5,sched_state,waiting
173703.000911,4,tick,""
173703.000913,5,tick,""
173703.000950,1,sched_state,waiting
173703.000948,6,sched_state,waiting
173703.000955,1,tick,""
173703.000956,6,tick,""
173703.000965,3,sched_state,waiting
173703.000968,5,sched_state,waiting
173703.000971,3,tick,""
173703.000972,5,tick,""
173703.000994,1,sched_state,waiting
173703.000999,1,tick,""
173703.001005,6,sched_state,waiting
173703.001010,6,tick,""
173703.001014,3,sched_state,waiting
173703.001019,3,tick,""
173703.001046,1,sched_state,waiting
173703.001051,1,tick,""
173703.001079,6,sched_state,waiting
173703.001086,5,sched_state,waiting
173703.001088,6,tick,""
173703.001091,5,tick,""
173703.001092,1,sched_state,waiting
173703.001095,1,tick,""
173703.001128,6,sched_state,waiting
173703.001134,6,tick,""
173703.001148,1,sched_state,waiting
173703.001152,1,tick,""
173703.001163,5,sched_state,waiting
173703.001167,5,tick,""
173703.001184,1,sched_state,waiting
173703.001189,1,tick,""
173703.001201,5,sched_state,waiting
173703.001206,5,tick,""
173703.001229,6,sched_state,waiting
173703.001233,5,sched_state,waiting
173703.001234,6,tick,""
173703.001237,5,tick,""
173703.001250,7,sched_state,waiting
173703.001256,7,tick,""
173703.001256,0,tick,""
173703.001261,0,reduction,""
173703.001263,0,sched_state,running
173703.001270,2,sched_state,waiting
173703.001275,2,tick,""
173703.001286,1,sched_state,waiting
173703.001288,3,sched_state,waiting
173703.001291,1,tick,""
173703.001294,3,tick,""
173703.001308,5,sched_state,waiting
173703.001311,7,sched_state,waiting
173703.001313,5,tick,""
173703.001312,6,sched_state,waiting
173703.001316,7,tick,""
173703.001323,6,tick,""
173703.001342,1,sched_state,waiting
173703.001345,3,sched_state,waiting
173703.001345,5,sched_state,waiting
173703.001348,1,tick,""
173703.001349,5,tick,""
173703.001349,3,tick,""
173703.001361,6,sched_state,waiting
173703.001365,6,tick,""
173703.001407,6,sched_state,waiting
