timestamp,lpu,event,value
174956.443565,6,sched_state,startup
174956.443567,1,sched_state,startup
174956.443568,2,sched_state,startup
174956.443566,5,sched_state,startup
174956.443591,7,sched_state,startup
174956.443596,3,sched_state,startup
174956.443600,4,sched_state,startup
174956.443765,2,tick,""
174956.443768,6,tick,""
174956.443777,0,sched_state,startup
174956.443780,4,tick,""
174956.443786,5,tick,""
174956.443786,1,tick,""
174956.443792,0,queue_length,0
174956.443794,0,queue_length,0
174956.443796,0,queue_length,0
174956.443798,0,queue_length,0
174956.443798,7,tick,""
174956.443798,3,tick,""
174956.443801,0,queue_length,0
174956.443808,1,sched_state,waiting
174956.443810,2,sched_state,waiting
174956.443812,5,sched_state,waiting
174956.443815,4,sched_state,waiting
174956.443821,2,tick,""
174956.443825,4,tick,""
174956.443822,1,tick,""
174956.443826,5,tick,""
174956.443822,0,queue_length,0
174956.443831,0,queue_length,0
174956.443834,0,queue_length,0
174956.443837,0,queue_length,0
174956.443839,0,queue_length,0
174956.443840,2,sched_state,waiting
174956.443842,0,queue_length,0
174956.443842,4,sched_state,waiting
174956.443845,4,tick,""
174956.443844,2,tick,""
174956.443845,1,sched_state,waiting
174956.443846,5,sched_state,waiting
174956.443850,5,tick,""
174956.443850,3,sched_state,waiting
174956.443852,1,tick,""
174956.443854,0,queue_length,0
174956.443856,0,queue_length,0
174956.443858,0,queue_length,0
174956.443859,0,queue_length,0
174956.443864,3,tick,""
174956.443860,2,sched_state,waiting
174956.443863,5,sched_state,waiting
174956.443868,2,tick,""
174956.443870,4,sched_state,waiting
174956.443871,5,tick,""
174956.443871,1,sched_state,waiting
174956.443872,4,tick,""
174956.443873,0,queue_length,0
174956.443875,1,tick,""
174956.443876,0,queue_length,0
174956.443885,0,queue_length,0
174956.443887,2,sched_state,waiting
174956.443890,5,sched_state,waiting
174956.443891,2,tick,""
174956.443888,0,queue_length,0
174956.443894,0,queue_length,0
174956.443895,5,tick,""
174956.443896,4,sched_state,waiting
174956.443897,0,queue_length,0
174956.443900,4,tick,""
174956.443899,1,sched_state,waiting
174956.443901,7,sched_state,waiting
174956.443903,3,sched_state,waiting
174956.443903,1,tick,""
174956.443906,0,queue_length,0
174956.443908,0,queue_length,0
174956.443909,0,queue_length,0
174956.443909,3,tick,""
174956.443910,5,sched_state,waiting
174956.443912,7,tick,""
174956.443913,4,sched_state,waiting
174956.443913,2,sched_state,waiting
174956.443914,5,tick,""
174956.443916,4,tick,""
174956.443917,2,tick,""
174956.443918,0,queue_length,0
174956.443921,0,queue_length,0
174956.443924,0,queue_length,0
174956.443926,7,sched_state,waiting
174956.443927,0,queue_length,0
174956.443930,0,queue_length,0
174956.443930,5,sched_state,waiting
174956.443931,4,sched_state,waiting
174956.443932,7,tick,""
174956.443934,4,tick,""
174956.443934,5,tick,""
174956.443935,3,sched_state,waiting
174956.443937,2,sched_state,waiting
174956.443938,3,tick,""
174956.443941,2,tick,""
174956.443940,0,queue_length,0
174956.443945,0,queue_length,0
174956.443948,0,queue_length,0
174956.443950,4,sched_state,waiting
174956.443950,0,queue_length,0
174956.443952,4,tick,""
174956.443952,0,queue_length,0
174956.443953,5,sched_state,waiting
174956.443955,3,sched_state,waiting
174956.443956,5,tick,""
174956.443957,2,sched_state,waiting
174956.443957,7,sched_state,waiting
174956.443958,0,queue_length,0
174956.443958,3,tick,""
174956.443960,2,tick,""
174956.443962,4,sched_state,waiting
174956.443964,4,tick,""
174956.443964,7,tick,""
174956.443965,0,queue_length,0
174956.443968,0,queue_length,0
174956.443972,0,queue_length,0
174956.443974,3,sched_state,waiting
174956.443975,0,queue_length,0
174956.443977,1,sched_state,waiting
174956.443977,0,queue_length,0
174956.443977,2,sched_state,waiting
174956.443978,3,tick,""
174956.443978,4,sched_state,waiting
174956.443981,4,tick,""
174956.443981,1,tick,""
174956.443981,2,tick,""
174956.443982,5,sched_state,waiting
174956.443985,0,queue_length,0
