timestamp,lpu,event,value
176249.800490,7,sched_state,startup
176249.800498,3,sched_state,startup
176249.800533,1,sched_state,startup
176249.800534,6,sched_state,startup
176249.800535,4,sched_state,startup
176249.800534,2,sched_state,startup
176249.800546,5,sched_state,startup
176249.802206,4,tick,""
176249.802250,0,sched_state,startup
176249.802351,3,tick,""
176249.802431,0,queue_length,0
176249.802435,0,queue_length,0
176249.802436,1,tick,""
176249.802448,3,sched_state,waiting
176249.802454,0,queue_length,0
176249.802461,1,sched_state,waiting
176249.802589,5,tick,""
176249.802603,0,queue_length,0
176249.802617,5,sched_state,waiting
176249.802757,1,tick,""
176249.802757,5,tick,""
176249.802773,0,queue_length,0
176249.802781,0,queue_length,0
176249.802787,5,sched_state,waiting
176249.802785,3,tick,""
176249.802792,5,tick,""
176249.802802,0,queue_length,0
176249.802805,7,tick,""
176249.802807,0,queue_length,0
176249.802809,1,sched_state,waiting
176249.802814,1,tick,""
176249.802814,3,sched_state,waiting
176249.802815,2,tick,""
176249.802817,6,tick,""
176249.802817,0,queue_length,0
176249.802820,3,tick,""
176249.802822,0,queue_length,0
176249.802839,1,sched_state,waiting
176249.802844,1,tick,""
176249.802837,0,queue_length,0
176249.802848,0,queue_length,0
176249.802850,0,queue_length,0
176249.802852,6,sched_state,waiting
176249.802853,0,queue_length,0
176249.802852,2,sched_state,waiting
176249.802856,3,sched_state,waiting
176249.802859,1,sched_state,waiting
176249.802860,7,sched_state,waiting
176249.802861,3,tick,""
176249.802862,1,tick,""
176249.802868,0,queue_length,0
176249.802871,0,queue_length,0
176249.802874,3,sched_state,waiting
176249.802875,1,sched_state,waiting
176249.802877,3,tick,""
176249.802878,1,tick,""
176249.802882,0,queue_length,0
176249.802886,0,queue_length,0
176249.802891,3,sched_state,waiting
176249.802892,1,sched_state,waiting
176249.802892,6,tick,""
176249.802895,1,tick,""
176249.802895,3,tick,""
176249.802895,2,tick,""
176249.802898,7,tick,""
176249.802905,0,queue_length,0
176249.802911,0,queue_length,0
176249.802912,5,sched_state,waiting
176249.802913,6,sched_state,waiting
176249.802915,0,queue_length,0
176249.802917,0,queue_length,0
176249.802917,5,tick,""
176249.802919,6,tick,""
176249.802918,1,sched_state,waiting
176249.802920,3,sched_state,waiting
176249.802923,1,tick,""
176249.802924,3,tick,""
176249.802925,0,queue_length,0
176249.802929,0,queue_length,0
176249.802931,7,sched_state,waiting
176249.802932,0,queue_length,0
176249.802935,0,queue_length,0
176249.802938,0,queue_length,0
176249.802939,7,tick,""
176249.802941,1,sched_state,waiting
176249.802943,3,sched_state,waiting
176249.802945,1,tick,""
176249.802945,2,sched_state,waiting
176249.802946,3,tick,""
176249.802947,0,queue_length,0
176249.802950,2,tick,""
176249.802951,0,queue_length,0
176249.802954,6,sched_state,waiting
176249.802954,0,queue_length,0
176249.802957,1,sched_state,waiting
176249.802958,0,queue_length,0
176249.802960,3,sched_state,waiting
176249.802961,1,tick,""
176249.802963,6,tick,""
176249.802963,3,tick,""
176249.802963,7,sched_state,waiting
176249.802963,2,sched_state,waiting
176249.802967,7,tick,""
176249.802969,2,tick,""
176249.802970,0,queue_length,0
176249.802974,0,queue_length,0
176249.802976,1,sched_state,waiting
176249.802976,0,queue_length,0
176249.802980,1,tick,""
176249.802981,0,queue_length,0
176249.802983,0,queue_length,0
176249.802983,3,sched_state,waiting
176249.802985,7,sched_state,waiting
176249.802986,0,queue_length,0
176249.802986,5,sched_state,waiting
176249.802987,3,tick,""
176249.802991,7,tick,""
176249.802991,1,sched_state,waiting
176249.802992,6,sched_state,waiting
176249.802994,5,tick,""
176249.802994,1,tick,""
176249.802995,0,queue_length,0
176249.802998,0,queue_length,0
176249.802999,6,tick,""
176249.803001,0,queue_length,0
176249.803008,7,sched_state,waiting
176249.803010,0,queue_length,0
176249.803012,1,sched_state,waiting
176249.803012,0,queue_length,0
176249.803012,7,tick,""
176249.803016,1,tick,""
176249.803015,5,sched_state,waiting
176249.803018,3,sched_state,waiting
176249.803019,5,tick,""
176249.803018,2,sched_state,waiting
176249.803020,6,sched_state,waiting
176249.803022,3,tick,""
176249.803023,0,queue_length,0
176249.803023,2,tick,""
176249.803024,6,tick,""
176249.803026,0,queue_length,0
176249.803029,0,queue_length,0
176249.803034,0,queue_length,0
176249.803036,0,queue_length,0
176249.803039,0,queue_length,0
176249.803039,3,sched_state,waiting
176249.803041,2,sched_state,waiting
176249.803043,3,tick,""
176249.803043,6,sched_state,waiting
176249.803045,2,tick,""
176249.803045,1,sched_state,waiting
176249.803046,6,tick,""
176249.803049,1,tick,""
176249.803049,0,queue_length,0
176249.803052,7,sched_state,waiting
176249.803053,0,queue_length,0
176249.803055,0,queue_length,0
176249.803058,0,queue_length,0
176249.803058,7,tick,""
176249.803058,2,sched_state,waiting
176249.803059,5,sched_state,waiting
176249.803060,6,sched_state,waiting
176249.803062,6,tick,""
176249.803062,3,sched_state,waiting
176249.803062,2,tick,""
176249.803063,5,tick,""
176249.803066,0,queue_length,0
176249.803067,3,tick,""
176249.803069,0,queue_length,0
176249.803072,0,queue_length,0
176249.803074,0,queue_length,0
176249.803075,6,sched_state,waiting
176249.803076,2,sched_state,waiting
176249.803079,6,tick,""
176249.803079,2,tick,""
176249.803079,1,sched_state,waiting
176249.803083,1,tick,""
176249.803095,0,queue_length,0
176249.803096,5,sched_state,waiting
176249.803097,0,queue_length,0
176249.803100,3,sched_state,waiting
176249.803101,5,tick,""
176249.803104,0,queue_length,0
176249.803106,0,queue_length,0
176249.803106,3,tick,""
176249.803108,2,sched_state,waiting
176249.803111,6,sched_state,waiting
176249.803112,2,tick,""
176249.803113,0,queue_length,0
176249.803114,1,sched_state,waiting
176249.803115,6,tick,""
176249.803115,0,queue_length,0
176249.803118,0,queue_length,0
176249.803121,3,sched_state,waiting
176249.803118,1,tick,""
176249.803127,0,queue_length,0
176249.803128,3,tick,""
176249.803129,2,sched_state,waiting
176249.803132,5,sched_state,waiting
176249.803133,2,tick,""
176249.803135,6,sched_state,waiting
176249.803135,5,tick,""
176249.803138,6,tick,""
176249.803133,0,queue_length,0
176249.803141,0,queue_length,0
176249.803144,7,sched_state,waiting
176249.803156,7,tick,""
176249.803156,0,queue_length,0
176249.803159,0,queue_length,0
176249.803161,2,sched_state,waiting
176249.803162,0,queue_length,0
176249.803165,0,queue_length,0
176249.803165,2,tick,""
176249.803167,6,sched_state,waiting
176249.803170,6,tick,""
176249.803171,7,sched_state,waiting
176249.803172,1,sched_state,waiting
176249.803173,0,queue_length,0
176249.803175,7,tick,""
176249.803176,1,tick,""
176249.803177,0,queue_length,0
176249.803180,3,sched_state,waiting
176249.803182,2,sched_state,waiting
176249.803183,0,queue_length,0
176249.803183,6,sched_state,waiting
176249.803183,3,tick,""
176249.803185,0,queue_length,0
176249.803187,6,tick,""
176249.803188,0,queue_length,0
176249.803189,2,tick,""
176249.803194,7,sched_state,waiting
176249.803194,0,queue_length,0
176249.803195,3,sched_state,waiting
176249.803197,0,queue_length,0
176249.803198,7,tick,""
176249.803198,3,tick,""
176249.803201,5,sched_state,waiting
176249.803202,6,sched_state,waiting
176249.803202,2,sched_state,waiting
176249.803206,2,tick,""
176249.803206,6,tick,""
176249.803207,5,tick,""
176249.803207,0,queue_length,0
176249.803210,0,queue_length,0
176249.803213,0,queue_length,0
176249.803213,7,sched_state,waiting
176249.803215,0,queue_length,0
176249.803216,7,tick,""
176249.803218,6,sched_state,waiting
176249.803219,3,sched_state,waiting
176249.803222,0,queue_length,0
176249.803222,6,tick,""
176249.803222,3,tick,""
176249.803223,2,sched_state,waiting
176249.803225,0,queue_length,0
176249.803226,2,tick,""
176249.803228,0,queue_length,0
176249.803231,7,sched_state,waiting
176249.803233,6,sched_state,waiting
176249.803235,0,queue_length,0
176249.803236,6,tick,""
176249.803235,7,tick,""
176249.803238,0,queue_length,0
176249.803243,3,sched_state,waiting
176249.803244,5,sched_state,waiting
176249.803246,0,queue_length,0
176249.803247,3,tick,""
176249.803247,2,sched_state,waiting
176249.803249,5,tick,""
176249.803250,0,queue_length,0
176249.803251,2,tick,""
176249.803257,0,queue_length,0
176249.803261,6,sched_state,waiting
176249.803262,7,sched_state,waiting
176249.803264,0,queue_length,0
176249.803266,7,tick,""
176249.803266,6,tick,""
176249.803267,0,queue_length,0
176249.803266,3,sched_state,waiting
176249.803272,2,sched_state,waiting
176249.803272,3,tick,""
176249.803273,5,sched_state,waiting
176249.803274,0,queue_length,0
176249.803275,2,tick,""
176249.803277,5,tick,""
176249.803278,0,queue_length,0
176249.803288,0,queue_length,0
176249.803290,6,sched_state,waiting
176249.803293,7,sched_state,waiting
176249.803294,6,tick,""
176249.803295,0,queue_length,0
176249.803296,3,sched_state,waiting
176249.803297,7,tick,""
176249.803297,0,queue_length,0
176249.803299,2,sched_state,waiting
176249.803299,3,tick,""
176249.803301,0,queue_length,0
176249.803303,2,tick,""
176249.803303,0,queue_length,0
176249.803305,6,sched_state,waiting
176249.803309,6,tick,""
176249.803311,5,sched_state,waiting
176249.803317,0,queue_length,0
176249.803319,7,sched_state,waiting
176249.803322,0,queue_length,0
176249.803322,5,tick,""
176249.803323,7,tick,""
176249.803323,3,sched_state,waiting
176249.803325,0,queue_length,0
176249.803327,0,queue_length,0
176249.803328,3,tick,""
176249.803329,6,sched_state,waiting
176249.803331,2,sched_state,waiting
176249.803333,0,queue_length,0
176249.803334,2,tick,""
176249.803334,6,tick,""
176249.803335,5,sched_state,waiting
176249.803336,0,queue_length,0
176249.803338,5,tick,""
176249.803340,7,sched_state,waiting
176249.803344,7,tick,""
176249.803347,0,queue_length,0
176249.803349,3,sched_state,waiting
176249.803350,0,queue_length,0
176249.803352,0,queue_length,0
176249.803353,3,tick,""
176249.803355,0,queue_length,0
176249.803357,0,queue_length,0
176249.803360,5,sched_state,waiting
176249.803361,7,sched_state,waiting
176249.803364,3,sched_state,waiting
176249.803364,5,tick,""
176249.803365,7,tick,""
176249.803366,6,sched_state,waiting
176249.803367,3,tick,""
176249.803373,0,queue_length,0
176249.803375,0,queue_length,0
176249.803377,0,queue_length,0
176249.803380,3,sched_state,waiting
176249.803380,7,sched_state,waiting
176249.803380,5,sched_state,waiting
176249.803383,5,tick,""
176249.803383,7,tick,""
176249.803383,3,tick,""
176249.803386,0,queue_length,0
176249.803388,0,queue_length,0
176249.803390,0,queue_length,0
176249.803392,5,sched_state,waiting
176249.803392,3,sched_state,waiting
176249.803393,7,sched_state,waiting
176249.803394,5,tick,""
176249.803395,3,tick,""
176249.803396,7,tick,""
176249.803398,0,queue_length,0
176249.803434,6,tick,""
176249.803400,0,queue_length,0
176249.803479,0,queue_length,0
176249.803480,3,sched_state,waiting
176249.803484,3,tick,""
176249.803488,0,queue_length,0
176249.803492,0,queue_length,0
176249.803494,7,sched_state,waiting
176249.803496,3,sched_state,waiting
176249.803495,6,sched_state,waiting
176249.803499,7,tick,""
176249.803499,3,tick,""
176249.803500,6,tick,""
176249.803500,5,sched_state,waiting
176249.803506,5,tick,""
176249.803510,0,queue_length,0
176249.803509,4,sched_state,waiting
176249.803514,0,queue_length,0
176249.803516,0,queue_length,0
176249.803518,0,queue_length,0
176249.803521,6,sched_state,waiting
176249.803524,5,sched_state,waiting
176249.803525,7,sched_state,waiting
176249.803525,6,tick,""
176249.803529,5,tick,""
176249.803532,0,queue_length,0
176249.803535,6,sched_state,waiting
176249.803537,6,tick,""
176249.803537,0,queue_length,0
176249.803540,0,queue_length,0
176249.803544,6,sched_state,waiting
176249.803545,5,sched_state,waiting
176249.803546,6,tick,""
176249.803548,5,tick,""
176249.803551,0,queue_length,0
176249.803556,6,sched_state,waiting
176249.803558,0,queue_length,0
176249.803558,6,tick,""
176249.803562,5,sched_state,waiting
176249.803563,0,queue_length,0
176249.803564,5,tick,""
176249.803565,6,sched_state,waiting
176249.803568,6,tick,""
176249.803568,0,queue_length,0
176249.803571,0,queue_length,0
176249.803573,6,sched_state,waiting
176249.803574,5,sched_state,waiting
176249.803576,5,tick,""
176249.803575,6,tick,""
176249.803581,0,queue_length,0
176249.803584,0,queue_length,0
176249.803584,7,tick,""
176249.803589,5,sched_state,waiting
176249.803591,6,sched_state,waiting
176249.803593,5,tick,""
176249.803594,0,queue_length,0
176249.803597,6,tick,""
176249.803598,7,sched_state,waiting
176249.803599,0,queue_length,0
176249.803602,7,tick,""
176249.803604,5,sched_state,waiting
176249.803605,0,queue_length,0
176249.803604,4,tick,""
176249.803608,5,tick,""
176249.803608,0,queue_length,0
176249.803613,0,queue_length,0
176249.803614,2,sched_state,waiting
176249.803615,7,sched_state,waiting
176249.803618,2,tick,""
176249.803619,7,tick,""
176249.803620,6,sched_state,waiting
176249.803621,0,queue_length,0
176249.803630,0,queue_length,0
176249.803630,6,tick,""
176249.803632,5,sched_state,waiting
176249.803636,4,sched_state,waiting
176249.803637,5,tick,""
176249.803638,0,queue_length,0
176249.803640,7,sched_state,waiting
176249.803640,4,tick,""
176249.803640,0,queue_length,0
176249.803643,7,tick,""
176249.803643,2,sched_state,waiting
176249.803643,0,queue_length,0
176249.803650,0,queue_length,0
176249.803651,2,tick,""
176249.803652,5,sched_state,waiting
176249.803652,0,queue_length,0
176249.803654,4,sched_state,waiting
176249.803656,5,tick,""
176249.803657,6,sched_state,waiting
176249.803659,4,tick,""
176249.803661,0,queue_length,0
176249.803661,6,tick,""
176249.803663,0,queue_length,0
176249.803664,7,sched_state,waiting
176249.803668,2,sched_state,waiting
176249.803671,7,tick,""
176249.803675,0,queue_length,0
176249.803675,2,tick,""
176249.803676,5,sched_state,waiting
176249.803677,0,queue_length,0
176249.803679,4,sched_state,waiting
176249.803680,5,tick,""
176249.803685,4,tick,""
176249.803685,0,queue_length,0
176249.803690,6,sched_state,waiting
176249.803691,0,queue_length,0
176249.803694,0,queue_length,0
176249.803694,6,tick,""
176249.803695,2,sched_state,waiting
176249.803696,0,queue_length,0
176249.803698,5,sched_state,waiting
176249.803698,2,tick,""
176249.803699,7,sched_state,waiting
176249.803702,5,tick,""
176249.803702,0,queue_length,0
176249.803703,7,tick,""
176249.803703,4,sched_state,waiting
176249.803705,4,tick,""
176249.803705,0,queue_length,0
176249.803708,0,queue_length,0
176249.803711,0,queue_length,0
176249.803712,2,sched_state,waiting
176249.803713,5,sched_state,waiting
176249.803715,6,sched_state,waiting
176249.803715,2,tick,""
176249.803716,5,tick,""
176249.803718,6,tick,""
176249.803727,0,queue_length,0
176249.803728,7,sched_state,waiting
176249.803730,0,queue_length,0
176249.803731,4,sched_state,waiting
176249.803732,7,tick,""
176249.803733,4,tick,""
176249.803733,0,queue_length,0
176249.803738,2,sched_state,waiting
176249.803737,0,queue_length,0
176249.803742,2,tick,""
176249.803742,0,queue_length,0
176249.803744,6,sched_state,waiting
176249.803747,5,sched_state,waiting
176249.803748,0,queue_length,0
176249.803749,6,tick,""
176249.803751,5,tick,""
176249.803752,7,sched_state,waiting
176249.803752,0,queue_length,0
176249.803753,4,sched_state,waiting
176249.803756,4,tick,""
176249.803756,0,queue_length,0
176249.803756,7,tick,""
176249.803759,0,queue_length,0
176249.803762,6,sched_state,waiting
176249.803762,2,sched_state,waiting
176249.803764,0,queue_length,0
176249.803765,5,sched_state,waiting
176249.803766,0,queue_length,0
176249.803767,2,tick,""
176249.803768,6,tick,""
176249.803770,5,tick,""
176249.803775,4,sched_state,waiting
176249.803775,7,sched_state,waiting
176249.803775,0,queue_length,0
176249.803782,4,tick,""
176249.803782,7,tick,""
176249.803783,0,queue_length,0
176249.803785,2,sched_state,waiting
176249.803787,0,queue_length,0
176249.803789,2,tick,""
176249.803791,6,sched_state,waiting
176249.803796,0,queue_length,0
176249.803800,5,sched_state,waiting
176249.803803,0,queue_length,0
176249.803804,5,tick,""
