timestamp,lpu,event,value
175311.743180,7,sched_state,startup
175311.743182,5,sched_state,startup
175311.743184,1,sched_state,startup
175311.743181,6,sched_state,startup
175311.743182,3,sched_state,startup
175311.743217,4,sched_state,startup
175311.743703,1,tick,""
175311.743718,4,tick,""
175311.743723,0,sched_state,startup
175311.743731,0,queue_length,0
175311.743734,0,queue_length,0
175311.743739,4,sched_state,waiting
175311.743744,1,sched_state,waiting
175311.743740,5,tick,""
175311.743749,4,tick,""
175311.743752,1,tick,""
175311.743753,0,queue_length,0
175311.743755,0,queue_length,0
175311.743757,0,queue_length,0
175311.743758,5,sched_state,waiting
175311.743760,4,sched_state,waiting
175311.743762,4,tick,""
175311.743767,6,tick,""
175311.743768,0,queue_length,0
175311.743770,5,tick,""
175311.743771,4,sched_state,waiting
175311.743771,1,sched_state,waiting
175311.743770,7,tick,""
175311.743773,4,tick,""
175311.743774,1,tick,""
175311.743770,3,tick,""
175311.743778,0,queue_length,0
175311.743780,0,queue_length,0
175311.743790,0,queue_length,0
175311.743792,0,queue_length,0
175311.743794,0,queue_length,0
175311.743795,5,sched_state,waiting
175311.743796,1,sched_state,waiting
175311.743795,0,queue_length,0
175311.743799,5,tick,""
175311.743799,7,sched_state,waiting
175311.743799,1,tick,""
175311.743802,3,sched_state,waiting
175311.743802,4,sched_state,waiting
175311.743805,4,tick,""
175311.743807,0,queue_length,0
175311.743809,3,tick,""
175311.743810,7,tick,""
175311.743810,0,queue_length,0
175311.743813,5,sched_state,waiting
175311.743813,0,queue_length,0
175311.743816,0,queue_length,0
175311.743816,5,tick,""
175311.743817,4,sched_state,waiting
175311.743819,4,tick,""
175311.743819,0,queue_length,0
175311.743829,0,queue_length,0
175311.743830,3,sched_state,waiting
175311.743830,7,sched_state,waiting
175311.743832,0,queue_length,0
175311.743835,5,sched_state,waiting
175311.743837,7,tick,""
175311.743837,3,tick,""
175311.743838,4,sched_state,waiting
175311.743838,5,tick,""
175311.743840,1,sched_state,waiting
175311.743841,4,tick,""
175311.743844,1,tick,""
175311.743847,0,queue_length,0
175311.743851,0,queue_length,0
175311.743853,0,queue_length,0
175311.743852,6,sched_state,waiting
175311.743853,3,sched_state,waiting
175311.743856,0,queue_length,0
175311.743858,3,tick,""
175311.743858,7,sched_state,waiting
175311.743858,0,queue_length,0
175311.743860,4,sched_state,waiting
175311.743861,7,tick,""
175311.743862,4,tick,""
175311.743861,6,tick,""
175311.743863,5,sched_state,waiting
175311.743863,1,sched_state,waiting
175311.743865,0,queue_length,0
175311.743866,1,tick,""
175311.743868,0,queue_length,0
175311.743869,5,tick,""
175311.743874,0,queue_length,0
175311.743877,0,queue_length,0
175311.743878,7,sched_state,waiting
175311.743879,0,queue_length,0
175311.743881,7,tick,""
175311.743882,6,sched_state,waiting
175311.743888,6,tick,""
175311.743889,0,queue_length,0
175311.743894,5,sched_state,waiting
175311.743895,3,sched_state,waiting
175311.743896,2,sched_state,startup
175311.743899,5,tick,""
175311.743899,3,tick,""
175311.743912,0,queue_length,0
175311.743914,4,sched_state,waiting
175311.743915,0,queue_length,0
175311.743916,1,sched_state,waiting
175311.743918,4,tick,""
175311.743918,0,queue_length,0
175311.743920,1,tick,""
175311.743921,0,queue_length,0
175311.743923,0,queue_length,0
175311.743923,5,sched_state,waiting
175311.743926,5,tick,""
175311.743926,7,sched_state,waiting
175311.743927,3,sched_state,waiting
175311.743929,0,queue_length,0
175311.743930,7,tick,""
175311.743931,0,queue_length,0
175311.743930,3,tick,""
175311.743946,1,sched_state,waiting
175311.743946,4,sched_state,waiting
175311.743949,4,tick,""
175311.743949,1,tick,""
175311.743950,0,queue_length,0
175311.743954,0,queue_length,0
175311.743956,0,queue_length,0
175311.743958,7,sched_state,waiting
175311.743959,0,queue_length,0
175311.743961,7,tick,""
175311.743963,1,sched_state,waiting
175311.743964,3,sched_state,waiting
175311.743967,1,tick,""
175311.743968,3,tick,""
175311.743969,0,queue_length,0
175311.743969,5,sched_state,waiting
175311.743972,5,tick,""
175311.743974,7,sched_state,waiting
175311.743976,0,queue_length,0
175311.743978,7,tick,""
175311.743979,0,queue_length,0
175311.743984,0,queue_length,0
175311.743986,0,queue_length,0
175311.743986,3,sched_state,waiting
175311.743988,5,sched_state,waiting
175311.743990,1,sched_state,waiting
175311.743990,3,tick,""
175311.743991,5,tick,""
175311.743992,4,sched_state,waiting
175311.743993,1,tick,""
175311.743995,4,tick,""
175311.743998,7,sched_state,waiting
175311.743998,0,queue_length,0
175311.744001,7,tick,""
175311.744002,0,queue_length,0
175311.744004,0,queue_length,0
175311.744005,3,sched_state,waiting
175311.744007,2,tick,""
175311.744008,3,tick,""
175311.744007,0,queue_length,0
175311.744017,5,sched_state,waiting
175311.744018,0,queue_length,0
175311.744020,4,sched_state,waiting
175311.744021,5,tick,""
175311.744022,4,tick,""
175311.744022,0,queue_length,0
175311.744023,7,sched_state,waiting
175311.744025,0,queue_length,0
175311.744025,1,sched_state,waiting
175311.744027,3,sched_state,waiting
175311.744027,7,tick,""
175311.744029,1,tick,""
175311.744030,3,tick,""
175311.744031,2,sched_state,waiting
175311.744034,0,queue_length,0
175311.744037,2,tick,""
175311.744045,0,queue_length,0
175311.744047,0,queue_length,0
175311.744049,0,queue_length,0
175311.744049,4,sched_state,waiting
175311.744052,4,tick,""
175311.744054,7,sched_state,waiting
175311.744058,0,queue_length,0
175311.744058,7,tick,""
175311.744060,1,sched_state,waiting
175311.744062,0,queue_length,0
175311.744063,0,queue_length,0
175311.744064,3,sched_state,waiting
175311.744065,1,tick,""
175311.744066,2,sched_state,waiting
175311.744067,3,tick,""
175311.744071,0,queue_length,0
175311.744073,2,tick,""
175311.744076,4,sched_state,waiting
175311.744078,0,queue_length,0
175311.744079,4,tick,""
175311.744081,0,queue_length,0
175311.744083,1,sched_state,waiting
175311.744085,0,queue_length,0
175311.744086,7,sched_state,waiting
175311.744086,3,sched_state,waiting
175311.744087,0,queue_length,0
175311.744087,1,tick,""
175311.744090,7,tick,""
175311.744091,3,tick,""
175311.744092,4,sched_state,waiting
175311.744094,4,tick,""
175311.744095,0,tick,""
175311.744096,0,queue_length,0
175311.744105,6,sched_state,waiting
175311.744125,6,tick,""
175311.744143,2,sched_state,waiting
175311.744147,2,tick,""
175311.744189,1,sched_state,waiting
175311.744194,1,tick,""
175311.744194,0,queue_length,1
175311.744198,0,queue_length,0
175311.744437,0,queue_length,0
175311.744443,0,queue_length,0
175311.744448,0,queue_length,0
175311.744449,4,sched_state,waiting
175311.744451,0,queue_length,0
175311.744452,4,tick,""
175311.744451,3,sched_state,waiting
175311.744454,0,queue_length,0
175311.744454,0,sched_state,waiting
175311.744456,3,tick,""
175311.744459,0,queue_length,0
175311.744461,0,queue_length,0
175311.744461,2,sched_state,waiting
175311.744462,0,queue_length,0
175311.744464,1,sched_state,waiting
175311.744465,4,sched_state,waiting
175311.744465,2,tick,""
175311.744468,4,tick,""
175311.744465,0,tick,""
175311.744469,1,tick,""
175311.744471,3,sched_state,waiting
175311.744473,0,queue_length,0
175311.744474,3,tick,""
175311.744476,6,sched_state,waiting
175311.744476,0,queue_length,0
175311.744481,0,queue_length,0
175311.744482,4,sched_state,waiting
175311.744483,6,tick,""
175311.744485,4,tick,""
175311.744485,0,queue_length,0
175311.744490,0,sched_state,waiting
175311.744495,2,sched_state,waiting
175311.744496,0,queue_length,0
175311.744496,0,tick,""
175311.744498,1,sched_state,waiting
175311.744500,0,queue_length,0
175311.744502,2,tick,""
175311.744502,1,tick,""
175311.744505,3,sched_state,waiting
175311.744506,0,queue_length,0
175311.744509,3,tick,""
175311.744509,4,sched_state,waiting
175311.744509,0,queue_length,0
175311.744516,4,tick,""
175311.744516,0,queue_length,0
175311.744518,0,sched_state,waiting
175311.744519,0,queue_length,0
175311.744521,0,tick,""
175311.744521,2,sched_state,waiting
175311.744523,6,sched_state,waiting
175311.744523,0,queue_length,0
175311.744525,2,tick,""
175311.744525,0,queue_length,0
175311.744525,6,tick,""
175311.744526,7,sched_state,running
175311.744527,0,queue_length,0
175311.744527,1,sched_state,waiting
175311.744529,3,sched_state,waiting
175311.744531,4,sched_state,waiting
175311.744530,1,tick,""
175311.744532,3,tick,""
175311.744533,4,tick,""
175311.744535,0,sched_state,waiting
175311.744537,0,queue_length,0
175311.744539,0,tick,""
175311.744541,0,queue_length,0
175311.744546,2,sched_state,waiting
175311.744547,0,queue_length,0
175311.744549,6,sched_state,waiting
175311.744549,2,tick,""
175311.744550,0,queue_length,0
175311.744552,6,tick,""
175311.744554,1,sched_state,waiting
175311.744558,1,tick,""
175311.744562,3,sched_state,waiting
175311.744560,0,queue_length,0
175311.744567,3,tick,""
175311.744570,0,queue_length,0
