timestamp,lpu,event,value
147724.061841,3,sched_state,startup
147724.061843,7,sched_state,startup
147724.061841,6,sched_state,startup
147724.061843,1,sched_state,startup
147724.061848,5,sched_state,startup
147724.062362,4,sched_state,startup
147724.062399,0,sched_state,startup
147724.062417,7,tick,""
147724.062417,3,tick,""
147724.062440,0,queue_length,0
147724.062440,1,tick,""
147724.062440,5,tick,""
147724.062444,0,queue_length,0
147724.062447,6,tick,""
147724.062454,3,sched_state,waiting
147724.062457,0,queue_length,0
147724.062461,0,queue_length,0
147724.062465,0,queue_length,0
147724.062465,1,sched_state,waiting
147724.062465,3,tick,""
147724.062465,7,sched_state,waiting
147724.062470,5,sched_state,waiting
147724.062473,6,sched_state,waiting
147724.062478,1,tick,""
147724.062479,5,tick,""
147724.062479,7,tick,""
147724.062482,0,queue_length,0
147724.062485,0,queue_length,0
147724.062486,6,tick,""
147724.062491,0,queue_length,0
147724.062491,4,tick,""
147724.062495,5,sched_state,waiting
147724.062502,0,queue_length,0
147724.062506,0,queue_length,0
147724.062506,5,tick,""
147724.062509,0,queue_length,0
147724.062509,1,sched_state,waiting
147724.062512,6,sched_state,waiting
147724.062517,6,tick,""
147724.062519,1,tick,""
147724.062524,4,sched_state,waiting
147724.062521,0,queue_length,0
147724.062530,0,queue_length,0
147724.062532,0,queue_length,0
147724.062533,4,tick,""
147724.062533,5,sched_state,waiting
147724.062534,6,sched_state,waiting
147724.062537,5,tick,""
147724.062540,6,tick,""
147724.062537,1,sched_state,waiting
147724.062540,3,sched_state,waiting
147724.062545,1,tick,""
147724.062545,0,queue_length,0
147724.062546,3,tick,""
147724.062548,0,queue_length,0
147724.062550,0,queue_length,0
147724.062551,0,queue_length,0
147724.062553,7,sched_state,waiting
147724.062553,5,sched_state,waiting
147724.062555,1,sched_state,waiting
147724.062557,7,tick,""
147724.062553,0,queue_length,0
147724.062558,5,tick,""
147724.062558,1,tick,""
147724.062559,6,sched_state,waiting
147724.062562,3,sched_state,waiting
147724.062563,6,tick,""
147724.062564,4,sched_state,waiting
147724.062565,3,tick,""
147724.062566,0,queue_length,0
147724.062568,4,tick,""
147724.062569,2,sched_state,startup
147724.062570,0,queue_length,0
147724.062573,0,queue_length,0
147724.062575,0,queue_length,0
147724.062577,0,queue_length,0
147724.062579,0,queue_length,0
147724.062582,3,sched_state,waiting
147724.062583,4,sched_state,waiting
147724.062585,5,sched_state,waiting
147724.062586,4,tick,""
147724.062586,1,sched_state,waiting
147724.062586,3,tick,""
147724.062588,5,tick,""
147724.062589,1,tick,""
147724.062589,0,queue_length,0
147724.062591,0,queue_length,0
147724.062593,0,queue_length,0
147724.062595,0,queue_length,0
147724.062595,3,sched_state,waiting
147724.062598,4,sched_state,waiting
147724.062599,3,tick,""
147724.062600,5,sched_state,waiting
147724.062600,4,tick,""
147724.062600,1,sched_state,waiting
147724.062603,5,tick,""
147724.062604,0,queue_length,0
147724.062603,1,tick,""
147724.062610,7,sched_state,waiting
147724.062612,3,sched_state,waiting
147724.062615,0,queue_length,0
147724.062615,7,tick,""
147724.062615,3,tick,""
147724.062616,0,queue_length,0
147724.062618,0,queue_length,0
147724.062622,4,sched_state,waiting
147724.062622,1,sched_state,waiting
147724.062624,4,tick,""
147724.062625,0,queue_length,0
147724.062628,1,tick,""
147724.062628,0,queue_length,0
147724.062631,0,queue_length,0
147724.062634,0,queue_length,0
147724.062635,4,sched_state,waiting
147724.062635,5,sched_state,waiting
147724.062637,4,tick,""
147724.062638,1,sched_state,waiting
147724.062639,3,sched_state,waiting
147724.062639,5,tick,""
147724.062641,1,tick,""
147724.062643,3,tick,""
147724.062644,0,queue_length,0
147724.062646,0,queue_length,0
147724.062647,0,queue_length,0
147724.062651,5,sched_state,waiting
147724.062653,0,queue_length,0
147724.062654,5,tick,""
147724.062654,1,sched_state,waiting
147724.062656,4,sched_state,waiting
147724.062658,1,tick,""
147724.062658,4,tick,""
147724.062661,7,sched_state,waiting
147724.062664,0,queue_length,0
147724.062665,7,tick,""
147724.062666,0,queue_length,0
147724.062666,3,sched_state,waiting
147724.062667,0,queue_length,0
147724.062668,5,sched_state,waiting
147724.062669,3,tick,""
147724.062670,4,sched_state,waiting
147724.062672,4,tick,""
147724.062672,5,tick,""
147724.062673,0,queue_length,0
147724.062676,0,queue_length,0
147724.062678,0,queue_length,0
147724.062681,0,queue_length,0
147724.062682,4,sched_state,waiting
147724.062684,4,tick,""
147724.062685,5,sched_state,waiting
147724.062686,7,sched_state,waiting
147724.062688,0,queue_length,0
147724.062690,7,tick,""
147724.062691,4,sched_state,waiting
147724.062692,5,tick,""
147724.062693,4,tick,""
147724.062699,1,sched_state,waiting
147724.062698,0,queue_length,0
147724.062703,1,tick,""
147724.062703,0,queue_length,0
147724.062707,0,queue_length,0
147724.062709,5,sched_state,waiting
147724.062710,0,queue_length,0
147724.062713,4,sched_state,waiting
147724.062713,5,tick,""
147724.062715,4,tick,""
147724.062715,7,sched_state,waiting
147724.062720,7,tick,""
147724.062720,0,queue_length,0
147724.062722,1,sched_state,waiting
147724.062724,0,queue_length,0
147724.062722,2,tick,""
147724.062726,0,queue_length,0
147724.062726,1,tick,""
147724.062729,4,sched_state,waiting
147724.062731,4,tick,""
147724.062735,7,sched_state,waiting
147724.062736,0,queue_length,0
147724.062735,5,sched_state,waiting
147724.062737,3,sched_state,waiting
147724.062738,0,queue_length,0
147724.062739,5,tick,""
147724.062739,7,tick,""
147724.062740,0,queue_length,0
147724.062740,1,sched_state,waiting
147724.062741,3,tick,""
147724.062743,2,sched_state,waiting
147724.062744,1,tick,""
147724.062746,0,tick,""
147724.062747,4,sched_state,waiting
147724.062749,4,tick,""
147724.062757,2,tick,""
147724.062761,6,sched_state,waiting
147724.062766,6,tick,""
147724.062808,0,queue_length,1
147724.062815,0,queue_length,0
147724.063240,0,queue_length,0
147724.063254,0,queue_length,0
147724.063262,0,queue_length,0
147724.063266,0,queue_length,0
147724.063271,0,queue_length,0
147724.063278,3,sched_state,waiting
147724.063284,4,sched_state,waiting
147724.063278,7,sched_state,waiting
147724.063296,4,tick,""
147724.063299,3,tick,""
147724.063299,7,tick,""
147724.063318,0,queue_length,0
147724.063325,0,queue_length,0
147724.063326,0,sched_state,waiting
147724.063330,0,queue_length,0
147724.063334,2,sched_state,waiting
147724.063337,0,queue_length,0
147724.063343,0,queue_length,0
147724.063348,2,tick,""
147724.063353,4,sched_state,waiting
147724.063353,0,tick,""
147724.063359,3,sched_state,waiting
147724.063362,4,tick,""
147724.063374,3,tick,""
147724.063377,0,queue_length,0
147724.063379,6,sched_state,waiting
147724.063393,6,tick,""
147724.063394,0,queue_length,0
147724.063403,0,queue_length,0
147724.063413,0,queue_length,0
147724.063419,4,sched_state,waiting
147724.063422,0,queue_length,0
147724.063423,0,sched_state,waiting
147724.063428,4,tick,""
147724.063430,3,sched_state,waiting
147724.063434,0,tick,""
147724.063446,2,sched_state,waiting
147724.063446,3,tick,""
147724.063449,7,sched_state,waiting
147724.063449,0,queue_length,0
147724.063451,0,queue_length,0
147724.063451,2,tick,""
147724.063451,6,sched_state,waiting
147724.063452,7,tick,""
147724.063453,0,queue_length,0
147724.063455,6,tick,""
147724.063457,4,sched_state,waiting
147724.063458,3,sched_state,waiting
147724.063459,4,tick,""
147724.063461,0,sched_state,waiting
147724.063460,0,queue_length,0
147724.063464,3,tick,""
147724.063466,0,queue_length,0
147724.063466,0,tick,""
147724.063471,0,queue_length,0
147724.063472,7,sched_state,waiting
147724.063473,0,queue_length,0
147724.063473,2,sched_state,waiting
147724.063475,0,queue_length,0
147724.063476,2,tick,""
147724.063477,0,queue_length,0
