timestamp,lpu,event,value
147963.570909,6,sched_state,startup
147963.570913,7,sched_state,startup
147963.570917,3,sched_state,startup
147963.570930,1,sched_state,startup
147963.570931,4,sched_state,startup
147963.570933,5,sched_state,startup
147963.571448,2,sched_state,startup
147963.572471,4,tick,""
147963.572522,0,queue_length,0
147963.572538,4,sched_state,waiting
147963.572576,4,tick,""
147963.572581,0,queue_length,0
147963.572584,4,sched_state,waiting
147963.572589,4,tick,""
147963.572605,0,queue_length,0
147963.572607,4,sched_state,waiting
147963.572606,7,tick,""
147963.572609,4,tick,""
147963.572618,0,queue_length,0
147963.572622,0,queue_length,0
147963.572626,4,sched_state,waiting
147963.572632,4,tick,""
147963.572640,0,queue_length,0
147963.572643,4,sched_state,waiting
147963.572645,4,tick,""
147963.572649,0,queue_length,0
147963.572651,4,sched_state,waiting
147963.572653,4,tick,""
147963.572656,0,queue_length,0
147963.572659,4,sched_state,waiting
147963.572661,4,tick,""
147963.572664,0,queue_length,0
147963.572667,4,sched_state,waiting
147963.572671,4,tick,""
147963.572673,7,sched_state,waiting
147963.572674,0,queue_length,0
147963.572677,4,sched_state,waiting
147963.572673,1,tick,""
147963.572679,4,tick,""
147963.572681,0,queue_length,0
147963.572686,4,sched_state,waiting
147963.572688,4,tick,""
147963.572689,0,sched_state,startup
147963.572973,0,queue_length,0
147963.572995,0,queue_length,0
147963.573016,4,sched_state,waiting
147963.573031,4,tick,""
147963.573052,0,queue_length,0
147963.573062,4,sched_state,waiting
147963.573071,4,tick,""
147963.573082,0,queue_length,0
147963.573079,7,tick,""
147963.573091,4,sched_state,waiting
147963.573098,4,tick,""
147963.573120,0,queue_length,0
147963.573128,0,queue_length,0
147963.573137,4,sched_state,waiting
147963.573144,4,tick,""
147963.573155,0,queue_length,0
147963.573163,4,sched_state,waiting
147963.573172,4,tick,""
147963.573187,7,sched_state,waiting
147963.573189,0,queue_length,0
147963.573193,7,tick,""
147963.573194,4,sched_state,waiting
147963.573193,3,tick,""
147963.573196,4,tick,""
147963.573201,0,queue_length,0
147963.573204,0,queue_length,0
147963.573205,0,queue_length,0
147963.573208,4,sched_state,waiting
147963.573210,4,tick,""
147963.573213,0,queue_length,0
147963.573212,5,tick,""
147963.573217,7,sched_state,waiting
147963.573217,4,sched_state,waiting
147963.573220,4,tick,""
147963.573221,7,tick,""
147963.573224,0,queue_length,0
147963.573226,0,queue_length,0
147963.573234,0,queue_length,0
147963.573239,4,sched_state,waiting
147963.573238,5,sched_state,waiting
147963.573241,4,tick,""
147963.573245,0,queue_length,0
147963.573247,4,sched_state,waiting
147963.573239,7,sched_state,waiting
147963.573249,4,tick,""
147963.573252,0,queue_length,0
147963.573252,7,tick,""
147963.573254,4,sched_state,waiting
147963.573256,4,tick,""
147963.573259,0,queue_length,0
147963.573261,0,queue_length,0
147963.573264,4,sched_state,waiting
147963.573264,7,sched_state,waiting
147963.573266,4,tick,""
147963.573268,7,tick,""
147963.573269,5,tick,""
147963.573270,6,tick,""
147963.573275,2,tick,""
147963.573276,0,queue_length,0
147963.573279,0,queue_length,0
147963.573280,0,queue_length,0
147963.573282,0,queue_length,0
147963.573283,7,sched_state,waiting
147963.573287,7,tick,""
147963.573287,5,sched_state,waiting
147963.573291,0,queue_length,0
147963.573292,5,tick,""
147963.573295,6,sched_state,waiting
147963.573297,4,sched_state,waiting
147963.573297,0,queue_length,0
147963.573300,4,tick,""
147963.573298,2,sched_state,waiting
147963.573301,0,queue_length,0
147963.573304,0,queue_length,0
147963.573306,3,sched_state,waiting
147963.573307,5,sched_state,waiting
147963.573308,4,sched_state,waiting
147963.573308,7,sched_state,waiting
147963.573310,4,tick,""
147963.573312,7,tick,""
147963.573313,6,tick,""
147963.573315,0,queue_length,0
147963.573317,0,queue_length,0
147963.573320,4,sched_state,waiting
147963.573322,4,tick,""
147963.573327,5,tick,""
147963.573327,0,queue_length,0
147963.573327,7,sched_state,waiting
147963.573331,0,queue_length,0
147963.573332,7,tick,""
147963.573334,2,tick,""
147963.573336,0,queue_length,0
147963.573337,3,tick,""
147963.573345,0,queue_length,0
147963.573348,0,queue_length,0
147963.573347,5,sched_state,waiting
147963.573350,0,queue_length,0
147963.573350,7,sched_state,waiting
147963.573352,5,tick,""
147963.573353,2,sched_state,waiting
147963.573354,7,tick,""
147963.573359,0,queue_length,0
147963.573357,6,sched_state,waiting
147963.573361,2,tick,""
147963.573362,0,queue_length,0
147963.573363,6,tick,""
147963.573367,7,sched_state,waiting
147963.573368,5,sched_state,waiting
147963.573372,5,tick,""
147963.573372,7,tick,""
147963.573372,0,queue_length,0
147963.573376,0,queue_length,0
147963.573379,0,queue_length,0
147963.573381,3,sched_state,waiting
147963.573382,6,sched_state,waiting
147963.573382,4,sched_state,waiting
147963.573383,0,queue_length,0
147963.573385,3,tick,""
147963.573385,4,tick,""
147963.573386,6,tick,""
147963.573385,5,sched_state,waiting
147963.573388,2,sched_state,waiting
147963.573389,5,tick,""
147963.573391,2,tick,""
147963.573395,0,queue_length,0
147963.573395,7,sched_state,waiting
147963.573398,7,tick,""
147963.573398,0,queue_length,0
147963.573405,0,queue_length,0
147963.573410,0,queue_length,0
147963.573411,3,sched_state,waiting
147963.573412,6,sched_state,waiting
147963.573412,0,queue_length,0
147963.573414,3,tick,""
147963.573414,5,sched_state,waiting
147963.573415,0,queue_length,0
147963.573416,6,tick,""
147963.573417,4,sched_state,waiting
147963.573418,5,tick,""
147963.573419,2,sched_state,waiting
147963.573420,4,tick,""
147963.573420,7,sched_state,waiting
147963.573425,2,tick,""
147963.573423,0,queue_length,0
147963.573430,0,queue_length,0
147963.573431,7,tick,""
147963.573432,0,queue_length,0
147963.573433,3,sched_state,waiting
147963.573436,6,sched_state,waiting
147963.573436,3,tick,""
147963.573437,0,queue_length,0
147963.573439,5,sched_state,waiting
147963.573440,0,queue_length,0
147963.573441,6,tick,""
147963.573442,0,queue_length,0
147963.573443,5,tick,""
147963.573446,0,queue_length,0
147963.573449,7,sched_state,waiting
147963.573450,3,sched_state,waiting
147963.573452,0,queue_length,0
147963.573453,7,tick,""
147963.573453,3,tick,""
147963.573456,0,queue_length,0
147963.573460,6,sched_state,waiting
147963.573460,2,sched_state,waiting
147963.573461,0,queue_length,0
147963.573464,0,queue_length,0
147963.573463,2,tick,""
147963.573465,6,tick,""
147963.573466,3,sched_state,waiting
147963.573470,5,sched_state,waiting
147963.573470,7,sched_state,waiting
147963.573473,5,tick,""
147963.573473,0,queue_length,0
147963.573473,3,tick,""
147963.573474,7,tick,""
147963.573476,0,queue_length,0
147963.573478,0,queue_length,0
147963.573481,0,queue_length,0
147963.573482,4,sched_state,waiting
147963.573482,5,sched_state,waiting
147963.573485,4,tick,""
147963.573486,5,tick,""
147963.573486,2,sched_state,waiting
147963.573486,3,sched_state,waiting
147963.573487,0,queue_length,0
147963.573490,0,queue_length,0
147963.573490,3,tick,""
147963.573490,2,tick,""
147963.573493,0,queue_length,0
147963.573495,0,queue_length,0
147963.573498,5,sched_state,waiting
147963.573501,5,tick,""
147963.573504,0,queue_length,0
147963.573507,0,queue_length,0
147963.573506,3,sched_state,waiting
147963.573507,4,sched_state,waiting
147963.573509,2,sched_state,waiting
147963.573510,4,tick,""
147963.573510,3,tick,""
147963.573513,7,sched_state,waiting
147963.573513,2,tick,""
147963.573516,0,queue_length,0
147963.573516,7,tick,""
147963.573518,0,queue_length,0
147963.573520,0,queue_length,0
147963.573523,3,sched_state,waiting
147963.573521,6,sched_state,waiting
147963.573537,3,tick,""
147963.573537,6,tick,""
147963.573540,0,queue_length,0
147963.573543,2,sched_state,waiting
147963.573546,4,sched_state,waiting
147963.573546,0,queue_length,0
147963.573547,2,tick,""
147963.573548,7,sched_state,waiting
147963.573549,0,queue_length,0
147963.573550,4,tick,""
147963.573551,7,tick,""
147963.573555,3,sched_state,waiting
147963.573555,0,queue_length,0
147963.573556,6,sched_state,waiting
147963.573559,0,queue_length,0
147963.573559,3,tick,""
147963.573560,6,tick,""
147963.573563,2,sched_state,waiting
147963.573567,0,queue_length,0
147963.573569,4,sched_state,waiting
147963.573569,0,queue_length,0
147963.573570,2,tick,""
147963.573572,4,tick,""
147963.573573,7,sched_state,waiting
147963.573576,7,tick,""
147963.573577,3,sched_state,waiting
147963.573580,0,queue_length,0
147963.573581,3,tick,""
147963.573583,0,queue_length,0
147963.573586,0,queue_length,0
147963.573587,6,sched_state,waiting
147963.573588,0,queue_length,0
147963.573590,6,tick,""
147963.573592,2,sched_state,waiting
147963.573593,0,queue_length,0
147963.573594,7,sched_state,waiting
147963.573595,2,tick,""
147963.573596,0,queue_length,0
147963.573597,4,sched_state,waiting
147963.573598,7,tick,""
147963.573600,4,tick,""
147963.573600,3,sched_state,waiting
147963.573604,0,queue_length,0
147963.573606,3,tick,""
147963.573610,6,sched_state,waiting
147963.573610,2,sched_state,waiting
147963.573611,0,queue_length,0
147963.573614,0,queue_length,0
147963.573614,6,tick,""
147963.573614,2,tick,""
147963.573620,0,queue_length,0
147963.573622,0,queue_length,0
147963.573624,7,sched_state,waiting
147963.573624,3,sched_state,waiting
147963.573626,4,sched_state,waiting
147963.573629,4,tick,""
147963.573628,7,tick,""
147963.573628,3,tick,""
147963.573631,0,queue_length,0
147963.573632,2,sched_state,waiting
147963.573634,0,queue_length,0
147963.573636,2,tick,""
147963.573637,0,queue_length,0
147963.573638,4,sched_state,waiting
147963.573641,4,tick,""
147963.573642,6,sched_state,waiting
147963.573647,0,queue_length,0
147963.573649,7,sched_state,waiting
147963.573650,0,queue_length,0
147963.573651,6,tick,""
147963.573653,3,sched_state,waiting
147963.573653,0,queue_length,0
147963.573653,7,tick,""
147963.573656,0,queue_length,0
147963.573656,3,tick,""
147963.573659,0,queue_length,0
147963.573662,0,queue_length,0
147963.573662,6,sched_state,waiting
147963.573664,7,sched_state,waiting
147963.573666,3,sched_state,waiting
147963.573666,6,tick,""
147963.573666,2,sched_state,waiting
147963.573667,7,tick,""
147963.573668,3,tick,""
147963.573670,2,tick,""
147963.573678,0,queue_length,0
147963.573681,0,queue_length,0
147963.573683,0,queue_length,0
147963.573685,3,sched_state,waiting
147963.573686,7,sched_state,waiting
147963.573685,0,queue_length,0
147963.573690,7,tick,""
147963.573691,3,tick,""
147963.573691,6,sched_state,waiting
147963.573691,2,sched_state,waiting
147963.573696,6,tick,""
147963.573697,0,queue_length,0
147963.573698,2,tick,""
147963.573700,0,queue_length,0
147963.573701,4,sched_state,waiting
147963.573704,4,tick,""
147963.573704,7,sched_state,waiting
147963.573704,0,queue_length,0
147963.573705,3,sched_state,waiting
147963.573708,7,tick,""
147963.573708,0,queue_length,0
147963.573708,3,tick,""
147963.573710,0,queue_length,0
147963.573713,2,sched_state,waiting
147963.573715,6,sched_state,waiting
147963.573716,0,queue_length,0
147963.573716,2,tick,""
147963.573717,4,sched_state,waiting
147963.573718,6,tick,""
147963.573725,0,queue_length,0
147963.573726,7,sched_state,waiting
147963.573728,4,tick,""
147963.573728,0,queue_length,0
147963.573730,7,tick,""
147963.573731,0,queue_length,0
147963.573734,0,queue_length,0
147963.573733,2,sched_state,waiting
147963.573735,6,sched_state,waiting
147963.573737,2,tick,""
147963.573740,0,queue_length,0
147963.573739,3,sched_state,waiting
147963.573741,4,sched_state,waiting
147963.573744,4,tick,""
147963.573744,3,tick,""
147963.573744,6,tick,""
147963.573745,7,sched_state,waiting
147963.573748,7,tick,""
147963.573749,0,queue_length,0
147963.573750,0,queue_length,0
147963.573752,0,queue_length,0
147963.573754,2,sched_state,waiting
147963.573754,0,queue_length,0
147963.573757,3,sched_state,waiting
147963.573759,2,tick,""
147963.573760,4,sched_state,waiting
147963.573764,0,queue_length,0
147963.573765,6,sched_state,waiting
147963.573766,3,tick,""
147963.573767,0,queue_length,0
147963.573769,6,tick,""
147963.573779,0,queue_length,0
147963.573781,0,queue_length,0
147963.573781,7,sched_state,waiting
147963.573783,3,sched_state,waiting
147963.573785,2,sched_state,waiting
147963.573786,7,tick,""
147963.573786,3,tick,""
147963.573788,2,tick,""
147963.573794,0,queue_length,0
147963.573796,6,sched_state,waiting
147963.573797,0,queue_length,0
147963.573800,6,tick,""
147963.573800,0,queue_length,0
147963.573801,3,sched_state,waiting
147963.573804,3,tick,""
147963.573806,2,sched_state,waiting
147963.573807,7,sched_state,waiting
147963.573809,0,queue_length,0
147963.573811,2,tick,""
147963.573812,0,queue_length,0
147963.573811,7,tick,""
147963.573816,6,sched_state,waiting
147963.573817,0,queue_length,0
147963.573819,0,queue_length,0
147963.573820,6,tick,""
147963.573821,2,sched_state,waiting
147963.573824,7,sched_state,waiting
147963.573824,3,sched_state,waiting
147963.573825,2,tick,""
147963.573828,3,tick,""
147963.573828,7,tick,""
147963.573829,0,queue_length,0
147963.573832,0,queue_length,0
147963.573837,0,queue_length,0
147963.573843,4,tick,""
147963.573845,0,queue_length,0
147963.573847,2,sched_state,waiting
147963.573848,7,sched_state,waiting
147963.573849,6,sched_state,waiting
147963.573850,2,tick,""
147963.573852,7,tick,""
147963.573852,0,queue_length,0
147963.573852,6,tick,""
147963.573854,3,sched_state,waiting
147963.573856,4,sched_state,waiting
147963.573858,3,tick,""
147963.573859,4,tick,""
147963.573859,0,queue_length,0
147963.573862,0,queue_length,0
147963.573865,2,sched_state,waiting
147963.573868,0,queue_length,0
147963.573869,2,tick,""
147963.573871,0,queue_length,0
147963.573873,7,sched_state,waiting
147963.573875,6,sched_state,waiting
147963.573876,7,tick,""
147963.573879,0,queue_length,0
147963.573879,6,tick,""
147963.573879,4,sched_state,waiting
147963.573881,0,queue_length,0
147963.573883,4,tick,""
147963.573884,3,sched_state,waiting
147963.573885,0,queue_length,0
147963.573887,0,queue_length,0
147963.573889,3,tick,""
147963.573891,2,sched_state,waiting
147963.573892,7,sched_state,waiting
147963.573893,0,queue_length,0
147963.573894,6,sched_state,waiting
147963.573895,2,tick,""
147963.573895,0,queue_length,0
147963.573896,7,tick,""
147963.573898,6,tick,""
147963.573899,4,sched_state,waiting
147963.573901,4,tick,""
147963.573902,0,queue_length,0
