timestamp,lpu,event,value
151706.246513,5,sched_state,startup
151706.246517,1,sched_state,startup
151706.246540,6,sched_state,startup
151706.246541,3,sched_state,startup
151706.246540,2,sched_state,startup
151706.246541,7,sched_state,startup
151706.246554,4,sched_state,startup
151706.248440,4,tick,""
151706.248488,0,sched_state,startup
151706.248781,1,tick,""
151706.248802,0,queue_length,0
151706.248807,0,queue_length,0
151706.248822,1,sched_state,waiting
151706.249043,1,tick,""
151706.249063,0,queue_length,0
151706.249072,1,sched_state,waiting
151706.249078,1,tick,""
151706.249085,0,queue_length,0
151706.249090,1,sched_state,waiting
151706.249095,1,tick,""
151706.249100,0,queue_length,0
151706.249104,1,sched_state,waiting
151706.249107,1,tick,""
151706.249119,0,queue_length,0
151706.249129,1,sched_state,waiting
151706.249131,5,tick,""
151706.249133,1,tick,""
151706.249140,0,queue_length,0
151706.249144,1,sched_state,waiting
151706.249147,1,tick,""
151706.249148,0,queue_length,0
151706.249152,5,sched_state,waiting
151706.249183,5,tick,""
151706.249192,0,queue_length,0
151706.249195,0,queue_length,0
151706.249198,1,sched_state,waiting
151706.249201,1,tick,""
151706.249204,5,sched_state,waiting
151706.249205,3,tick,""
151706.249207,5,tick,""
151706.249207,7,tick,""
151706.249205,6,tick,""
151706.249210,2,tick,""
151706.249213,0,queue_length,0
151706.249215,0,queue_length,0
151706.249225,0,queue_length,0
151706.249228,1,sched_state,waiting
151706.249229,0,queue_length,0
151706.249232,0,queue_length,0
151706.249232,1,tick,""
151706.249233,3,sched_state,waiting
151706.249234,0,queue_length,0
151706.249237,0,queue_length,0
151706.249239,6,sched_state,waiting
151706.249239,7,sched_state,waiting
151706.249241,1,sched_state,waiting
151706.249241,5,sched_state,waiting
151706.249244,1,tick,""
151706.249252,0,queue_length,0
151706.249255,1,sched_state,waiting
151706.249260,1,tick,""
151706.249263,5,tick,""
151706.249264,3,tick,""
151706.249267,7,tick,""
151706.249270,6,tick,""
151706.249271,0,queue_length,0
151706.249279,0,queue_length,0
151706.249281,1,sched_state,waiting
151706.249282,0,queue_length,0
151706.249284,0,queue_length,0
151706.249284,1,tick,""
151706.249286,0,queue_length,0
151706.249287,3,sched_state,waiting
151706.249288,7,sched_state,waiting
151706.249291,6,sched_state,waiting
151706.249291,5,sched_state,waiting
151706.249292,7,tick,""
151706.249292,3,tick,""
151706.249292,0,queue_length,0
151706.249295,5,tick,""
151706.249297,6,tick,""
151706.249298,1,sched_state,waiting
151706.249301,0,queue_length,0
151706.249302,1,tick,""
151706.249305,0,queue_length,0
151706.249307,0,queue_length,0
151706.249309,3,sched_state,waiting
151706.249309,0,queue_length,0
151706.249312,0,queue_length,0
151706.249312,5,sched_state,waiting
151706.249314,6,sched_state,waiting
151706.249316,3,tick,""
151706.249316,5,tick,""
151706.249316,1,sched_state,waiting
151706.249317,7,sched_state,waiting
151706.249318,2,sched_state,waiting
151706.249320,1,tick,""
151706.249322,6,tick,""
151706.249323,0,queue_length,0
151706.249323,7,tick,""
151706.249332,0,queue_length,0
151706.249333,2,tick,""
151706.249334,0,queue_length,0
151706.249337,0,queue_length,0
151706.249339,0,queue_length,0
151706.249340,3,sched_state,waiting
151706.249341,6,sched_state,waiting
151706.249342,0,queue_length,0
151706.249343,1,sched_state,waiting
151706.249344,3,tick,""
151706.249344,7,sched_state,waiting
151706.249345,6,tick,""
151706.249347,1,tick,""
151706.249347,7,tick,""
