timestamp,lpu,event,value
147736.482366,6,sched_state,startup
147736.482369,5,sched_state,startup
147736.482368,1,sched_state,startup
147736.482402,7,sched_state,startup
147736.482406,3,sched_state,startup
147736.482402,4,sched_state,startup
147736.482668,0,sched_state,startup
147736.482690,4,tick,""
147736.482709,0,queue_length,0
147736.482712,6,tick,""
147736.482715,4,sched_state,waiting
147736.482722,4,tick,""
147736.482722,5,tick,""
147736.482725,0,queue_length,0
147736.482727,1,tick,""
147736.482730,0,queue_length,0
147736.482732,0,queue_length,0
147736.482736,0,queue_length,0
147736.482741,5,sched_state,waiting
147736.482741,1,sched_state,waiting
147736.482743,6,sched_state,waiting
147736.482749,5,tick,""
147736.482752,4,sched_state,waiting
147736.482753,1,tick,""
147736.482754,6,tick,""
147736.482755,4,tick,""
147736.482759,3,tick,""
147736.482764,7,tick,""
147736.482766,0,queue_length,0
147736.482769,0,queue_length,0
147736.482772,0,queue_length,0
147736.482773,5,sched_state,waiting
147736.482775,0,queue_length,0
147736.482777,5,tick,""
147736.482777,0,queue_length,0
147736.482778,6,sched_state,waiting
147736.482781,0,queue_length,0
147736.482784,7,sched_state,waiting
147736.482785,6,tick,""
147736.482784,3,sched_state,waiting
147736.482783,0,queue_length,0
147736.482792,0,queue_length,0
147736.482793,5,sched_state,waiting
147736.482796,6,sched_state,waiting
147736.482797,5,tick,""
147736.482797,7,tick,""
147736.482798,1,sched_state,waiting
147736.482797,3,tick,""
147736.482799,6,tick,""
147736.482802,1,tick,""
147736.482805,0,queue_length,0
147736.482808,0,queue_length,0
147736.482810,0,queue_length,0
147736.482812,0,queue_length,0
147736.482813,7,sched_state,waiting
147736.482814,3,sched_state,waiting
147736.482814,0,queue_length,0
147736.482816,6,sched_state,waiting
147736.482818,7,tick,""
147736.482818,5,sched_state,waiting
147736.482818,1,sched_state,waiting
147736.482820,6,tick,""
147736.482821,3,tick,""
147736.482822,5,tick,""
147736.482822,1,tick,""
147736.482825,4,sched_state,waiting
147736.482828,0,queue_length,0
147736.482841,0,queue_length,0
147736.482841,4,tick,""
147736.482843,0,queue_length,0
147736.482846,0,queue_length,0
147736.482847,2,sched_state,startup
147736.482848,0,queue_length,0
147736.482851,0,queue_length,0
147736.482852,5,sched_state,waiting
147736.482851,1,sched_state,waiting
147736.482855,1,tick,""
147736.482855,5,tick,""
147736.482855,6,sched_state,waiting
147736.482862,6,tick,""
147736.482864,7,sched_state,waiting
147736.482869,7,tick,""
147736.482869,0,queue_length,0
147736.482873,0,queue_length,0
147736.482876,0,queue_length,0
147736.482876,1,sched_state,waiting
147736.482878,0,queue_length,0
147736.482880,1,tick,""
147736.482881,6,sched_state,waiting
147736.482883,7,sched_state,waiting
147736.482884,5,sched_state,waiting
147736.482885,6,tick,""
147736.482888,5,tick,""
147736.482888,7,tick,""
147736.482889,0,queue_length,0
147736.482891,0,queue_length,0
147736.482895,6,sched_state,waiting
147736.482899,0,queue_length,0
147736.482899,6,tick,""
147736.482902,0,queue_length,0
147736.482905,0,queue_length,0
147736.482905,5,sched_state,waiting
147736.482904,3,sched_state,waiting
147736.482907,7,sched_state,waiting
147736.482908,5,tick,""
147736.482909,1,sched_state,waiting
147736.482909,3,tick,""
147736.482910,7,tick,""
147736.482912,1,tick,""
147736.482916,0,queue_length,0
147736.482918,0,queue_length,0
147736.482920,0,queue_length,0
147736.482922,0,queue_length,0
147736.482922,6,sched_state,waiting
147736.482926,6,tick,""
147736.482926,5,sched_state,waiting
147736.482927,1,sched_state,waiting
147736.482930,5,tick,""
147736.482930,1,tick,""
147736.482933,3,sched_state,waiting
147736.482932,7,sched_state,waiting
147736.482937,3,tick,""
147736.482937,0,queue_length,0
147736.482937,7,tick,""
147736.482940,0,queue_length,0
147736.482943,0,queue_length,0
147736.482945,0,queue_length,0
147736.482947,0,queue_length,0
147736.482949,2,tick,""
147736.482949,3,sched_state,waiting
147736.482950,7,sched_state,waiting
147736.482951,1,sched_state,waiting
147736.482953,7,tick,""
147736.482953,3,tick,""
147736.482956,5,sched_state,waiting
147736.482958,1,tick,""
147736.482959,5,tick,""
147736.482961,0,queue_length,0
147736.482968,0,queue_length,0
147736.482970,0,queue_length,0
147736.482971,2,sched_state,waiting
147736.482973,3,sched_state,waiting
147736.482974,0,queue_length,0
147736.482976,3,tick,""
147736.482976,0,queue_length,0
147736.482976,6,sched_state,waiting
147736.482978,2,tick,""
147736.482979,1,sched_state,waiting
147736.482980,6,tick,""
147736.482981,7,sched_state,waiting
147736.482983,1,tick,""
147736.482985,7,tick,""
147736.482986,0,tick,""
147736.482992,0,queue_length,0
147736.482995,4,sched_state,waiting
147736.482998,4,tick,""
147736.482999,5,sched_state,waiting
147736.482999,3,sched_state,waiting
147736.483003,5,tick,""
147736.483003,3,tick,""
147736.482994,0,queue_length,0
147736.483089,0,queue_length,0
147736.483093,0,queue_length,1
147736.483095,0,queue_length,0
147736.483096,6,sched_state,waiting
147736.483096,2,sched_state,waiting
147736.483105,6,tick,""
147736.483107,2,tick,""
147736.483287,0,queue_length,0
147736.483292,0,queue_length,0
147736.483294,0,queue_length,0
147736.483299,7,sched_state,waiting
147736.483303,7,tick,""
147736.483310,0,queue_length,0
147736.483312,0,queue_length,0
147736.483314,0,queue_length,0
147736.483314,3,sched_state,waiting
147736.483317,0,queue_length,0
147736.483318,3,tick,""
147736.483318,0,queue_length,0
147736.483318,5,sched_state,waiting
147736.483319,6,sched_state,waiting
147736.483320,2,sched_state,waiting
147736.483322,7,sched_state,waiting
147736.483323,6,tick,""
147736.483323,2,tick,""
147736.483324,5,tick,""
147736.483325,0,sched_state,waiting
147736.483329,7,tick,""
147736.483332,0,queue_length,0
147736.483332,4,sched_state,waiting
147736.483336,0,queue_length,0
147736.483339,0,tick,""
147736.483342,0,queue_length,0
147736.483344,4,tick,""
147736.483344,2,sched_state,waiting
147736.483345,0,queue_length,0
147736.483348,0,queue_length,0
147736.483348,3,sched_state,waiting
147736.483348,2,tick,""
147736.483350,0,queue_length,0
147736.483350,5,sched_state,waiting
147736.483352,3,tick,""
147736.483352,7,sched_state,waiting
147736.483353,0,queue_length,0
147736.483355,5,tick,""
147736.483356,0,queue_length,0
147736.483356,7,tick,""
147736.483358,0,sched_state,waiting
147736.483358,0,queue_length,0
147736.483361,0,queue_length,0
147736.483361,0,tick,""
147736.483363,0,queue_length,0
147736.483364,3,sched_state,waiting
147736.483366,5,sched_state,waiting
147736.483367,7,sched_state,waiting
147736.483367,3,tick,""
147736.483369,2,sched_state,waiting
147736.483369,6,sched_state,waiting
147736.483369,5,tick,""
147736.483371,7,tick,""
