timestamp,lpu,event,value
149910.392782,7,sched_state,startup
149910.392789,3,sched_state,startup
149910.392813,1,sched_state,startup
149910.392814,6,sched_state,startup
149910.392813,5,sched_state,startup
149910.392817,2,sched_state,startup
149910.392829,4,sched_state,startup
149910.394602,4,tick,""
149910.394647,0,sched_state,startup
149910.394856,3,tick,""
149910.394937,0,queue_length,0
149910.394941,0,queue_length,0
149910.394955,3,sched_state,waiting
149910.394970,3,tick,""
149910.395009,0,queue_length,0
149910.395014,3,sched_state,waiting
149910.395019,3,tick,""
149910.395032,7,tick,""
149910.395044,0,queue_length,0
149910.395047,0,queue_length,0
149910.395051,7,sched_state,waiting
149910.395058,7,tick,""
149910.395067,1,tick,""
149910.395070,0,queue_length,0
149910.395075,7,sched_state,waiting
149910.395076,5,tick,""
149910.395078,7,tick,""
149910.395085,0,queue_length,0
149910.395089,0,queue_length,0
149910.395093,0,queue_length,0
149910.395096,5,sched_state,waiting
149910.395098,1,sched_state,waiting
149910.395098,7,sched_state,waiting
149910.395103,1,tick,""
149910.395104,6,tick,""
149910.395106,7,tick,""
149910.395110,0,queue_length,0
149910.395103,5,tick,""
149910.395112,0,queue_length,0
149910.395102,2,tick,""
149910.395121,7,sched_state,waiting
149910.395117,0,queue_length,0
149910.395125,7,tick,""
149910.395127,0,queue_length,0
149910.395130,0,queue_length,0
149910.395131,6,sched_state,waiting
149910.395132,5,sched_state,waiting
149910.395137,0,queue_length,0
149910.395140,3,sched_state,waiting
149910.395141,5,tick,""
149910.395142,2,sched_state,waiting
149910.395144,1,sched_state,waiting
149910.395144,6,tick,""
149910.395144,3,tick,""
149910.395147,2,tick,""
149910.395148,0,queue_length,0
149910.395152,5,sched_state,waiting
149910.395145,7,sched_state,waiting
149910.395158,1,tick,""
149910.395158,5,tick,""
149910.395160,7,tick,""
149910.395163,0,queue_length,0
149910.395166,0,queue_length,0
149910.395169,0,queue_length,0
149910.395171,0,queue_length,0
149910.395172,2,sched_state,waiting
149910.395174,0,queue_length,0
