timestamp,lpu,event,value
178492.738700,7,sched_state,startup
178492.738711,6,sched_state,startup
178492.738716,4,sched_state,startup
178492.738848,5,sched_state,startup
178492.738852,1,sched_state,startup
178492.738956,3,sched_state,startup
178492.738988,0,sched_state,startup
178492.739035,7,tick,""
178492.739036,4,tick,""
178492.739047,7,queue_length,0
178492.739050,4,queue_length,0
178492.739056,4,sched_state,waiting
178492.739056,7,sched_state,waiting
178492.739064,6,tick,""
178492.739063,1,tick,""
178492.739063,5,tick,""
178492.739069,7,tick,""
178492.739069,4,tick,""
178492.739073,6,queue_length,0
178492.739074,5,queue_length,0
178492.739076,1,queue_length,0
178492.739078,6,sched_state,waiting
178492.739080,5,sched_state,waiting
178492.739080,1,sched_state,waiting
178492.739092,6,tick,""
178492.739092,1,tick,""
178492.739092,5,tick,""
178492.739126,4,sched_state,waiting
178492.739129,1,sched_state,waiting
178492.739129,5,sched_state,waiting
178492.739130,3,tick,""
178492.739131,6,sched_state,waiting
178492.739135,4,tick,""
178492.739138,3,queue_length,0
178492.739138,1,tick,""
178492.739140,5,tick,""
178492.739143,3,sched_state,waiting
178492.739145,6,tick,""
178492.739151,6,sched_state,waiting
178492.739154,6,tick,""
178492.739154,2,sched_state,startup
178492.739156,3,tick,""
178492.739179,3,sched_state,waiting
178492.739187,3,tick,""
178492.739192,3,sched_state,waiting
178492.739196,3,tick,""
178492.739317,2,tick,""
178492.739331,2,queue_length,0
178492.739336,2,sched_state,waiting
178492.739337,0,tick,""
178492.739351,2,tick,""
178492.739380,2,sched_state,waiting
178492.739388,2,tick,""
178492.739393,2,sched_state,waiting
178492.739397,2,tick,""
178492.739416,0,queue_length,1
178492.739421,0,queue_length,0
178492.740388,0,sched_state,running
178492.741048,0,tick,""
178492.741075,0,reduction,""
178492.741084,0,sched_state,running
178492.741505,0,tick,""
178492.741524,0,reduction,""
178492.741532,0,sched_state,running
178492.742110,0,tick,""
178492.742127,0,reduction,""
178492.742135,0,sched_state,running
178492.742515,0,tick,""
