timestamp,lpu,event,value
178547.321465,1,sched_state,startup
178547.321465,5,sched_state,startup
178547.321466,7,sched_state,startup
178547.321476,6,sched_state,startup
178547.321477,2,sched_state,startup
178547.321497,4,sched_state,startup
178547.322582,3,sched_state,startup
178547.323636,4,tick,""
178547.323667,4,queue_length,0
178547.323678,4,sched_state,waiting
178547.323722,4,tick,""
178547.323781,4,sched_state,waiting
178547.323789,4,tick,""
178547.323946,1,tick,""
178547.324007,1,queue_length,0
178547.324013,1,sched_state,waiting
178547.324151,2,tick,""
178547.324164,2,queue_length,0
178547.324169,1,tick,""
178547.324170,2,sched_state,waiting
178547.324179,0,sched_state,startup
178547.324201,2,tick,""
178547.324201,5,tick,""
178547.324212,5,queue_length,0
178547.324216,5,sched_state,waiting
178547.324216,6,tick,""
178547.324224,6,queue_length,0
178547.324228,6,sched_state,waiting
178547.324227,3,tick,""
178547.324236,5,tick,""
178547.324238,3,queue_length,0
178547.324237,7,tick,""
178547.324241,2,sched_state,waiting
178547.324244,3,sched_state,waiting
178547.324247,7,queue_length,0
178547.324248,6,tick,""
178547.324248,2,tick,""
178547.324252,7,sched_state,waiting
178547.324263,3,tick,""
178547.324272,7,tick,""
178547.324278,6,sched_state,waiting
178547.324280,5,sched_state,waiting
178547.324288,6,tick,""
178547.324289,5,tick,""
178547.324298,7,sched_state,waiting
178547.324299,3,sched_state,waiting
178547.324303,7,tick,""
178547.324307,3,tick,""
178547.324308,7,sched_state,waiting
178547.324314,7,tick,""
178547.324988,1,sched_state,waiting
178547.325021,1,tick,""
178547.325035,1,sched_state,waiting
178547.325045,1,tick,""
178547.325860,0,tick,""
178547.326293,0,queue_length,1
178547.326299,0,queue_length,0
178547.329441,0,sched_state,running
178547.330468,0,tick,""
178547.330475,0,reduction,""
178547.330477,0,sched_state,running
178547.330946,0,tick,""
178547.330951,0,reduction,""
178547.330953,0,sched_state,running
178547.331533,0,tick,""
178547.331537,0,reduction,""
178547.331539,0,sched_state,running
178547.331837,0,tick,""
178547.332747,0,reduction,""
178547.332750,0,sched_state,running
178547.333467,0,tick,""
178547.333471,0,reduction,""
178547.333473,0,sched_state,running
178547.334233,0,tick,""
178547.334353,0,reduction,""
178547.334355,0,sched_state,running
178547.334827,0,tick,""
178547.334832,0,reduction,""
178547.334834,0,sched_state,running
178547.335042,4,sched_state,waiting
178547.335051,4,tick,""
178547.335054,4,sched_state,waiting
178547.335057,4,tick,""
178547.335082,4,sched_state,waiting
178547.335086,4,tick,""
178547.335089,4,sched_state,waiting
178547.335092,4,tick,""
178547.335317,0,tick,""
178547.335323,0,spawn,""
178547.335325,0,reduction,""
178547.335327,0,sched_state,running
178547.335818,0,tick,""
178547.335820,0,queue_length,1
178547.335821,0,reduction,""
178547.335823,0,sched_state,running
178547.336193,0,tick,""
178547.336197,0,reduction,""
178547.336199,0,sched_state,running
