timestamp,lpu,event,value
178498.232476,7,sched_state,startup
178498.232479,6,sched_state,startup
178498.232479,3,sched_state,startup
178498.232479,2,sched_state,startup
178498.232481,5,sched_state,startup
178498.232494,4,sched_state,startup
178498.232962,4,tick,""
178498.232972,4,queue_length,0
178498.232977,4,sched_state,waiting
178498.232988,4,tick,""
178498.232991,0,sched_state,startup
178498.232996,1,sched_state,startup
178498.233046,3,tick,""
178498.233046,7,tick,""
178498.233049,5,tick,""
178498.233058,5,queue_length,0
178498.233058,7,queue_length,0
178498.233061,2,tick,""
178498.233063,5,sched_state,waiting
178498.233061,6,tick,""
178498.233064,7,sched_state,waiting
178498.233072,6,queue_length,0
178498.233072,3,queue_length,0
178498.233072,2,queue_length,0
178498.233077,5,tick,""
178498.233077,7,tick,""
178498.233077,3,sched_state,waiting
178498.233078,2,sched_state,waiting
178498.233078,6,sched_state,waiting
178498.233103,2,tick,""
178498.233103,6,tick,""
178498.233110,3,tick,""
178498.233115,5,sched_state,waiting
178498.233116,7,sched_state,waiting
178498.233124,5,tick,""
178498.233126,7,tick,""
178498.233141,6,sched_state,waiting
178498.233143,2,sched_state,waiting
178498.233143,3,sched_state,waiting
178498.233149,6,tick,""
178498.233158,2,tick,""
178498.233158,3,tick,""
178498.233163,2,sched_state,waiting
178498.233167,2,tick,""
178498.233191,1,tick,""
178498.233198,1,queue_length,0
178498.233202,1,sched_state,waiting
178498.233211,1,tick,""
178498.233239,1,sched_state,waiting
178498.233243,1,tick,""
178498.233247,1,sched_state,waiting
178498.233251,1,tick,""
178498.233270,0,tick,""
178498.233289,4,sched_state,waiting
178498.233294,4,tick,""
178498.233355,0,queue_length,1
178498.233364,0,queue_length,0
178498.233626,0,sched_state,running
178498.233744,0,tick,""
178498.233752,0,reduction,""
178498.233754,0,sched_state,running
178498.233918,0,tick,""
178498.233926,0,reduction,""
178498.233927,0,sched_state,running
178498.234056,0,tick,""
178498.234071,0,reduction,""
178498.234077,0,sched_state,running
178498.234477,0,tick,""
178498.234493,0,reduction,""
178498.234499,0,sched_state,running
178498.234894,0,tick,""
178498.234910,0,reduction,""
178498.234918,0,sched_state,running
178498.235310,0,tick,""
178498.235326,0,reduction,""
178498.235333,0,sched_state,running
178498.235721,0,tick,""
178498.235738,0,reduction,""
178498.235745,0,sched_state,running
178498.236217,0,tick,""
178498.236235,0,reduction,""
178498.236243,0,sched_state,running
178498.236385,0,tick,""
178498.236390,0,reduction,""
178498.236391,0,sched_state,running
178498.236499,0,tick,""
178498.238320,0,reduction,""
178498.238323,0,sched_state,running
178498.238429,0,tick,""
178498.238434,0,reduction,""
178498.238436,0,sched_state,running
178498.238534,0,tick,""
178498.238541,0,reduction,""
178498.238543,0,sched_state,running
178498.238636,0,tick,""
178498.238888,0,reduction,""
178498.238890,0,sched_state,running
178498.238983,0,tick,""
178498.238989,0,reduction,""
178498.238990,0,sched_state,running
178498.239063,0,tick,""
178498.239068,0,reduction,""
178498.239069,0,sched_state,running
178498.239142,0,tick,""
178498.239147,0,reduction,""
178498.239148,0,sched_state,running
178498.239221,0,tick,""
178498.239225,0,reduction,""
178498.239227,0,sched_state,running
178498.239298,0,tick,""
178498.239303,0,reduction,""
178498.239304,0,sched_state,running
178498.239373,0,tick,""
178498.239378,0,reduction,""
178498.239380,0,sched_state,running
178498.239450,0,tick,""
178498.239455,0,reduction,""
178498.239456,0,sched_state,running
178498.239526,0,tick,""
178498.239805,0,queue_length,0
178498.239966,0,sched_state,running
178498.240048,0,tick,""
178498.240055,0,reduction,""
178498.240058,0,sched_state,running
178498.240144,0,tick,""
178498.240151,0,reduction,""
178498.240153,0,sched_state,running
178498.240225,0,tick,""
178498.240232,0,reduction,""
178498.240234,0,sched_state,running
178498.240305,0,tick,""
178498.240312,0,reduction,""
178498.240314,0,sched_state,running
178498.240383,0,tick,""
