timestamp,lpu,event,value
178629.361754,4,sched_state,startup
178629.361757,3,sched_state,startup
178629.361759,7,sched_state,startup
178629.361795,5,sched_state,startup
178629.361797,2,sched_state,startup
178629.361798,1,sched_state,startup
178629.361797,6,sched_state,startup
178629.363357,0,sched_state,startup
178629.363735,3,tick,""
178629.363834,5,tick,""
178629.363835,1,tick,""
178629.363839,3,queue_length,0
178629.363847,1,queue_length,0
178629.363847,5,queue_length,0
178629.363849,3,sched_state,waiting
178629.363849,6,tick,""
178629.363851,2,tick,""
178629.363852,5,sched_state,waiting
178629.363852,1,sched_state,waiting
178629.363851,7,tick,""
178629.363859,2,queue_length,0
178629.363859,6,queue_length,0
178629.363861,7,queue_length,0
178629.363865,7,sched_state,waiting
178629.363865,2,sched_state,waiting
178629.363865,6,sched_state,waiting
178629.364135,3,tick,""
178629.364135,7,tick,""
178629.364185,1,tick,""
178629.364185,5,tick,""
178629.364185,6,tick,""
178629.364185,2,tick,""
178629.364204,3,sched_state,waiting
178629.364208,7,sched_state,waiting
178629.364209,3,tick,""
178629.364217,7,tick,""
178629.364237,2,sched_state,waiting
178629.364244,1,sched_state,waiting
178629.364244,5,sched_state,waiting
178629.364247,2,tick,""
178629.364251,2,sched_state,waiting
178629.364254,5,tick,""
178629.364254,1,tick,""
178629.364255,2,tick,""
178629.364315,6,sched_state,waiting
178629.364322,6,tick,""
178629.365063,4,tick,""
178629.368485,0,tick,""
178629.368767,4,queue_length,0
178629.368804,4,sched_state,waiting
178629.369050,4,tick,""
178629.369082,4,sched_state,waiting
178629.369086,4,tick,""
178629.369089,4,sched_state,waiting
178629.369094,4,tick,""
178629.369097,4,sched_state,waiting
178629.369099,4,tick,""
178629.369101,4,sched_state,waiting
178629.369103,4,tick,""
178629.369455,0,queue_length,1
178629.369462,0,queue_length,0
178629.373373,0,sched_state,running
178629.373996,0,tick,""
178629.374009,0,reduction,""
178629.374012,0,sched_state,running
178629.375809,0,tick,""
178629.375834,0,reduction,""
178629.375844,0,sched_state,running
178629.376440,0,tick,""
178629.376444,0,reduction,""
178629.376446,0,sched_state,running
178629.376874,0,tick,""
178629.376878,0,reduction,""
178629.376879,0,sched_state,running
178629.377302,0,tick,""
