timestamp,lpu,event,value
153385.275819,4,sched_state,startup
153385.275853,2,sched_state,startup
153385.275854,3,sched_state,startup
153385.275852,1,sched_state,startup
153385.275853,6,sched_state,startup
153385.275854,7,sched_state,startup
153385.275863,5,sched_state,startup
153385.277237,0,sched_state,startup
153385.277972,3,tick,""
153385.277972,7,tick,""
153385.277980,1,tick,""
153385.277986,2,tick,""
153385.277989,5,tick,""
153385.277995,1,queue_length,0
153385.277995,7,queue_length,0
153385.277996,5,queue_length,0
153385.277995,3,queue_length,0
153385.277998,2,queue_length,0
153385.277996,6,tick,""
153385.278005,6,queue_length,0
153385.278004,7,sched_state,waiting
153385.278004,3,sched_state,waiting
153385.278004,5,sched_state,waiting
153385.278013,6,sched_state,waiting
153385.278004,2,sched_state,waiting
153385.278004,1,sched_state,waiting
153385.278211,5,tick,""
153385.278428,3,tick,""
153385.278428,7,tick,""
153385.278470,7,sched_state,waiting
153385.278471,6,tick,""
153385.278471,2,tick,""
153385.278476,1,tick,""
153385.278477,5,sched_state,waiting
153385.278481,7,tick,""
153385.278487,3,sched_state,waiting
153385.278489,5,tick,""
153385.278495,3,tick,""
153385.278516,2,sched_state,waiting
153385.278516,6,sched_state,waiting
153385.278525,1,sched_state,waiting
153385.278529,2,tick,""
153385.278529,6,tick,""
153385.278532,1,tick,""
153385.278535,2,sched_state,waiting
153385.278540,2,tick,""
153385.278545,2,sched_state,waiting
153385.278548,2,tick,""
153385.278848,4,tick,""
153385.279554,0,tick,""
153385.279560,4,queue_length,0
153385.279566,4,sched_state,waiting
153385.279584,4,tick,""
153385.279677,4,sched_state,waiting
153385.279685,4,tick,""
153385.279688,4,sched_state,waiting
153385.279691,4,tick,""
153385.280042,0,queue_length,1
153385.280049,0,queue_length,0
153385.283078,0,sched_state,running
153385.283751,0,tick,""
153385.283760,0,reduction,""
153385.283761,0,sched_state,running
153385.284053,0,tick,""
153385.284057,0,reduction,""
153385.284058,0,sched_state,running
153385.285009,0,tick,""
153385.285015,0,reduction,""
153385.285018,0,sched_state,running
153385.285325,0,tick,""
153385.286343,0,reduction,""
153385.286348,0,sched_state,running
153385.286662,0,tick,""
153385.286669,0,reduction,""
153385.286671,0,sched_state,running
153385.287991,0,tick,""
153385.288196,0,reduction,""
153385.288198,0,sched_state,running
153385.288744,0,tick,""
153385.288748,0,reduction,""
153385.288750,0,sched_state,running
153385.289047,0,tick,""
153385.289051,0,spawn,""
153385.289053,0,reduction,""
153385.289054,0,sched_state,running
153385.289354,0,tick,""
153385.289356,0,reduction,""
153385.289358,0,sched_state,running
153385.289359,0,queue_length,1
153385.289655,0,tick,""
153385.289659,0,reduction,""
153385.289661,0,sched_state,running
153385.289955,0,tick,""
153385.289959,0,reduction,""
153385.289960,0,sched_state,running
153385.290255,0,tick,""
153385.290259,0,reduction,""
153385.290260,0,sched_state,running
153385.290556,0,tick,""
153385.290560,0,reduction,""
153385.290561,0,sched_state,running
153385.290858,0,tick,""
153385.290861,0,reduction,""
153385.290862,0,sched_state,running
153385.291161,0,tick,""
153385.291169,0,reduction,""
153385.291176,0,sched_state,running
153385.291473,0,tick,""
153385.291477,0,reduction,""
153385.291479,0,sched_state,running
153385.291769,0,tick,""
153385.291773,0,reduction,""
153385.291774,0,sched_state,running
153385.292066,0,tick,""
153385.292077,0,reduction,""
153385.292078,0,sched_state,running
153385.292443,0,tick,""
153385.292448,0,reduction,""
153385.292451,0,sched_state,running
153385.292934,0,tick,""
153385.292941,0,reduction,""
153385.292943,0,sched_state,running
153385.293029,5,sched_state,waiting
153385.293032,7,sched_state,waiting
153385.293039,5,tick,""
153385.293040,7,tick,""
153385.293043,5,sched_state,waiting
153385.293049,5,tick,""
153385.293054,6,sched_state,waiting
153385.293062,3,sched_state,waiting
153385.293066,6,tick,""
153385.293069,7,sched_state,waiting
153385.293070,3,tick,""
153385.293075,7,tick,""
153385.293091,4,sched_state,waiting
153385.293098,4,tick,""
153385.293098,6,sched_state,waiting
153385.293105,6,tick,""
153385.293120,4,sched_state,waiting
153385.293124,4,tick,""
153385.293155,3,sched_state,waiting
153385.293163,3,tick,""
153385.293171,3,sched_state,waiting
153385.293175,3,tick,""
153385.293436,1,sched_state,waiting
153385.293442,0,tick,""
153385.293443,1,tick,""
153385.295717,0,queue_length,1
153385.295753,0,sched_state,running
153385.295975,0,tick,""
153385.295980,0,reduction,""
153385.295985,0,sched_state,running
153385.295992,0,tick,""
153385.295996,0,reduction,""
153385.295997,0,sched_state,running
153385.296003,0,tick,""
153385.296006,0,reduction,""
153385.296007,0,sched_state,running
153385.296011,0,tick,""
153385.296046,0,channel_blocked,186
153385.296050,0,yield,""
153385.296060,0,sched_state,running
153385.296061,0,queue_length,2
153385.296065,0,tick,""
153385.296071,0,queue_length,1
153385.298176,0,sched_state,running
153385.299067,0,tick,""
153385.299076,0,reduction,""
153385.299077,0,sched_state,running
153385.299982,0,tick,""
153385.299994,0,reduction,""
153385.300004,0,sched_state,running
153385.300486,0,tick,""
153385.300637,0,reduction,""
153385.300640,0,sched_state,running
153385.301116,0,tick,""
153385.301135,0,reduction,""
153385.301137,0,sched_state,running
153385.301593,0,tick,""
153385.301604,0,reduction,""
153385.301606,0,sched_state,running
153385.302057,0,tick,""
153385.302061,0,reduction,""
153385.302063,0,sched_state,running
153385.302486,0,tick,""
153385.302490,0,reduction,""
153385.302491,0,sched_state,running
153385.302912,0,tick,""
153385.302933,0,reduction,""
153385.302934,0,sched_state,running
153385.303527,0,tick,""
153385.303614,0,reduction,""
153385.303616,0,sched_state,running
153385.304017,6,sched_state,waiting
153385.304017,7,sched_state,waiting
153385.304025,6,tick,""
153385.304026,7,tick,""
153385.304048,4,sched_state,waiting
153385.304052,6,sched_state,waiting
153385.304056,4,tick,""
153385.304058,6,tick,""
153385.304062,7,sched_state,waiting
153385.304062,4,sched_state,waiting
153385.304066,4,tick,""
153385.304069,7,tick,""
153385.304272,2,sched_state,waiting
153385.304279,2,tick,""
153385.304279,0,tick,""
153385.304295,0,reduction,""
153385.304296,2,sched_state,waiting
153385.304297,0,sched_state,running
153385.304300,2,tick,""
153385.304306,2,sched_state,waiting
153385.304310,2,tick,""
153385.305115,0,tick,""
153385.305124,0,reduction,""
153385.305126,0,sched_state,running
153385.306041,0,tick,""
153385.306065,0,reduction,""
153385.306069,0,sched_state,running
153385.306890,0,tick,""
153385.306906,0,reduction,""
153385.306908,0,sched_state,running
153385.307460,0,tick,""
153385.307468,0,reduction,""
153385.307472,0,sched_state,running
153385.308382,0,tick,""
153385.308405,0,reduction,""
153385.308408,0,sched_state,running
153385.308891,0,tick,""
153385.308904,0,reduction,""
153385.308906,0,sched_state,running
153385.309774,0,tick,""
153385.309785,0,reduction,""
153385.309787,0,sched_state,running
153385.310399,0,tick,""
153385.310574,0,reduction,""
153385.310577,0,sched_state,running
153385.311260,0,tick,""
153385.311285,0,reduction,""
153385.311288,0,sched_state,running
153385.311901,0,tick,""
153385.311908,0,reduction,""
153385.311911,0,sched_state,running
153385.312561,0,tick,""
153385.314875,0,queue_length,1
153385.314885,0,sched_state,running
153385.314901,0,tick,""
153385.314924,0,channel_blocked,186
153385.314926,0,yield,""
153385.314929,0,sched_state,running
153385.314933,0,tick,""
153385.314937,0,queue_length,2
153385.314939,0,queue_length,1
153385.315026,6,sched_state,waiting
153385.315036,6,tick,""
153385.315040,6,sched_state,waiting
153385.315044,6,tick,""
153385.315052,4,sched_state,waiting
153385.315061,4,tick,""
153385.315062,3,sched_state,waiting
153385.315067,6,sched_state,waiting
153385.315072,6,tick,""
153385.315073,3,tick,""
153385.315083,4,sched_state,waiting
153385.315088,4,tick,""
153385.315154,3,sched_state,waiting
153385.315169,3,tick,""
153385.315183,3,sched_state,waiting
153385.315188,3,tick,""
153385.316015,1,sched_state,waiting
153385.316022,1,tick,""
153385.316673,0,sched_state,running
153385.317570,0,tick,""
153385.317580,0,reduction,""
153385.317582,0,sched_state,running
153385.318246,0,tick,""
153385.318252,0,reduction,""
153385.318255,0,sched_state,running
153385.318917,0,tick,""
153385.318943,0,reduction,""
153385.318946,0,sched_state,running
153385.319704,0,tick,""
153385.319795,0,reduction,""
153385.319799,0,sched_state,running
153385.320596,0,tick,""
153385.320616,0,reduction,""
153385.320619,0,sched_state,running
153385.321368,0,tick,""
153385.321374,0,reduction,""
153385.321376,0,sched_state,running
153385.322027,0,tick,""
153385.322038,0,reduction,""
153385.322040,0,sched_state,running
153385.322701,0,tick,""
153385.322714,0,reduction,""
153385.322716,0,sched_state,running
153385.323284,0,tick,""
153385.323290,0,reduction,""
153385.323292,0,sched_state,running
153385.323954,0,tick,""
153385.323977,0,reduction,""
153385.323979,0,sched_state,running
153385.324525,0,tick,""
153385.324535,0,reduction,""
153385.324537,0,sched_state,running
153385.325011,0,tick,""
153385.325019,0,reduction,""
153385.325021,0,sched_state,running
153385.325489,0,tick,""
153385.325602,0,reduction,""
153385.325604,0,sched_state,running
153385.326013,4,sched_state,waiting
153385.326018,4,tick,""
153385.326023,5,sched_state,waiting
153385.326034,5,tick,""
153385.326045,4,sched_state,waiting
153385.326044,7,sched_state,waiting
153385.326049,4,tick,""
153385.326056,7,tick,""
153385.326084,7,sched_state,waiting
153385.326096,7,tick,""
153385.326101,7,sched_state,waiting
153385.326105,7,tick,""
153385.326107,2,sched_state,waiting
153385.326107,0,tick,""
153385.326116,2,tick,""
153385.326120,2,sched_state,waiting
153385.326124,2,tick,""
153385.326127,0,reduction,""
153385.326130,0,sched_state,running
153385.326143,2,sched_state,waiting
153385.326148,2,tick,""
153385.327017,1,sched_state,waiting
153385.327025,1,tick,""
153385.327116,0,tick,""
153385.327122,0,reduction,""
153385.327124,0,sched_state,running
153385.327891,0,tick,""
153385.327895,0,reduction,""
153385.327897,0,sched_state,running
153385.328661,0,tick,""
153385.328670,0,reduction,""
153385.328673,0,sched_state,running
153385.329335,0,tick,""
153385.329343,0,reduction,""
153385.329346,0,sched_state,running
153385.330092,0,tick,""
153385.330099,0,reduction,""
153385.330102,0,sched_state,running
153385.330757,0,tick,""
153385.330764,0,reduction,""
153385.330767,0,sched_state,running
153385.331683,0,tick,""
153385.334325,0,queue_length,1
153385.334341,0,sched_state,running
153385.334359,0,tick,""
153385.334403,0,channel_blocked,186
153385.334406,0,yield,""
153385.334416,0,sched_state,running
153385.334423,0,tick,""
153385.334431,0,queue_length,2
153385.334435,0,queue_length,1
153385.337019,6,sched_state,waiting
153385.337022,7,sched_state,waiting
153385.337030,7,tick,""
153385.337030,6,tick,""
153385.337048,4,sched_state,waiting
153385.337057,4,tick,""
153385.337069,6,sched_state,waiting
153385.337070,7,sched_state,waiting
153385.337074,6,tick,""
153385.337075,7,tick,""
153385.337078,4,sched_state,waiting
153385.337083,4,tick,""
153385.337716,0,sched_state,running
153385.337718,3,sched_state,waiting
153385.337727,3,tick,""
153385.337753,3,sched_state,waiting
153385.337760,3,tick,""
