timestamp,lpu,event,value
153336.048085,7,sched_state,startup
153336.048087,5,sched_state,startup
153336.048089,2,sched_state,startup
153336.048090,6,sched_state,startup
153336.048090,3,sched_state,startup
153336.048121,4,sched_state,startup
153336.048282,4,tick,""
153336.048283,0,sched_state,startup
153336.048289,1,sched_state,startup
153336.048294,4,queue_length,0
153336.048299,4,sched_state,waiting
153336.048298,2,tick,""
153336.048300,6,tick,""
153336.048310,4,tick,""
153336.048311,6,queue_length,0
153336.048317,6,sched_state,waiting
153336.048318,7,tick,""
153336.048318,3,tick,""
153336.048320,5,tick,""
153336.048330,5,queue_length,0
153336.048331,7,queue_length,0
153336.048333,2,queue_length,0
153336.048336,6,tick,""
153336.048336,5,sched_state,waiting
153336.048337,7,sched_state,waiting
153336.048337,2,sched_state,waiting
153336.048342,3,queue_length,0
153336.048343,2,tick,""
153336.048346,5,tick,""
153336.048348,7,tick,""
153336.048351,3,sched_state,waiting
153336.048373,3,tick,""
153336.048377,2,sched_state,waiting
153336.048377,6,sched_state,waiting
153336.048382,5,sched_state,waiting
153336.048383,2,tick,""
153336.048384,6,tick,""
153336.048385,7,sched_state,waiting
153336.048391,5,tick,""
153336.048393,7,tick,""
153336.048397,5,sched_state,waiting
153336.048402,5,tick,""
153336.048426,3,sched_state,waiting
153336.048434,3,tick,""
153336.048478,1,tick,""
153336.048485,1,queue_length,0
153336.048490,1,sched_state,waiting
153336.048504,1,tick,""
153336.048532,1,sched_state,waiting
153336.048540,1,tick,""
153336.048561,0,tick,""
153336.048577,4,sched_state,waiting
153336.048585,4,tick,""
153336.048588,4,sched_state,waiting
153336.048591,4,tick,""
153336.048647,0,queue_length,1
153336.048655,0,queue_length,0
153336.048903,0,sched_state,running
153336.049016,0,tick,""
153336.049024,0,reduction,""
153336.049026,0,sched_state,running
153336.049180,0,tick,""
153336.049195,0,reduction,""
153336.049199,0,sched_state,running
153336.049445,0,tick,""
153336.049455,0,reduction,""
153336.049460,0,sched_state,running
153336.049697,0,tick,""
153336.049707,0,reduction,""
153336.049711,0,sched_state,running
153336.049946,0,tick,""
153336.049954,0,reduction,""
153336.049959,0,sched_state,running
153336.050191,0,tick,""
153336.050200,0,reduction,""
153336.050205,0,sched_state,running
153336.050440,0,tick,""
153336.050449,0,reduction,""
153336.050453,0,sched_state,running
153336.050696,0,tick,""
153336.050705,0,reduction,""
153336.050709,0,sched_state,running
153336.051185,0,tick,""
153336.051211,0,reduction,""
153336.051219,0,sched_state,running
153336.051527,0,tick,""
153336.053946,0,reduction,""
153336.053950,0,sched_state,running
153336.054063,0,tick,""
153336.054072,0,reduction,""
153336.054074,0,sched_state,running
153336.054177,0,tick,""
153336.054183,0,reduction,""
153336.054185,0,sched_state,running
153336.054284,0,tick,""
153336.054482,0,reduction,""
153336.054484,0,sched_state,running
153336.054538,0,tick,""
153336.054542,0,reduction,""
153336.054544,0,sched_state,running
153336.054594,0,tick,""
153336.054597,0,reduction,""
153336.054598,0,sched_state,running
153336.054646,0,tick,""
153336.054649,0,reduction,""
153336.054650,0,sched_state,running
153336.054698,0,tick,""
153336.054702,0,reduction,""
153336.054703,0,sched_state,running
153336.054749,0,tick,""
153336.054752,0,reduction,""
153336.054754,0,sched_state,running
153336.054800,0,tick,""
153336.054804,0,reduction,""
153336.054805,0,sched_state,running
153336.054852,0,tick,""
153336.054856,0,reduction,""
153336.054857,0,sched_state,running
153336.054903,0,tick,""
153336.055068,0,queue_length,0
153336.055179,0,sched_state,running
153336.055251,0,tick,""
153336.055256,0,reduction,""
153336.055258,0,sched_state,running
153336.055348,0,tick,""
153336.055355,0,reduction,""
153336.055356,0,sched_state,running
153336.055407,0,tick,""
153336.055411,0,reduction,""
153336.055412,0,sched_state,running
153336.055461,0,tick,""
153336.055465,0,reduction,""
153336.055466,0,sched_state,running
153336.055515,0,tick,""
153336.055520,0,reduction,""
153336.055521,0,sched_state,running
153336.055570,0,tick,""
153336.055575,0,reduction,""
153336.055576,0,sched_state,running
153336.055624,0,tick,""
153336.055629,0,reduction,""
153336.055631,0,sched_state,running
153336.055679,0,tick,""
153336.055684,0,reduction,""
153336.055686,0,sched_state,running
153336.055732,0,tick,""
153336.055739,0,reduction,""
153336.055740,0,sched_state,running
153336.055787,0,tick,""
153336.055838,0,reduction,""
153336.055841,0,sched_state,running
153336.055922,0,tick,""
153336.055930,0,reduction,""
153336.055933,0,sched_state,running
153336.056011,0,tick,""
153336.056021,0,reduction,""
153336.056023,0,sched_state,running
153336.056099,0,tick,""
153336.056114,0,reduction,""
153336.056116,0,sched_state,running
153336.056194,0,tick,""
153336.056211,0,reduction,""
153336.056213,0,sched_state,running
153336.056291,0,tick,""
153336.056300,0,reduction,""
153336.056302,0,sched_state,running
153336.056379,0,tick,""
153336.056394,0,reduction,""
153336.056396,0,sched_state,running
153336.056479,0,tick,""
153336.056487,0,spawn,""
153336.056489,0,reduction,""
153336.056491,0,sched_state,running
153336.056861,0,tick,""
153336.056868,0,reduction,""
153336.056870,0,sched_state,running
153336.056893,0,queue_length,1
153336.056956,0,tick,""
153336.056964,0,reduction,""
153336.056966,0,sched_state,running
153336.057023,0,tick,""
153336.057032,0,reduction,""
153336.057033,0,sched_state,running
153336.057114,0,tick,""
153336.057508,0,queue_length,1
153336.057671,0,sched_state,running
153336.057821,0,tick,""
153336.057825,0,reduction,""
153336.057827,0,sched_state,running
153336.057961,0,tick,""
153336.057965,0,reduction,""
153336.057967,0,sched_state,running
153336.058048,0,tick,""
153336.058052,0,reduction,""
153336.058054,0,sched_state,running
153336.058131,0,tick,""
153336.058134,0,reduction,""
153336.058135,0,sched_state,running
153336.058210,0,tick,""
153336.058213,0,reduction,""
153336.058214,0,sched_state,running
153336.058288,0,tick,""
153336.058292,0,reduction,""
153336.058293,0,sched_state,running
153336.058366,0,tick,""
153336.059580,0,channel_blocked,166
153336.059582,0,yield,""
153336.059850,0,sched_state,running
153336.059871,0,tick,""
153336.060224,0,queue_length,2
153336.060231,0,queue_length,1
153336.060400,0,sched_state,running
153336.060467,0,tick,""
153336.060473,0,reduction,""
153336.060475,0,sched_state,running
153336.060538,0,tick,""
153336.060548,0,reduction,""
153336.060550,0,sched_state,running
153336.060608,0,tick,""
153336.060654,0,reduction,""
153336.060657,0,sched_state,running
153336.060744,0,tick,""
153336.060758,0,reduction,""
153336.060760,0,sched_state,running
153336.060844,0,tick,""
153336.060853,0,reduction,""
153336.060855,0,sched_state,running
153336.060942,0,tick,""
153336.060950,0,reduction,""
153336.060952,0,sched_state,running
153336.061036,0,tick,""
153336.061053,0,reduction,""
153336.061055,0,sched_state,running
153336.061142,0,tick,""
153336.061150,0,reduction,""
153336.061152,0,sched_state,running
153336.061236,0,tick,""
153336.061253,0,reduction,""
153336.061255,0,sched_state,running
153336.061342,0,tick,""
153336.061349,0,spawn,""
153336.061351,0,reduction,""
153336.061353,0,sched_state,running
153336.061642,0,tick,""
153336.061644,0,queue_length,2
153336.061649,0,reduction,""
153336.061651,0,sched_state,running
153336.061754,0,tick,""
153336.061761,0,reduction,""
153336.061763,0,sched_state,running
153336.061820,0,tick,""
153336.061829,0,reduction,""
153336.061830,0,sched_state,running
153336.061884,0,tick,""
153336.061894,0,reduction,""
153336.061898,0,sched_state,running
153336.061986,0,tick,""
153336.062002,0,reduction,""
153336.062006,0,sched_state,running
153336.062089,0,tick,""
153336.062136,0,reduction,""
153336.062139,0,sched_state,running
153336.062217,0,tick,""
153336.062233,0,reduction,""
153336.062237,0,sched_state,running
153336.062313,0,tick,""
153336.062323,0,reduction,""
153336.062325,0,sched_state,running
153336.062406,0,tick,""
153336.062415,0,reduction,""
153336.062416,0,sched_state,running
153336.062496,0,tick,""
153336.062514,0,reduction,""
153336.062516,0,sched_state,running
153336.062597,0,tick,""
153336.062900,0,queue_length,2
153336.063770,0,sched_state,running
153336.064050,2,sched_state,waiting
153336.064054,6,sched_state,waiting
153336.064057,5,sched_state,waiting
153336.064061,2,tick,""
