timestamp,lpu,event,value
155811.033237,3,sched_state,startup
155811.033242,4,sched_state,startup
155811.033237,7,sched_state,startup
155811.033248,6,sched_state,startup
155811.033248,2,sched_state,startup
155811.033266,1,sched_state,startup
155811.033278,5,sched_state,startup
155811.035607,4,tick,""
155811.035693,4,queue_length,0
155811.035706,4,sched_state,waiting
155811.035903,4,tick,""
155811.035981,4,sched_state,waiting
155811.035990,4,tick,""
155811.036251,2,tick,""
155811.036252,6,tick,""
155811.036265,2,queue_length,0
155811.036265,6,queue_length,0
155811.036271,6,sched_state,waiting
155811.036271,2,sched_state,waiting
155811.036289,7,tick,""
155811.036303,7,queue_length,0
155811.036309,7,sched_state,waiting
155811.036309,0,sched_state,startup
155811.036341,5,tick,""
155811.036343,1,tick,""
155811.036353,1,queue_length,0
155811.036353,5,queue_length,0
155811.036359,1,sched_state,waiting
155811.036359,5,sched_state,waiting
155811.036456,5,tick,""
155811.036456,1,tick,""
155811.036485,2,tick,""
155811.036488,6,tick,""
155811.036491,7,tick,""
155811.036500,1,sched_state,waiting
155811.036502,5,sched_state,waiting
155811.036509,1,tick,""
155811.036524,5,tick,""
155811.036538,2,sched_state,waiting
155811.036538,6,sched_state,waiting
155811.036540,7,sched_state,waiting
155811.036546,6,tick,""
155811.036547,2,tick,""
155811.036551,6,sched_state,waiting
155811.036552,7,tick,""
155811.036557,6,tick,""
155811.036561,6,sched_state,waiting
155811.036565,6,tick,""
155811.036569,6,sched_state,waiting
155811.036572,6,tick,""
155811.038346,3,tick,""
155811.040665,0,tick,""
155811.040798,3,queue_length,0
155811.040809,3,sched_state,waiting
155811.040999,3,tick,""
155811.041047,3,sched_state,waiting
155811.041057,3,tick,""
155811.041696,0,queue_length,1
155811.041700,0,queue_length,0
155811.042914,0,sched_state,running
155811.043369,0,tick,""
155811.043377,0,reduction,""
155811.043378,0,sched_state,running
155811.044250,0,tick,""
155811.044255,0,reduction,""
155811.044257,0,sched_state,running
155811.044690,0,tick,""
155811.044694,0,reduction,""
155811.044697,0,sched_state,running
155811.045126,0,tick,""
155811.045129,0,reduction,""
155811.045131,0,sched_state,running
155811.045558,0,tick,""
155811.045561,0,reduction,""
155811.045563,0,sched_state,running
155811.045994,0,tick,""
155811.045999,0,reduction,""
155811.046002,0,sched_state,running
155811.046430,0,tick,""
155811.046434,0,reduction,""
155811.046436,0,sched_state,running
155811.046888,0,tick,""
155811.046891,0,reduction,""
155811.046893,0,sched_state,running
155811.047296,0,tick,""
155811.047307,0,reduction,""
155811.047309,0,sched_state,running
155811.047735,0,tick,""
155811.047739,0,reduction,""
155811.047740,0,sched_state,running
155811.048163,0,tick,""
155811.048166,0,reduction,""
155811.048168,0,sched_state,running
155811.048567,0,tick,""
155811.048580,0,reduction,""
155811.048582,0,sched_state,running
155811.049006,0,tick,""
155811.049152,0,reduction,""
155811.049154,0,sched_state,running
155811.049563,0,tick,""
155811.049584,0,reduction,""
155811.049586,0,sched_state,running
155811.050014,0,tick,""
155811.050017,0,reduction,""
155811.050018,0,sched_state,running
155811.050417,0,tick,""
155811.050420,0,reduction,""
155811.050421,0,sched_state,running
155811.050820,0,tick,""
155811.050823,0,reduction,""
155811.050824,0,sched_state,running
155811.051061,2,sched_state,waiting
155811.051076,2,tick,""
155811.051080,5,sched_state,waiting
155811.051092,5,tick,""
155811.051103,2,sched_state,waiting
155811.051105,4,sched_state,waiting
155811.051109,2,tick,""
155811.051114,2,sched_state,waiting
155811.051116,4,tick,""
155811.051118,2,tick,""
155811.051138,4,sched_state,waiting
155811.051144,4,tick,""
155811.051360,1,sched_state,waiting
155811.051367,0,tick,""
155811.051370,1,tick,""
155811.051372,0,reduction,""
155811.051373,1,sched_state,waiting
155811.051374,0,sched_state,running
155811.051376,1,tick,""
155811.051396,1,sched_state,waiting
155811.051401,1,tick,""
155811.051405,1,sched_state,waiting
155811.051408,1,tick,""
155811.052014,3,sched_state,waiting
155811.052022,3,tick,""
155811.052048,3,sched_state,waiting
155811.052053,3,tick,""
155811.052054,0,tick,""
155811.052059,0,reduction,""
155811.052061,0,sched_state,running
155811.053069,0,tick,""
155811.053075,0,reduction,""
155811.053077,0,sched_state,running
155811.053504,0,tick,""
155811.053519,0,queue_length,0
155811.062046,4,sched_state,waiting
155811.062046,2,sched_state,waiting
155811.062065,4,tick,""
155811.062065,2,tick,""
155811.062089,5,sched_state,waiting
155811.062108,7,sched_state,waiting
155811.062116,5,tick,""
155811.062131,5,sched_state,waiting
155811.062138,7,tick,""
155811.062145,5,tick,""
155811.062166,2,sched_state,waiting
155811.062176,5,sched_state,waiting
155811.062183,2,tick,""
155811.062192,5,tick,""
155811.062233,5,sched_state,waiting
155811.062237,5,tick,""
155811.062279,7,sched_state,waiting
155811.062285,7,tick,""
155811.062290,7,sched_state,waiting
155811.062294,7,tick,""
155811.063028,3,sched_state,waiting
155811.063041,3,tick,""
155811.063048,6,sched_state,waiting
155811.063064,6,tick,""
155811.063074,0,queue_length,0
155811.063077,3,sched_state,waiting
155811.063085,3,tick,""
155811.063091,3,sched_state,waiting
155811.063096,3,tick,""
155811.065328,6,sched_state,waiting
155811.065335,6,tick,""
155811.067521,0,sched_state,running
155811.069102,0,tick,""
155811.069145,0,reduction,""
155811.069147,0,sched_state,running
155811.069936,0,tick,""
155811.069942,0,reduction,""
155811.069943,0,sched_state,running
155811.071630,0,tick,""
155811.071676,0,reduction,""
155811.071679,0,sched_state,running
155811.072497,0,tick,""
155811.073095,2,sched_state,waiting
155811.073104,2,tick,""
155811.073108,2,sched_state,waiting
155811.073112,2,tick,""
155811.073115,2,sched_state,waiting
155811.073117,2,tick,""
155811.073136,5,sched_state,waiting
155811.073134,1,sched_state,waiting
155811.073136,4,sched_state,waiting
155811.073134,7,sched_state,waiting
155811.073143,2,sched_state,waiting
155811.073144,5,tick,""
155811.073145,1,tick,""
155811.073147,2,tick,""
155811.073147,4,tick,""
155811.073147,7,tick,""
155811.073191,1,sched_state,waiting
155811.073199,1,tick,""
155811.073204,7,sched_state,waiting
155811.073205,4,sched_state,waiting
155811.073212,7,tick,""
155811.073213,4,tick,""
155811.073236,5,sched_state,waiting
155811.073243,5,tick,""
155811.073248,5,sched_state,waiting
155811.073251,5,tick,""
155811.073518,0,reduction,""
155811.073522,0,sched_state,running
155811.075339,0,tick,""
155811.075346,0,reduction,""
155811.075349,0,sched_state,running
155811.076012,6,sched_state,waiting
155811.076024,6,tick,""
