timestamp,lpu,event,value
179158.040254,5,sched_state,startup
179158.040254,2,sched_state,startup
179158.040254,1,sched_state,startup
179158.040284,7,sched_state,startup
179158.040285,4,sched_state,startup
179158.040848,0,sched_state,startup
179158.040869,6,sched_state,startup
179158.040883,7,tick,""
179158.040888,4,tick,""
179158.040897,4,queue_length,0
179158.040897,7,queue_length,0
179158.040902,4,sched_state,waiting
179158.040903,7,sched_state,waiting
179158.040908,2,tick,""
179158.040912,4,tick,""
179158.040911,5,tick,""
179158.040911,1,tick,""
179158.040915,7,tick,""
179158.040923,1,queue_length,0
179158.040923,5,queue_length,0
179158.040929,5,sched_state,waiting
179158.040929,1,sched_state,waiting
179158.040943,5,tick,""
179158.040943,1,tick,""
179158.040945,2,queue_length,0
179158.040946,4,sched_state,waiting
179158.040951,4,tick,""
179158.040951,2,sched_state,waiting
179158.040951,7,sched_state,waiting
179158.040961,7,tick,""
179158.040963,2,tick,""
179158.040976,1,sched_state,waiting
179158.040976,5,sched_state,waiting
179158.040986,5,tick,""
179158.040986,1,tick,""
179158.040991,1,sched_state,waiting
179158.040991,5,sched_state,waiting
179158.040993,2,sched_state,waiting
179158.040996,5,tick,""
179158.040996,1,tick,""
179158.040999,5,sched_state,waiting
179158.041000,2,tick,""
179158.041003,5,tick,""
179158.041005,2,sched_state,waiting
179158.041009,2,tick,""
179158.041015,3,sched_state,startup
179158.041025,5,sched_state,waiting
179158.041030,5,tick,""
179158.041034,5,sched_state,waiting
179158.041037,5,tick,""
179158.041041,6,tick,""
179158.041049,6,queue_length,0
179158.041054,6,sched_state,waiting
179158.041064,6,tick,""
179158.041094,6,sched_state,waiting
179158.041108,6,tick,""
179158.041181,3,tick,""
179158.041190,3,queue_length,0
179158.041194,3,sched_state,waiting
179158.041200,0,tick,""
179158.041209,3,tick,""
179158.041235,3,sched_state,waiting
179158.041243,3,tick,""
179158.041271,0,queue_length,1
179158.041276,0,queue_length,0
179158.041535,0,sched_state,running
179158.041661,0,tick,""
179158.041671,0,reduction,""
179158.041673,0,sched_state,running
179158.041794,0,tick,""
179158.041800,0,reduction,""
179158.041801,0,sched_state,running
179158.041868,0,tick,""
179158.041871,0,reduction,""
179158.041872,0,sched_state,running
179158.041982,0,tick,""
179158.041985,0,reduction,""
179158.041986,0,sched_state,running
179158.042046,0,tick,""
179158.042049,0,reduction,""
179158.042050,0,sched_state,running
179158.042107,0,tick,""
179158.042110,0,reduction,""
179158.042111,0,sched_state,running
179158.042252,0,tick,""
179158.042263,0,reduction,""
179158.042267,0,sched_state,running
179158.042495,0,tick,""
179158.042503,0,reduction,""
179158.042507,0,sched_state,running
179158.042742,0,tick,""
179158.042756,0,reduction,""
179158.042760,0,sched_state,running
179158.043058,0,tick,""
179158.043072,0,reduction,""
179158.043077,0,sched_state,running
179158.043528,0,tick,""
179158.043557,0,reduction,""
179158.043566,0,sched_state,running
179158.043778,0,tick,""
179158.043783,0,reduction,""
179158.043784,0,sched_state,running
179158.043847,0,tick,""
179158.043850,0,reduction,""
179158.043852,0,sched_state,running
179158.043914,0,tick,""
179158.043917,0,reduction,""
179158.043918,0,sched_state,running
179158.043977,0,tick,""
179158.043981,0,reduction,""
179158.043982,0,sched_state,running
179158.044040,0,tick,""
179158.044190,0,reduction,""
179158.044192,0,sched_state,running
179158.044254,0,tick,""
179158.044268,0,reduction,""
179158.044270,0,sched_state,running
179158.044330,0,tick,""
179158.044335,0,reduction,""
179158.044336,0,sched_state,running
179158.044395,0,tick,""
179158.044399,0,reduction,""
179158.044400,0,sched_state,running
179158.044460,0,tick,""
179158.045660,0,reduction,""
179158.045662,0,sched_state,running
179158.045727,0,tick,""
179158.045739,0,queue_length,0
179158.046154,0,queue_length,0
179158.046693,0,sched_state,running
179158.046911,0,tick,""
179158.046924,0,reduction,""
179158.046926,0,sched_state,running
179158.047127,0,tick,""
179158.047132,0,spawn,""
179158.047133,0,reduction,""
179158.047135,0,sched_state,running
179158.047573,0,tick,""
179158.047575,0,queue_length,1
179158.047578,0,reduction,""
179158.047579,0,sched_state,running
179158.047697,0,tick,""
179158.047701,0,reduction,""
179158.047703,0,sched_state,running
179158.047811,0,tick,""
179158.047814,0,reduction,""
179158.047816,0,sched_state,running
179158.047927,0,tick,""
179158.047931,0,reduction,""
179158.047932,0,sched_state,running
179158.048042,0,tick,""
179158.048046,0,reduction,""
179158.048047,0,sched_state,running
179158.048166,0,tick,""
179158.048218,0,reduction,""
179158.048223,0,sched_state,running
179158.048503,0,tick,""
179158.048509,0,reduction,""
179158.048511,0,sched_state,running
179158.048790,0,tick,""
179158.048796,0,spawn,""
179158.048798,0,reduction,""
179158.048799,0,sched_state,running
179158.049329,0,tick,""
179158.049333,0,reduction,""
179158.049334,0,sched_state,running
179158.049592,0,tick,""
179158.049601,0,reduction,""
179158.049602,0,sched_state,running
179158.049749,0,tick,""
179158.049754,0,reduction,""
179158.049756,0,sched_state,running
179158.049896,0,tick,""
179158.049900,0,reduction,""
179158.049902,0,sched_state,running
179158.050043,0,tick,""
179158.050047,0,reduction,""
179158.050049,0,sched_state,running
179158.050050,0,queue_length,2
179158.050191,0,tick,""
179158.050195,0,reduction,""
179158.050196,0,sched_state,running
179158.050300,0,tick,""
179158.051008,0,channel_blocked,87
179158.051010,0,yield,""
179158.051012,0,sched_state,running
179158.051017,0,tick,""
179158.051025,0,queue_length,1
179158.051558,0,sched_state,running
179158.051728,0,tick,""
179158.051732,0,reduction,""
179158.051734,0,sched_state,running
179158.051965,0,tick,""
179158.051969,0,reduction,""
179158.051971,0,sched_state,running
179158.052082,0,tick,""
179158.052085,0,reduction,""
179158.052087,0,sched_state,running
179158.052211,0,tick,""
179158.052215,0,reduction,""
179158.052216,0,sched_state,running
179158.052323,0,tick,""
179158.052327,0,reduction,""
179158.052328,0,sched_state,running
179158.052435,0,tick,""
179158.052438,0,reduction,""
179158.052439,0,sched_state,running
179158.052546,0,tick,""
179158.052561,0,reduction,""
179158.052564,0,sched_state,running
179158.052672,0,tick,""
179158.052677,0,reduction,""
179158.052678,0,sched_state,running
179158.052786,0,tick,""
179158.052804,0,reduction,""
179158.052806,0,sched_state,running
179158.052913,0,tick,""
179158.052927,0,reduction,""
179158.052929,0,sched_state,running
179158.053036,0,tick,""
179158.053041,0,reduction,""
179158.053042,0,sched_state,running
179158.053148,0,tick,""
179158.053269,0,reduction,""
179158.053271,0,sched_state,running
179158.053380,0,tick,""
179158.053394,0,reduction,""
179158.053395,0,sched_state,running
179158.053504,0,tick,""
179158.053507,0,reduction,""
179158.053508,0,sched_state,running
179158.053616,0,tick,""
179158.053625,0,reduction,""
179158.053627,0,sched_state,running
179158.053734,0,tick,""
179158.053782,0,reduction,""
179158.053784,0,sched_state,running
179158.053933,0,tick,""
179158.053947,0,reduction,""
179158.053948,0,sched_state,running
179158.054111,0,tick,""
179158.054116,0,spawn,""
179158.054118,0,reduction,""
179158.054120,0,sched_state,running
179158.054642,0,tick,""
179158.054647,0,reduction,""
179158.054646,0,queue_length,2
179158.054648,0,sched_state,running
179158.054767,0,tick,""
179158.054771,0,reduction,""
179158.054772,0,sched_state,running
179158.054886,0,tick,""
179158.055016,4,sched_state,waiting
179158.055018,1,sched_state,waiting
179158.055017,3,sched_state,waiting
179158.055027,4,tick,""
179158.055028,3,tick,""
179158.055029,1,tick,""
179158.055057,4,sched_state,waiting
179158.055058,3,sched_state,waiting
179158.055061,4,tick,""
179158.055058,1,sched_state,waiting
179158.055063,3,tick,""
179158.055065,4,sched_state,waiting
179158.055068,4,tick,""
179158.055075,1,tick,""
179158.055197,2,sched_state,waiting
179158.055205,2,tick,""
179158.055208,2,sched_state,waiting
179158.055213,2,tick,""
179158.055230,2,sched_state,waiting
179158.055234,2,tick,""
179158.056032,0,queue_length,2
179158.056913,0,sched_state,running
179158.057300,0,tick,""
179158.057305,0,reduction,""
179158.057307,0,sched_state,running
179158.057534,0,tick,""
179158.057539,0,reduction,""
179158.057541,0,sched_state,running
179158.057874,0,tick,""
179158.057879,0,reduction,""
179158.057881,0,sched_state,running
179158.058094,0,tick,""
179158.058098,0,reduction,""
179158.058100,0,sched_state,running
179158.058316,0,tick,""
179158.058322,0,reduction,""
179158.058324,0,sched_state,running
179158.058538,0,tick,""
179158.058685,0,reduction,""
179158.058690,0,sched_state,running
179158.058869,0,tick,""
179158.058876,0,reduction,""
179158.058878,0,sched_state,running
179158.059094,0,tick,""
179158.059202,0,reduction,""
179158.059205,0,sched_state,running
179158.059394,0,tick,""
179158.059399,0,reduction,""
179158.059400,0,sched_state,running
179158.059540,0,tick,""
179158.059551,0,reduction,""
179158.059552,0,sched_state,running
179158.059760,0,tick,""
179158.059780,0,reduction,""
179158.059782,0,sched_state,running
179158.059997,0,tick,""
179158.060011,0,reduction,""
179158.060013,0,sched_state,running
179158.060201,0,tick,""
179158.060481,0,reduction,""
179158.060484,0,sched_state,running
179158.060731,0,tick,""
179158.060741,0,reduction,""
179158.060743,0,sched_state,running
179158.060979,0,tick,""
179158.060987,0,reduction,""
179158.060989,0,sched_state,running
179158.061225,0,tick,""
179158.061233,0,reduction,""
179158.061235,0,sched_state,running
179158.061470,0,tick,""
179158.061477,0,reduction,""
179158.061478,0,sched_state,running
179158.061710,0,tick,""
179158.061717,0,reduction,""
179158.061718,0,sched_state,running
179158.061951,0,tick,""
179158.061957,0,reduction,""
179158.061959,0,sched_state,running
179158.062194,0,tick,""
179158.062200,0,reduction,""
179158.062202,0,sched_state,running
179158.062436,0,tick,""
179158.062448,0,queue_length,1
179158.064104,0,queue_length,1
179158.065004,0,sched_state,running
179158.065449,0,tick,""
179158.065457,0,reduction,""
179158.065458,0,sched_state,running
179158.065604,0,tick,""
179158.065609,0,reduction,""
179158.065610,0,sched_state,running
179158.066020,4,sched_state,waiting
179158.066029,3,sched_state,waiting
179158.066030,5,sched_state,waiting
179158.066030,0,tick,""
179158.066036,3,tick,""
179158.066038,0,reduction,""
179158.066041,0,sched_state,running
179158.066266,4,tick,""
179158.066271,4,sched_state,running
179158.066347,5,tick,""
179158.066387,6,sched_state,waiting
179158.066392,5,sched_state,waiting
179158.066591,5,tick,""
179158.066644,4,tick,""
179158.066650,4,reduction,""
179158.066652,4,sched_state,running
179158.066678,0,tick,""
179158.066754,0,reduction,""
179158.066756,0,sched_state,running
179158.066883,4,tick,""
179158.066890,4,reduction,""
179158.066891,4,sched_state,running
179158.066988,6,tick,""
179158.066992,6,sched_state,waiting
179158.067036,4,tick,""
179158.067041,4,reduction,""
179158.067145,4,sched_state,running
179158.067158,6,tick,""
179158.067204,6,sched_state,waiting
179158.067212,6,tick,""
179158.067311,4,tick,""
179158.067316,4,reduction,""
179158.067317,4,sched_state,running
179158.067326,0,tick,""
179158.067334,0,reduction,""
179158.067336,0,sched_state,running
179158.067455,4,tick,""
179158.067459,4,reduction,""
179158.067461,4,sched_state,running
179158.067528,0,tick,""
179158.067535,0,spawn,""
179158.067539,0,reduction,""
179158.067541,0,sched_state,running
179158.067595,4,tick,""
179158.067598,4,reduction,""
179158.067600,4,sched_state,running
179158.067734,4,tick,""
179158.067753,4,reduction,""
179158.067754,4,sched_state,running
179158.067890,4,tick,""
179158.067894,4,reduction,""
179158.067896,4,sched_state,running
179158.068030,4,tick,""
179158.068048,4,reduction,""
179158.068049,4,sched_state,running
179158.068238,4,tick,""
179158.068259,4,reduction,""
179158.068261,4,sched_state,running
179158.068439,4,tick,""
179158.068440,0,tick,""
179158.068445,4,reduction,""
179158.068447,4,sched_state,running
179158.068448,0,reduction,""
179158.068453,0,sched_state,running
179158.068626,4,tick,""
179158.068720,0,tick,""
179158.068731,0,reduction,""
179158.068733,0,sched_state,running
179158.068804,4,reduction,""
179158.068807,4,sched_state,running
179158.068983,0,tick,""
179158.068990,4,tick,""
179158.068990,0,reduction,""
179158.068994,0,sched_state,running
179158.069007,4,reduction,""
179158.069009,4,sched_state,running
179158.069188,4,tick,""
179158.069192,4,reduction,""
179158.069194,4,sched_state,running
179158.069241,0,tick,""
179158.069248,0,reduction,""
179158.069250,0,sched_state,running
179158.069369,4,tick,""
179158.069374,4,reduction,""
179158.069376,4,sched_state,running
179158.069494,0,tick,""
179158.069501,0,reduction,""
179158.069504,0,sched_state,running
179158.069506,0,queue_length,2
179158.069551,4,tick,""
179158.069555,4,reduction,""
179158.069556,4,sched_state,running
179158.069730,4,tick,""
179158.069736,4,reduction,""
179158.069738,4,sched_state,running
179158.069749,0,tick,""
179158.069757,0,reduction,""
179158.069759,0,sched_state,running
179158.069913,4,tick,""
179158.070005,0,tick,""
179158.070017,4,reduction,""
179158.070020,4,sched_state,running
179158.070152,4,tick,""
179158.070157,4,reduction,""
179158.070158,4,sched_state,running
179158.070287,4,tick,""
179158.070394,4,reduction,""
179158.070397,4,sched_state,running
179158.070588,4,tick,""
179158.070600,4,queue_length,0
179158.071062,2,channel_blocked,152
179158.071066,0,yield,""
179158.071069,0,sched_state,running
179158.071083,0,tick,""
179158.071093,0,queue_length,1
179158.071289,4,queue_length,0
179158.072083,0,sched_state,running
179158.072451,4,sched_state,running
179158.072521,0,tick,""
179158.072530,0,reduction,""
179158.072532,0,sched_state,running
179158.072903,4,tick,""
179158.072911,4,reduction,""
179158.072913,4,sched_state,running
179158.073048,0,tick,""
179158.073054,0,reduction,""
179158.073057,0,sched_state,running
179158.073257,0,tick,""
179158.073261,0,reduction,""
179158.073263,0,sched_state,running
179158.073344,4,tick,""
179158.073365,4,reduction,""
179158.073368,4,sched_state,running
179158.073457,0,tick,""
179158.073542,4,tick,""
179158.073559,4,reduction,""
179158.073561,4,sched_state,running
179158.073731,4,tick,""
179158.073742,4,reduction,""
179158.073743,4,sched_state,running
179158.073899,4,tick,""
179158.074059,4,reduction,""
179158.074062,4,sched_state,running
179158.074144,1,channel_blocked,182
179158.074147,0,yield,""
179158.074149,0,sched_state,running
179158.074157,0,tick,""
179158.074167,0,queue_length,0
179158.074215,4,tick,""
179158.074221,4,reduction,""
179158.074222,4,sched_state,running
179158.074368,4,tick,""
179158.074373,4,reduction,""
179158.074374,4,sched_state,running
179158.074519,4,tick,""
179158.074524,4,reduction,""
179158.074525,4,sched_state,running
179158.074668,4,tick,""
179158.074672,4,reduction,""
179158.074674,4,sched_state,running
179158.074817,4,tick,""
179158.074821,4,reduction,""
179158.074822,4,sched_state,running
179158.074967,4,tick,""
179158.074971,4,reduction,""
179158.074972,4,sched_state,running
179158.074988,0,sched_state,running
179158.075122,4,tick,""
179158.075126,4,reduction,""
179158.075127,4,sched_state,running
179158.075270,4,tick,""
179158.075274,4,reduction,""
179158.075275,4,sched_state,running
179158.075418,4,tick,""
179158.075421,4,reduction,""
179158.075422,4,sched_state,running
179158.075447,0,tick,""
179158.075451,0,reduction,""
179158.075453,0,sched_state,running
179158.075569,4,tick,""
179158.075573,4,reduction,""
179158.075574,4,sched_state,running
179158.075717,4,tick,""
179158.075847,0,tick,""
179158.075852,0,reduction,""
179158.075854,0,sched_state,running
179158.076090,0,tick,""
179158.076096,0,reduction,""
179158.076099,0,sched_state,running
179158.076339,0,tick,""
179158.076344,0,reduction,""
179158.076347,0,sched_state,running
179158.076579,0,tick,""
179158.076586,0,reduction,""
179158.076587,0,sched_state,running
179158.076822,0,tick,""
179158.076967,0,reduction,""
179158.076972,0,sched_state,running
179158.077037,5,sched_state,waiting
179158.077044,5,tick,""
179158.077128,5,sched_state,waiting
179158.077142,5,tick,""
179158.077222,0,tick,""
179158.077232,0,reduction,""
179158.077234,0,sched_state,running
179158.077381,3,sched_state,waiting
179158.077457,3,tick,""
179158.077484,3,sched_state,waiting
179158.077490,3,tick,""
179158.077585,1,sched_state,waiting
179158.077597,1,tick,""
179158.077618,1,sched_state,waiting
179158.077630,1,tick,""
179158.077634,1,sched_state,waiting
179158.077638,1,tick,""
179158.077758,0,tick,""
179158.077907,0,reduction,""
179158.077910,0,sched_state,running
179158.078020,6,sched_state,waiting
179158.078028,6,tick,""
179158.078031,6,sched_state,waiting
179158.078035,6,tick,""
179158.078056,6,sched_state,waiting
179158.078060,6,tick,""
179158.078374,2,sched_state,waiting
179158.078385,2,tick,""
179158.078407,2,sched_state,waiting
179158.078413,2,tick,""
179158.078417,2,sched_state,waiting
179158.078422,2,tick,""
179158.078431,0,tick,""
179158.078441,0,reduction,""
179158.078443,0,sched_state,running
179158.078703,0,tick,""
179158.078719,0,reduction,""
179158.078722,0,sched_state,running
179158.078948,2,channel_unblocked,252
179158.078954,4,yield,""
179158.078954,0,tick,""
179158.078975,0,reduction,""
