timestamp,lpu,event,value
179168.998104,6,sched_state,startup
179168.998108,2,sched_state,startup
179168.998104,7,sched_state,startup
179168.998131,5,sched_state,startup
179168.998132,4,sched_state,startup
179168.998136,1,sched_state,startup
179168.998193,3,sched_state,startup
179168.999453,4,tick,""
179168.999488,4,queue_length,0
179168.999499,4,sched_state,waiting
179168.999542,4,tick,""
179168.999704,2,tick,""
179168.999741,1,tick,""
179168.999743,2,queue_length,0
179168.999749,2,sched_state,waiting
179168.999756,1,queue_length,0
179168.999758,0,sched_state,startup
179168.999758,7,tick,""
179168.999762,1,sched_state,waiting
179168.999769,7,queue_length,0
179168.999774,7,sched_state,waiting
179168.999957,4,sched_state,waiting
179168.999958,1,tick,""
179168.999962,2,tick,""
179168.999976,4,tick,""
179168.999986,6,tick,""
179168.999990,7,tick,""
179168.999991,5,tick,""
179168.999996,6,queue_length,0
179168.999999,1,sched_state,waiting
179169.000000,2,sched_state,waiting
179169.000001,6,sched_state,waiting
179169.000001,5,queue_length,0
179169.000005,1,tick,""
179169.000006,5,sched_state,waiting
179169.000015,2,tick,""
179169.000034,7,sched_state,waiting
179169.000038,6,tick,""
179169.000038,5,tick,""
179169.000043,7,tick,""
179169.000067,6,sched_state,waiting
179169.000069,5,sched_state,waiting
179169.000073,6,tick,""
179169.000079,5,tick,""
179169.000084,5,sched_state,waiting
179169.000088,5,tick,""
179169.000093,5,sched_state,waiting
179169.000096,5,tick,""
179169.001393,3,tick,""
179169.003915,0,tick,""
179169.004125,3,queue_length,0
179169.004149,3,sched_state,waiting
179169.004484,3,tick,""
179169.004783,3,sched_state,waiting
179169.004800,3,tick,""
179169.004806,3,sched_state,waiting
179169.004810,3,tick,""
179169.004913,0,queue_length,1
179169.004917,0,queue_length,0
179169.007230,0,sched_state,running
179169.008773,0,tick,""
179169.008781,0,reduction,""
179169.008783,0,sched_state,running
179169.009215,0,tick,""
179169.009220,0,reduction,""
179169.009223,0,sched_state,running
179169.010002,0,tick,""
179169.010006,0,reduction,""
179169.010008,0,sched_state,running
179169.010433,0,tick,""
179169.011251,0,reduction,""
179169.011256,0,sched_state,running
179169.012014,0,tick,""
179169.012019,0,reduction,""
179169.012022,0,sched_state,running
179169.012765,0,tick,""
179169.012874,0,reduction,""
179169.012878,0,sched_state,running
179169.013652,0,tick,""
179169.013657,0,reduction,""
179169.013660,0,sched_state,running
179169.014407,0,tick,""
179169.014414,0,spawn,""
179169.014417,0,reduction,""
179169.014419,0,sched_state,running
179169.014882,0,tick,""
179169.014883,0,queue_length,1
179169.014885,0,reduction,""
179169.014888,0,sched_state,running
179169.015306,0,tick,""
179169.015312,0,reduction,""
179169.015314,0,sched_state,running
179169.015734,0,tick,""
179169.015740,0,reduction,""
179169.015743,0,sched_state,running
179169.016219,0,tick,""
179169.016225,0,reduction,""
179169.016228,0,sched_state,running
179169.016649,0,tick,""
179169.016655,0,reduction,""
179169.016657,0,sched_state,running
