timestamp,lpu,event,value
179316.912460,7,sched_state,startup
179316.912460,3,sched_state,startup
179316.912463,2,sched_state,startup
179316.912466,6,sched_state,startup
179316.912495,5,sched_state,startup
179316.912496,4,sched_state,startup
179316.912504,1,sched_state,startup
179316.914510,4,tick,""
179316.914548,4,queue_length,0
179316.914558,4,sched_state,waiting
179316.914606,4,tick,""
179316.914683,4,sched_state,waiting
179316.914692,4,tick,""
179316.914844,6,tick,""
179316.914859,6,queue_length,0
179316.914866,6,sched_state,waiting
179316.915021,1,tick,""
179316.915023,5,tick,""
179316.915032,5,queue_length,0
179316.915032,1,queue_length,0
179316.915038,1,sched_state,waiting
179316.915038,5,sched_state,waiting
179316.915217,1,tick,""
179316.915217,5,tick,""
179316.915270,0,sched_state,startup
179316.915371,6,tick,""
179316.915427,7,tick,""
179316.915437,3,tick,""
179316.915459,1,sched_state,waiting
179316.915468,7,queue_length,0
179316.915468,3,queue_length,0
179316.915499,1,tick,""
179316.915499,3,sched_state,waiting
179316.915499,7,sched_state,waiting
179316.915501,2,tick,""
179316.915510,2,queue_length,0
179316.915517,2,sched_state,waiting
179316.915523,3,tick,""
179316.915525,7,tick,""
179316.915536,2,tick,""
179316.915550,6,sched_state,waiting
179316.915554,7,sched_state,waiting
179316.915559,6,tick,""
179316.915560,7,tick,""
179316.915563,3,sched_state,waiting
179316.915565,7,sched_state,waiting
179316.915570,3,tick,""
179316.915571,7,tick,""
179316.915575,3,sched_state,waiting
179316.915579,3,tick,""
179316.915587,2,sched_state,waiting
179316.915602,2,tick,""
179316.915607,2,sched_state,waiting
179316.915610,2,tick,""
179316.916916,5,sched_state,waiting
179316.916971,5,tick,""
179316.916992,5,sched_state,waiting
179316.917007,5,tick,""
179316.920435,0,tick,""
179316.921264,0,queue_length,1
179316.921270,0,queue_length,0
179316.922939,0,sched_state,running
179316.923464,0,tick,""
179316.923474,0,reduction,""
179316.923476,0,sched_state,running
179316.924373,0,tick,""
179316.924378,0,reduction,""
179316.924379,0,sched_state,running
179316.924801,0,tick,""
179316.924804,0,reduction,""
179316.924805,0,sched_state,running
179316.925402,0,tick,""
179316.925406,0,reduction,""
179316.925407,0,sched_state,running
179316.925833,0,tick,""
179316.925837,0,reduction,""
179316.925840,0,sched_state,running
179316.926434,0,tick,""
179316.926439,0,reduction,""
179316.926440,0,sched_state,running
179316.926863,0,tick,""
179316.926867,0,reduction,""
179316.926869,0,sched_state,running
179316.927045,4,sched_state,waiting
179316.927055,4,tick,""
179316.927085,4,sched_state,waiting
179316.927092,4,tick,""
179316.927424,0,tick,""
179316.927429,0,reduction,""
179316.927431,0,sched_state,running
