timestamp,lpu,event,value
156653.957225,2,sched_state,startup
156653.957225,4,sched_state,startup
156653.957226,6,sched_state,startup
156653.957235,3,sched_state,startup
156653.957238,7,sched_state,startup
156653.957255,1,sched_state,startup
156653.957255,5,sched_state,startup
156653.958381,4,tick,""
156653.958454,4,queue_length,0
156653.958464,4,sched_state,waiting
156653.958649,4,tick,""
156653.958983,1,tick,""
156653.959014,1,queue_length,0
156653.959021,5,tick,""
156653.959023,1,sched_state,waiting
156653.959023,6,tick,""
156653.959029,5,queue_length,0
156653.959033,5,sched_state,waiting
156653.959036,6,queue_length,0
156653.959042,6,sched_state,waiting
156653.959044,3,tick,""
156653.959046,7,tick,""
156653.959055,7,queue_length,0
156653.959055,3,queue_length,0
156653.959060,3,sched_state,waiting
156653.959060,7,sched_state,waiting
156653.959068,0,sched_state,startup
156653.959071,1,tick,""
156653.959083,5,tick,""
156653.959090,6,tick,""
156653.959107,1,sched_state,waiting
156653.959108,5,sched_state,waiting
156653.959115,5,tick,""
156653.959114,1,tick,""
156653.959136,6,sched_state,waiting
156653.959139,3,tick,""
156653.959139,7,tick,""
156653.959151,6,tick,""
156653.959185,3,sched_state,waiting
156653.959185,7,sched_state,waiting
156653.959192,3,tick,""
156653.959194,7,tick,""
156653.959916,2,tick,""
156653.960848,0,tick,""
156653.960989,4,sched_state,waiting
156653.960995,4,tick,""
156653.960997,2,queue_length,0
156653.960999,4,sched_state,waiting
156653.961002,4,tick,""
156653.961007,2,sched_state,waiting
156653.961166,2,tick,""
156653.961211,2,sched_state,waiting
156653.961217,2,tick,""
156653.961286,0,queue_length,1
156653.961291,0,queue_length,0
156653.963077,0,sched_state,running
156653.964317,0,tick,""
156653.964351,0,reduction,""
156653.964352,0,sched_state,running
156653.964658,0,tick,""
156653.964663,0,reduction,""
156653.964664,0,sched_state,running
156653.965383,0,tick,""
156653.965389,0,reduction,""
156653.965391,0,sched_state,running
156653.965699,0,tick,""
156653.966470,0,reduction,""
156653.966474,0,sched_state,running
156653.967224,0,tick,""
156653.967229,0,reduction,""
156653.967231,0,sched_state,running
156653.967823,0,tick,""
156653.967892,0,reduction,""
156653.967896,0,sched_state,running
156653.968226,0,tick,""
156653.968230,0,reduction,""
156653.968232,0,sched_state,running
156653.968804,0,tick,""
156653.968817,0,spawn,""
156653.968819,0,reduction,""
156653.968820,0,sched_state,running
156653.969123,0,tick,""
156653.969126,0,reduction,""
156653.969127,0,sched_state,running
156653.969143,0,queue_length,1
156653.969419,0,tick,""
156653.969431,0,reduction,""
156653.969433,0,sched_state,running
156653.969729,0,tick,""
156653.969733,0,reduction,""
156653.969734,0,sched_state,running
156653.970030,0,tick,""
156653.970033,0,reduction,""
156653.970034,0,sched_state,running
156653.970329,0,tick,""
156653.970333,0,reduction,""
156653.970334,0,sched_state,running
156653.970631,0,tick,""
156653.970634,0,reduction,""
156653.970635,0,sched_state,running
156653.970932,0,tick,""
156653.970941,0,reduction,""
156653.970942,0,sched_state,running
156653.971237,0,tick,""
156653.971241,0,reduction,""
156653.971242,0,sched_state,running
156653.971534,0,tick,""
156653.971538,0,reduction,""
156653.971539,0,sched_state,running
156653.971831,0,tick,""
156653.971842,0,reduction,""
156653.971844,0,sched_state,running
156653.972148,0,tick,""
156653.972152,0,reduction,""
156653.972153,0,sched_state,running
156653.972453,0,tick,""
156653.972457,0,reduction,""
156653.972458,0,sched_state,running
156653.972755,0,tick,""
156653.974050,5,sched_state,waiting
156653.974054,6,sched_state,waiting
156653.974061,5,tick,""
156653.974066,6,tick,""
156653.974067,5,sched_state,waiting
156653.974076,5,tick,""
156653.974164,6,sched_state,waiting
156653.974189,6,tick,""
156653.975016,3,sched_state,waiting
156653.975034,3,tick,""
156653.975256,0,queue_length,1
156653.975266,0,sched_state,running
156653.975277,0,tick,""
156653.975281,0,reduction,""
156653.975283,0,sched_state,running
156653.975290,0,tick,""
156653.975293,0,reduction,""
156653.975295,0,sched_state,running
156653.975300,0,tick,""
156653.975303,0,reduction,""
156653.975304,0,sched_state,running
156653.975307,0,tick,""
156653.975332,0,channel_blocked,182
156653.975335,0,yield,""
156653.975342,0,sched_state,running
156653.975343,0,queue_length,2
156653.975347,0,tick,""
156653.975353,0,queue_length,1
156653.977717,0,sched_state,running
156653.978570,0,tick,""
156653.978579,0,reduction,""
156653.978583,0,sched_state,running
156653.979609,0,tick,""
156653.979620,0,reduction,""
156653.979622,0,sched_state,running
156653.980352,0,tick,""
156653.980555,0,reduction,""
156653.980558,0,sched_state,running
156653.981222,0,tick,""
156653.981249,0,reduction,""
156653.981252,0,sched_state,running
156653.981947,0,tick,""
156653.981953,0,reduction,""
156653.981955,0,sched_state,running
156653.982616,0,tick,""
156653.982623,0,reduction,""
156653.982626,0,sched_state,running
156653.983290,0,tick,""
156653.983296,0,reduction,""
156653.983299,0,sched_state,running
156653.983962,0,tick,""
156653.983980,0,reduction,""
156653.983982,0,sched_state,running
156653.984649,0,tick,""
156653.984734,0,reduction,""
156653.984736,0,sched_state,running
156653.985013,1,sched_state,waiting
156653.985013,4,sched_state,waiting
156653.985014,2,sched_state,waiting
156653.985023,4,tick,""
156653.985023,1,tick,""
156653.985024,2,tick,""
156653.985050,4,sched_state,waiting
156653.985051,1,sched_state,waiting
156653.985052,2,sched_state,waiting
156653.985053,4,tick,""
156653.985057,2,tick,""
156653.985058,1,tick,""
156653.985405,0,tick,""
156653.985416,0,reduction,""
156653.985418,0,sched_state,running
156653.986134,0,tick,""
156653.986140,0,reduction,""
156653.986143,0,sched_state,running
156653.986762,0,tick,""
156653.986771,0,reduction,""
156653.986772,0,sched_state,running
156653.987232,0,tick,""
156653.987240,0,reduction,""
156653.987242,0,sched_state,running
156653.987678,0,tick,""
156653.987684,0,reduction,""
156653.987686,0,sched_state,running
156653.988314,0,tick,""
156653.988326,0,reduction,""
156653.988328,0,sched_state,running
156653.988755,0,tick,""
156653.988764,0,reduction,""
156653.988766,0,sched_state,running
156653.989209,0,tick,""
156653.989216,0,reduction,""
156653.989218,0,sched_state,running
156653.989827,0,tick,""
156653.989917,0,reduction,""
156653.989919,0,sched_state,running
156653.990361,0,tick,""
156653.990376,0,reduction,""
156653.990378,0,sched_state,running
156653.990981,0,tick,""
156653.990986,0,reduction,""
156653.990988,0,sched_state,running
156653.991413,0,tick,""
156653.993283,0,queue_length,1
156653.993296,0,sched_state,running
156653.993304,0,tick,""
156653.993329,0,channel_blocked,182
156653.993331,0,yield,""
156653.993334,0,sched_state,running
156653.993342,0,tick,""
156653.993347,0,queue_length,2
156653.993349,0,queue_length,1
156653.995141,0,sched_state,running
156653.996037,6,sched_state,waiting
156653.996034,7,sched_state,waiting
156653.996051,7,tick,""
156653.996053,6,tick,""
156653.996059,6,sched_state,waiting
156653.996064,6,tick,""
156653.996079,0,tick,""
156653.996089,0,reduction,""
156653.996093,0,sched_state,running
156653.997610,0,tick,""
156653.997616,0,reduction,""
156653.997618,0,sched_state,running
156653.999341,0,tick,""
156653.999361,0,reduction,""
156653.999366,0,sched_state,running
156653.999996,0,tick,""
156654.000003,0,reduction,""
156654.000006,0,sched_state,running
156654.000832,0,tick,""
156654.000838,0,reduction,""
156654.000841,0,sched_state,running
156654.001376,0,tick,""
156654.001379,0,reduction,""
156654.001381,0,sched_state,running
156654.001855,0,tick,""
156654.001862,0,spawn,""
156654.001865,0,reduction,""
156654.001867,0,sched_state,running
156654.005042,0,tick,""
156654.005047,0,reduction,""
156654.005048,0,sched_state,running
156654.005078,0,queue_length,2
156654.005490,0,tick,""
156654.005494,0,reduction,""
156654.005496,0,sched_state,running
156654.005931,0,tick,""
156654.007065,2,sched_state,waiting
156654.007066,4,sched_state,waiting
156654.007075,4,tick,""
156654.007075,2,tick,""
156654.007113,4,sched_state,waiting
156654.007114,2,sched_state,waiting
156654.007117,4,tick,""
156654.007129,2,tick,""
156654.007800,1,sched_state,waiting
156654.007807,1,tick,""
156654.007831,1,sched_state,waiting
156654.007836,1,tick,""
156654.008503,3,sched_state,waiting
156654.008525,3,tick,""
156654.010588,1,channel_blocked,87
156654.010593,0,yield,""
156654.012479,0,sched_state,running
156654.012503,0,tick,""
156654.012519,0,queue_length,3
156654.012525,0,queue_length,2
156654.012544,0,sched_state,running
156654.012555,0,tick,""
156654.012588,0,channel_blocked,182
156654.012592,0,yield,""
156654.012612,0,sched_state,running
156654.012619,0,queue_length,3
156654.012623,0,tick,""
156654.012633,0,queue_length,2
