timestamp,lpu,event,value
156648.031407,6,sched_state,startup
156648.031405,1,sched_state,startup
156648.031405,5,sched_state,startup
156648.031410,2,sched_state,startup
156648.031437,7,sched_state,startup
156648.031437,4,sched_state,startup
156648.031503,6,tick,""
156648.031529,6,queue_length,0
156648.031535,6,sched_state,waiting
156648.031544,6,tick,""
156648.031587,6,sched_state,waiting
156648.031594,6,tick,""
156648.031680,2,tick,""
156648.031684,0,sched_state,startup
156648.031688,2,queue_length,0
156648.031693,2,sched_state,waiting
156648.031694,3,sched_state,startup
156648.031692,4,tick,""
156648.031704,4,queue_length,0
156648.031706,2,tick,""
156648.031708,4,sched_state,waiting
156648.031718,4,tick,""
156648.031718,7,tick,""
156648.031724,1,tick,""
156648.031724,5,tick,""
156648.031728,7,queue_length,0
156648.031734,7,sched_state,waiting
156648.031735,1,queue_length,0
156648.031735,5,queue_length,0
156648.031741,5,sched_state,waiting
156648.031741,1,sched_state,waiting
156648.031743,4,sched_state,waiting
156648.031745,7,tick,""
156648.031749,4,tick,""
156648.031752,1,tick,""
156648.031752,5,tick,""
156648.031783,1,sched_state,waiting
156648.031783,5,sched_state,waiting
156648.031785,7,sched_state,waiting
156648.031794,1,tick,""
156648.031794,5,tick,""
156648.031794,7,tick,""
156648.031801,7,sched_state,waiting
156648.031806,7,tick,""
156648.031867,3,tick,""
156648.031873,3,queue_length,0
156648.031876,3,sched_state,waiting
156648.031889,3,tick,""
156648.031923,3,sched_state,waiting
156648.031935,3,tick,""
156648.031940,3,sched_state,waiting
156648.031944,3,tick,""
156648.031947,3,sched_state,waiting
156648.031952,3,tick,""
156648.032075,2,sched_state,waiting
156648.032056,0,tick,""
156648.032084,2,tick,""
156648.032148,0,queue_length,1
156648.032155,0,queue_length,0
156648.032418,0,sched_state,running
156648.032595,0,tick,""
156648.032603,0,reduction,""
156648.032605,0,sched_state,running
156648.032769,0,tick,""
156648.032774,0,reduction,""
156648.032775,0,sched_state,running
156648.032873,0,tick,""
156648.032876,0,reduction,""
