timestamp,lpu,event,value
159932.472678,5,sched_state,startup
159932.472683,1,sched_state,startup
159932.472719,6,sched_state,startup
159932.472719,2,sched_state,startup
159932.472721,4,sched_state,startup
159932.472725,3,sched_state,startup
159932.472735,7,sched_state,startup
159932.474728,4,tick,""
159932.474765,4,queue_length,0
159932.474777,4,sched_state,waiting
159932.474835,4,tick,""
159932.474850,0,sched_state,startup
159932.475021,1,tick,""
159932.475069,1,queue_length,0
159932.475076,1,sched_state,waiting
159932.475466,1,tick,""
159932.475582,1,sched_state,waiting
159932.475592,1,tick,""
159932.475605,5,tick,""
159932.475654,5,queue_length,0
159932.475659,5,sched_state,waiting
159932.475668,7,tick,""
159932.475667,3,tick,""
159932.475677,5,tick,""
159932.475680,7,queue_length,0
159932.475680,3,queue_length,0
159932.475686,3,sched_state,waiting
159932.475686,7,sched_state,waiting
159932.475697,2,tick,""
159932.475698,6,tick,""
159932.475701,5,sched_state,waiting
159932.475706,5,tick,""
159932.475708,2,queue_length,0
159932.475708,6,queue_length,0
159932.475713,7,tick,""
159932.475713,6,sched_state,waiting
159932.475713,3,tick,""
159932.475713,2,sched_state,waiting
159932.475751,6,tick,""
159932.475752,2,tick,""
159932.475754,3,sched_state,waiting
159932.475757,7,sched_state,waiting
159932.475763,3,tick,""
159932.475765,7,tick,""
159932.475770,3,sched_state,waiting
159932.475774,3,tick,""
159932.475790,2,sched_state,waiting
159932.475790,6,sched_state,waiting
159932.475798,6,tick,""
159932.475798,2,tick,""
159932.475806,4,sched_state,waiting
159932.475815,4,tick,""
159932.475818,4,sched_state,waiting
159932.475822,4,tick,""
159932.475824,4,sched_state,waiting
159932.475826,4,tick,""
159932.479182,0,tick,""
159932.481715,0,queue_length,1
159932.481733,0,queue_length,0
159932.485223,0,sched_state,running
159932.486481,0,tick,""
159932.486491,0,reduction,""
159932.486493,0,sched_state,running
159932.487478,0,tick,""
159932.487482,0,reduction,""
159932.487484,0,sched_state,running
159932.488086,0,tick,""
159932.488090,0,reduction,""
159932.488099,0,sched_state,running
159932.488543,0,tick,""
159932.488547,0,reduction,""
159932.488548,0,sched_state,running
159932.489109,0,tick,""
159932.489112,0,reduction,""
159932.489113,0,sched_state,running
159932.489543,0,tick,""
159932.489547,0,reduction,""
159932.489548,0,sched_state,running
159932.490151,0,tick,""
159932.490155,0,reduction,""
159932.490157,0,sched_state,running
159932.490584,0,tick,""
159932.490588,0,reduction,""
159932.490590,0,sched_state,running
159932.491016,1,sched_state,waiting
159932.491017,0,tick,""
159932.491023,0,reduction,""
159932.491024,0,sched_state,running
159932.491026,1,tick,""
159932.491058,1,sched_state,waiting
159932.491064,1,tick,""
159932.491069,1,sched_state,waiting
159932.491072,1,tick,""
159932.491696,0,tick,""
159932.491701,0,reduction,""
159932.491703,0,sched_state,running
159932.492376,0,tick,""
159932.492381,0,reduction,""
159932.492382,0,sched_state,running
159932.492978,0,tick,""
159932.492983,0,reduction,""
159932.492985,0,sched_state,running
159932.493413,0,tick,""
159932.493606,0,reduction,""
159932.493609,0,sched_state,running
159932.494129,0,tick,""
159932.494142,0,reduction,""
159932.494144,0,sched_state,running
159932.494571,0,tick,""
159932.494575,0,reduction,""
159932.494578,0,sched_state,running
159932.495178,0,tick,""
159932.495190,0,reduction,""
159932.495191,0,sched_state,running
159932.495619,0,tick,""
159932.495621,0,reduction,""
159932.495623,0,sched_state,running
159932.496014,5,sched_state,waiting
159932.496014,6,sched_state,waiting
159932.496016,2,sched_state,waiting
159932.496017,3,sched_state,waiting
159932.496021,5,tick,""
159932.496022,6,tick,""
159932.496023,2,tick,""
159932.496023,5,sched_state,waiting
159932.496026,5,tick,""
159932.496026,3,tick,""
159932.496040,4,sched_state,waiting
159932.496048,4,tick,""
159932.496059,6,sched_state,waiting
159932.496063,3,sched_state,waiting
159932.496064,5,sched_state,waiting
159932.496064,6,tick,""
159932.496068,3,tick,""
159932.496069,5,tick,""
159932.496070,4,sched_state,waiting
159932.496071,0,tick,""
159932.496072,3,sched_state,waiting
159932.496074,4,tick,""
159932.496075,0,reduction,""
159932.496077,0,sched_state,running
159932.496078,3,tick,""
159932.496701,0,tick,""
159932.496707,0,reduction,""
159932.496709,0,sched_state,running
159932.497314,7,sched_state,waiting
159932.497318,0,tick,""
159932.497323,0,reduction,""
159932.497326,0,sched_state,running
159932.497326,7,tick,""
159932.497329,7,sched_state,waiting
159932.497335,7,tick,""
159932.497368,7,sched_state,waiting
159932.497375,7,tick,""
159932.497760,0,tick,""
159932.497768,0,queue_length,0
159932.502041,1,sched_state,waiting
159932.502063,1,tick,""
159932.502094,1,sched_state,waiting
159932.502107,1,tick,""
159932.502744,0,queue_length,0
159932.507025,2,sched_state,waiting
159932.507030,4,sched_state,waiting
159932.507031,6,sched_state,waiting
159932.507032,3,sched_state,waiting
159932.507040,4,tick,""
159932.507040,2,tick,""
159932.507041,3,tick,""
159932.507044,4,sched_state,waiting
159932.507047,4,tick,""
159932.507048,6,tick,""
159932.507051,6,sched_state,waiting
159932.507055,6,tick,""
159932.507089,6,sched_state,waiting
159932.507090,2,sched_state,waiting
159932.507095,2,tick,""
159932.507096,6,tick,""
159932.507100,6,sched_state,waiting
159932.507105,6,tick,""
159932.507838,0,sched_state,running
159932.509711,0,tick,""
159932.509711,7,sched_state,waiting
159932.509729,7,tick,""
159932.509762,7,sched_state,waiting
159932.509767,7,tick,""
159932.509779,0,reduction,""
159932.509791,0,sched_state,running
159932.512628,0,tick,""
159932.512646,0,reduction,""
159932.512648,0,sched_state,running
159932.513022,1,sched_state,waiting
159932.513031,1,tick,""
159932.513057,1,sched_state,waiting
159932.513062,1,tick,""
159932.513066,1,sched_state,waiting
159932.513071,1,tick,""
159932.514412,0,tick,""
159932.514473,0,reduction,""
159932.514477,0,sched_state,running
159932.515427,0,tick,""
159932.516579,0,reduction,""
159932.516583,0,sched_state,running
159932.517577,0,tick,""
159932.517583,0,reduction,""
159932.517585,0,sched_state,running
159932.518015,4,sched_state,waiting
159932.518016,3,sched_state,waiting
159932.518018,2,sched_state,waiting
159932.518022,4,tick,""
159932.518025,2,tick,""
159932.518028,3,tick,""
159932.518053,4,sched_state,waiting
159932.518053,5,sched_state,waiting
159932.518056,4,tick,""
159932.518064,5,tick,""
159932.518068,2,sched_state,waiting
159932.518066,3,sched_state,waiting
159932.518073,2,tick,""
159932.518077,3,tick,""
159932.518091,5,sched_state,waiting
159932.518097,5,tick,""
159932.518102,5,sched_state,waiting
159932.518109,5,tick,""
159932.518114,5,sched_state,waiting
159932.518118,5,tick,""
159932.518630,6,sched_state,waiting
159932.518634,0,tick,""
159932.518639,6,tick,""
159932.518662,6,sched_state,waiting
159932.518667,6,tick,""
159932.518695,0,reduction,""
159932.518698,0,sched_state,running
159932.520011,7,sched_state,waiting
159932.520019,7,tick,""
159932.520060,7,sched_state,waiting
159932.520067,7,tick,""
159932.521093,0,tick,""
159932.521107,0,reduction,""
159932.521113,0,sched_state,running
159932.523864,0,tick,""
159932.523879,0,spawn,""
159932.523885,0,reduction,""
159932.523889,0,sched_state,running
159932.524017,1,sched_state,waiting
159932.524027,1,tick,""
159932.524031,1,sched_state,waiting
159932.524035,1,tick,""
159932.526576,0,tick,""
159932.526581,0,queue_length,1
159932.526582,0,reduction,""
159932.526585,0,sched_state,running
159932.527696,0,tick,""
159932.527710,0,reduction,""
159932.527713,0,sched_state,running
159932.528788,0,tick,""
159932.528796,0,reduction,""
159932.528799,0,sched_state,running
159932.529015,6,sched_state,waiting
159932.529016,4,sched_state,waiting
159932.529022,6,tick,""
159932.529024,4,tick,""
159932.529048,4,sched_state,waiting
159932.529047,5,sched_state,waiting
159932.529052,4,tick,""
159932.529059,5,tick,""
159932.530066,3,sched_state,waiting
159932.530083,3,tick,""
159932.530087,3,sched_state,waiting
159932.530092,3,tick,""
159932.530094,3,sched_state,waiting
159932.530098,3,tick,""
159932.530101,0,tick,""
159932.530108,0,reduction,""
159932.530110,0,sched_state,running
159932.530125,3,sched_state,waiting
159932.530129,3,tick,""
159932.531011,7,sched_state,waiting
159932.531018,7,tick,""
159932.531121,7,sched_state,waiting
159932.531125,7,tick,""
159932.531416,0,tick,""
159932.531442,0,reduction,""
159932.531444,0,sched_state,running
159932.532460,0,tick,""
159932.532469,0,reduction,""
159932.532474,0,sched_state,running
159932.533608,0,tick,""
159932.533621,0,reduction,""
159932.533624,0,sched_state,running
159932.534696,0,tick,""
159932.534705,0,reduction,""
159932.534708,0,sched_state,running
159932.535922,0,tick,""
159932.535929,0,reduction,""
159932.535931,0,sched_state,running
159932.536955,0,tick,""
159932.536974,0,reduction,""
159932.536977,0,sched_state,running
159932.537916,0,tick,""
159932.537925,0,reduction,""
159932.537926,0,sched_state,running
159932.538897,0,tick,""
159932.538902,0,reduction,""
159932.538904,0,sched_state,running
159932.539879,0,tick,""
159932.540014,4,sched_state,waiting
159932.540023,4,tick,""
159932.540033,2,sched_state,waiting
159932.540044,2,tick,""
159932.540045,5,sched_state,waiting
159932.540047,4,sched_state,waiting
159932.540051,4,tick,""
159932.540054,5,tick,""
159932.540078,5,sched_state,waiting
159932.540083,5,tick,""
159932.542047,7,sched_state,waiting
159932.542065,7,tick,""
159932.542113,7,sched_state,waiting
159932.542119,7,tick,""
159932.544247,6,sched_state,waiting
159932.544257,6,tick,""
159932.544306,6,sched_state,waiting
159932.544320,6,tick,""
159932.544324,6,sched_state,waiting
159932.544327,6,tick,""
159932.544330,6,sched_state,waiting
159932.544333,6,tick,""
159932.546025,1,sched_state,waiting
159932.546038,1,tick,""
159932.546928,0,queue_length,1
159932.549155,0,sched_state,running
159932.549967,0,tick,""
159932.549976,0,reduction,""
159932.549981,0,sched_state,running
