timestamp,lpu,event,value
174295.582303,0,sched_state,startup
174295.582411,0,tick,""
174295.582416,0,reduction,""
174295.582417,0,sched_state,running
174295.582517,0,tick,""
174295.582520,0,reduction,""
174295.582521,0,sched_state,running
174295.582580,0,tick,""
174295.582582,0,reduction,""
174295.582582,0,sched_state,running
174295.582666,0,tick,""
174295.582668,0,reduction,""
174295.582669,0,sched_state,running
174295.582727,0,tick,""
174295.582729,0,reduction,""
174295.582730,0,sched_state,running
174295.582783,0,tick,""
174295.582786,0,reduction,""
174295.582787,0,sched_state,running
174295.582841,0,tick,""
174295.582844,0,reduction,""
174295.582845,0,sched_state,running
174295.582898,0,tick,""
174295.582901,0,reduction,""
174295.582901,0,sched_state,running
174295.582956,0,tick,""
174295.582960,0,reduction,""
174295.582961,0,sched_state,running
174295.583016,0,tick,""
174295.583019,0,reduction,""
174295.583020,0,sched_state,running
174295.583074,0,tick,""
174295.583076,0,reduction,""
174295.583078,0,sched_state,running
174295.583131,0,tick,""
174295.583135,0,reduction,""
174295.583136,0,sched_state,running
174295.583191,0,tick,""
174295.583194,0,reduction,""
174295.583195,0,sched_state,running
174295.583249,0,tick,""
174295.583251,0,reduction,""
174295.583251,0,sched_state,running
174295.583304,0,tick,""
174295.583308,0,reduction,""
174295.583308,0,sched_state,running
174295.583361,0,tick,""
174295.583447,0,reduction,""
174295.583449,0,sched_state,running
174295.583505,0,tick,""
174295.583517,0,reduction,""
174295.583518,0,sched_state,running
174295.583574,0,tick,""
174295.583576,0,reduction,""
174295.583576,0,sched_state,running
174295.583632,0,tick,""
174295.583636,0,reduction,""
174295.583637,0,sched_state,running
174295.583693,0,tick,""
174295.585138,0,reduction,""
174295.585147,0,sched_state,running
174295.585427,0,tick,""
174295.585442,0,reduction,""
174295.585443,0,sched_state,running
174295.585551,0,tick,""
174295.585555,0,spawn,""
174295.585556,0,reduction,""
174295.585557,0,sched_state,running
174295.585660,0,tick,""
174295.585663,0,reduction,""
174295.585664,0,sched_state,running
174295.585723,0,tick,""
174295.585726,0,reduction,""
174295.585727,0,sched_state,running
174295.585785,0,tick,""
174295.585787,0,reduction,""
174295.585788,0,sched_state,running
174295.585845,0,tick,""
174295.585848,0,reduction,""
174295.585849,0,sched_state,running
174295.585907,0,tick,""
174295.585910,0,reduction,""
174295.585911,0,sched_state,running
174295.585967,0,tick,""
174295.586004,0,reduction,""
174295.586005,0,sched_state,running
174295.586065,0,tick,""
174295.586068,0,reduction,""
174295.586069,0,sched_state,running
174295.586127,0,tick,""
174295.586131,0,spawn,""
174295.586132,0,reduction,""
174295.586134,0,sched_state,running
174295.586193,0,tick,""
174295.586196,0,reduction,""
174295.586197,0,sched_state,running
174295.586254,0,tick,""
174295.586259,0,reduction,""
174295.586260,0,sched_state,running
174295.586318,0,tick,""
174295.586320,0,reduction,""
174295.586321,0,sched_state,running
174295.586378,0,tick,""
174295.586380,0,reduction,""
174295.586381,0,sched_state,running
174295.586438,0,tick,""
174295.586441,0,reduction,""
174295.586442,0,sched_state,running
174295.586499,0,tick,""
174295.586502,0,reduction,""
174295.586503,0,sched_state,running
174295.586559,0,tick,""
174295.587130,0,channel_blocked,73
174295.587131,0,yield,""
174295.587133,0,sched_state,waiting
174295.587197,0,tick,""
174295.587208,0,reduction,""
174295.587209,0,sched_state,running
174295.587272,0,tick,""
174295.587275,0,spawn,""
174295.587277,0,reduction,""
174295.587278,0,sched_state,running
174295.587340,0,tick,""
174295.587343,0,reduction,""
174295.587344,0,sched_state,running
174295.587403,0,tick,""
174295.587406,0,reduction,""
174295.587407,0,sched_state,running
174295.587465,0,tick,""
174295.587468,0,reduction,""
174295.587469,0,sched_state,running
174295.587527,0,tick,""
174295.587531,0,reduction,""
174295.587532,0,sched_state,running
174295.587590,0,tick,""
174295.587593,0,reduction,""
174295.587594,0,sched_state,running
174295.587651,0,tick,""
174295.587682,0,reduction,""
174295.587684,0,sched_state,running
174295.587741,0,tick,""
174295.587744,0,reduction,""
174295.587746,0,sched_state,running
174295.587804,0,tick,""
174295.587807,0,spawn,""
174295.587808,0,reduction,""
174295.587809,0,sched_state,running
174295.587868,0,tick,""
174295.587871,0,reduction,""
174295.587871,0,sched_state,running
174295.587929,0,tick,""
174295.587933,0,reduction,""
174295.587934,0,sched_state,running
174295.587991,0,tick,""
174295.587994,0,reduction,""
174295.587995,0,sched_state,running
174295.588054,0,tick,""
174295.588057,0,reduction,""
174295.588058,0,sched_state,running
174295.588138,0,tick,""
174295.588144,0,reduction,""
174295.588145,0,sched_state,running
174295.588211,0,tick,""
174295.588215,0,reduction,""
174295.588216,0,sched_state,running
174295.588274,0,tick,""
174295.589962,0,channel_unblocked,73
174295.589968,0,yield,""
174295.589969,0,sched_state,waiting
174295.590560,0,tick,""
174295.590565,0,reduction,""
174295.590566,0,sched_state,running
174295.591089,0,tick,""
174295.591094,0,reduction,""
174295.591095,0,sched_state,running
174295.591391,0,tick,""
174295.591395,0,reduction,""
174295.591396,0,sched_state,running
174295.591688,0,tick,""
174295.591691,0,reduction,""
174295.591692,0,sched_state,running
174295.591993,0,tick,""
174295.591997,0,reduction,""
174295.591999,0,sched_state,running
174295.592326,0,tick,""
