timestamp,lpu,event,value
174313.599724,0,sched_state,startup
174313.599836,0,tick,""
174313.599843,0,reduction,""
174313.599844,0,sched_state,running
174313.599921,0,tick,""
174313.599923,0,reduction,""
174313.599924,0,sched_state,running
174313.599982,0,tick,""
174313.599984,0,reduction,""
174313.599985,0,sched_state,running
174313.600060,0,tick,""
174313.600062,0,reduction,""
174313.600063,0,sched_state,running
174313.600131,0,tick,""
174313.600133,0,reduction,""
174313.600142,0,sched_state,running
174313.600208,0,tick,""
174313.600211,0,reduction,""
174313.600212,0,sched_state,running
174313.600279,0,tick,""
174313.600283,0,reduction,""
174313.600284,0,sched_state,running
174313.600403,0,tick,""
174313.600406,0,reduction,""
174313.600407,0,sched_state,running
174313.600518,0,tick,""
174313.600521,0,reduction,""
174313.600522,0,sched_state,running
174313.600632,0,tick,""
174313.601822,0,reduction,""
174313.601825,0,sched_state,running
174313.601902,0,tick,""
174313.601906,0,reduction,""
174313.601907,0,sched_state,running
174313.601973,0,tick,""
174313.601977,0,reduction,""
174313.601978,0,sched_state,running
174313.602043,0,tick,""
174313.602316,0,reduction,""
174313.602319,0,sched_state,running
174313.602381,0,tick,""
174313.602385,0,reduction,""
174313.602386,0,sched_state,running
174313.602437,0,tick,""
174313.602443,0,reduction,""
174313.602444,0,sched_state,running
174313.602491,0,tick,""
174313.602495,0,reduction,""
174313.602496,0,sched_state,running
174313.602542,0,tick,""
174313.602547,0,reduction,""
174313.602548,0,sched_state,running
174313.602593,0,tick,""
174313.602597,0,reduction,""
174313.602598,0,sched_state,running
174313.602642,0,tick,""
174313.602647,0,reduction,""
174313.602648,0,sched_state,running
174313.602692,0,tick,""
174313.602695,0,reduction,""
174313.602696,0,sched_state,running
174313.602740,0,tick,""
174313.602746,0,reduction,""
174313.602747,0,sched_state,running
174313.602791,0,tick,""
174313.602795,0,reduction,""
174313.602796,0,sched_state,running
174313.602841,0,tick,""
174313.602845,0,reduction,""
174313.602846,0,sched_state,running
174313.602890,0,tick,""
174313.602894,0,reduction,""
174313.602895,0,sched_state,running
174313.602939,0,tick,""
174313.602943,0,reduction,""
174313.602944,0,sched_state,running
174313.602987,0,tick,""
174313.602991,0,reduction,""
174313.602992,0,sched_state,running
174313.603036,0,tick,""
174313.603040,0,reduction,""
174313.603042,0,sched_state,running
174313.603086,0,tick,""
174313.603092,0,reduction,""
174313.603093,0,sched_state,running
174313.603136,0,tick,""
174313.603141,0,reduction,""
174313.603143,0,sched_state,running
174313.603186,0,tick,""
174313.603191,0,reduction,""
174313.603193,0,sched_state,running
174313.603236,0,tick,""
174313.603241,0,reduction,""
174313.603242,0,sched_state,running
174313.603285,0,tick,""
174313.603291,0,reduction,""
174313.603292,0,sched_state,running
174313.603335,0,tick,""
174313.603342,0,reduction,""
174313.603343,0,sched_state,running
174313.603386,0,tick,""
174313.603392,0,reduction,""
174313.603393,0,sched_state,running
174313.603438,0,tick,""
174313.603444,0,reduction,""
174313.603446,0,sched_state,running
174313.603490,0,tick,""
174313.603496,0,reduction,""
174313.603498,0,sched_state,running
174313.603541,0,tick,""
174313.603547,0,reduction,""
174313.603549,0,sched_state,running
174313.603593,0,tick,""
174313.603599,0,reduction,""
174313.603601,0,sched_state,running
174313.603644,0,tick,""
174313.603651,0,reduction,""
174313.603652,0,sched_state,running
174313.603697,0,tick,""
174313.603738,0,reduction,""
174313.603740,0,sched_state,running
174313.603785,0,tick,""
174313.603790,0,reduction,""
174313.603791,0,sched_state,running
174313.603837,0,tick,""
174313.603841,0,reduction,""
174313.603843,0,sched_state,running
174313.603887,0,tick,""
174313.603891,0,reduction,""
174313.603892,0,sched_state,running
174313.603937,0,tick,""
174313.603942,0,reduction,""
174313.603943,0,sched_state,running
174313.603987,0,tick,""
174313.603991,0,reduction,""
174313.603993,0,sched_state,running
174313.604038,0,tick,""
174313.604043,0,reduction,""
174313.604044,0,sched_state,running
174313.604090,0,tick,""
174313.604103,0,reduction,""
174313.604104,0,sched_state,running
174313.604156,0,tick,""
174313.604162,0,reduction,""
174313.604163,0,sched_state,running
174313.604218,0,tick,""
174313.604224,0,reduction,""
174313.604225,0,sched_state,running
174313.604268,0,tick,""
174313.604274,0,reduction,""
174313.604275,0,sched_state,running
174313.604329,0,tick,""
174313.604343,0,reduction,""
174313.604344,0,sched_state,running
174313.604389,0,tick,""
174313.604395,0,reduction,""
174313.604396,0,sched_state,running
174313.604441,0,tick,""
174313.604455,0,reduction,""
174313.604457,0,sched_state,running
174313.604519,0,tick,""
174313.604526,0,reduction,""
174313.604527,0,sched_state,running
174313.604580,0,tick,""
174313.604586,0,reduction,""
174313.604587,0,sched_state,running
174313.604633,0,tick,""
174313.604648,0,reduction,""
174313.604649,0,sched_state,running
174313.604703,0,tick,""
174313.604710,0,reduction,""
174313.604711,0,sched_state,running
174313.604755,0,tick,""
174313.604762,0,reduction,""
174313.604763,0,sched_state,running
174313.604808,0,tick,""
174313.604823,0,reduction,""
174313.604825,0,sched_state,running
174313.604878,0,tick,""
174313.604922,0,reduction,""
174313.604924,0,sched_state,running
174313.604980,0,tick,""
174313.604988,0,reduction,""
174313.604989,0,sched_state,running
174313.605034,0,tick,""
174313.605042,0,reduction,""
174313.605043,0,sched_state,running
174313.605088,0,tick,""
174313.605095,0,reduction,""
174313.605096,0,sched_state,running
174313.605140,0,tick,""
174313.605153,0,reduction,""
174313.605154,0,sched_state,running
174313.605200,0,tick,""
174313.605208,0,reduction,""
174313.605209,0,sched_state,running
