timestamp,lpu,event,value
174633.769162,0,sched_state,startup
174633.769904,0,tick,""
174633.769909,0,reduction,""
174633.769911,0,sched_state,running
174633.770301,0,tick,""
174633.770305,0,reduction,""
174633.770306,0,sched_state,running
174633.770688,0,tick,""
174633.770691,0,reduction,""
174633.770691,0,sched_state,running
174633.771075,0,tick,""
174633.771078,0,reduction,""
174633.771079,0,sched_state,running
174633.771468,0,tick,""
174633.771470,0,reduction,""
174633.771471,0,sched_state,running
174633.771858,0,tick,""
174633.771860,0,reduction,""
174633.771861,0,sched_state,running
174633.772305,0,tick,""
174633.772309,0,reduction,""
174633.772310,0,sched_state,running
174633.772716,0,tick,""
174633.772719,0,reduction,""
174633.772720,0,sched_state,running
174633.773363,0,tick,""
174633.773385,0,reduction,""
174633.773391,0,sched_state,running
174633.774263,0,tick,""
174633.774267,0,reduction,""
174633.774269,0,sched_state,running
174633.775010,0,tick,""
174633.775013,0,reduction,""
174633.775014,0,sched_state,running
174633.775856,0,tick,""
174633.775889,0,reduction,""
174633.775894,0,sched_state,running
174633.777036,0,tick,""
174633.777339,0,reduction,""
174633.777341,0,sched_state,running
174633.778428,0,tick,""
174633.778487,0,reduction,""
174633.778493,0,sched_state,running
174633.779599,0,tick,""
174633.779617,0,reduction,""
174633.779621,0,sched_state,running
174633.780751,0,tick,""
174633.780767,0,reduction,""
174633.780771,0,sched_state,running
174633.781883,0,tick,""
174633.783796,0,reduction,""
174633.783804,0,sched_state,running
174633.784453,0,tick,""
174633.784468,0,reduction,""
174633.784470,0,sched_state,running
174633.784875,0,tick,""
174633.784879,0,spawn,""
174633.784880,0,reduction,""
174633.784881,0,sched_state,running
174633.785285,0,tick,""
174633.785288,0,reduction,""
174633.785289,0,sched_state,running
174633.785692,0,tick,""
174633.785697,0,reduction,""
174633.785698,0,sched_state,running
174633.786101,0,tick,""
174633.786106,0,reduction,""
174633.786107,0,sched_state,running
174633.786508,0,tick,""
174633.786511,0,reduction,""
174633.786512,0,sched_state,running
174633.786911,0,tick,""
174633.786916,0,reduction,""
174633.786917,0,sched_state,running
174633.787319,0,tick,""
174633.787324,0,reduction,""
174633.787325,0,sched_state,running
174633.787726,0,tick,""
174633.787730,0,reduction,""
174633.787731,0,sched_state,running
174633.788153,0,tick,""
174633.788175,0,reduction,""
174633.788177,0,sched_state,running
174633.788578,0,tick,""
174633.788584,0,reduction,""
174633.788585,0,sched_state,running
174633.788993,0,tick,""
174633.789003,0,reduction,""
174633.789005,0,sched_state,running
174633.789404,0,tick,""
174633.789418,0,reduction,""
174633.789419,0,sched_state,running
174633.789822,0,tick,""
174633.789828,0,reduction,""
174633.789829,0,sched_state,running
174633.790233,0,tick,""
174633.790337,0,reduction,""
174633.790340,0,sched_state,running
174633.790746,0,tick,""
174633.790759,0,reduction,""
174633.790760,0,sched_state,running
174633.791158,0,tick,""
174633.791163,0,reduction,""
174633.791164,0,sched_state,running
174633.791560,0,tick,""
174633.791564,0,reduction,""
174633.791565,0,sched_state,running
174633.791977,0,tick,""
174633.791982,0,reduction,""
174633.791983,0,sched_state,running
174633.792423,0,tick,""
174633.792429,0,reduction,""
174633.792430,0,sched_state,running
174633.792828,0,tick,""
174633.792834,0,reduction,""
174633.792836,0,sched_state,running
174633.793241,0,tick,""
174633.793246,0,reduction,""
174633.793247,0,sched_state,running
174633.793645,0,tick,""
174633.793671,0,reduction,""
174633.793672,0,sched_state,running
174633.794076,0,tick,""
174633.794081,0,reduction,""
174633.794083,0,sched_state,running
174633.794489,0,tick,""
174633.794494,0,reduction,""
174633.794495,0,sched_state,running
174633.794905,0,tick,""
174633.794909,0,reduction,""
174633.794910,0,sched_state,running
174633.795319,0,tick,""
174633.795324,0,reduction,""
174633.795325,0,sched_state,running
174633.795727,0,tick,""
174633.795764,0,reduction,""
174633.795766,0,sched_state,running
174633.796200,0,tick,""
174633.796206,0,reduction,""
174633.796207,0,sched_state,running
174633.796614,0,tick,""
174633.796617,0,spawn,""
174633.796619,0,reduction,""
174633.796620,0,sched_state,running
174633.797038,0,tick,""
174633.797041,0,reduction,""
174633.797042,0,sched_state,running
174633.797456,0,tick,""
174633.797463,0,reduction,""
174633.797464,0,sched_state,running
174633.797876,0,tick,""
174633.797880,0,reduction,""
174633.797881,0,sched_state,running
174633.798288,0,tick,""
174633.798292,0,reduction,""
174633.798293,0,sched_state,running
174633.798694,0,tick,""
174633.798699,0,reduction,""
174633.798700,0,sched_state,running
174633.799101,0,tick,""
174633.799106,0,reduction,""
174633.799107,0,sched_state,running
174633.799509,0,tick,""
174633.801367,0,channel_blocked,73
174633.801369,0,yield,""
174633.801371,0,sched_state,waiting
174633.801788,0,tick,""
174633.801796,0,reduction,""
174633.801797,0,sched_state,running
174633.802203,0,tick,""
174633.802230,0,reduction,""
174633.802231,0,sched_state,running
174633.802632,0,tick,""
174633.802672,0,reduction,""
174633.802673,0,sched_state,running
174633.803071,0,tick,""
174633.803077,0,reduction,""
174633.803079,0,sched_state,running
174633.803478,0,tick,""
174633.803508,0,reduction,""
174633.803509,0,sched_state,running
174633.803912,0,tick,""
174633.803917,0,reduction,""
174633.803919,0,sched_state,running
174633.804341,0,tick,""
174633.804345,0,spawn,""
174633.804347,0,reduction,""
174633.804348,0,sched_state,running
174633.804744,0,tick,""
174633.804748,0,reduction,""
174633.804749,0,sched_state,running
174633.805166,0,tick,""
174633.805175,0,reduction,""
174633.805177,0,sched_state,running
174633.805571,0,tick,""
174633.805577,0,reduction,""
174633.805579,0,sched_state,running
174633.805975,0,tick,""
174633.805979,0,reduction,""
174633.805980,0,sched_state,running
174633.806375,0,tick,""
174633.806386,0,reduction,""
174633.806388,0,sched_state,running
174633.806786,0,tick,""
174633.806792,0,reduction,""
174633.806793,0,sched_state,running
174633.807190,0,tick,""
174633.807197,0,reduction,""
174633.807198,0,sched_state,running
174633.807591,0,tick,""
174633.807597,0,reduction,""
174633.807598,0,sched_state,running
174633.807993,0,tick,""
174633.807999,0,reduction,""
174633.808000,0,sched_state,running
174633.808426,0,tick,""
174633.808436,0,reduction,""
174633.808438,0,sched_state,running
174633.808836,0,tick,""
174633.808842,0,reduction,""
174633.808844,0,sched_state,running
174633.809237,0,tick,""
174633.809243,0,reduction,""
174633.809244,0,sched_state,running
174633.809642,0,tick,""
174633.809648,0,reduction,""
174633.809649,0,sched_state,running
174633.810052,0,tick,""
174633.810056,0,reduction,""
174633.810058,0,sched_state,running
174633.810459,0,tick,""
174633.810463,0,reduction,""
174633.810465,0,sched_state,running
174633.810861,0,tick,""
174633.810866,0,reduction,""
174633.810868,0,sched_state,running
174633.811266,0,tick,""
174633.811271,0,reduction,""
174633.811272,0,sched_state,running
174633.811670,0,tick,""
174633.811676,0,reduction,""
174633.811677,0,sched_state,running
174633.812074,0,tick,""
174633.812080,0,reduction,""
174633.812081,0,sched_state,running
174633.812506,0,tick,""
174633.812513,0,reduction,""
174633.812514,0,sched_state,running
174633.812913,0,tick,""
174633.812938,0,reduction,""
174633.812940,0,sched_state,running
174633.813345,0,tick,""
174633.813351,0,reduction,""
174633.813352,0,sched_state,running
174633.813759,0,tick,""
174633.813784,0,reduction,""
174633.813785,0,sched_state,running
174633.814188,0,tick,""
174633.814228,0,reduction,""
174633.814230,0,sched_state,running
174633.814632,0,tick,""
174633.814638,0,reduction,""
174633.814640,0,sched_state,running
174633.815043,0,tick,""
174633.815074,0,reduction,""
174633.815076,0,sched_state,running
174633.815482,0,tick,""
174633.815488,0,reduction,""
174633.815489,0,sched_state,running
174633.815897,0,tick,""
174633.815900,0,spawn,""
174633.815902,0,reduction,""
174633.815903,0,sched_state,running
174633.816331,0,tick,""
174633.816336,0,reduction,""
174633.816338,0,sched_state,running
174633.816744,0,tick,""
174633.816752,0,reduction,""
174633.816753,0,sched_state,running
174633.817154,0,tick,""
174633.817159,0,reduction,""
174633.817161,0,sched_state,running
174633.817562,0,tick,""
174633.817566,0,reduction,""
174633.817568,0,sched_state,running
174633.817967,0,tick,""
174633.817977,0,reduction,""
174633.817979,0,sched_state,running
174633.818376,0,tick,""
174633.818381,0,reduction,""
174633.818382,0,sched_state,running
174633.818787,0,tick,""
174633.818790,0,reduction,""
174633.818791,0,sched_state,running
174633.819201,0,tick,""
174633.819206,0,reduction,""
174633.819207,0,sched_state,running
174633.819614,0,tick,""
174633.821666,2,channel_blocked,265
174633.821671,0,yield,""
174633.821673,0,sched_state,waiting
174633.822086,0,tick,""
174633.822093,0,reduction,""
174633.822096,0,sched_state,running
174633.822505,0,tick,""
174633.822614,0,reduction,""
174633.822618,0,sched_state,running
174633.823027,0,tick,""
174633.823042,0,reduction,""
174633.823044,0,sched_state,running
174633.823450,0,tick,""
174633.823455,0,reduction,""
174633.823456,0,sched_state,running
174633.823862,0,tick,""
174633.823868,0,reduction,""
174633.823869,0,sched_state,running
174633.824296,0,tick,""
174633.824303,0,reduction,""
174633.824305,0,sched_state,running
174633.824708,0,tick,""
174633.824720,0,reduction,""
174633.824722,0,sched_state,running
174633.825127,0,tick,""
174633.825170,0,reduction,""
174633.825171,0,sched_state,running
174633.825579,0,tick,""
174633.825590,0,reduction,""
174633.825591,0,sched_state,running
174633.825999,0,tick,""
174633.826003,0,reduction,""
174633.826005,0,sched_state,running
174633.826417,0,tick,""
174633.826426,0,reduction,""
174633.826428,0,sched_state,running
174633.826850,0,tick,""
174633.826858,0,reduction,""
174633.826866,0,sched_state,running
174633.827276,0,tick,""
174633.827282,0,reduction,""
174633.827283,0,sched_state,running
174633.827701,0,tick,""
174633.827712,0,reduction,""
174633.827714,0,sched_state,running
174633.828143,0,tick,""
174633.828161,0,reduction,""
174633.828170,0,sched_state,running
174633.828576,0,tick,""
174633.828583,0,reduction,""
174633.828584,0,sched_state,running
174633.828999,0,tick,""
174633.829085,0,reduction,""
174633.829087,0,sched_state,running
174633.829499,0,tick,""
174633.829512,0,reduction,""
174633.829514,0,sched_state,running
174633.829920,0,tick,""
174633.829925,0,reduction,""
174633.829926,0,sched_state,running
174633.830327,0,tick,""
174633.830332,0,reduction,""
174633.830333,0,sched_state,running
174633.830733,0,tick,""
174633.830738,0,reduction,""
174633.830739,0,sched_state,running
174633.831141,0,tick,""
174633.831146,0,reduction,""
174633.831147,0,sched_state,running
174633.831551,0,tick,""
174633.831555,0,reduction,""
174633.831556,0,sched_state,running
174633.831963,0,tick,""
174633.833807,4,channel_blocked,353
174633.833812,0,yield,""
174633.833813,0,sched_state,waiting
174633.834225,0,tick,""
174633.834232,0,reduction,""
174633.834234,0,sched_state,running
174633.834641,0,tick,""
174633.834650,0,reduction,""
174633.834651,0,sched_state,running
174633.835052,0,tick,""
174633.835058,0,reduction,""
174633.835059,0,sched_state,running
174633.835462,0,tick,""
174633.835468,0,reduction,""
174633.835469,0,sched_state,running
174633.835870,0,tick,""
174633.835880,0,reduction,""
174633.835881,0,sched_state,running
174633.836309,0,tick,""
174633.836316,0,reduction,""
174633.836317,0,sched_state,running
174633.836721,0,tick,""
174633.836727,0,reduction,""
174633.836728,0,sched_state,running
174633.837132,0,tick,""
174633.837137,0,reduction,""
174633.837139,0,sched_state,running
174633.837548,0,tick,""
174633.837554,0,reduction,""
174633.837556,0,sched_state,running
174633.837975,0,tick,""
174633.838072,0,reduction,""
174633.838074,0,sched_state,running
174633.838484,0,tick,""
174633.838506,0,reduction,""
174633.838507,0,sched_state,running
174633.838919,0,tick,""
174633.838925,0,reduction,""
174633.838926,0,sched_state,running
174633.839338,0,tick,""
174633.839344,0,reduction,""
174633.839346,0,sched_state,running
174633.839754,0,tick,""
174633.839760,0,reduction,""
174633.839761,0,sched_state,running
174633.840193,0,tick,""
174633.840205,0,reduction,""
174633.840206,0,sched_state,running
174633.840614,0,tick,""
174633.840656,0,reduction,""
174633.840657,0,sched_state,running
174633.841067,0,tick,""
174633.841077,0,reduction,""
174633.841079,0,sched_state,running
174633.841490,0,tick,""
174633.841494,0,reduction,""
174633.841496,0,sched_state,running
174633.841906,0,tick,""
174633.841913,0,reduction,""
174633.841915,0,sched_state,running
174633.842329,0,tick,""
174633.842338,0,reduction,""
174633.842339,0,sched_state,running
174633.842763,0,tick,""
174633.842767,0,reduction,""
174633.842768,0,sched_state,running
174633.843183,0,tick,""
174633.843189,0,reduction,""
174633.843190,0,sched_state,running
174633.843603,0,tick,""
174633.843609,0,reduction,""
174633.843610,0,sched_state,running
174633.844031,0,tick,""
174633.844035,0,reduction,""
174633.844036,0,sched_state,running
174633.844481,0,tick,""
174633.844487,0,reduction,""
174633.844488,0,sched_state,running
174633.844905,0,tick,""
174633.844909,0,spawn,""
174633.844910,0,reduction,""
174633.844911,0,sched_state,running
174633.845323,0,tick,""
174633.845327,0,reduction,""
174633.845328,0,sched_state,running
174633.845744,0,tick,""
174633.845747,0,reduction,""
174633.845748,0,sched_state,running
174633.846162,0,tick,""
174633.851069,3,channel_blocked,130
174633.851081,0,yield,""
174633.851084,0,sched_state,waiting
174633.851865,0,tick,""
174633.851876,0,reduction,""
174633.851877,0,sched_state,running
174633.852326,0,tick,""
174633.852353,0,reduction,""
174633.852354,0,sched_state,running
174633.852766,0,tick,""
174633.852777,0,reduction,""
174633.852778,0,sched_state,running
174633.853197,0,tick,""
174633.853203,0,reduction,""
174633.853204,0,sched_state,running
174633.853622,0,tick,""
174633.853763,0,reduction,""
174633.853767,0,sched_state,running
174633.854189,0,tick,""
174633.854203,0,reduction,""
174633.854205,0,sched_state,running
174633.854614,0,tick,""
174633.854620,0,reduction,""
174633.854621,0,sched_state,running
174633.855028,0,tick,""
174633.855033,0,reduction,""
174633.855035,0,sched_state,running
174633.855438,0,tick,""
174633.855444,0,reduction,""
174633.855445,0,sched_state,running
174633.855854,0,tick,""
174633.855859,0,reduction,""
174633.855861,0,sched_state,running
174633.856297,0,tick,""
174633.856303,0,reduction,""
174633.856304,0,sched_state,running
174633.856722,0,tick,""
174633.856728,0,reduction,""
174633.856729,0,sched_state,running
174633.857142,0,tick,""
174633.857148,0,reduction,""
174633.857149,0,sched_state,running
174633.857565,0,tick,""
174633.857571,0,spawn,""
174633.857572,0,reduction,""
174633.857573,0,sched_state,running
174633.857994,0,tick,""
174633.857999,0,reduction,""
174633.858000,0,sched_state,running
174633.858420,0,tick,""
174633.858425,0,reduction,""
174633.858426,0,sched_state,running
174633.858839,0,tick,""
174633.862697,5,channel_blocked,217
174633.862706,0,yield,""
174633.862708,0,sched_state,waiting
174633.863507,0,tick,""
174633.863514,0,reduction,""
174633.863515,0,sched_state,running
174633.863934,0,tick,""
174633.863955,0,reduction,""
174633.863957,0,sched_state,running
174633.864393,0,tick,""
174633.864399,0,reduction,""
174633.864400,0,sched_state,running
174633.864809,0,tick,""
174633.864814,0,reduction,""
174633.864815,0,sched_state,running
174633.865223,0,tick,""
174633.865237,0,reduction,""
174633.865239,0,sched_state,running
174633.865656,0,tick,""
174633.865661,0,reduction,""
174633.865662,0,sched_state,running
174633.866082,0,tick,""
174633.866087,0,reduction,""
174633.866088,0,sched_state,running
174633.866505,0,tick,""
174633.866511,0,reduction,""
174633.866512,0,sched_state,running
174633.866940,0,tick,""
174633.867080,0,reduction,""
174633.867084,0,sched_state,running
174633.867505,0,tick,""
174633.867520,0,reduction,""
174633.867522,0,sched_state,running
174633.867938,0,tick,""
174633.867942,0,reduction,""
174633.867943,0,sched_state,running
174633.868388,0,tick,""
174633.868395,0,reduction,""
174633.868397,0,sched_state,running
174633.868814,0,tick,""
174633.868819,0,spawn,""
174633.868821,0,reduction,""
174633.868822,0,sched_state,running
174633.869239,0,tick,""
174633.869244,0,reduction,""
174633.869245,0,sched_state,running
174633.869658,0,tick,""
174633.869663,0,reduction,""
174633.869664,0,sched_state,running
174633.870079,0,tick,""
174633.870084,0,reduction,""
174633.870085,0,sched_state,running
174633.870498,0,tick,""
174633.870510,0,reduction,""
174633.870512,0,sched_state,running
174633.870929,0,tick,""
174633.870935,0,reduction,""
174633.870936,0,sched_state,running
174633.871352,0,tick,""
174633.871363,0,reduction,""
174633.871365,0,sched_state,running
174633.871777,0,tick,""
174633.871787,0,reduction,""
174633.871789,0,sched_state,running
174633.872226,0,tick,""
174633.872232,0,reduction,""
174633.872233,0,sched_state,running
174633.872647,0,tick,""
174633.872655,0,reduction,""
174633.872656,0,sched_state,running
174633.873080,0,tick,""
174633.873085,0,reduction,""
174633.873086,0,sched_state,running
174633.873507,0,tick,""
174633.873512,0,reduction,""
174633.873513,0,sched_state,running
174633.873935,0,tick,""
174633.873945,0,reduction,""
174633.873946,0,sched_state,running
174633.874372,0,tick,""
174633.874377,0,reduction,""
174633.874378,0,sched_state,running
174633.874803,0,tick,""
174633.874808,0,reduction,""
174633.874809,0,sched_state,running
174633.875233,0,tick,""
174633.875239,0,reduction,""
174633.875240,0,sched_state,running
174633.875664,0,tick,""
174633.875756,0,reduction,""
174633.875762,0,sched_state,running
174633.876206,0,tick,""
174633.876220,0,reduction,""
174633.876229,0,sched_state,running
174633.876650,0,tick,""
174633.876655,0,reduction,""
174633.876656,0,sched_state,running
174633.877077,0,tick,""
174633.877082,0,reduction,""
174633.877084,0,sched_state,running
174633.877504,0,tick,""
174633.877509,0,spawn,""
174633.877511,0,reduction,""
174633.877512,0,sched_state,running
174633.877930,0,tick,""
174633.877934,0,reduction,""
174633.877936,0,sched_state,running
174633.878354,0,tick,""
174633.878359,0,reduction,""
174633.878360,0,sched_state,running
174633.878778,0,tick,""
174633.878783,0,reduction,""
174633.878784,0,sched_state,running
174633.879202,0,tick,""
174633.879213,0,reduction,""
174633.879215,0,sched_state,running
174633.879634,0,tick,""
174633.879640,0,reduction,""
174633.879641,0,sched_state,running
174633.880061,0,tick,""
174633.880072,0,reduction,""
174633.880073,0,sched_state,running
174633.880524,0,tick,""
174633.880534,0,reduction,""
174633.880536,0,sched_state,running
