timestamp,lpu,event,value
144568.864987,0,sched_state,startup
144568.865075,0,tick,""
144568.865082,0,reduction,""
144568.865083,0,sched_state,running
144568.865175,0,tick,""
144568.865178,0,reduction,""
144568.865179,0,sched_state,running
144568.865237,0,tick,""
144568.865239,0,reduction,""
144568.865240,0,sched_state,running
144568.865295,0,tick,""
144568.865297,0,reduction,""
144568.865298,0,sched_state,running
144568.865351,0,tick,""
144568.865353,0,reduction,""
144568.865354,0,sched_state,running
144568.865405,0,tick,""
144568.865408,0,reduction,""
144568.865409,0,sched_state,running
144568.865462,0,tick,""
144568.865464,0,reduction,""
144568.865465,0,sched_state,running
144568.865517,0,tick,""
144568.865519,0,reduction,""
144568.865520,0,sched_state,running
144568.865573,0,tick,""
144568.865578,0,reduction,""
144568.865579,0,sched_state,running
144568.865642,0,tick,""
144568.865645,0,reduction,""
144568.865646,0,sched_state,running
144568.865699,0,tick,""
144568.865702,0,reduction,""
144568.865703,0,sched_state,running
144568.865757,0,tick,""
144568.865760,0,reduction,""
144568.865761,0,sched_state,running
144568.865820,0,tick,""
144568.865822,0,reduction,""
144568.865823,0,sched_state,running
144568.865878,0,tick,""
144568.865880,0,reduction,""
144568.865881,0,sched_state,running
144568.865935,0,tick,""
144568.865938,0,reduction,""
144568.865939,0,sched_state,running
144568.865994,0,tick,""
144568.866121,0,reduction,""
144568.866123,0,sched_state,running
144568.866180,0,tick,""
144568.866191,0,reduction,""
144568.866193,0,sched_state,running
144568.866250,0,tick,""
144568.866252,0,reduction,""
144568.866253,0,sched_state,running
144568.866308,0,tick,""
144568.866310,0,reduction,""
144568.866311,0,sched_state,running
144568.866367,0,tick,""
144568.866368,0,reduction,""
144568.866369,0,sched_state,running
144568.866423,0,tick,""
144568.866427,0,reduction,""
144568.866428,0,sched_state,running
144568.866484,0,tick,""
144568.866552,0,reduction,""
144568.866554,0,sched_state,running
144568.866613,0,tick,""
144568.866617,0,reduction,""
144568.866618,0,sched_state,running
144568.866675,0,tick,""
144568.866744,0,reduction,""
144568.866746,0,sched_state,running
144568.866804,0,tick,""
144568.866808,0,reduction,""
144568.866809,0,sched_state,running
144568.866861,0,tick,""
144568.866873,0,reduction,""
144568.866874,0,sched_state,running
144568.866931,0,tick,""
144568.888693,0,reduction,""
144568.888706,0,sched_state,running
144568.888823,0,tick,""
144568.888843,0,reduction,""
144568.888845,0,sched_state,running
144568.888951,0,tick,""
144568.889138,0,reduction,""
144568.889143,0,sched_state,running
144568.889216,0,tick,""
144568.889223,0,reduction,""
144568.889225,0,sched_state,running
144568.889283,0,tick,""
144568.889288,0,reduction,""
144568.889289,0,sched_state,running
144568.889345,0,tick,""
144568.889349,0,reduction,""
144568.889352,0,sched_state,running
144568.889408,0,tick,""
144568.889411,0,reduction,""
144568.889412,0,sched_state,running
144568.889468,0,tick,""
144568.889471,0,reduction,""
144568.889472,0,sched_state,running
144568.889526,0,tick,""
144568.889532,0,reduction,""
144568.889533,0,sched_state,running
144568.889587,0,tick,""
144568.889590,0,reduction,""
144568.889591,0,sched_state,running
144568.889644,0,tick,""
144568.889649,0,reduction,""
144568.889650,0,sched_state,running
144568.889703,0,tick,""
144568.889706,0,reduction,""
144568.889707,0,sched_state,running
144568.889761,0,tick,""
144568.889763,0,reduction,""
144568.889764,0,sched_state,running
144568.889818,0,tick,""
144568.889821,0,sched_state,stop
