timestamp,lpu,event,value
144810.656189,0,sched_state,startup
144810.656671,0,tick,""
144810.656676,0,reduction,""
144810.656678,0,sched_state,running
144810.657147,0,tick,""
144810.657151,0,reduction,""
144810.657152,0,sched_state,running
144810.657422,0,tick,""
144810.657424,0,reduction,""
144810.657425,0,sched_state,running
144810.657693,0,tick,""
144810.659613,0,reduction,""
144810.659615,0,sched_state,running
144810.659896,0,tick,""
144810.659899,0,reduction,""
144810.659900,0,sched_state,running
144810.660193,0,tick,""
144810.660284,0,reduction,""
144810.660286,0,sched_state,running
144810.660775,0,tick,""
144810.660779,0,reduction,""
144810.660780,0,sched_state,running
144810.661267,0,tick,""
144810.661271,0,spawn,""
144810.661272,0,reduction,""
144810.661273,0,sched_state,running
144810.661553,0,tick,""
144810.661555,0,reduction,""
144810.661557,0,sched_state,running
144810.661832,0,tick,""
144810.661835,0,reduction,""
144810.661837,0,sched_state,running
144810.662114,0,tick,""
144810.662118,0,reduction,""
144810.662119,0,sched_state,running
144810.662394,0,tick,""
144810.662397,0,reduction,""
144810.662398,0,sched_state,running
144810.662671,0,tick,""
144810.662675,0,reduction,""
144810.662676,0,sched_state,running
144810.662952,0,tick,""
144810.662955,0,reduction,""
144810.662956,0,sched_state,running
144810.663234,0,tick,""
144810.663241,0,reduction,""
144810.663243,0,sched_state,running
144810.663516,0,tick,""
144810.663520,0,reduction,""
144810.663521,0,sched_state,running
144810.663792,0,tick,""
144810.663796,0,reduction,""
144810.663797,0,sched_state,running
144810.664072,0,tick,""
144810.664082,0,reduction,""
144810.664083,0,sched_state,running
144810.664384,0,tick,""
144810.664389,0,reduction,""
144810.664390,0,sched_state,running
144810.664670,0,tick,""
144810.664673,0,reduction,""
144810.664675,0,sched_state,running
144810.664951,0,tick,""
144810.664954,0,reduction,""
144810.664955,0,sched_state,running
144810.665231,0,tick,""
144810.665233,0,reduction,""
144810.665235,0,sched_state,running
144810.665512,0,tick,""
144810.665515,0,reduction,""
144810.665517,0,sched_state,running
144810.665792,0,tick,""
144810.665814,0,channel_blocked,98
144810.665816,0,yield,""
144810.665817,0,sched_state,waiting
144810.666097,0,tick,""
144810.666101,0,reduction,""
144810.666103,0,sched_state,running
144810.666383,0,tick,""
144810.666387,0,reduction,""
144810.666389,0,sched_state,running
144810.666672,0,tick,""
144810.666796,0,reduction,""
144810.666798,0,sched_state,running
144810.667080,0,tick,""
144810.667093,0,reduction,""
144810.667095,0,sched_state,running
144810.667374,0,tick,""
144810.667377,0,reduction,""
144810.667379,0,sched_state,running
144810.667658,0,tick,""
144810.667662,0,reduction,""
144810.667663,0,sched_state,running
144810.667941,0,tick,""
144810.667945,0,reduction,""
144810.667946,0,sched_state,running
144810.668235,0,tick,""
144810.668245,0,reduction,""
144810.668247,0,sched_state,running
144810.668529,0,tick,""
144810.668565,0,reduction,""
144810.668566,0,sched_state,running
144810.668850,0,tick,""
144810.668857,0,reduction,""
144810.668859,0,sched_state,running
144810.669140,0,tick,""
144810.669144,0,reduction,""
144810.669145,0,sched_state,running
144810.669433,0,tick,""
144810.669439,0,reduction,""
144810.669441,0,sched_state,running
144810.669722,0,tick,""
144810.669730,0,reduction,""
144810.669731,0,sched_state,running
144810.670013,0,tick,""
144810.670016,0,reduction,""
144810.670017,0,sched_state,running
144810.670303,0,tick,""
144810.670313,0,reduction,""
144810.670314,0,sched_state,running
144810.670592,0,tick,""
144810.670599,0,reduction,""
144810.670601,0,sched_state,running
144810.670882,0,tick,""
144810.670885,0,reduction,""
144810.670887,0,sched_state,running
144810.671166,0,tick,""
144810.671266,0,reduction,""
144810.671268,0,sched_state,running
144810.671552,0,tick,""
144810.671564,0,reduction,""
144810.671565,0,sched_state,running
144810.671846,0,tick,""
144810.671849,0,reduction,""
144810.671850,0,sched_state,running
144810.672141,0,tick,""
144810.672162,0,channel_blocked,98
144810.672163,0,yield,""
144810.672165,0,sched_state,waiting
144810.672447,0,tick,""
144810.672452,0,reduction,""
144810.672454,0,sched_state,running
144810.672737,0,tick,""
144810.672741,0,reduction,""
144810.672742,0,sched_state,running
144810.673024,0,tick,""
144810.673033,0,reduction,""
144810.673035,0,sched_state,running
144810.673317,0,tick,""
144810.673366,0,reduction,""
144810.673367,0,sched_state,running
144810.673651,0,tick,""
144810.673659,0,reduction,""
144810.673660,0,sched_state,running
144810.673939,0,tick,""
144810.673943,0,reduction,""
144810.673945,0,sched_state,running
144810.674224,0,tick,""
144810.674231,0,reduction,""
144810.674232,0,sched_state,running
144810.674514,0,tick,""
144810.674522,0,reduction,""
144810.674524,0,sched_state,running
144810.674810,0,tick,""
144810.674814,0,reduction,""
144810.674815,0,sched_state,running
144810.675099,0,tick,""
144810.675109,0,reduction,""
144810.675110,0,sched_state,running
144810.675391,0,tick,""
144810.675399,0,reduction,""
144810.675401,0,sched_state,running
144810.675683,0,tick,""
144810.675686,0,reduction,""
144810.675688,0,sched_state,running
144810.675968,0,tick,""
144810.676050,0,reduction,""
144810.676052,0,sched_state,running
144810.676356,0,tick,""
144810.676369,0,reduction,""
144810.676371,0,sched_state,running
144810.676656,0,tick,""
144810.676659,0,reduction,""
144810.676661,0,sched_state,running
144810.676943,0,tick,""
144810.676946,0,reduction,""
144810.676948,0,sched_state,running
144810.677233,0,tick,""
144810.677236,0,reduction,""
144810.677238,0,sched_state,running
144810.677517,0,tick,""
144810.677526,0,reduction,""
144810.677528,0,sched_state,running
144810.677812,0,tick,""
144810.677845,0,reduction,""
144810.677847,0,sched_state,running
144810.678132,0,tick,""
144810.678141,0,reduction,""
144810.678142,0,sched_state,running
144810.678430,0,tick,""
144810.678443,0,channel_blocked,98
144810.678445,0,yield,""
144810.678446,0,sched_state,waiting
144810.678732,0,tick,""
144810.678737,0,reduction,""
144810.678738,0,sched_state,running
144810.679023,0,tick,""
144810.679031,0,reduction,""
144810.679033,0,sched_state,running
144810.679318,0,tick,""
144810.679327,0,reduction,""
144810.679329,0,sched_state,running
144810.679613,0,tick,""
144810.679617,0,reduction,""
144810.679618,0,sched_state,running
144810.679904,0,tick,""
144810.679913,0,reduction,""
144810.679915,0,sched_state,running
144810.680204,0,tick,""
144810.680213,0,reduction,""
144810.680215,0,sched_state,running
144810.680504,0,tick,""
144810.680508,0,reduction,""
144810.680509,0,sched_state,running
144810.680793,0,tick,""
144810.680875,0,reduction,""
144810.680877,0,sched_state,running
144810.681164,0,tick,""
144810.681176,0,reduction,""
144810.681177,0,sched_state,running
144810.681461,0,tick,""
144810.681464,0,reduction,""
144810.681466,0,sched_state,running
144810.681752,0,tick,""
144810.681754,0,reduction,""
144810.681756,0,sched_state,running
144810.682038,0,tick,""
144810.682041,0,reduction,""
144810.682042,0,sched_state,running
144810.682324,0,tick,""
144810.682327,0,reduction,""
144810.682328,0,sched_state,running
144810.682613,0,tick,""
144810.682615,0,reduction,""
144810.682617,0,sched_state,running
144810.682903,0,tick,""
144810.682906,0,reduction,""
144810.682907,0,sched_state,running
144810.683189,0,tick,""
144810.683192,0,reduction,""
144810.683193,0,sched_state,running
144810.683473,0,tick,""
144810.683476,0,spawn,""
144810.683478,0,reduction,""
144810.683479,0,sched_state,running
144810.683760,0,tick,""
144810.683762,0,reduction,""
144810.683763,0,sched_state,running
144810.684049,0,tick,""
144810.684052,0,reduction,""
144810.684054,0,sched_state,running
144810.684343,0,tick,""
144810.688442,1,channel_blocked,73
144810.688449,0,yield,""
144810.688451,0,sched_state,waiting
144810.689964,0,tick,""
144810.689999,0,channel_blocked,98
144810.690001,0,yield,""
144810.690003,0,sched_state,waiting
144810.691324,0,tick,""
144810.691331,0,reduction,""
144810.691332,0,sched_state,running
144810.692077,0,tick,""
144810.692091,0,reduction,""
144810.692093,0,sched_state,running
144810.692831,0,tick,""
144810.692836,0,reduction,""
144810.692837,0,sched_state,running
144810.693573,0,tick,""
144810.693578,0,reduction,""
144810.693579,0,sched_state,running
144810.694317,0,tick,""
144810.694330,0,reduction,""
144810.694332,0,sched_state,running
144810.695065,0,tick,""
144810.695069,0,reduction,""
144810.695070,0,sched_state,running
144810.695803,0,tick,""
144810.695808,0,reduction,""
144810.695809,0,sched_state,running
144810.696554,0,tick,""
144810.696559,0,reduction,""
144810.696560,0,sched_state,running
144810.697306,0,tick,""
144810.697443,0,reduction,""
144810.697445,0,sched_state,running
144810.698178,0,tick,""
144810.698203,0,reduction,""
144810.698207,0,sched_state,running
144810.698939,0,tick,""
144810.698942,0,reduction,""
144810.698943,0,sched_state,running
144810.699679,0,tick,""
144810.699684,0,reduction,""
144810.699686,0,sched_state,running
144810.700448,0,tick,""
144810.700453,0,spawn,""
144810.700455,0,reduction,""
144810.700456,0,sched_state,running
144810.701194,0,tick,""
144810.701198,0,reduction,""
144810.701199,0,sched_state,running
144810.701936,0,tick,""
144810.701941,0,reduction,""
144810.701942,0,sched_state,running
144810.702679,0,tick,""
144810.702684,0,reduction,""
144810.702685,0,sched_state,running
144810.703419,0,tick,""
144810.703431,0,reduction,""
144810.703432,0,sched_state,running
144810.704181,0,tick,""
144810.704186,0,reduction,""
144810.704187,0,sched_state,running
144810.704944,0,tick,""
144810.704955,0,reduction,""
144810.704956,0,sched_state,running
144810.705697,0,tick,""
144810.705707,0,reduction,""
144810.705708,0,sched_state,running
144810.706448,0,tick,""
144810.709420,1,channel_blocked,73
144810.709427,0,yield,""
144810.709429,0,sched_state,waiting
144810.710240,0,tick,""
144810.710268,0,channel_blocked,98
144810.710269,0,yield,""
144810.710271,0,sched_state,waiting
144810.711012,0,tick,""
144810.711017,0,reduction,""
144810.711019,0,sched_state,running
144810.711758,0,tick,""
144810.711772,0,reduction,""
144810.711773,0,sched_state,running
144810.712530,0,tick,""
144810.712535,0,reduction,""
144810.712536,0,sched_state,running
144810.713277,0,tick,""
144810.713282,0,reduction,""
144810.713283,0,sched_state,running
144810.714020,0,tick,""
144810.714031,0,reduction,""
144810.714032,0,sched_state,running
144810.714774,0,tick,""
144810.714779,0,reduction,""
144810.714780,0,sched_state,running
144810.715522,0,tick,""
144810.715530,0,reduction,""
144810.715532,0,sched_state,running
144810.716281,0,tick,""
144810.716286,0,reduction,""
144810.716288,0,sched_state,running
144810.717032,0,tick,""
144810.717150,0,reduction,""
144810.717152,0,sched_state,running
144810.717895,0,tick,""
144810.717909,0,reduction,""
144810.717910,0,sched_state,running
144810.718660,0,tick,""
144810.718663,0,reduction,""
144810.718664,0,sched_state,running
144810.719414,0,tick,""
144810.719420,0,reduction,""
144810.719421,0,sched_state,running
144810.720176,0,tick,""
144810.720180,0,reduction,""
144810.720182,0,sched_state,running
144810.720927,0,tick,""
144810.720933,0,reduction,""
144810.720934,0,sched_state,running
144810.721680,0,tick,""
144810.721686,0,reduction,""
144810.721687,0,sched_state,running
144810.722438,0,tick,""
