timestamp,lpu,event,value
144609.415819,0,sched_state,startup
144609.415980,0,tick,""
144609.415986,0,reduction,""
144609.415987,0,sched_state,running
144609.416072,0,tick,""
144609.416075,0,reduction,""
144609.416076,0,sched_state,running
144609.416198,0,tick,""
144609.416201,0,reduction,""
144609.416202,0,sched_state,running
144609.416282,0,tick,""
144609.416284,0,reduction,""
144609.416285,0,sched_state,running
144609.416364,0,tick,""
144609.416366,0,reduction,""
144609.416367,0,sched_state,running
144609.416448,0,tick,""
144609.416451,0,reduction,""
144609.416452,0,sched_state,running
144609.416543,0,tick,""
144609.416546,0,reduction,""
144609.416547,0,sched_state,running
144609.416631,0,tick,""
144609.416633,0,reduction,""
144609.416634,0,sched_state,running
144609.416718,0,tick,""
144609.416721,0,reduction,""
144609.416722,0,sched_state,running
144609.416805,0,tick,""
144609.419828,0,reduction,""
144609.419839,0,sched_state,running
144609.420016,0,tick,""
144609.420020,0,reduction,""
144609.420021,0,sched_state,running
144609.420179,0,tick,""
144609.420186,0,reduction,""
144609.420187,0,sched_state,running
144609.420329,0,tick,""
144609.420478,0,reduction,""
144609.420480,0,sched_state,running
144609.420558,0,tick,""
144609.420561,0,reduction,""
144609.420562,0,sched_state,running
144609.420634,0,tick,""
144609.420638,0,reduction,""
144609.420639,0,sched_state,running
144609.420711,0,tick,""
144609.420714,0,reduction,""
144609.420715,0,sched_state,running
144609.420785,0,tick,""
144609.420789,0,reduction,""
144609.420790,0,sched_state,running
144609.420861,0,tick,""
144609.420864,0,reduction,""
144609.420865,0,sched_state,running
144609.420936,0,tick,""
144609.420939,0,reduction,""
144609.420940,0,sched_state,running
144609.421010,0,tick,""
144609.421013,0,reduction,""
144609.421014,0,sched_state,running
144609.421083,0,tick,""
144609.421087,0,reduction,""
144609.421089,0,sched_state,running
144609.421160,0,tick,""
144609.421164,0,reduction,""
144609.421165,0,sched_state,running
144609.421235,0,tick,""
144609.421239,0,reduction,""
144609.421240,0,sched_state,running
144609.421310,0,tick,""
144609.421314,0,reduction,""
144609.421315,0,sched_state,running
144609.421385,0,tick,""
144609.421389,0,reduction,""
144609.421391,0,sched_state,running
144609.421461,0,tick,""
144609.421498,0,reduction,""
144609.421500,0,sched_state,running
144609.421571,0,tick,""
144609.421576,0,reduction,""
144609.421577,0,sched_state,running
144609.421648,0,tick,""
144609.421653,0,reduction,""
144609.421654,0,sched_state,running
144609.421725,0,tick,""
144609.421730,0,reduction,""
144609.421731,0,sched_state,running
144609.421802,0,tick,""
144609.421813,0,reduction,""
144609.421814,0,sched_state,running
144609.421885,0,tick,""
144609.421890,0,reduction,""
144609.421892,0,sched_state,running
144609.421962,0,tick,""
144609.421971,0,reduction,""
144609.421973,0,sched_state,running
144609.422046,0,tick,""
144609.422050,0,spawn,""
144609.422052,0,reduction,""
144609.422053,0,sched_state,running
144609.422128,0,tick,""
144609.422132,0,reduction,""
144609.422133,0,sched_state,running
144609.422205,0,tick,""
144609.422209,0,reduction,""
144609.422210,0,sched_state,running
144609.422281,0,tick,""
144609.422285,0,reduction,""
144609.422287,0,sched_state,running
144609.422356,0,tick,""
144609.422360,0,reduction,""
144609.422361,0,sched_state,running
144609.422431,0,tick,""
144609.422439,0,reduction,""
144609.422440,0,sched_state,running
144609.422511,0,tick,""
144609.422543,0,reduction,""
144609.422545,0,sched_state,running
144609.422616,0,tick,""
144609.422625,0,reduction,""
144609.422626,0,sched_state,running
144609.422698,0,tick,""
144609.422702,0,reduction,""
144609.422703,0,sched_state,running
144609.422777,0,tick,""
144609.422782,0,reduction,""
144609.422783,0,sched_state,running
144609.422855,0,tick,""
144609.422860,0,reduction,""
144609.422861,0,sched_state,running
144609.422933,0,tick,""
144609.422937,0,reduction,""
144609.422938,0,sched_state,running
144609.423009,0,tick,""
144609.423013,0,reduction,""
144609.423014,0,sched_state,running
144609.423087,0,tick,""
