timestamp,lpu,event,value
179802.532082,0,sched_state,startup
179802.532231,0,tick,""
179802.532235,0,reduction,""
179802.532236,0,sched_state,running
179802.532320,0,tick,""
179802.532324,0,reduction,""
179802.532325,0,sched_state,running
179802.532382,0,tick,""
179802.532384,0,reduction,""
179802.532384,0,sched_state,running
179802.532465,0,tick,""
179802.532467,0,reduction,""
179802.532468,0,sched_state,running
179802.532522,0,tick,""
179802.532524,0,reduction,""
179802.532525,0,sched_state,running
179802.532577,0,tick,""
179802.532580,0,reduction,""
179802.532581,0,sched_state,running
179802.532634,0,tick,""
179802.532636,0,reduction,""
179802.532637,0,sched_state,running
179802.532689,0,tick,""
179802.532692,0,reduction,""
179802.532693,0,sched_state,running
179802.532747,0,tick,""
179802.532752,0,reduction,""
179802.532754,0,sched_state,running
179802.532816,0,tick,""
179802.532819,0,reduction,""
179802.532820,0,sched_state,running
179802.532875,0,tick,""
179802.532877,0,reduction,""
179802.532878,0,sched_state,running
179802.532935,0,tick,""
179802.532937,0,reduction,""
179802.532938,0,sched_state,running
179802.532994,0,tick,""
179802.532997,0,reduction,""
179802.532998,0,sched_state,running
179802.533052,0,tick,""
179802.533054,0,reduction,""
179802.533055,0,sched_state,running
179802.533109,0,tick,""
179802.533112,0,reduction,""
179802.533113,0,sched_state,running
179802.533166,0,tick,""
179802.533252,0,reduction,""
179802.533254,0,sched_state,running
179802.533310,0,tick,""
179802.533322,0,reduction,""
179802.533323,0,sched_state,running
179802.533379,0,tick,""
179802.533381,0,reduction,""
179802.533382,0,sched_state,running
179802.533436,0,tick,""
179802.533439,0,reduction,""
179802.533440,0,sched_state,running
179802.533497,0,tick,""
179802.534949,0,reduction,""
179802.534959,0,sched_state,running
179802.535218,0,tick,""
179802.535220,0,queue_length,0
179802.535221,1,queue_length,0
179802.535235,0,reduction,""
179802.535236,0,sched_state,running
179802.535342,0,tick,""
179802.535346,0,spawn,""
179802.535347,0,reduction,""
179802.535348,0,sched_state,running
179802.535451,0,queue_length,1
179802.535452,1,queue_length,0
179802.535453,0,tick,""
179802.535454,0,reduction,""
179802.535455,0,sched_state,running
179802.535514,0,tick,""
179802.535517,0,reduction,""
179802.535518,0,sched_state,running
179802.535576,0,tick,""
179802.535578,0,reduction,""
179802.535579,0,sched_state,running
179802.535637,0,tick,""
179802.535640,0,reduction,""
179802.535640,0,sched_state,running
179802.535697,0,tick,""
179802.535700,0,reduction,""
179802.535701,0,sched_state,running
179802.535758,0,tick,""
179802.535761,0,reduction,""
179802.535762,0,sched_state,running
179802.535819,0,tick,""
179802.535833,0,reduction,""
179802.535834,0,sched_state,running
179802.535895,0,tick,""
179802.535899,0,reduction,""
179802.535900,0,sched_state,running
179802.535957,0,tick,""
179802.535971,0,reduction,""
179802.535972,0,sched_state,running
179802.536032,0,tick,""
179802.536045,0,reduction,""
179802.536047,0,sched_state,running
179802.536129,0,tick,""
179802.536134,0,reduction,""
179802.536135,0,sched_state,running
179802.536203,0,tick,""
179802.536308,0,reduction,""
179802.536311,0,sched_state,running
179802.536369,0,tick,""
179802.536382,0,reduction,""
179802.536385,0,sched_state,running
179802.536442,0,tick,""
