timestamp,lpu,event,value
179914.509136,0,sched_state,startup
179914.509646,0,tick,""
179914.509651,0,reduction,""
179914.509652,0,sched_state,running
179914.510138,0,tick,""
179914.510141,0,reduction,""
179914.510142,0,sched_state,running
179914.510410,0,tick,""
179914.510413,0,reduction,""
179914.510414,0,sched_state,running
179914.510678,0,tick,""
179914.512593,0,reduction,""
179914.512595,0,sched_state,running
179914.512878,0,tick,""
179914.512881,0,reduction,""
179914.512883,0,sched_state,running
179914.513160,0,tick,""
179914.513252,0,reduction,""
179914.513254,0,sched_state,running
179914.513771,0,tick,""
179914.513777,0,reduction,""
179914.513779,0,sched_state,running
179914.515214,0,tick,""
179914.515229,0,spawn,""
179914.515234,0,reduction,""
179914.515238,0,sched_state,running
179914.515716,0,queue_length,1
179914.515732,1,queue_length,0
179914.515736,0,tick,""
179914.515743,0,reduction,""
179914.515762,0,sched_state,running
179914.516074,0,tick,""
179914.516097,0,reduction,""
179914.516101,0,sched_state,running
179914.516884,0,tick,""
179914.516897,0,reduction,""
179914.516901,0,sched_state,running
179914.517524,0,tick,""
179914.517586,0,channel_blocked,98
179914.517591,0,yield,""
179914.517598,0,sched_state,running
179914.518052,0,tick,""
179914.518072,0,reduction,""
179914.518077,0,sched_state,running
179914.518687,0,tick,""
179914.518710,0,reduction,""
179914.518714,0,sched_state,running
179914.519343,0,tick,""
179914.519357,0,reduction,""
179914.519361,0,sched_state,running
179914.520049,0,tick,""
179914.520070,0,reduction,""
179914.520075,0,sched_state,running
179914.520812,0,tick,""
179914.520836,0,reduction,""
179914.520841,0,sched_state,running
179914.521476,0,tick,""
179914.521487,0,reduction,""
179914.521491,0,sched_state,running
179914.522117,0,tick,""
179914.522153,0,reduction,""
179914.522158,0,sched_state,running
179914.522764,0,tick,""
179914.522786,0,reduction,""
179914.522790,0,sched_state,running
179914.523411,0,tick,""
179914.523433,0,reduction,""
179914.523437,0,sched_state,running
179914.524036,0,tick,""
179914.524084,0,reduction,""
179914.524090,0,sched_state,running
179914.524730,0,tick,""
179914.524755,0,reduction,""
179914.524759,0,sched_state,running
179914.525404,0,tick,""
179914.525425,0,reduction,""
179914.525429,0,sched_state,running
179914.526043,0,tick,""
179914.526063,0,reduction,""
179914.526067,0,sched_state,running
179914.526695,0,tick,""
179914.526718,0,reduction,""
179914.526722,0,sched_state,running
179914.527367,0,tick,""
179914.527737,0,reduction,""
179914.527753,0,sched_state,running
179914.528397,0,tick,""
179914.528413,0,reduction,""
179914.528415,0,sched_state,running
179914.528694,0,tick,""
179914.528698,0,reduction,""
179914.528699,0,sched_state,running
179914.528978,0,tick,""
179914.528983,0,reduction,""
179914.528984,0,sched_state,running
179914.529260,0,tick,""
179914.529265,0,reduction,""
179914.529266,0,sched_state,running
179914.529543,0,tick,""
179914.529554,0,reduction,""
179914.529555,0,sched_state,running
179914.529836,0,tick,""
179914.529839,0,queue_length,0
179914.529840,1,queue_length,0
179914.529874,0,reduction,""
179914.529876,0,sched_state,running
179914.530158,0,tick,""
179914.530168,0,reduction,""
179914.530169,0,sched_state,running
179914.530450,0,tick,""
179914.530454,0,reduction,""
179914.530455,0,sched_state,running
179914.530741,0,tick,""
179914.530749,0,reduction,""
179914.530750,0,sched_state,running
179914.531032,0,tick,""
179914.531041,0,reduction,""
179914.531042,0,sched_state,running
179914.531323,0,tick,""
179914.531326,0,reduction,""
179914.531327,0,sched_state,running
179914.531611,0,tick,""
179914.531623,0,reduction,""
179914.531624,0,sched_state,running
179914.531900,0,tick,""
179914.531909,0,reduction,""
179914.531910,0,sched_state,running
179914.532224,0,tick,""
179914.532228,0,reduction,""
179914.532229,0,sched_state,running
179914.532509,0,tick,""
179914.532611,0,reduction,""
179914.532614,0,sched_state,running
179914.532898,0,tick,""
179914.532912,0,reduction,""
179914.532914,0,sched_state,running
179914.533197,0,tick,""
179914.533200,0,reduction,""
179914.533202,0,sched_state,running
179914.533484,0,tick,""
179914.533490,0,reduction,""
179914.533491,0,sched_state,running
179914.533776,0,tick,""
179914.533781,0,reduction,""
179914.533782,0,sched_state,running
179914.534062,0,tick,""
179914.534073,0,reduction,""
179914.534074,0,sched_state,running
179914.534353,0,tick,""
179914.534393,0,reduction,""
179914.534395,0,sched_state,running
179914.534675,0,tick,""
179914.534685,0,reduction,""
179914.534686,0,sched_state,running
179914.534966,0,tick,""
179914.534969,0,reduction,""
179914.534970,0,sched_state,running
179914.535248,0,tick,""
179914.535256,0,reduction,""
179914.535258,0,sched_state,running
179914.535539,0,tick,""
179914.535547,0,reduction,""
179914.535548,0,sched_state,running
179914.535831,0,tick,""
179914.535835,0,queue_length,0
179914.535835,1,queue_length,0
179914.535839,0,reduction,""
179914.535840,0,sched_state,running
179914.536130,0,tick,""
179914.536140,0,reduction,""
179914.536142,0,sched_state,running
179914.536423,0,tick,""
179914.536432,0,reduction,""
179914.536433,0,sched_state,running
179914.536717,0,tick,""
179914.536723,0,reduction,""
179914.536724,0,sched_state,running
179914.537009,0,tick,""
179914.537094,0,reduction,""
179914.537098,0,sched_state,running
179914.537390,0,tick,""
179914.537409,0,reduction,""
179914.537411,0,sched_state,running
179914.537699,0,tick,""
179914.537704,0,reduction,""
179914.537705,0,sched_state,running
179914.538000,0,tick,""
179914.538005,0,reduction,""
179914.538006,0,sched_state,running
179914.538298,0,tick,""
179914.538304,0,reduction,""
179914.538305,0,sched_state,running
179914.538587,0,tick,""
179914.538598,0,reduction,""
179914.538600,0,sched_state,running
179914.538885,0,tick,""
179914.538926,0,reduction,""
179914.538927,0,sched_state,running
179914.539212,0,tick,""
179914.539223,0,reduction,""
179914.539224,0,sched_state,running
179914.539512,0,tick,""
179914.539516,0,reduction,""
179914.539517,0,sched_state,running
179914.539800,0,tick,""
179914.539810,0,reduction,""
179914.539811,0,sched_state,running
179914.540105,0,tick,""
179914.540128,0,reduction,""
179914.540130,0,sched_state,running
179914.540425,0,tick,""
179914.540431,0,reduction,""
179914.540433,0,sched_state,running
179914.540715,0,tick,""
179914.540726,0,reduction,""
