timestamp,lpu,event,value
179804.334564,0,sched_state,startup
179804.334676,0,tick,""
179804.334682,0,reduction,""
179804.334684,0,sched_state,running
179804.334760,0,tick,""
179804.334763,0,reduction,""
179804.334764,0,sched_state,running
179804.334822,0,tick,""
179804.334824,0,reduction,""
179804.334825,0,sched_state,running
179804.334903,0,tick,""
179804.334905,0,reduction,""
179804.334906,0,sched_state,running
179804.334962,0,tick,""
179804.334964,0,reduction,""
179804.334965,0,sched_state,running
179804.335023,0,tick,""
179804.335025,0,reduction,""
179804.335026,0,sched_state,running
179804.335092,0,tick,""
179804.335095,0,reduction,""
179804.335096,0,sched_state,running
179804.335155,0,tick,""
179804.335158,0,reduction,""
179804.335159,0,sched_state,running
179804.335220,0,tick,""
179804.335222,0,reduction,""
179804.335223,0,sched_state,running
179804.335284,0,tick,""
179804.339631,0,reduction,""
179804.339641,0,sched_state,running
179804.339901,0,tick,""
179804.339905,0,reduction,""
179804.339906,0,sched_state,running
179804.340021,0,tick,""
179804.340025,0,reduction,""
179804.340027,0,sched_state,running
179804.340159,0,tick,""
179804.340323,0,reduction,""
179804.340325,0,sched_state,running
179804.340378,0,tick,""
179804.340381,0,reduction,""
179804.340382,0,sched_state,running
179804.340428,0,tick,""
179804.340433,0,reduction,""
179804.340434,0,sched_state,running
179804.340478,0,tick,""
179804.340481,0,reduction,""
179804.340484,0,sched_state,running
179804.340528,0,tick,""
179804.340531,0,reduction,""
179804.340532,0,sched_state,running
179804.340576,0,tick,""
179804.340578,0,reduction,""
179804.340579,0,sched_state,running
179804.340625,0,tick,""
179804.340628,0,reduction,""
179804.340629,0,sched_state,running
179804.340672,0,tick,""
179804.340675,0,reduction,""
179804.340676,0,sched_state,running
179804.340720,0,tick,""
179804.340722,0,queue_length,0
179804.340722,1,queue_length,0
179804.340728,0,reduction,""
179804.340729,0,sched_state,running
179804.340772,0,tick,""
179804.340777,0,reduction,""
179804.340778,0,sched_state,running
179804.340821,0,tick,""
179804.340825,0,reduction,""
179804.340826,0,sched_state,running
179804.340868,0,tick,""
179804.340872,0,reduction,""
179804.340873,0,sched_state,running
179804.340916,0,tick,""
179804.340920,0,reduction,""
179804.340922,0,sched_state,running
179804.340964,0,tick,""
179804.340969,0,reduction,""
179804.340970,0,sched_state,running
179804.341012,0,tick,""
179804.341016,0,reduction,""
179804.341017,0,sched_state,running
179804.341061,0,tick,""
179804.341065,0,reduction,""
179804.341067,0,sched_state,running
179804.341109,0,tick,""
179804.341152,0,reduction,""
179804.341153,0,sched_state,running
179804.341199,0,tick,""
179804.341204,0,reduction,""
179804.341205,0,sched_state,running
179804.341249,0,tick,""
179804.341254,0,reduction,""
179804.341255,0,sched_state,running
179804.341299,0,tick,""
179804.341304,0,reduction,""
179804.341305,0,sched_state,running
179804.341350,0,tick,""
