timestamp,lpu,event,value
180679.980070,0,sched_state,startup
180679.980814,0,tick,""
180679.980819,0,reduction,""
180679.980821,0,sched_state,running
180679.981207,0,tick,""
180679.981210,0,reduction,""
180679.981211,0,sched_state,running
180679.981593,0,tick,""
180679.981596,0,reduction,""
180679.981597,0,sched_state,running
180679.981978,0,tick,""
180679.981980,0,reduction,""
180679.981981,0,sched_state,running
180679.982367,0,tick,""
180679.982370,0,reduction,""
180679.982371,0,sched_state,running
180679.982760,0,tick,""
180679.982763,0,reduction,""
180679.982764,0,sched_state,running
180679.983175,0,tick,""
180679.983179,0,reduction,""
180679.983180,0,sched_state,running
180679.983584,0,tick,""
180679.983587,0,reduction,""
180679.983588,0,sched_state,running
180679.984282,0,tick,""
180679.984309,0,reduction,""
180679.984316,0,sched_state,running
180679.984814,0,tick,""
180679.984817,0,reduction,""
180679.984818,0,sched_state,running
180679.985220,0,tick,""
180679.985223,0,reduction,""
180679.985225,0,sched_state,running
180679.985628,0,tick,""
180679.985632,0,reduction,""
180679.985633,0,sched_state,running
180679.986037,0,tick,""
180679.986167,0,reduction,""
180679.986170,0,sched_state,running
180679.986579,0,tick,""
180679.986596,0,reduction,""
180679.986605,0,sched_state,running
180679.987007,0,tick,""
180679.987012,0,reduction,""
180679.987013,0,sched_state,running
180679.987425,0,tick,""
180679.987430,0,reduction,""
180679.987431,0,sched_state,running
180679.987843,0,tick,""
180679.987847,0,reduction,""
180679.987848,0,sched_state,running
180679.988282,0,tick,""
180679.988288,0,reduction,""
180679.988289,0,sched_state,running
180679.988700,0,tick,""
180679.988705,0,reduction,""
180679.988706,0,sched_state,running
180679.989119,0,tick,""
180679.989125,0,reduction,""
180679.989126,0,sched_state,running
180679.989530,0,tick,""
180679.989534,0,queue_length,0
180679.989534,1,queue_length,0
180679.989561,0,reduction,""
180679.989562,0,sched_state,running
180679.989966,0,tick,""
180679.989971,0,reduction,""
180679.989972,0,sched_state,running
180679.990376,0,tick,""
180679.990400,0,reduction,""
180679.990402,0,sched_state,running
180679.990801,0,tick,""
180679.991306,0,reduction,""
180679.991309,0,sched_state,running
180679.991712,0,tick,""
180679.991717,0,reduction,""
180679.991718,0,sched_state,running
180679.992119,0,tick,""
180679.992173,0,reduction,""
180679.992174,0,sched_state,running
180679.992574,0,tick,""
180679.992577,0,reduction,""
180679.992578,0,sched_state,running
180679.992977,0,tick,""
180679.992981,0,spawn,""
180679.992982,0,reduction,""
180679.992983,0,sched_state,running
180679.993381,0,queue_length,1
180679.993384,1,queue_length,0
180679.993385,0,tick,""
180679.993387,0,reduction,""
180679.993388,0,sched_state,running
180679.993785,0,tick,""
180679.993788,0,reduction,""
180679.993789,0,sched_state,running
180679.994188,0,tick,""
180679.994192,0,reduction,""
180679.994193,0,sched_state,running
180679.994592,0,tick,""
180679.996379,0,channel_blocked,160
180679.996384,0,yield,""
180679.996388,0,sched_state,running
180679.997121,0,tick,""
180679.997124,0,reduction,""
180679.997125,0,sched_state,running
180679.997528,0,tick,""
180679.997538,0,reduction,""
180679.997539,0,sched_state,running
180679.997943,0,tick,""
180679.997949,0,reduction,""
180679.997950,0,sched_state,running
180679.998354,0,tick,""
180679.998359,0,reduction,""
180679.998360,0,sched_state,running
180679.998764,0,tick,""
180679.998777,0,reduction,""
180679.998778,0,sched_state,running
180679.999186,0,tick,""
180679.999191,0,reduction,""
180679.999192,0,sched_state,running
180679.999594,0,tick,""
180679.999602,0,reduction,""
180679.999604,0,sched_state,running
180680.000008,0,tick,""
180680.000014,0,reduction,""
180680.000015,0,sched_state,running
180680.000441,0,tick,""
180680.000447,0,reduction,""
180680.000448,0,sched_state,running
180680.000848,0,tick,""
180680.000859,0,reduction,""
180680.000860,0,sched_state,running
180680.001258,0,tick,""
180680.001264,0,reduction,""
180680.001265,0,sched_state,running
180680.001663,0,tick,""
180680.001668,0,reduction,""
180680.001669,0,sched_state,running
180680.002066,0,tick,""
180680.002071,0,reduction,""
180680.002072,0,sched_state,running
180680.002475,0,tick,""
180680.002480,0,reduction,""
180680.002482,0,sched_state,running
180680.002888,0,tick,""
180680.003002,0,reduction,""
180680.003006,0,sched_state,running
180680.003413,0,tick,""
180680.003428,0,reduction,""
180680.003429,0,sched_state,running
180680.003840,0,tick,""
180680.003845,0,reduction,""
180680.003846,0,sched_state,running
180680.004278,0,tick,""
180680.004284,0,reduction,""
180680.004285,0,sched_state,running
180680.004696,0,tick,""
180680.004701,0,reduction,""
180680.004703,0,sched_state,running
180680.005112,0,tick,""
180680.005123,0,reduction,""
180680.005124,0,sched_state,running
180680.005535,0,tick,""
180680.005539,0,queue_length,0
180680.005540,1,queue_length,0
180680.005579,0,reduction,""
180680.005580,0,sched_state,running
180680.005987,0,tick,""
180680.005997,0,reduction,""
180680.005998,0,sched_state,running
180680.006406,0,tick,""
180680.006410,0,reduction,""
180680.006411,0,sched_state,running
180680.006817,0,tick,""
180680.006825,0,reduction,""
180680.006826,0,sched_state,running
180680.007232,0,tick,""
180680.007240,0,reduction,""
180680.007241,0,sched_state,running
180680.007645,0,tick,""
180680.007650,0,reduction,""
180680.007651,0,sched_state,running
180680.008057,0,tick,""
180680.008068,0,reduction,""
180680.008070,0,sched_state,running
180680.008496,0,tick,""
180680.008505,0,reduction,""
180680.008509,0,sched_state,running
180680.008913,0,tick,""
180680.008919,0,reduction,""
180680.008920,0,sched_state,running
180680.009346,0,tick,""
180680.009460,0,reduction,""
180680.009463,0,sched_state,running
180680.009900,0,tick,""
180680.009913,0,reduction,""
180680.009915,0,sched_state,running
180680.010340,0,tick,""
180680.010346,0,reduction,""
180680.010347,0,sched_state,running
180680.010747,0,tick,""
180680.010752,0,reduction,""
180680.010753,0,sched_state,running
180680.011156,0,tick,""
180680.011161,0,reduction,""
180680.011162,0,sched_state,running
180680.011564,0,tick,""
180680.011568,0,reduction,""
180680.011569,0,sched_state,running
180680.011975,0,tick,""
180680.011980,0,reduction,""
180680.011981,0,sched_state,running
180680.012405,0,tick,""
180680.012410,0,reduction,""
180680.012411,0,sched_state,running
180680.012819,0,tick,""
180680.012824,0,reduction,""
180680.012825,0,sched_state,running
180680.013230,0,tick,""
180680.013235,0,spawn,""
180680.013237,0,reduction,""
180680.013238,0,sched_state,running
180680.013643,0,queue_length,1
180680.013647,1,queue_length,0
180680.013648,0,tick,""
180680.013649,0,reduction,""
180680.013651,0,sched_state,running
180680.014053,0,tick,""
180680.014062,0,reduction,""
180680.014063,0,sched_state,running
180680.014469,0,tick,""
180680.014475,0,reduction,""
180680.014476,0,sched_state,running
180680.014897,0,tick,""
180680.014903,0,reduction,""
180680.014904,0,sched_state,running
180680.015311,0,tick,""
180680.015322,0,reduction,""
180680.015324,0,sched_state,running
180680.015748,0,tick,""
180680.015754,0,reduction,""
