timestamp,lpu,event,value
160749.319747,0,sched_state,startup
160749.319850,0,tick,""
160749.319856,0,reduction,""
160749.319858,0,sched_state,running
160749.319939,0,tick,""
160749.319942,0,reduction,""
160749.319943,0,sched_state,running
160749.319999,0,tick,""
160749.320001,0,reduction,""
160749.320002,0,sched_state,running
160749.320057,0,tick,""
160749.320059,0,reduction,""
160749.320060,0,sched_state,running
160749.320119,0,tick,""
160749.320121,0,reduction,""
160749.320122,0,sched_state,running
160749.320190,0,tick,""
160749.320193,0,reduction,""
160749.320194,0,sched_state,running
160749.320247,0,tick,""
160749.320249,0,reduction,""
160749.320250,0,sched_state,running
160749.320302,0,tick,""
160749.320305,0,reduction,""
160749.320306,0,sched_state,running
160749.320358,0,tick,""
160749.320364,0,reduction,""
160749.320365,0,sched_state,running
160749.320427,0,tick,""
160749.320430,0,reduction,""
160749.320433,0,sched_state,running
160749.320490,0,tick,""
160749.320492,0,reduction,""
160749.320493,0,sched_state,running
160749.320547,0,tick,""
160749.320550,0,reduction,""
160749.320551,0,sched_state,running
160749.320606,0,tick,""
160749.320609,0,reduction,""
160749.320610,0,sched_state,running
160749.320664,0,tick,""
160749.320666,0,reduction,""
160749.320667,0,sched_state,running
160749.320721,0,tick,""
160749.320724,0,reduction,""
160749.320725,0,sched_state,running
160749.320777,0,tick,""
160749.320887,0,reduction,""
160749.320889,0,sched_state,running
160749.320945,0,tick,""
160749.320957,0,reduction,""
160749.320958,0,sched_state,running
160749.321013,0,tick,""
160749.321015,0,reduction,""
160749.321016,0,sched_state,running
160749.321072,0,tick,""
160749.321074,0,reduction,""
160749.321075,0,sched_state,running
160749.321131,0,tick,""
160749.321133,0,reduction,""
160749.321134,0,sched_state,running
160749.321189,0,tick,""
160749.321191,0,queue_length,0
160749.321191,1,queue_length,0
160749.321195,0,reduction,""
160749.321197,0,sched_state,running
160749.321252,0,tick,""
160749.321321,0,reduction,""
160749.321323,0,sched_state,running
160749.321381,0,tick,""
160749.321385,0,reduction,""
160749.321386,0,sched_state,running
160749.321443,0,tick,""
160749.321514,0,reduction,""
160749.321524,0,sched_state,running
160749.321829,0,tick,""
160749.321850,0,reduction,""
160749.321856,0,sched_state,running
160749.322066,0,tick,""
160749.322082,0,reduction,""
160749.322084,0,sched_state,running
160749.322189,0,tick,""
160749.322575,0,reduction,""
160749.322585,0,sched_state,running
160749.322771,0,tick,""
160749.322785,0,reduction,""
160749.322787,0,sched_state,running
160749.322849,0,tick,""
160749.323010,0,reduction,""
160749.323012,0,sched_state,running
160749.323074,0,tick,""
160749.323079,0,reduction,""
160749.323080,0,sched_state,running
160749.323136,0,tick,""
160749.323140,0,reduction,""
160749.323141,0,sched_state,running
160749.323197,0,tick,""
160749.323200,0,reduction,""
160749.323202,0,sched_state,running
160749.323258,0,tick,""
160749.323261,0,reduction,""
160749.323262,0,sched_state,running
160749.323318,0,tick,""
160749.323321,0,reduction,""
160749.323322,0,sched_state,running
160749.323377,0,tick,""
160749.323380,0,reduction,""
160749.323381,0,sched_state,running
160749.323435,0,tick,""
160749.323437,0,reduction,""
160749.323438,0,sched_state,running
160749.323492,0,tick,""
160749.323495,0,reduction,""
160749.323496,0,sched_state,running
160749.323551,0,tick,""
160749.323554,0,reduction,""
160749.323555,0,sched_state,running
160749.323609,0,tick,""
160749.323611,0,reduction,""
160749.323612,0,sched_state,running
160749.323665,0,tick,""
160749.323668,0,sched_state,stop
