timestamp,lpu,event,value
162941.906700,0,sched_state,startup
162941.906767,0,tick,""
162941.906772,0,reduction,""
162941.906774,0,sched_state,running
162941.906834,0,tick,""
162941.906838,0,reduction,""
162941.906839,0,sched_state,running
162941.906897,0,tick,""
162941.906899,0,reduction,""
162941.906900,0,sched_state,running
162941.906956,0,tick,""
162941.906958,0,reduction,""
162941.906959,0,sched_state,running
162941.907014,0,tick,""
162941.907016,0,reduction,""
162941.907016,0,sched_state,running
162941.907073,0,tick,""
162941.907075,0,reduction,""
162941.907076,0,sched_state,running
162941.907144,0,tick,""
162941.907148,0,reduction,""
162941.907149,0,sched_state,running
162941.907266,0,tick,""
162941.907268,0,reduction,""
162941.907269,0,sched_state,running
162941.907376,0,tick,""
162941.907378,0,reduction,""
162941.907379,0,sched_state,running
162941.907485,0,tick,""
162941.908807,0,reduction,""
162941.908810,0,sched_state,running
162941.908885,0,tick,""
162941.908889,0,reduction,""
162941.908890,0,sched_state,running
162941.908955,0,tick,""
162941.908958,0,reduction,""
162941.908959,0,sched_state,running
162941.909023,0,tick,""
162941.909325,0,reduction,""
162941.909328,0,sched_state,running
162941.909389,0,tick,""
162941.909395,0,reduction,""
162941.909397,0,sched_state,running
162941.909446,0,tick,""
162941.909449,0,reduction,""
162941.909451,0,sched_state,running
162941.909498,0,tick,""
162941.909500,0,reduction,""
162941.909501,0,sched_state,running
162941.909548,0,tick,""
162941.909551,0,reduction,""
162941.909552,0,sched_state,running
162941.909598,0,tick,""
162941.909601,0,reduction,""
162941.909602,0,sched_state,running
162941.909648,0,tick,""
162941.909651,0,reduction,""
162941.909652,0,sched_state,running
162941.909696,0,tick,""
162941.909700,0,reduction,""
162941.909701,0,sched_state,running
162941.909746,0,tick,""
162941.909748,0,queue_length,0
162941.909748,1,queue_length,0
162941.909752,0,reduction,""
162941.909753,0,sched_state,running
162941.909797,0,tick,""
162941.909801,0,reduction,""
162941.909802,0,sched_state,running
162941.909845,0,tick,""
162941.909849,0,reduction,""
162941.909850,0,sched_state,running
162941.909893,0,tick,""
162941.909897,0,reduction,""
162941.909898,0,sched_state,running
162941.909941,0,tick,""
162941.909946,0,reduction,""
162941.909947,0,sched_state,running
162941.909992,0,tick,""
162941.909996,0,reduction,""
162941.909997,0,sched_state,running
162941.910040,0,tick,""
162941.910045,0,reduction,""
162941.910046,0,sched_state,running
162941.910089,0,tick,""
162941.910094,0,reduction,""
162941.910095,0,sched_state,running
162941.910138,0,tick,""
162941.910144,0,reduction,""
162941.910145,0,sched_state,running
162941.910189,0,tick,""
162941.910194,0,reduction,""
162941.910195,0,sched_state,running
162941.910238,0,tick,""
162941.910244,0,reduction,""
162941.910245,0,sched_state,running
162941.910287,0,tick,""
162941.910293,0,reduction,""
162941.910295,0,sched_state,running
162941.910337,0,tick,""
162941.910343,0,reduction,""
162941.910344,0,sched_state,running
162941.910387,0,tick,""
162941.910393,0,reduction,""
162941.910394,0,sched_state,running
162941.910436,0,tick,""
162941.910444,0,reduction,""
162941.910446,0,sched_state,running
162941.910489,0,tick,""
162941.910496,0,reduction,""
162941.910497,0,sched_state,running
162941.910540,0,tick,""
162941.910546,0,reduction,""
162941.910547,0,sched_state,running
162941.910591,0,tick,""
162941.910598,0,reduction,""
162941.910599,0,sched_state,running
162941.910642,0,tick,""
162941.910650,0,reduction,""
162941.910651,0,sched_state,running
162941.910695,0,tick,""
162941.910732,0,reduction,""
162941.910734,0,sched_state,running
162941.910780,0,tick,""
162941.910781,0,queue_length,0
162941.910782,1,queue_length,0
162941.910789,0,reduction,""
162941.910790,0,sched_state,running
162941.910835,0,tick,""
162941.910842,0,reduction,""
162941.910844,0,sched_state,running
162941.910888,0,tick,""
162941.910895,0,reduction,""
162941.910897,0,sched_state,running
162941.910941,0,tick,""
162941.910954,0,reduction,""
162941.910955,0,sched_state,running
162941.911002,0,tick,""
162941.911010,0,reduction,""
162941.911011,0,sched_state,running
162941.911056,0,tick,""
162941.911068,0,reduction,""
162941.911070,0,sched_state,running
162941.911114,0,tick,""
162941.911120,0,spawn,""
162941.911123,0,reduction,""
162941.911123,0,sched_state,running
162941.911176,0,queue_length,1
162941.911177,1,queue_length,0
162941.911178,0,tick,""
162941.911180,0,reduction,""
162941.911181,0,sched_state,running
162941.911231,0,tick,""
162941.911234,0,reduction,""
162941.911234,0,sched_state,running
162941.911284,0,tick,""
162941.911286,0,reduction,""
162941.911287,0,sched_state,running
162941.911338,0,tick,""
162941.911340,0,reduction,""
162941.911341,0,sched_state,running
162941.911389,0,tick,""
162941.911392,0,reduction,""
162941.911393,0,sched_state,running
162941.911442,0,tick,""
162941.911444,0,reduction,""
162941.911445,0,sched_state,running
162941.911493,0,tick,""
162941.912688,0,channel_blocked,130
162941.912691,0,yield,""
162941.912694,0,sched_state,running
162941.913065,0,tick,""
162941.913076,0,reduction,""
162941.913077,0,sched_state,running
162941.913431,0,tick,""
162941.913442,0,reduction,""
162941.913443,0,sched_state,running
162941.913625,0,tick,""
162941.913633,0,reduction,""
162941.913634,0,sched_state,running
162941.913809,0,tick,""
162941.913817,0,reduction,""
162941.913819,0,sched_state,running
162941.913994,0,tick,""
162941.914006,0,reduction,""
162941.914007,0,sched_state,running
162941.914185,0,tick,""
162941.914225,0,reduction,""
162941.914227,0,sched_state,running
162941.914404,0,tick,""
162941.914415,0,reduction,""
162941.914417,0,sched_state,running
162941.914594,0,tick,""
162941.914602,0,reduction,""
162941.914603,0,sched_state,running
162941.914782,0,tick,""
162941.914790,0,reduction,""
162941.914791,0,sched_state,running
162941.914966,0,tick,""
162941.914982,0,reduction,""
162941.914983,0,sched_state,running
162941.915157,0,tick,""
162941.915165,0,reduction,""
162941.915167,0,sched_state,running
162941.915342,0,tick,""
162941.915355,0,reduction,""
162941.915356,0,sched_state,running
162941.915530,0,tick,""
162941.915537,0,spawn,""
162941.915539,0,reduction,""
162941.915540,0,sched_state,running
162941.915717,0,queue_length,2
162941.915718,1,queue_length,0
162941.915719,0,tick,""
162941.915720,0,reduction,""
162941.915721,0,sched_state,running
162941.915898,0,tick,""
162941.915901,0,reduction,""
162941.915902,0,sched_state,running
162941.916078,0,tick,""
162941.916089,0,reduction,""
162941.916090,0,sched_state,running
162941.916289,0,tick,""
162941.916292,0,reduction,""
162941.916293,0,sched_state,running
162941.916474,0,tick,""
162941.916477,0,reduction,""
162941.916478,0,sched_state,running
162941.916654,0,tick,""
162941.916657,0,reduction,""
162941.916658,0,sched_state,running
162941.916835,0,tick,""
162941.917804,1,channel_blocked,219
162941.917807,0,yield,""
162941.917809,0,sched_state,running
162941.918220,0,tick,""
162941.919353,0,channel_blocked,130
162941.919356,0,yield,""
162941.919358,0,sched_state,running
162941.919950,0,tick,""
162941.919959,0,reduction,""
162941.919961,0,sched_state,running
162941.920329,0,tick,""
162941.920337,0,reduction,""
162941.920339,0,sched_state,running
162941.920654,0,tick,""
162941.920665,0,reduction,""
162941.920666,0,sched_state,running
162941.920987,0,tick,""
162941.920997,0,reduction,""
162941.920998,0,sched_state,running
162941.921329,0,tick,""
162941.921353,0,reduction,""
162941.921355,0,sched_state,running
162941.921676,0,tick,""
162941.921733,0,reduction,""
162941.921735,0,sched_state,running
162941.922059,0,tick,""
162941.922079,0,reduction,""
162941.922080,0,sched_state,running
162941.922405,0,tick,""
162941.922414,0,reduction,""
162941.922415,0,sched_state,running
162941.922749,0,tick,""
162941.922757,0,reduction,""
162941.922758,0,sched_state,running
162941.923084,0,tick,""
162941.923100,0,reduction,""
162941.923102,0,sched_state,running
162941.923425,0,tick,""
162941.923434,0,reduction,""
162941.923435,0,sched_state,running
162941.923769,0,tick,""
162941.923790,0,reduction,""
162941.923791,0,sched_state,running
162941.924122,0,tick,""
162941.924132,0,spawn,""
162941.924135,0,reduction,""
162941.924136,0,sched_state,running
162941.924471,0,queue_length,3
162941.924474,1,queue_length,0
162941.924475,0,tick,""
162941.924477,0,reduction,""
162941.924478,0,sched_state,running
162941.924806,0,tick,""
162941.924809,0,reduction,""
162941.924810,0,sched_state,running
162941.925132,0,tick,""
162941.925136,0,reduction,""
162941.925138,0,sched_state,running
162941.925470,0,tick,""
162941.925475,0,reduction,""
162941.925476,0,sched_state,running
162941.925807,0,tick,""
162941.925811,0,reduction,""
162941.925812,0,sched_state,running
162941.926128,0,tick,""
162941.926133,0,reduction,""
162941.926134,0,sched_state,running
162941.926451,0,tick,""
162941.927125,2,channel_blocked,358
162941.927129,0,yield,""
162941.927132,0,sched_state,running
162941.927675,0,tick,""
162941.929673,1,channel_blocked,219
162941.929678,0,yield,""
162941.929681,0,sched_state,running
162941.930641,0,tick,""
162941.931641,0,channel_blocked,130
162941.931645,0,yield,""
162941.931648,0,sched_state,running
162941.932576,0,tick,""
162941.932588,0,reduction,""
162941.932590,0,sched_state,running
162941.933070,0,tick,""
162941.933080,0,reduction,""
162941.933081,0,sched_state,running
162941.933558,0,tick,""
162941.933572,0,reduction,""
162941.933573,0,sched_state,running
162941.934051,0,tick,""
162941.934060,0,reduction,""
162941.934061,0,sched_state,running
162941.934534,0,tick,""
162941.934559,0,reduction,""
162941.934560,0,sched_state,running
162941.935034,0,tick,""
162941.935092,0,reduction,""
162941.935094,0,sched_state,running
162941.935567,0,tick,""
162941.935581,0,reduction,""
162941.935590,0,sched_state,running
162941.936063,0,tick,""
162941.936071,0,reduction,""
162941.936072,0,sched_state,running
162941.936572,0,tick,""
162941.936581,0,reduction,""
162941.936582,0,sched_state,running
162941.937068,0,tick,""
162941.937083,0,reduction,""
162941.937085,0,sched_state,running
162941.937560,0,tick,""
162941.937569,0,reduction,""
162941.937571,0,sched_state,running
162941.938046,0,tick,""
162941.938063,0,reduction,""
162941.938064,0,sched_state,running
162941.938543,0,tick,""
