schedulertest,ticks0,aql0,mql0,rpt0,spt0,lg0,ticks1,aql1,mql1,rpt1,spt1,lg1,ticks2,aql2,mql2,rpt2,spt2,lg2,ticks3,aql3,mql3,rpt3,spt3,lg3,ticks4,aql4,mql4,rpt4,spt4,lg4,ticks5,aql5,mql5,rpt5,spt5,lg5,ticks6,aql6,mql6,rpt6,spt6,l76,ticks7,aql7,mql7,rpt7,spt7,lg7,aticks,sd,areducts,sd,asyncs,sd,mlg,agaps,sdg
pring-erlam_sched_single8-2-2,1938,0,0,1689,248,11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242.25,640.933255105,211.125,558.584245549,31.0,82.018290643,11079,1384.875,3664.03484691
pring-erlam_sched_single2-2-2,511,0,0,438,72,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.875,168.997364994,54.75,144.854884281,9.0,23.8117617996,3600,450.0,1190.58808998
pring-erlam_sched_single4-2-2,804,0,0,711,92,9831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.5,265.898006762,88.875,235.141147771,11.5,30.4261400772,9831,1228.875,3251.29764238
pring-erlam_sched_single10-2-2,2261,0,0,1976,284,13450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.625,747.75546429,247.0,653.500573833,35.5,93.9241715428,13450,1681.25,4448.16939173
pring-erlam_sched_single9-2-2,2117,0,0,1849,267,12544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.625,700.13194069,231.125,611.49927177,33.375,88.3019500068,12544,1568.0,4148.53805575
pring-erlam_sched_single20-2-2,6597,0,0,5685,911,34357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,824.625,2181.75267489,710.625,1880.13702543,113.875,301.284930547,34357,4294.625,11362.5097243
pring-erlam_sched_single6-2-2,1313,0,0,1150,162,7925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.125,434.233933928,143.75,380.326750966,20.25,53.5764640491,7925,990.625,2620.94739252
clustercomm-erlam_sched_single20-9-2,14278,0,0,14048,227,100636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784.75,4722.00465242,1756.0,4645.93930223,28.375,75.0731934515,100636,12579.5,33282.2286175
clustercomm-erlam_sched_single8-3-2,2890,0,0,2794,93,32825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.25,955.777661122,349.25,924.028645389,11.625,30.7568589911,32825,4103.125,10855.8483482
clustercomm-erlam_sched_single10-4-2,4078,0,0,3967,108,56606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.75,1348.67173082,495.875,1311.96193137,13.5,35.7176426994,56606,7075.75,18720.6748393
